,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629228793,855265,1083228,1128541,1213736,1326274,1391941,1579108,1670660,0,0,0,0,0,0,0,0,0.2755310227985113,0.3489712764628341,0.36356925163552206,0.39101555832095775,0.4272706491333947,0.448425841587324,0.5087233107274489,0.5382175799881451
1,2000,9312181.820184268,3806142,4733645,4956862,5231107,5411781,5548144,6006146,6149046,0,0,0,0,0,0,0,0,0.4087271998652497,0.5083282405139219,0.5322986702488928,0.561748803987215,0.5811507017904116,0.5957942088259413,0.6449773120818587,0.6603228028335817
2,3000,15520302.808605582,4974614,5907392,6352827,6833882,7226972,7510311,8157868,8358496,32364,100932,96461,116482,115580,114637,117686,117084,0.32119277209669433,0.3831149839592075,0.4118835682336616,0.4436485002592439,0.4691400221731207,0.48750317534505727,0.5296416901991696,0.5426460601423265
3,4000,21728423.45953065,4791604,6024860,6397994,6990548,7428142,7794073,8563066,8809576,283738,298869,260384,303172,317941,268897,286650,284053,0.2234401623209852,0.2811472357662799,0.2980241401205193,0.3262761239094058,0.3469394962976857,0.3631987413468054,0.39936370077605704,0.4108106608503728
4,5000,27936543.637843356,4529793,5878348,6306808,6786586,7113242,7441179,8228921,8430308,220363,205932,210926,201713,200508,195089,191751,200353,0.16343496454973572,0.21198046681299837,0.22747222739563744,0.24469541886222676,0.2564621019701393,0.2682331945870335,0.2965933502337989,0.3039461370191788
5,6000,34144663.20868549,5201236,6729039,7279122,7715344,8007154,8303974,8955634,9199736,47473,35414,26727,32744,30939,29733,27477,40135,0.15254148415651864,0.19727901247051008,0.21335176768830866,0.22617736494977214,0.23471943288916391,0.24341172469659195,0.2624962664042937,0.2697511586645283
6,7000,40352782.03686984,6231585,8816477,9864105,10400372,10745132,11246543,12278669,12653517,196508,168810,158223,185333,199690,188933,177211,194669,0.15518334679852058,0.2194028253829824,0.24540896171921706,0.2589253798630195,0.26760409858681566,0.28001656389246543,0.3056252514427647,0.31509241951638994
7,8000,46560899.98758206,6743911,9014288,9673738,10236757,10592135,10999188,12288091,12848671,293898,258987,230058,295128,310902,301779,318788,341068,0.14576070871871163,0.19468500151208842,0.20879693925253567,0.22125983335472263,0.22901914510015647,0.23777338966195782,0.26573377537989323,0.27799043067599355
8,9000,52769016.925536424,7570126,10138200,10961680,11556178,12176601,12735903,13779547,14247036,143193,132133,91829,109866,93092,83298,96643,103267,0.1438481231326933,0.1926063863191856,0.20809159394566096,0.21945241799172213,0.23116064914309617,0.24173349552276852,0.2616086189599184,0.27051805053841904
9,10000,58977132.716071725,8819435,11307305,12040633,12552819,13024680,13414696,14604177,15009827,365494,269944,306940,360334,337955,331302,396425,436625,0.15047241799062083,0.19260511782783601,0.20522572779451034,0.2141505383261101,0.22211566579369374,0.22874083010173374,0.24930011209122552,0.2564006973222612
10,11000,65185247.22379571,8176289,11811952,12348277,12850993,13291455,13707670,14700138,15049614,822584,734696,777892,821868,794168,789548,844240,895031,0.12703465938894087,0.1832715434656969,0.1917215348634258,0.199663118297693,0.2064176460500781,0.21286623431731752,0.22847230148059197,0.2340887133994378
11,12000,71393360.31408924,7141032,9726227,10440611,10904179,11368884,11820004,12911670,13253174,1758741,1742881,1716614,1783307,1770066,1766450,1799547,1817617,0.10255002569612882,0.1396433606169388,0.14984354971077085,0.15664661181624132,0.1632913827477329,0.1697620064811088,0.18552899151721058,0.1904855538541721
12,13000,77601471.85151803,9302089,12360284,13498175,14139542,14669873,15176645,16291774,16667336,665202,630223,649579,668617,675846,665056,684609,700908,0.120906420573189,0.1605831292128792,0.175410564962259,0.18379068380199334,0.19070202988423926,0.19726217854091196,0.21181017264640642,0.21673880092975395
13,14000,83809581.70150793,9655356,13329910,14317696,15277658,16041001,16633964,17876665,18203608,1200710,1260138,1345088,1368488,1355830,1307754,1360890,1340903,0.11688037617663954,0.1614778901260664,0.17362255386936534,0.18531605191114242,0.19454543509518246,0.2016193393942953,0.21682169396598258,0.22073359591327066
14,15000,90017689.72857451,8791704,11954630,13123229,13819029,14418110,15084333,16356380,16730276,986298,946788,924831,975512,971178,967299,983823,991884,0.09874836087930448,0.13421476338512106,0.14729832656936645,0.15519644007499758,0.16191661773285737,0.16939098050649803,0.18370964444196813,0.1879261396522256
15,16000,96225795.79822707,7853758,10796038,11890442,12507572,13065645,13525767,14712222,15099698,319955,324598,560460,681231,680106,669994,698863,671587,0.08189029922091237,0.1125745897638787,0.12429206358590299,0.13090825235756468,0.1367476128707843,0.1415483596543999,0.15401124655677265,0.15802232251103274
16,17000,102433899.77492642,6840229,9970337,10824962,11419622,11901054,12485175,13373969,13908534,1149649,1168851,1154616,1142075,1173782,1176100,1190540,1182675,0.06753497160383146,0.09845783042242201,0.10688229217789869,0.11273981908584187,0.11752952950788376,0.12330087191062583,0.13209724597970277,0.13736657537642222
17,18000,108642001.52416027,4778761,7293486,8045847,8534538,8890711,9353589,10392094,10965590,2362624,2247179,2329617,2356687,2374144,2449505,2455531,2435856,0.044964141786713555,0.06855113648358017,0.0756811827334333,0.08029837459868427,0.08366321865460283,0.08808144931287051,0.09786646028163748,0.10324816841701026
18,19000,114850100.910393,3369964,5886991,6341150,6713456,6895589,7198186,7883744,8079945,2332700,2089699,2046308,2103819,2131298,2164071,2042458,1698952,0.02995060295326039,0.052207963968399114,0.056213978594116656,0.059544810580411264,0.061175144003984154,0.06387824653795983,0.06988661225961729,0.07140842207796488
19,20000,121058197.79923773,3217478,5247979,5633217,6024501,6190569,6431657,7300202,7531682,1555334,1602754,1654788,1768728,1750886,1794242,1815081,1819067,0.026923856865934983,0.043932522730567164,0.04717802455952948,0.05050320879235308,0.05188759101719659,0.05392791943633575,0.06122116056636543,0.06316451612416608
20,21000,127266292.05492163,3567419,5579015,6076046,6743678,7047220,7336586,8500611,8870459,1590008,1572786,1550699,1720537,1733521,1678996,1767050,1813369,0.028385777211880382,0.04438586507056503,0.048331681475229135,0.053714902563212034,0.056138488306904204,0.058418217689722184,0.0677343612663407,0.07070747164748509
21,22000,133474383.54327226,4330362,6203473,6667868,7091857,7267319,7485803,8182338,8603569,878513,1185746,1140369,1252110,1282414,1268679,1348584,1367863,0.03265834736977574,0.046893468065016645,0.05038665246431903,0.05363587245895492,0.05497549529754972,0.05662239028082046,0.06192838967320852,0.06512599805534845
22,23000,139682472.12836742,2988308,4806676,5137555,5503503,5618904,5767561,6302852,6633597,925979,1053112,875496,919223,931409,935709,962371,1042822,0.021536347111593794,0.03467285714620002,0.037012224769228,0.03966109927931139,0.040496295115242435,0.04156897696174647,0.04543575119057569,0.047847762121859844
23,24000,145890557.67624426,2352662,3904939,4215232,4540692,4700964,4845456,5227918,5490409,3010357,3021195,2982031,3221174,3219917,3201831,3267334,3330110,0.01646597631347785,0.027332235035225628,0.029496014674824156,0.031826674252017996,0.03294976442047159,0.033958225802898714,0.03665544688477531,0.03851284903698364
