,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271833,1563791,1774222,2049811,2101698,2115952,2119865,2188639,2288410,36357,35936,38603,19653,18950,17407,20635,34673,0.5097594777739174,0.5782757268393303,0.6686802585220424,0.6813943721591017,0.6858593594518987,0.6867842183286235,0.7098076176231795,0.7455591396177551
1,2000,9312181.820188306,3557955,4379662,4778236,4925267,4992467,5089674,5319405,5560989,39560,48970,50716,28178,19984,11558,21580,43970,0.38370539303712764,0.47280166804076906,0.5159265382791045,0.5305110914851069,0.5372751524029465,0.547240066731024,0.5725576343656265,0.6000066795934553
2,3000,15520302.80860177,4694665,5489843,5911724,6097980,6236096,6312064,6645978,7080282,501938,602245,686524,541887,519421,455068,573778,562055,0.3125949502379334,0.3679998475964177,0.3985312223053997,0.407117820597427,0.4157152945784902,0.41898211877826236,0.4446503842936934,0.4733363219138855
3,4000,21728423.459526498,4570799,4995932,5705499,5993292,6152776,6305450,6774614,7312397,660956,727962,883388,704404,740962,698095,767357,783378,0.2169600598069575,0.23789629621370445,0.27371020841283816,0.28506880007116303,0.29316437396992434,0.29982651065745497,0.3231998721573175,0.3491229949407477
4,5000,27936543.63784749,5638062,6237484,7282508,7511004,7703343,7903518,8429627,9174510,232471,239464,252136,120492,103290,72055,114183,138720,0.20351022298063312,0.22520367062369298,0.2630544996759854,0.27002408888903073,0.27676760684295426,0.28364123608085495,0.3029802937904901,0.33004418329745266
5,6000,34144663.20869386,5959257,6748942,8209450,8632193,9041754,9176238,9827897,10724375,769696,765971,851010,662744,619665,490777,644553,693210,0.17855469228588994,0.2021931224208407,0.24657702621400204,0.2578165530534635,0.2697018488625974,0.27266503318803903,0.29336909457239607,0.32059519008318565
6,7000,40352782.03685953,3256933,4435043,5344445,5801216,5945690,6166237,6669658,7418361,810640,761081,1022231,695373,713409,571736,705324,676287,0.08236612465161912,0.11201951125744797,0.13588533237155337,0.14628328327269358,0.1499945519943333,0.15500439566839472,0.16822410137364516,0.18697117759792872
7,8000,46560899.98757094,1426514,2096268,2626238,2891841,2979300,3123887,3720786,4155490,1285166,1279731,1400426,1161952,1079244,983023,1137524,1211168,0.03150725287836539,0.04629447619992754,0.05815346403854824,0.06369841435074027,0.0655055304233903,0.0685395460796009,0.08191346237712731,0.09163207405809808
8,9000,52769016.92554954,2363786,3013676,3356906,3530636,3589807,3639584,3923697,4161289,436825,446386,540136,393830,377729,285672,408451,443628,0.045168870498733235,0.057597944650149446,0.06427298346263925,0.06741047063027653,0.06851915923695717,0.06934740926217539,0.07493610755810065,0.07952714897008856
9,10000,58977132.7160795,1121226,1556430,1866726,1954853,1991402,2039738,2199507,2312000,287783,304613,311972,218976,260338,154850,243306,289880,0.019104420229975907,0.026527410234496073,0.031820009989137386,0.0332694745590112,0.03391537309945595,0.034676280923086694,0.037448726278852235,0.03939526716619576
