,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.62922688,375727,507108,587030,746094,869439,970293,1187113,1297406,76394,85960,43405,83835,41402,67576,82267,86044,0.12409787668596213,0.16802223063380803,0.19179877487500396,0.24703253716543877,0.2838837445685144,0.31954484164375513,0.39285045428589394,0.429886961998733
1,2000,9312181.820187492,949858,1390398,1567492,2026317,2351817,2544756,3203398,3358869,334497,374360,244011,366914,211775,295707,317689,376639,0.10580211034632456,0.15556340548874725,0.17285647029392756,0.22652390523479357,0.25842987533073236,0.28223402723893853,0.3561510430927471,0.3758998269709508
2,3000,15520302.808602229,2110336,2918698,3364318,4106074,4582538,4925565,6283601,6561721,226174,268499,195219,263714,191430,212079,265549,271919,0.13798340699295242,0.19136739736671762,0.21953015344108928,0.2691344737353637,0.29894813905875584,0.32175940602803,0.4119110068139315,0.43032239235074005
3,4000,21728423.459529854,2327201,3405326,4023164,4900687,5564614,6336041,8358197,8680231,494823,572654,382597,536907,424202,446059,552726,573046,0.1095999241596132,0.1609644124036355,0.18847543840139563,0.23125702256178812,0.2611977166389633,0.29771320813758717,0.3947070464136471,0.4103084909075834
4,5000,27936543.63784676,1822940,2603701,3041301,3789806,4358340,4910688,6517320,6798272,648485,910733,853635,977788,887402,907527,967714,963973,0.06680357969737359,0.09634127297383617,0.11229595168924958,0.140577927665162,0.16112673955989326,0.1816820813645111,0.24166120990485646,0.25204390383395475
5,6000,34144663.20869292,1297957,2097380,2555677,3004657,3345737,3840168,4978163,5156551,494235,589173,657796,834062,715734,758927,804778,860720,0.03857178256247861,0.06250482371008993,0.0763187844378756,0.090201223963976,0.10008507837965591,0.11502421201663073,0.14931554109556477,0.15492608455879228
6,7000,40352782.036866814,565339,1012643,1215306,1422249,1557583,1824861,2695317,2949755,243276,267019,286436,389448,278139,365736,425686,509242,0.014094888116556868,0.025261911543723734,0.03033233923756719,0.03558884748424525,0.03886704614104974,0.04563630427507786,0.06750596130285233,0.07403345679803106
7,8000,46560899.98755786,880377,1600385,1953210,2314108,2508322,2736626,3474568,3618022,240250,311425,276623,292278,214740,259530,289912,310601,0.019006145212480334,0.03460331172257716,0.04220029191608766,0.05001462979862009,0.0541214633676962,0.05910464421971506,0.07509171839888748,0.0782269969967829
8,9000,52769016.92557159,649677,1187447,1499281,1746511,1871794,1927676,2490994,2784408,920960,941859,853499,1021832,712361,780426,924858,957863,0.012530402073362515,0.022911675027700334,0.02887924574208113,0.03375084079476055,0.03595686212875856,0.03707882759814972,0.048047727104149104,0.05374147821528725
9,10000,58977132.71605703,283835,523153,666250,812545,881289,905397,1170068,1361614,215305,279096,320244,327717,255819,306264,377069,496347,0.004830261600635004,0.008912614957305545,0.011358427195570252,0.013854272716608522,0.015007991889646981,0.015431798093560717,0.019967009006500263,0.023283100309408847
10,11000,65185247.22380257,76025,130089,182477,232225,271888,291958,320623,339337,491949,525206,556305,598344,501529,520056,370805,511455,0.0011751603657151023,0.002011891695981657,0.0028234563915359038,0.00359554318923309,0.0042033452538903305,0.004514917445918468,0.00494678329395935,0.005246901230497356
11,12000,71393360.31408405,20056,76544,101029,120891,130559,152952,206145,210529,489853,601428,643779,471948,329868,304626,282542,243367,0.000282863299147631,0.0010812531526953612,0.0014279801819814903,0.001704576883841788,0.00183721620973762,0.0021515645407924676,0.002898925998706604,0.0029589461670170816
12,13000,77601471.85148853,14026,37966,45233,65374,96182,114256,168523,176923,613008,622225,646665,433150,375216,261061,230478,244909,0.0001821831388538455,0.0004931978624478561,0.0005877865444752924,0.0008471610944943592,0.0012454572468845917,0.001477313072714314,0.0021781160046034204,0.0022871104076801103
13,14000,83809581.70152223,530,10628,12217,18586,22825,28810,37879,38938,969351,771789,1062869,973290,943523,855503,526777,543090,6.3978576050761885e-06,0.00012798991464286802,0.00014764332746447888,0.00022437025629985387,0.0002754444987206892,0.0003473005842625473,0.00045482377947950707,0.00046763108669904674
14,15000,90017689.72857666,6358,18028,18559,34986,45053,76160,102367,110315,811742,757795,921150,885729,726269,634652,151369,352817,7.127327450570034e-05,0.0002019720060708106,0.0002083021412115225,0.00039251913358597434,0.0005045613523940864,0.000852063231854682,0.001139103049619436,0.0012303034247751967
15,16000,96225795.79822409,18128,72349,80836,97350,146180,237295,296363,301648,473185,263065,566316,559140,545502,267779,281928,323939,0.00018932120856945047,0.0007539281072786948,0.0008450390925239038,0.0010175959344217733,0.001527796312041772,0.0024729043796202304,0.0030889207075044107,0.003145382269653677
16,17000,102433899.774925,45099,75966,111557,125363,132999,149524,220212,259020,550908,593023,482064,573516,439364,500088,583889,680537,0.0004426548456648244,0.0007459283777366708,0.001094212763821928,0.0012307336312123796,0.0013039816200888807,0.001466873428908521,0.0021621205370968423,0.0025455669762280337
17,18000,108642001.5241921,0,10077,10077,11138,11138,11138,63861,74643,367392,375960,314740,451219,369529,294449,386850,388740,0.0,9.307627634790997e-05,9.302367528001769e-05,0.00010294777189091389,0.00010287009929981378,0.00010279881492951196,0.0005899118804127192,0.0006895219501845589
18,19000,114850100.91038287,2134,7971,7971,9038,9038,9038,11687,11686,468979,476424,564899,632693,579521,416998,423057,541693,1.8656924887237776e-05,6.969260948256172e-05,6.974656269365903e-05,7.912979435754123e-05,7.909297394909595e-05,7.898064257750678e-05,0.00010213494643060989,0.00010223219983224468
19,20000,121058197.79922533,0,14226,14226,15293,16354,29613,46054,46054,484486,422634,480960,583106,446108,443973,509194,619922,0.0,0.00011792542391293863,0.00011798246716920063,0.00012693910227921766,0.00013559171412437493,0.00024551830473805105,0.00038203550878531566,0.00038238674287212126
20,21000,127266292.05492353,0,12820,12821,14945,14945,14945,19718,19719,362821,369819,473646,402253,232357,377458,266319,295650,0.0,0.00010102723654463767,0.00010111785185432798,0.00011780328067223075,0.00011764572980864114,0.00011778026105536671,0.000155259875460545,0.0001553036172839874
21,22000,133474383.54324579,0,4238,4238,5299,5299,5299,16969,16969,414591,671097,714866,803058,518870,604722,658021,734464,0.0,3.191186084555179e-05,3.1922381750291396e-05,3.9940808447509845e-05,3.9855436294309224e-05,3.988118836500014e-05,0.00012776287254874033,0.0001278364493393535
22,23000,139682472.12842727,0,2116,2115,2115,2115,2115,2646,2645,578500,923645,852498,1066212,637517,802257,774627,1018443,0.0,1.5249480294623354e-05,1.52344622497983e-05,1.5257950243647196e-05,1.521090785384126e-05,1.5228951064370022e-05,1.9048600153242896e-05,1.907488204853953e-05
23,24000,145890557.6761906,0,1588,1588,1589,1588,1588,3760,3760,883437,958556,801081,1582249,815483,1294929,889466,1582093,0.0,1.095686240191407e-05,1.0944970209962809e-05,1.1011146998926532e-05,1.0946056747132035e-05,1.0982351365242089e-05,2.5930839254621952e-05,2.6055297646170305e-05
24,25000,152098640.05074453,0,1068,1068,3190,3190,3190,14810,14810,778113,1531246,867752,2194236,1209082,2036672,1066989,2150272,0.0,7.093169186683675e-06,7.062049385318954e-06,2.128022869108065e-05,2.114129063143783e-05,2.1257884602188334e-05,9.805891610775047e-05,9.876733033191864e-05
25,26000,158306719.11793923,0,7952,7952,7951,7952,7952,14316,14316,394570,1708615,1064734,1785773,1381968,1756656,1398412,1653624,0.0,5.0779669682406144e-05,5.057173498563763e-05,5.079831292361909e-05,5.067396916897801e-05,5.079525259602896e-05,9.123799920446188e-05,9.138663994619404e-05
26,27000,164514794.74183273,0,3187,3188,4245,4245,4245,9549,9549,291497,1988755,651756,1871647,1340159,1613147,861507,1391006,0.0,1.9609165430120887e-05,1.9455272064267734e-05,2.6100085118483982e-05,2.6015072628789197e-05,2.6058668275274264e-05,5.8348965253076935e-05,5.853836570160034e-05
27,28000,170722866.78809214,0,529,528,528,528,528,5302,5302,1288194,1874865,911508,2316547,1325610,1797008,1163779,2002327,0.0,3.132995323592318e-06,3.109332636922669e-06,3.135274262060885e-06,3.1169335915545713e-06,3.125631586472181e-06,3.126933548160048e-05,3.1424745360933235e-05
28,29000,176930935.12179184,0,2653,2653,2653,2653,2653,8486,8486,1020196,1571671,735753,1995270,1440252,1743242,998600,1688950,0.0,1.5128941224099906e-05,1.5057165400618957e-05,1.516557528822357e-05,1.511761167491039e-05,1.5143757833237828e-05,4.823445328640376e-05,4.8424468566150374e-05
29,30000,183138999.6071067,0,1058,1058,1059,1058,1058,1059,1059,881084,1755045,612644,1729298,844482,1658097,913891,1522820,0.0,5.832930494275083e-06,5.796423187659408e-06,5.837615026199425e-06,5.803794946155606e-06,5.829814513819645e-06,5.811493312281662e-06,5.830978287787753e-06
