,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.62922717,1813891,2131845,2396673,2466145,2552742,2615142,2707562,2725254,1608,1608,1608,0,0,0,3091,3091,0.5846635603431746,0.6871482838824357,0.7725091359725349,0.7944899583401519,0.8223879314611088,0.8424906315863754,0.873133994761111,0.8788393070070775
1,2000,9312181.820185952,5020068,5778879,6408886,6685705,6889040,7016692,7243047,7325174,7485,7523,6681,8816,8816,8816,6806,8137,0.5395197819996972,0.6210737128225525,0.6887201585214552,0.7186329258915855,0.7404889943220898,0.7542100499558506,0.7783723236935594,0.7873106956780114
2,3000,15520302.808601618,6277500,7696875,9243583,9963195,10740155,11233667,11784410,12014953,179113,169423,180722,190651,189042,192259,179917,190651,0.4091925123356653,0.5013963431390545,0.6025968450726301,0.6499296346972182,0.7005395794959164,0.7328832785365618,0.7681951514799764,0.7837720745397683
3,4000,21728423.459530532,6873188,8503646,10208947,11160971,12298930,13288929,14214369,14691440,22276,22276,21096,20843,22452,22039,18784,21610,0.3166470702741948,0.3917621040700292,0.4702995805924416,0.5141508525469898,0.5666150452160416,0.6122129194189816,0.6547491968485866,0.6768123763255365
4,5000,27936543.637850285,5906549,8009020,9818971,11121818,12955120,14620366,16409572,17158475,68401,75038,121872,142235,119709,286647,282061,292708,0.21194627416531783,0.28745826245368533,0.35301409011200824,0.4001473159456217,0.4657294824757669,0.528767473943682,0.593378376116878,0.6206980545241848
5,6000,34144663.20869182,6046702,8670744,10758881,12252706,14586299,16402505,18396786,19385941,82872,80860,86089,85286,86290,65376,81259,83072,0.17752155084718546,0.2545442136005397,0.3158934644203136,0.35974545056781476,0.42827350885559984,0.48130422739054796,0.5400747936786003,0.5691437279375575
6,7000,40352782.036862925,5530985,8529895,11222152,13677979,16396697,18183784,20098889,20815432,551765,1572792,804696,414554,462054,2100269,147279,407253,0.13896592126973312,0.219956090548032,0.28375967397106877,0.3424783640219402,0.411040304525098,0.47536181433300273,0.4999039306030341,0.5210954142274821
7,8000,46560899.98757672,4755083,8475468,10966695,14049196,17743213,20223019,23258085,24323898,732552,2255815,544451,482087,438198,2777339,316813,475700,0.10375855139463071,0.19129786123594045,0.23832119255792053,0.3048949200099359,0.3846958706968031,0.46188611761702386,0.5029418140798885,0.5278028088531034
8,9000,52769016.9255403,4338999,7733531,9481572,11424857,14837867,17186748,20682656,22293923,717957,2311874,742548,659268,1006574,2996600,465778,384122,0.08336043504602968,0.1532693004717367,0.18224515704823097,0.21924605732269015,0.286653143889366,0.3453066791132814,0.3954373844695192,0.42557922530318143
9,10000,58977132.71607408,4789982,8462405,10458096,11944022,14708398,17152662,19900759,21700306,736388,2489124,1034695,1143693,1154817,3214738,635516,624612,0.08224451839260213,0.1498088743495035,0.18049112899333145,0.20652449618486568,0.2543723442731506,0.30760267896198457,0.34110743102731006,0.3718829235430497
10,11000,65185247.2238006,5287531,9480554,11540609,13314209,15809594,17708941,21054878,22925366,574538,1744194,915444,1349057,1431533,2766363,895753,784961,0.08183675838760544,0.14943878637316296,0.1795650277598212,0.2085683521106488,0.24797918352650183,0.283711271359886,0.3275010676970807,0.35598236194682326
11,12000,71393360.31407452,5712521,9519313,12227744,14298569,16933777,19388155,23112441,25397051,823330,1898985,1047093,1350576,1088000,2655967,842161,990558,0.08094825770339356,0.13697961823497504,0.1738222149784703,0.20414049983913649,0.24086039705012374,0.2820612488374668,0.327598130502499,0.3607392059012226
12,13000,77601471.85151684,5787367,9454081,11816610,14040389,17163792,19280611,22786758,24547079,1524626,2231999,1547475,1923455,1505196,2686464,1406720,1458246,0.07607264648294576,0.12543647503844432,0.15537132155026678,0.1855279721130613,0.22555363988496516,0.2573664683879442,0.2990594161183868,0.32238033949163186
13,14000,83809581.70151204,6510064,10699806,13389888,15174878,18039909,19841541,23005919,25170012,1606308,3812656,2194556,2983893,2425532,4619613,2381365,2302253,0.07919470486830811,0.13375271494711655,0.1640615546574769,0.18774820535140233,0.22166393864847003,0.2505562424805094,0.28253006060947916,0.3088067343266161
14,15000,90017689.72858131,5078049,9312923,12054466,13725830,15829167,17868088,21433455,23185735,1380655,3983983,2335777,2654917,2269067,6012337,2110005,2031744,0.05729037546833193,0.10824737598927779,0.1374795054632819,0.1571130307716241,0.18039219884922655,0.21270177934650472,0.2438177625332381,0.26351634693480774
15,16000,96225795.79822385,5738204,9406432,12246657,13716549,15357698,16823079,19931366,21740839,1146398,3230200,1782851,2078803,2024078,4984620,1224665,1350505,0.060351707445366186,0.10114922023199356,0.12967254490173752,0.14569290629810505,0.1630299145170107,0.18438033982818847,0.20980135533684235,0.2291517508624807
16,17000,102433899.77491736,5278165,8484612,11225698,13198526,15560817,17569531,21020733,22638846,2847989,4988294,3013461,3543611,3614543,5938193,2533165,2935186,0.053001121935106185,0.08707023710846437,0.11291137052225639,0.13346635107963895,0.15746729697343764,0.18207577919484125,0.21041620011465414,0.22752903169394564
17,18000,108642001.52416825,5027235,8922950,11640530,13578267,16337307,18082467,21399780,22786737,2311513,4477324,3058450,2771436,2412372,5703539,2119727,2307699,0.047279336997096,0.08566195578083272,0.11024946435274498,0.12825346622806447,0.15379237481274569,0.17566288204231276,0.20089488415068268,0.21429337907982143
18,19000,114850100.91038203,3858016,8338867,12253107,14727399,17847874,19709450,23014256,24579740,1752621,3749175,3211110,2222234,1275117,4890177,1892502,1460607,0.03411230739232276,0.07505668320646065,0.10975651875818329,0.1307615903950182,0.15714617238319947,0.1792421211209942,0.20374243275354129,0.21677264050077447
