,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292266734,221387,1826979,1875736,2230153,2455598,2514320,2586505,2771017,0,0,0,0,0,0,0,0,0.07132173834347913,0.5885770989129044,0.6042845884963624,0.7184630928280569,0.7910921509969903,0.8100099515860302,0.8332649741588282,0.8927071120677028
1,2000,9312181.820186388,261455,2542260,2703522,3646287,4620512,5382593,5995869,6401328,81443,25532,80561,23823,0,15110,0,2647,0.028324384980781058,0.27375426544822334,0.2928545325527588,0.39256526051464824,0.496179315354854,0.5789557297291148,0.643873703904977,0.6876098670493869
2,3000,15520302.80860281,600329,2136684,2191345,3060468,3935687,5143639,6558892,7559302,17591,12626,10809,7664,10311,12847,11193,9428,0.03872412823070501,0.13778234008685844,0.14129055577458655,0.19728867781687556,0.2537517136415908,0.331688128825526,0.4229057683479565,0.4873549747050616
3,4000,21728423.45952809,292619,686172,687937,1031101,1352682,1835343,3192579,3942478,27989,6840,18089,9968,8217,20543,21439,23191,0.013484476568694628,0.03158940973518269,0.03168707517069516,0.04747579780345965,0.062277584815802416,0.08454731466859657,0.147076117640958,0.1816372161574959
4,5000,27936543.637849838,57903,273585,274467,546043,909440,1283696,2703833,3695682,15151,8823,11539,5308,3530,12505,4550,8093,0.0020737862452285967,0.00979618077492569,0.009828718152762081,0.01954954686143755,0.0325578905230508,0.045971000708328956,0.09680057338750479,0.13232678203034481
5,6000,34144663.208688125,22082,141997,141997,285059,424732,647923,1926331,2749343,30212,5294,16979,18528,10075,25500,21601,21088,0.0006472916672444155,0.004159332855038903,0.004160756971721241,0.008353099413596276,0.012442862864005338,0.018990002657363312,0.05645246573179865,0.080570191815657
6,7000,40352782.03686993,15851,46892,46892,129694,178959,316481,1007090,1383993,114257,9166,76763,24167,63047,65267,88456,98536,0.00039392596983800916,0.001162315246039064,0.001164266010428528,0.003215929926714044,0.004441801362958359,0.007855560207929579,0.025011967146247788,0.03438129231714747
7,8000,46560899.98757148,14114,102558,102558,144844,180531,247896,539694,743073,57475,4070,25258,7599,49534,53821,53945,54084,0.00030350452689822553,0.002202856165838143,0.002203859141502565,0.0031113583124571464,0.003881438357416562,0.005330285311323198,0.011604586886933962,0.015977722495527955
8,9000,52769016.92554638,0,25350,25350,37603,47528,61669,234082,345187,45878,8822,31761,13235,14998,27350,36174,40585,0.0,0.0004804758594196471,0.0004806848508725734,0.0007127749533324836,0.0009009360986710407,0.0011692652810358845,0.004439017261604896,0.006546506076406958
9,10000,58977132.71606889,0,0,0,3528,4410,5306,40881,66949,2703,938,2702,1764,1820,56,1764,2647,0.0,0.0,0.0,5.982158444799572e-05,7.477705156446615e-05,8.996715835110775e-05,0.0006931876966605762,0.001135219734213948
10,11000,65185247.223801136,882,882,882,7056,7057,17641,47151,53340,174647,34354,118182,27352,142887,149940,84695,163233,1.3567018254925902e-05,1.3537803648680981e-05,1.355524483801937e-05,0.00010829079079004007,0.00010849852274299253,0.00027125265879491194,0.0007242795704390557,0.0008203375523927562
11,12000,71393360.31408256,0,0,0,0,0,0,855,854,58014,2647,37426,12354,19413,25588,53602,51837,0.0,0.0,0.0,0.0,0.0,0.0,1.1984901830417638e-05,1.1970588239898481e-05
12,13000,77601471.85151052,0,882,882,882,882,883,1764,1765,61988,17649,51701,20309,33548,34429,54047,55811,0.0,1.1368349323132481e-05,1.1373341150018631e-05,1.1368739106013893e-05,1.1370679479425365e-05,1.1383700699926898e-05,2.2747370443025607e-05,2.2760783525718308e-05
13,14000,83809581.70150423,0,0,0,0,0,0,882,882,450440,231405,380733,355583,321391,414704,374996,388232,0.0,0.0,0.0,0.0,0.0,0.0,1.057115574535775e-05,1.0572833011644452e-05
14,15000,90017689.72858751,0,0,0,0,0,0,4410,4410,9813,1210,9813,1765,661,5844,5844,6727,0.0,0.0,0.0,0.0,0.0,0.0,4.899355150762558e-05,4.899403213025942e-05
15,16000,96225795.79823124,24699,189575,189575,229050,298745,334144,399425,458754,32093,3861,19743,20290,26467,26800,29447,30328,0.00025676316932935606,0.00197018486894409,0.001970510113304278,0.0023808408687168,0.003105479047848542,0.003473466611863985,0.0041521846202061275,0.0047689772761668
16,17000,102433899.77490616,882,15310,15310,23471,41114,52472,69233,95686,99671,882,44103,85558,81146,87322,82911,15879,8.618817091396103e-06,0.00014946352584909017,0.00014952661771228554,0.00022932467290598193,0.000401689241213947,0.000512689345758128,0.0006764272707932467,0.0009342691772017177
