,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226137,1398138,1745555,1828485,1926523,2072491,2320518,2681031,2767980,0,0,0,0,0,0,0,0,0.4504222587780333,0.5623456525187713,0.5890622698487218,0.6206460601513106,0.667670914828969,0.747574959764404,0.8637173432622026,0.8917287162300293
1,2000,9312181.820187058,4413426,5394012,5805509,6270421,6833624,7511982,8337606,8448147,0,0,0,0,0,0,0,0,0.4739411327249349,0.5792425560577862,0.6234316631806682,0.6733568052125987,0.7338370461352021,0.8066833471523759,0.8953439871551518,0.9072145672334282
2,3000,15520302.808602069,6502662,8213786,8632931,9445734,10571842,11884386,13668522,13935878,0,29911,29911,28782,29911,3386,7901,1129,0.41897777898997723,0.5302503707775003,0.5573087567227313,0.609735746199625,0.6824773789213829,0.7658986734666057,0.8811351181233853,0.8979780864542887
3,4000,21728423.459533054,5621283,7166445,7626667,8630047,10826376,13074942,17384930,17946919,0,0,2202,1128,2202,1075,1127,1127,0.25870643631688506,0.3298189126950128,0.35103513117572327,0.3971984003289045,0.49830919841101,0.6017734756890347,0.8001423477780274,0.8260079220360442
4,5000,27936543.637842707,5239483,7551768,8337908,9894333,12919674,16129639,21841070,22689187,0,0,1181,0,1181,1181,1129,2820,0.18754943589022308,0.2703186227293491,0.2984714430986134,0.3541716945469655,0.46248456365117424,0.5773914306789755,0.7818416258770327,0.8122507150912824
5,6000,34144663.20869787,2500152,3684996,4831538,7054176,12487091,17471497,24770380,25730855,22025,24848,35014,6777,7342,32754,32754,31625,0.07326959846154893,0.10800164002824422,0.141647249739759,0.20663775011947552,0.3657900080577619,0.5121817396120739,0.7261505021150806,0.7542821264580107
6,7000,40352782.03686322,684367,1223892,1597307,3432943,8442751,13924527,22227276,23381364,45261,55355,57046,48608,55353,54790,54789,56484,0.016978642754390986,0.03037146760959229,0.03963960351881292,0.08517586781111414,0.2095109093008577,0.34553897840027165,0.5515727788147476,0.5802360300842184
7,8000,46560899.987579346,485846,846499,1032918,1918164,5172145,9517922,16744896,17653690,952068,981203,984872,959164,977246,976681,977812,975853,0.010652454334553238,0.01857184351687714,0.022663624839828013,0.04206339865049118,0.11346490567450579,0.20879861959669455,0.3673488729978696,0.3872693167303335
8,9000,52769016.9255369,677124,958355,1224696,2099538,4585829,7752471,12498135,13033064,935575,949959,958705,937525,953337,949383,948826,954760,0.013063458162256436,0.018494257486833122,0.023638074245917767,0.040506995303478364,0.08850272748693422,0.1496048970770431,0.2411827277510269,0.25153432227601036
9,10000,58977132.71608108,1451001,1952646,2206900,3051609,4976521,7587236,11749612,12366866,861009,884468,890385,874934,880851,876905,881415,886497,0.02496727082295923,0.03361260857189553,0.037993175496534616,0.05252140310406874,0.08565988825791748,0.13058874806957066,0.20224574997801723,0.2128891489575576
10,11000,65185247.22378999,1026658,1583979,1959848,3038741,5352053,8090841,12393444,13222458,24852,21734,26548,13752,18000,19131,19130,20261,0.015755859007208235,0.024307759383079403,0.03007807128360296,0.04662684183576546,0.0821279588751169,0.12415717659488662,0.19018232983621072,0.20290740114010544
11,12000,71393360.31407994,502568,759391,924025,1581141,3262797,5932689,9360592,9722426,0,20850,23668,16342,22541,19723,23668,23105,0.0070394221225763675,0.01063982472604991,0.012947022328940414,0.022151962036891387,0.045716120837025614,0.08312157294006443,0.13115640121869104,0.1362251817261183
12,13000,77601471.85151833,407451,580390,781764,1560539,4010052,6430176,9768334,10037312,0,0,0,0,0,0,0,0,0.005250557628334828,0.00747911071983932,0.010074087273702969,0.020109657236732772,0.05167494770811541,0.08286152113588022,0.12587820523160445,0.12934435082887685
13,14000,83809581.7015003,343266,489979,592904,1020428,2036579,2998929,4673297,4919719,6204,21387,96670,54044,88771,86749,92386,88434,0.004096087883506092,0.005847828584272225,0.007082587237129562,0.012183409336308532,0.024325839453003578,0.03581972686820306,0.055822426454213515,0.058763157637790456
14,15000,90017689.72858763,176077,346158,398257,538133,870543,1235712,1933168,2050044,0,0,31849,0,26769,23706,30480,31608,0.0019560266491051906,0.0038454441681818443,0.004425774063735314,0.005978080548640218,0.009673675888099371,0.013731051219232357,0.02148269743923242,0.022781789812598572
15,16000,96225795.79822862,46268,119682,154020,201762,284023,448098,860547,937125,3950,6773,8464,1131,4514,3386,5078,5075,0.0004808471466762464,0.001243849672543165,0.0016007511029612186,0.0020967804920190712,0.002951769033752663,0.004656898543069425,0.008943468929472507,0.00973932633455446
16,17000,102433899.77491641,43078,89331,97810,138722,223286,321610,643632,699564,113592,120323,155817,105744,126001,126561,132197,136696,0.00042101124338643237,0.0008731099314074682,0.0009563143671283971,0.0013556581661174115,0.002182490332356867,0.003143567253836652,0.006291508181600019,0.006838544693159396
17,18000,108642001.52417803,14553,44811,48770,74179,138566,210615,498101,549012,24328,18128,65579,26609,46924,58797,60493,65005,0.0001339837204003503,0.0004125336221786065,0.00044917670767002655,0.000682951083415618,0.0012759878546902748,0.0019396646186943464,0.00458734647151349,0.0050564301608558996
18,19000,114850100.91040647,34022,97278,101420,135336,228153,386337,851428,895384,2257,20274,33770,18009,26428,26425,29820,31522,0.00029623542629621133,0.0008471492348055099,0.0008833238198417968,0.0011785555566260254,0.0019869857340134127,0.0033646109736240057,0.00741531019824245,0.007798250148163502
19,20000,121058197.79922295,54341,151561,162717,216110,335699,536007,1139426,1238411,73862,72822,113866,65430,84040,93592,92435,121681,0.0004491573197556788,0.0012527216533303807,0.0013453875645046596,0.00178613981588235,0.002774964555299068,0.0044311060781669015,0.00941940904296368,0.01024017420690222
20,21000,127266292.05491424,189158,417917,509936,695680,1677708,2265816,3430812,3665808,171582,188914,224945,168238,185550,180650,190774,199226,0.0014883231561586621,0.0032886813246918315,0.004013937287516148,0.005473569246775589,0.01320190591328958,0.01782904790315283,0.026998213759139772,0.028849395156536922
21,22000,133474383.543262,905217,1329608,1476269,1902063,3367178,4580578,6198396,6554543,57656,59875,94267,49806,65516,64777,70215,67955,0.006784883849789168,0.00996599256346135,0.011068133978734157,0.014255716862834129,0.025239536636558937,0.03433469387014954,0.04646328572551243,0.0491321375706752
22,23000,139682472.12843275,1304973,2075459,2384108,2811845,3808373,4884383,7140416,7516242,688309,798363,1083082,850466,877063,881696,886640,935079,0.009388689212756257,0.01494381908070364,0.017201432111575474,0.02025357897226362,0.027436776591870563,0.035189882479334744,0.05144546410725588,0.05417213131379358
23,24000,145890557.67618656,1660561,2125453,2398058,2851290,4018667,5239584,7460462,7774425,456871,599680,701185,517757,581675,601448,592155,614682,0.011417994262204877,0.014628950103371601,0.016516759841289134,0.019613641525357696,0.02765603124865666,0.03606315718829673,0.05134579501624982,0.053514907164138155
24,25000,152098640.05074453,910987,1268806,1504140,2024378,3591519,4917000,7368161,7724623,201216,283615,392272,196298,228824,245953,247192,237398,0.005997382810755669,0.00835757857021002,0.009914811219373978,0.013326838629806877,0.02364866892839298,0.03238006580915416,0.04852216488273306,0.05086632307023284
25,26000,158306719.11796188,919696,1523873,1736630,2149732,3218059,4424180,6577317,7011127,492308,558765,655559,410270,459177,456364,477188,512531,0.005827706059825885,0.009660175997341097,0.011015649987609183,0.013614821688573694,0.02038713404606006,0.02802768480751153,0.04167355090907613,0.044432099075529356
