,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226662,1566056,2195215,2379449,2513622,2593921,2682323,2760793,2898379,0,0,0,0,0,0,0,0,0.5045184959515959,0.7072075137098435,0.7665600915123909,0.8097850848442472,0.8356541027506421,0.8641335722454194,0.889413361970258,0.9337378827945428
1,2000,9312181.820184942,3599635,5142853,5514777,5880872,6065201,6299914,6611626,7076583,535467,545929,545929,529513,533453,526230,533453,539362,0.41013466584575076,0.5866649189215947,0.6290917126302609,0.6695996536365085,0.6908974094352107,0.7170439957941163,0.7531416148540641,0.806648619833482
2,3000,15520302.808605,3347107,5465126,6165082,6768494,7146001,7610598,8175765,8974855,2096355,2125929,2125929,2100975,2110825,2112795,2118039,2124606,0.24933849920471549,0.4080165357554093,0.460273999224909,0.5043839823079496,0.5329067322378757,0.5676370365501845,0.6100286576026583,0.6699804517996271
3,4000,21728423.45953178,3378874,5196001,5998441,6601196,6954558,7371777,8110207,9158430,3858423,3880150,3880150,3843557,3854537,3858477,3863269,3869652,0.1890808009575469,0.2911206516294775,0.3360796221326698,0.3690939496214062,0.38909042058344706,0.4125237317690963,0.4539679194138105,0.5128253094426527
4,5000,27936543.637843445,3071079,5727950,6490900,7173160,7687738,8197003,9008426,9991747,4916918,4969957,4969957,4942850,4928009,4960763,4963859,4968641,0.13341133554106352,0.24940362668267418,0.2826236263295891,0.3119620585095681,0.3341254939093575,0.35676711617357204,0.3921364064328906,0.4350308845151987
5,6000,34144663.20869374,4132314,7202826,8266428,9152171,9737504,10374572,11229090,12056462,6326109,6338194,6338194,6304857,6311407,6326369,6336224,6342133,0.14854524678024372,0.2590341817920566,0.2972843455225695,0.3287440627780657,0.34985141253284197,0.37294062397103234,0.40380151923411267,0.4336462152725219
6,7000,40352782.036865056,5468545,8452148,9725601,10748541,11525538,12531337,13671467,14738509,5119497,5131200,5131200,5098359,5109529,5120863,5127914,5132731,0.15520962618950201,0.2399707086170481,0.2761261827995288,0.3048848931312931,0.32702821127051146,0.3556813634502221,0.3881197506742096,0.41846926867235673
7,8000,46560899.98756957,2916057,5754605,6796804,7619054,8180976,8793351,9540138,10389605,9893584,9908687,9908687,9868969,9871559,9890135,9893587,9905844,0.0795274189413962,0.15700566298552418,0.18544048083277004,0.2076493058536813,0.22297963876679422,0.2397918615273152,0.2601809956250179,0.28344261712554236
8,9000,52769016.925555825,2478645,5296784,6544820,7568875,8157579,8908651,9749810,10808568,13331188,13335130,13335130,13328037,13329351,13331188,13343666,13349577,0.06284942826540411,0.1343206164281849,0.1659694367018767,0.1919038272955216,0.20683691934403814,0.22589100979205193,0.24729798901244773,0.274193850049928
9,10000,58977132.716067106,3638043,5868406,6705889,7400008,7903863,8390976,9134882,10010608,16021473,16053669,16053669,16027396,16024070,16028015,16035898,16032611,0.08469298397573508,0.136717904193816,0.15622898106169966,0.1722946068079557,0.18401162804726998,0.19537015999890883,0.21272984022003558,0.23310558832594167
10,11000,65185247.22379428,3045536,5980209,7114246,8053325,8737329,9399930,10395648,11576937,17849087,17858274,17858274,17824361,17825963,17836209,17835415,17841997,0.06433846737042927,0.12635942238945821,0.1503211702628643,0.17004168718350504,0.18449030941245065,0.19852420139077417,0.21954983812542359,0.24453194373591058
11,12000,71393360.31408572,2525164,5818145,7180564,8498887,9529616,10432746,11645737,12907968,24232281,24285096,24285096,24252819,24249401,24259485,24257425,24272112,0.05354338867401202,0.12350582397195924,0.1524268428173219,0.1802882776286769,0.202138643818843,0.22134284377169017,0.24706706088252547,0.27393094329679474
12,13000,77601471.85152161,2781304,5392794,6818277,8392916,9424614,10541940,12018418,13291701,32073577,32139019,32139019,32080379,32082234,32101988,32114033,32131534,0.06109010770365203,0.1186208323957493,0.1499760037644294,0.18437422026258435,0.2070468321710917,0.23169361732545132,0.2642139962909336,0.29231843340984914
13,14000,83809581.70149374,3472379,5492877,6387115,7390979,7957382,8575420,9379032,10219660,35542286,35713150,35713150,35691473,35695414,35697386,35702640,35708550,0.07194061630207593,0.11420549936201206,0.13279810526571006,0.1536007794040866,0.16538542346546622,0.17823796804463363,0.19496213370198043,0.21246238674091966
14,15000,90017689.72857857,2174327,3922784,4745172,5557855,6086587,6839127,7861473,8652599,39715819,39757778,39757778,39751148,39755172,39756466,39755807,39755089,0.043225569317935426,0.07804995800996292,0.09441266084241492,0.11056768197841098,0.12109594336018013,0.1360716371915805,0.15641023720605712,0.17214785694685036
15,16000,96225795.79822505,1114118,3141886,4038286,4848859,5392767,5974858,6663956,7296392,42728725,42763565,42763565,42750430,42756324,42758971,42759555,42759686,0.02082577575512723,0.0587683295868812,0.07553530669606985,0.09067462985285354,0.10085693422127683,0.11174888395838216,0.12463857380863828,0.13646760588222606
16,17000,102433899.77492905,982405,3612391,4601476,5686780,6469083,7072206,7887636,8584857,46835312,46839259,46839259,46817156,46823647,46825757,46821605,46824870,0.01766960347944294,0.06497732424649542,0.08276833766457362,0.1022494237169543,0.11632896232610684,0.12717932387392206,0.14183259352850655,0.15437883082560855
17,18000,108642001.52418077,1458739,4230784,5303586,6706580,7516894,8347073,9520351,10577170,49195041,49496956,49496956,49473818,49475142,49481566,49487758,49486393,0.024538495948949992,0.07153234835655495,0.08967084145419568,0.11334774198804268,0.12704568166116603,0.14109214927243535,0.16094113343040756,0.17880248828268613
18,19000,114850100.91039562,1531188,4009731,4958147,6123187,7062302,7805157,8848162,9668385,49506821,51848223,51848223,51520767,51369329,51564667,51552599,51626494,0.023432983500364504,0.06364462668403055,0.07869840018184412,0.0966880057299145,0.11125104165350384,0.1233325983203519,0.1397869067965039,0.15292365419300782
19,20000,121058197.79921412,1495890,3619375,4550677,5449311,5979694,6453642,7140189,7835427,56317890,57804445,57804445,57249225,57229972,57350196,57330707,57481862,0.023106006919821263,0.0572199251400775,0.07194319385989914,0.08540038745251693,0.09368416441356928,0.10130033618602066,0.11204252529723094,0.12324439434109152
20,21000,127266292.05493498,1968754,4214879,4797135,5682274,6137254,6675411,7322823,7891658,59289054,60823830,60823830,60703176,60763464,60766050,60704260,60745200,0.028961959272440215,0.06343652642665643,0.07219983804985589,0.0853667066203809,0.09228560919139096,0.10038175491880963,0.11001501567674989,0.11863392130548381
