,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270874,2426,1566729,2192410,2330878,2354279,2402190,2632960,2663262,6597,2426,3362,0,0,4852,0,0,0.0007832214645262394,0.505130096638888,0.7070696840171478,0.7509125234388189,0.7584513581444499,0.7750978676769763,0.8482308545163979,0.8579929061060748
1,2000,9312181.820186045,22642,1800977,3162546,3727888,3861279,4150406,4995921,5190543,196090,74623,110611,27925,28306,36014,33158,35585,0.0024837397918550047,0.19496243921765125,0.34369631683561364,0.40152788448233573,0.41591239206413916,0.44742679093927373,0.5384101923665319,0.5595309465972783
2,3000,15520302.808606494,0,978431,2053956,2551625,2714697,3069392,3978969,4121643,1474969,785991,795334,81143,63194,192590,168323,140570,0.0,0.06640493378377443,0.1394879694956975,0.16526967993281652,0.1756277343721913,0.2002511423802604,0.2591827926825011,0.2679918468865421
3,4000,21728423.459520005,0,161725,696412,1002639,1062947,1255165,2063167,2243055,3748098,2207240,2203183,96731,65905,548194,728651,165370,0.0,0.008284589934588759,0.035667268807460316,0.04635046480418796,0.04906848674988054,0.059261161565737124,0.09824711215214559,0.1040230690987644
4,5000,27936543.63785156,0,102925,311757,452237,489421,574794,797676,843807,6161071,3838321,3563756,94230,193543,1546877,1320874,1021737,0.0,0.004271061876502612,0.012791191743526024,0.01624279526056286,0.017641242430433118,0.021781025425139485,0.02997016460053977,0.03135103333097383
5,6000,34144663.20869604,0,27308,198133,275317,310043,331431,451007,499139,6934806,4584710,3958739,159907,227033,1940356,1662373,881984,0.0,0.000923817429858666,0.0065637546371007365,0.008101190966600247,0.009141057264092377,0.01029151156248145,0.013884704468260003,0.01500597702513114
6,7000,40352782.03686489,0,46438,221777,311513,339906,381590,452755,515278,3595667,2726213,2706452,115848,100524,501811,381864,433706,0.0,0.0012341810903487387,0.005891065604079508,0.007741966614916366,0.00844439583212197,0.009575425392947213,0.011327110365151665,0.012908064292974758
7,8000,46560899.987573504,0,29564,72059,98452,112114,129466,172327,202394,2246202,1369593,1471665,244943,89218,450253,335897,343739,0.0,0.0006541966137011565,0.0015981419959744116,0.002125660493777868,0.002412522964629927,0.0028077246462165275,0.003728004085717983,0.00437919585875078
8,9000,52769016.92554256,0,0,0,0,0,0,0,0,1830758,942898,980996,131267,74689,375408,508978,429630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10000,58977132.716068685,0,0,0,0,0,0,1618,1617,3895746,1937926,2502085,371611,439972,927869,492479,468689,0.0,0.0,0.0,0.0,0.0,0.0,2.7665377106532372e-05,2.7637036593333777e-05
10,11000,65185247.223811746,0,7241,14891,15699,15700,17316,21227,21227,4236087,1915258,2256858,181150,275716,632926,612402,332707,0.0,0.00011444604446486676,0.0002366340563245393,0.00024150785366571135,0.0002418751099259292,0.000268247518783454,0.0003287295135660582,0.0003273117741686568
11,12000,71393360.31407714,0,4073,19858,22282,22282,23090,25644,25644,5802354,2012843,2790436,143276,208485,1361710,986569,616127,0.0,5.87052411495006e-05,0.00028946287929485816,0.0003127294544912933,0.00031301593072529597,0.0003297080662307147,0.00036422622763200314,0.0003623198986346867
12,13000,77601471.85149771,0,0,0,0,0,0,0,0,7776086,3234333,3499547,393441,466855,1061475,1406065,929186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14000,83809581.70151848,0,0,0,0,0,0,0,0,6216938,3640848,3472319,278773,243455,1094728,784553,956795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15000,90017689.72857237,0,0,0,0,0,0,0,0,5021024,2072663,2165539,205949,326161,851216,825994,564287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16000,96225795.798239,0,1617,1617,4853,4853,4853,29118,29119,5755383,2306295,2370516,285333,444469,1433067,1137257,655537,0.0,1.7216871749283392e-05,1.7228652490047126e-05,5.0583454138696084e-05,5.0667496079091964e-05,5.119590987120266e-05,0.0003062198701126666,0.00030468683841773333
16,17000,102433899.77492118,0,0,859,859,858,858,1668,1667,7642944,2881547,3153654,525888,494087,2058516,1602247,734157,0.0,0.0,8.652275115710772e-06,8.429170435561314e-06,8.416731173466327e-06,8.547912523293102e-06,1.654242446787369e-05,1.6391388557288235e-05
17,18000,108642001.5241679,0,0,1565,1564,1565,2373,2372,2372,7386654,3338999,3810208,446485,286664,1142934,1416919,660507,0.0,0.0,1.4928677144488664e-05,1.4455312477302564e-05,1.4443220202705176e-05,2.2074610084096807e-05,2.212168966589851e-05,2.196672689568221e-05
18,19000,114850100.9103961,0,0,0,0,0,0,0,0,8821365,4668650,4578546,870538,1065458,3041768,2178604,1027649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20000,121058197.79919744,0,11307,54920,65420,71881,76727,87226,97726,9385466,4691986,4922368,371121,853600,3002515,2136089,1635069,0.0,9.71673806784349e-05,0.00047289454163248703,0.0005420630090233078,0.000597988773441742,0.0006499221230248275,0.000733471688996728,0.0008183171968666153
20,21000,127266292.05493689,0,0,0,0,0,0,0,0,10431603,4704617,4726213,716613,955191,2895931,2443461,2073330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22000,133474383.54328537,0,42853,85705,94092,96517,104603,133200,137909,9854328,4267310,3913321,471600,924557,2121637,2110596,1186506,0.0,0.00033166140850364445,0.0006615027564424814,0.0007074438405973514,0.0007281563659269028,0.0007963518293508207,0.0010139780718191427,0.0010424915915282968
22,23000,139682472.12838936,0,808,2426,4550,4550,8593,19615,25417,10115421,3857437,3659226,619146,571600,2147964,1936031,1432881,0.0,5.948829678094569e-06,1.783518677175335e-05,3.271890675043426e-05,3.2707723921108596e-05,6.247886524579256e-05,0.00014239932327338636,0.00018384864499451422
23,24000,145890557.67622066,0,0,5670,8098,8098,8097,35767,36650,8860494,3833821,3630131,491183,346523,1680312,2140484,1846534,0.0,0.0,3.9856481050100496e-05,5.5694875016022935e-05,5.5639518431757966e-05,5.61471895566928e-05,0.0002488137855188914,0.0002544361026902522
24,25000,152098640.0507586,0,0,0,4861,5671,11719,149213,158848,9684039,4242994,4400406,466274,754364,2796150,2339620,1641093,0.0,0.0,0.0,3.2057799575407215e-05,3.747085881264536e-05,7.849165808296883e-05,0.000996354008923312,0.0010557662484448904
25,26000,158306719.11790466,0,165304,325859,488353,529243,634179,858299,919094,13741954,6198565,6961525,588435,906204,3809051,2395374,1436959,0.0,0.0010867530472552232,0.0021530845554708616,0.0030963626235936247,0.0033623968740099596,0.004104780400413728,0.005505045186743334,0.005858962232805106
26,27000,164514794.74183702,0,58121,133651,152505,162036,177428,213497,216476,11119702,5424490,5856006,874479,1060112,3129487,2418012,1778712,0.0,0.00036533338781590463,0.0008423800601268383,0.0009319524917111235,0.0009913206356768761,0.0010994061509231434,0.0013170958509400239,0.0013302274231549217
27,28000,170722866.78809738,0,2428,106211,201987,224458,236612,284122,297192,17438001,9762567,10001832,952851,1103921,4785212,3596071,3161619,0.0,1.5084464946924413e-05,0.0006608406929437324,0.0011897683996926467,0.0013233073637918507,0.0014259090277137752,0.0017000385764604894,0.0017736320534914927
28,29000,176930935.12175608,0,30782,70478,95466,97896,118958,224674,237027,19821640,9226068,9464307,1455470,619310,4275379,3662939,2971054,0.0,0.00018354863832098468,0.00042084802680065423,0.0005440418689516486,0.0005552441589282365,0.000688990280255512,0.0012966849333336822,0.0013625382960229932
29,30000,183138999.6070814,0,138448,201312,222728,225403,234253,296545,335993,23200509,9398821,11016418,942555,569164,2954438,3106993,2305039,0.0,0.0007968680653489155,0.0011695850603702408,0.0012224607372571267,0.0012346124936273822,0.0013000725362410496,0.0016471793298799772,0.0018580193613634904
