,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292274985,2127893,2357700,2409736,2508006,2599234,2629400,2660174,2671974,0,0,0,0,0,0,0,0,0.6855191486802771,0.7595534629060245,0.7763173107220223,0.8079758418327552,0.8373657316889671,0.8470839697014467,0.8569980801766853,0.8607995523157578
1,2000,9312181.820186319,2441705,3485306,4078305,4989062,5741506,6436923,7087620,7313714,8309,6925,11771,5539,6232,5539,9001,11078,0.2624396363955352,0.3745523704879554,0.43850804860664183,0.5360753707210737,0.616971519397796,0.6916482263655986,0.7618491069872652,0.7863275307310238
2,3000,15520302.808604412,2169430,3321589,4081874,5069502,6487241,7512003,8670364,9026578,0,2076,1385,16615,16614,14538,13153,9000,0.13978013359360966,0.21404436479548514,0.26302568583337804,0.32698684742519585,0.41843209574740936,0.4844651710331284,0.559120412649209,0.58193551575776
3,4000,21728423.45952655,849956,1489229,1845174,2414629,3573647,4350798,5661725,6178652,14927,9066,23992,31531,32223,30146,25928,24607,0.03914413330825361,0.0685668994939256,0.08501369885872374,0.11128916292986456,0.16471303381744212,0.20051352039881848,0.2608789855783485,0.2846804391071957
4,5000,27936543.637846872,377013,765680,1002712,1432554,3093693,4167905,5537006,6234910,59597,43383,93586,72320,110056,112150,121214,134181,0.013524185589542001,0.027450456760396168,0.036013128096600476,0.051411947399611684,0.11117799128166865,0.14979320139903413,0.19906310915927755,0.22425827909720614
5,6000,34144663.20869468,254940,542309,676043,1100210,2914552,4764816,6673587,7556333,105478,123390,151825,63682,179532,137303,133247,193583,0.007489603480135014,0.015940291142937126,0.01988780683300172,0.032282227828561355,0.08581012044652159,0.14011131621976872,0.19621608694712228,0.2225653190871042
6,7000,40352782.03686173,393100,672102,790959,1137207,2299612,3591618,6100852,7086820,56137,51288,59492,38771,136466,91210,104034,120653,0.00975515454550641,0.016676850723828313,0.019630042602041247,0.028208728696337792,0.05718107043649166,0.08920709794221825,0.15157867753830623,0.17614827178315295
7,8000,46560899.987569034,326722,434377,511921,728322,1513404,2454045,4527526,5342489,39037,56335,83969,81794,113531,140457,77868,88679,0.007022977564060631,0.009340523884399559,0.011014518151745456,0.015669879713150932,0.032583201868873146,0.052865609245848225,0.09740169275555857,0.11496091399266403
8,9000,52769016.92556223,189062,249122,294957,498493,1143055,1944120,3948692,4689365,131974,182979,316091,302774,355200,413778,391979,334864,0.0035918051146483655,0.00473741718957117,0.005623270671660599,0.009501213965468219,0.02180827627233024,0.03713324664154653,0.07538975391490914,0.08943340815779409
9,10000,58977132.7160638,337435,431163,489580,675904,1376653,2090689,4360844,5532368,421168,514566,1680861,1237617,1872146,1878107,1815883,1842901,0.005762606792257846,0.007375026862813552,0.00854470954805144,0.01170609056237643,0.024107404259543302,0.036615143144409584,0.07629021446629586,0.09683105616075914
10,11000,65185247.22379464,296528,369170,394390,525840,1076325,1594669,3499670,4584336,81949,159559,1458059,1117500,1620580,1628928,1616340,1589477,0.004554730836841409,0.005677294775096449,0.0061887243261855,0.008207561882317973,0.016932755994938823,0.025090644321060323,0.05505317226359414,0.07208554883237739
11,12000,71393360.31407696,167975,206241,222421,332626,711376,1095459,2958081,4077165,113112,158331,847065,832158,910922,909959,892973,896940,0.0023565434180288485,0.0028952188549074428,0.0031528374241307274,0.004714006976800637,0.010092953890585279,0.015542084796938065,0.041958365233113463,0.057835064274687126
12,13000,77601471.85151684,463724,592422,671287,827307,1644547,2186874,4014217,5223858,139236,170912,1081246,1086192,1165310,1174996,1147881,1187450,0.005986452558494276,0.007651010158470327,0.008772674054864845,0.01081231097377473,0.021515300613794027,0.02861408923589137,0.05250527745382358,0.06836255798903883
13,14000,83809581.7015118,413624,544905,586631,705756,1144257,1523267,3243368,4718349,2104898,1626172,2946488,2377075,2950799,2933824,2693578,2870422,0.005062427039202241,0.00663035279235897,0.00725461979188452,0.008666760100937646,0.014151301340065883,0.018834655072066494,0.039984316928812796,0.05829500846562247
14,15000,90017689.72858131,420541,538992,564936,625003,1139484,1990164,4287765,5966228,1562246,1153681,2836423,2312909,2883389,2824869,2599238,2884196,0.004754269293932859,0.006065357704560138,0.006480015962130918,0.007126213586169123,0.013077329943226742,0.02282486084714582,0.04904874102909927,0.06847226875332985
15,16000,96225795.79821539,292828,464751,520665,612626,1109598,1781157,4024717,5747044,1448050,1191183,2861294,2592974,2942014,2885622,2793576,2909265,0.003089628240615043,0.0048903340195302755,0.005576691247443172,0.006542855253473483,0.01189486509455846,0.019082426435701096,0.04307632858014227,0.06158655868194693
16,17000,102433899.77494371,728024,1060017,1252777,1477640,2485606,3315985,5584173,7325806,1465886,1230898,2646625,2258638,2756398,2758171,2544173,2645216,0.007210441928893989,0.010474165601898617,0.012554476538471101,0.014750547927887662,0.024936479704438335,0.0332677276680576,0.05590337645613354,0.07341319399023341
17,18000,108642001.52415705,477483,643310,772793,971946,1715369,2581204,5056832,6814160,2172510,1357972,2546495,904165,2658345,2462589,2131905,2415845,0.004484693156364544,0.005996325854400785,0.007283937136621725,0.0090213989008594,0.01618522191305046,0.02430983501074416,0.04747748959980601,0.0641476659136244
18,19000,114850100.91040242,839514,993689,1116689,1313419,2392761,3466228,6960433,9420659,3025597,1259736,3053552,637525,3219393,3020640,1945688,2675484,0.00750742431795313,0.008748004294059624,0.009988582034808183,0.01149977565544404,0.021434612794182847,0.03099566046175557,0.06164890123049125,0.08398209202287352
19,20000,121058197.7992146,767957,973934,1022101,1181551,2363632,3846788,8659135,11653357,3210969,1781278,3216128,1563638,3214310,3118893,2123059,2797574,0.006516546955112772,0.008165318165823502,0.008673481395409199,0.009887906210837943,0.02005731518317875,0.03261667521738366,0.07280552313995518,0.09853962059074978
20,21000,127266292.05489612,857625,1142761,1221879,1500568,2731777,4497082,9845740,13146203,664177,347392,672832,194479,472954,715902,460657,672250,0.0067741759261140625,0.009003867820361841,0.009651991496797253,0.011808818682328406,0.02154511460860236,0.03553589995296907,0.07764434124506871,0.1038453531193774
21,22000,133474383.54330277,809761,1010474,1124754,1415125,2930656,4675808,9794496,12500811,1133926,1374210,1408880,1090954,1273950,791840,447606,686198,0.006118771349532627,0.00764930107884199,0.008516637349065239,0.010689593137765864,0.022168278283596188,0.03524056650658031,0.07362800318012441,0.0941409881372574
22,23000,139682472.12840247,859885,1134417,1255027,1761655,3208619,5285993,10469706,13398050,5268089,5043775,5645490,4765582,5353471,3651736,2480572,2751822,0.006397269250408826,0.008425638573419403,0.009363288997343514,0.01305733476604305,0.02388627156493886,0.038858813459705405,0.07630875367033377,0.09784551513803807
23,24000,145890557.67619157,1123997,1434050,1630366,2611529,4373018,6397670,13126575,16666335,8584418,7296408,8960888,6697220,8586712,6171228,4522138,4701948,0.008186065114427635,0.010347117849855019,0.011906594121313924,0.018761882167631153,0.031849202609466894,0.04578944098019227,0.09285365875962112,0.11804305629344561
24,25000,152098640.0507753,1918170,2489140,2862849,3587541,5213252,7254175,13743957,16771015,6926385,7137199,7711387,7077956,7358509,5740461,4687702,4866980,0.013213061954084154,0.017171048948996962,0.019827574384237708,0.024738133208252654,0.03601801354021971,0.049564534398062896,0.09323566610278222,0.11390902604926302
25,26000,158306719.11791444,2622221,3439809,4010730,4844205,6677654,9328583,16084811,19427748,5363596,5345226,5541121,5061429,5464675,4492137,3891359,3843881,0.017145072930009074,0.022488071539340505,0.02625414392646345,0.031610792059401184,0.043689902464588405,0.06064823550246164,0.10416587435160167,0.1257761946933098
26,27000,164514794.74181032,1823274,2669216,3252924,4360687,6414421,8590817,15107695,18342884,6528948,5970747,6500281,5137099,6416635,6124751,4008493,3551282,0.011540742652597866,0.016835800763374164,0.020586235548686074,0.027360710541732596,0.04057239508970486,0.054238364969478675,0.09412524515269292,0.11395678242573189
27,28000,170722866.7881174,1863261,2552393,3103384,4258646,6908274,9491908,15820128,18907940,7186464,6466882,7338413,6086547,7214625,6765006,4397106,3893769,0.01139355500202665,0.01553911720959494,0.018994365302494296,0.025866989771641914,0.04225031059261285,0.05789236303995442,0.09511532023084074,0.11333718308549613
28,29000,176930935.12178516,951615,1300459,1571212,2142583,4048561,6422802,13364432,16819485,5870918,5407229,5970735,5429502,5799512,5930765,4535270,3970231,0.005563047496496527,0.007581803293573011,0.009190513341004116,0.012493090938071211,0.023657613114798057,0.03756020824672703,0.0775218564257923,0.09724454514337001
29,30000,183138999.60707712,1185140,1496559,1692519,2067669,3617681,5875084,12593528,16202394,5051901,4783351,5232321,4941815,5296956,5545553,4152382,4145027,0.00665483355767863,0.008390869656710254,0.009513521432987237,0.01160326412877503,0.02034210205092378,0.033081648631993366,0.07036016529261488,0.09051921561385237
