,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292264755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000,9312181.82018866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3000,15520302.808598556,0,10603,30168,34580,34580,80904,336394,438074,17647,5147,4412,14706,12500,12500,11030,31617,0.0,0.0006833962952614229,0.001944329228153731,0.002230162465002561,0.0022298452222275196,0.0052169866356013665,0.021689862842150697,0.02828348417764423
3,4000,21728423.45953155,10569,295475,407123,517603,574911,779548,1644073,2173636,11946,11946,11761,5881,3676,735,16173,18380,0.00048668113968737477,0.013606027982697234,0.01874703356276147,0.023827919819435456,0.026463414641340867,0.03587809174693989,0.07572098539782005,0.10012121827631301
4,5000,27936543.63784249,36495,1445649,1815976,2294485,2549942,2970873,4272879,4551544,16194,13253,12702,9026,10292,11028,114203,148767,0.0013071111384126673,0.05177215747061031,0.0650331721384275,0.0821585731232666,0.09130985543883761,0.10638560943791861,0.1535772656808124,0.16379662393721445
5,6000,34144663.208703846,13240,1100207,1454996,1875206,2071097,2577892,3648133,3958070,1266,1266,1266,531,0,735,102755,117050,0.0003877762929994809,0.03222312628338972,0.042614271541470745,0.05492030046445234,0.06065653620130173,0.07550074450258636,0.10716593728042673,0.11631935439384783
6,7000,40352782.0368564,1472,498757,571648,689926,710052,870797,1817539,2354438,16172,13967,14702,9557,10292,7351,8086,21007,3.649290306386687e-05,0.01236419561517363,0.014171423118742697,0.017101409204883934,0.017600599252830088,0.021583534433044196,0.04505025885780896,0.05837675127981457
7,8000,46560899.98757261,22542,301846,453242,589722,612563,713040,1511332,2074809,36735,32324,31589,13958,9550,11020,6615,7348,0.0004845223983282956,0.0064873251242552644,0.009740999606055959,0.012669403720602046,0.013158866502551061,0.01531776236996443,0.03246386450577946,0.04456822114355241
8,9000,52769016.925545126,12773,317304,375107,425533,458722,636970,1147972,1402475,8086,8086,2941,735,4412,0,0,1470,0.00024209201346399537,0.006013995477975384,0.0071088666993029724,0.008064181445217746,0.008693744616249693,0.01207090897483912,0.02175465958783618,0.026578362681496045
9,10000,58977132.71607867,0,991791,1059796,1099470,1119991,1180473,1372371,1619147,6094,6094,5358,2939,2938,1686,0,736,0.0,0.01681827252145017,0.017971241413412074,0.018643239198711446,0.018991204634366068,0.020016346899126816,0.02326954425890319,0.027454152680687148
10,11000,65185247.223804414,6288,489642,591189,667397,732280,911730,1379726,1680374,12811,12811,12076,2939,2939,1988,1472,9559,9.648250647569456e-05,0.007513022811032448,0.009071048544958158,0.0102389286017378,0.011234336738823453,0.013987180310662393,0.021166708974170292,0.025782221036620666
11,12000,71393360.31407791,69409,652936,855059,1023235,1081481,1255636,1458167,1637562,19049,17579,17579,7343,6609,4315,4411,10107,0.000972464724662215,0.00914786483564863,0.011979679721297161,0.014333829487896218,0.01514960381432465,0.017588636946688354,0.020425668314359813,0.02294042263379227
12,13000,77601471.85151368,41319,619479,743595,906248,1017151,1096092,1249937,1454252,23608,19198,4499,19844,19843,16996,15434,14149,0.0005326132732796792,0.00798480077015574,0.009582783614805596,0.011681219189348556,0.013110719832226808,0.01412772320712424,0.01611033421235099,0.018743422849930545
13,14000,83809581.70148605,0,43100,54532,64101,68506,96475,207832,356627,13173,12438,10233,5875,6609,2936,0,1468,0.0,0.0005143373401071625,0.0006507449144295432,0.0007648945675915231,0.0008174650348505501,0.0011511616912057048,0.0024798119234177595,0.004255280118465146
14,15000,90017689.72859931,0,5153,16194,19874,23566,52296,203961,350125,14149,13414,12678,6609,2937,2938,2208,6618,0.0,5.725283558237232e-05,0.00017992331414645344,0.0002207950381122956,0.0002618015301453209,0.0005809714407442466,0.0022658435647209168,0.0038897992577590257
15,16000,96225795.79823446,0,6625,22648,26005,34103,78284,216391,324983,9549,8079,7344,3671,734,2204,5878,3673,0.0,6.885426323192035e-05,0.00023538104777960658,0.00027026008887799115,0.0003544087097757075,0.0008135634779062194,0.0022489210649062783,0.0033774249678678154
16,17000,102433899.77490878,0,5151,7533,10065,12273,13733,29008,48767,13952,12484,12483,733,3671,2202,5143,5874,0.0,5.029221633999218e-05,7.354907046985349e-05,9.825919003477928e-05,0.00011981814496353427,0.00013406982700001654,0.00028320171906163246,0.0004761099282257784
17,18000,108642001.52416372,0,0,0,0,0,0,34544,82696,24222,24222,24222,7339,9543,2936,0,8813,0.0,0.0,0.0,0.0,0.0,0.0,0.00031796174145702627,0.000761240658802955
18,19000,114850100.91041172,0,804,804,804,1539,13368,124114,198776,26425,24957,24957,10278,11742,8073,1469,7971,0.0,7.001950728032989e-06,7.001950728032989e-06,7.001055728091923e-06,1.3401445428183213e-05,0.00011640337812937593,0.0010806746056567377,0.001730863056572227
19,20000,121058197.79920745,0,13892,13892,19774,21978,29981,83833,194835,41218,38283,36815,15584,17051,16160,9547,21425,0.0,0.00011479102446113256,0.00011478963203592627,0.00016336395406003266,0.00018157461806321806,0.00024769080680659447,0.0006925562527669981,0.0016097174064878552
20,21000,127266292.0549419,0,0,0,0,0,8816,60163,112411,27625,26155,26156,15286,10152,5879,5144,11018,0.0,0.0,0.0,0.0,0.0,6.927527412781447e-05,0.00047275229651414186,0.0008833504217001416
21,22000,133474383.5432365,0,0,0,1473,1474,1474,18374,35149,46022,43368,43815,19533,6947,10719,2661,13655,0.0,0.0,0.0,1.1037440707505643e-05,1.1043892339405955e-05,1.1044204466021442e-05,0.00013766211786206604,0.00026336586337915116
22,23000,139682472.12843537,0,0,0,0,0,736,6882,12034,64591,52548,54306,20076,22324,29666,16439,17917,0.0,0.0,0.0,0.0,0.0,5.2702127540718244e-06,4.927468652074758e-05,8.616359382617548e-05
23,24000,145890557.6762011,0,19158,20631,25789,28736,39052,69009,80799,37839,37840,37839,5159,10365,733,2204,18356,0.0,0.00013135168343267713,0.00014145091148970386,0.00017677574475592167,0.00019698356214666553,0.00026768145130529123,0.00047302610702678385,0.0005539026563769365
24,25000,152098640.05072594,0,0,0,735,735,1472,16924,22819,43330,30845,34519,19098,23510,16159,13220,14683,0.0,0.0,0.0,4.8329971940265425e-06,4.833137408824405e-06,9.678958350955793e-06,0.00011127956903663243,0.00015004212437995002
25,26000,158306719.11791825,0,21372,37583,45689,66324,96526,147366,175150,43398,30183,34590,21074,15519,2936,7345,5448,0.0,0.00013502949030978008,0.00023745810591831588,0.00028864904310155865,0.0004189999188242446,0.0006097516944879273,0.0009309322972447515,0.001106434577329017
26,27000,164514794.74184275,0,28063,36906,56236,68083,186753,424800,523269,60326,46867,54950,21497,15314,7341,8810,13646,0.0,0.0001706290119010262,0.00022440736252628954,0.0003418741114197691,0.0004138797258992328,0.0011352251569893398,0.002582276873796619,0.003180944352073698
27,28000,170722866.7881012,3684,135980,218357,352839,449719,730187,1487512,1807306,54134,46297,41133,24241,11046,12507,10306,22027,2.158567617991269e-05,0.0007967115824323293,0.0012793226032674764,0.0020670289427988774,0.0026343752759700276,0.004277344391438013,0.008713547457391786,0.010587563612712698
28,29000,176930935.1217804,0,180845,257138,331417,351869,452835,995624,1143502,62161,56273,57747,14624,15457,13982,23052,42095,0.0,0.0010224471828276115,0.0014537986380556212,0.001873298159443699,0.001988910205797764,0.0025595907684906375,0.005627923314839674,0.006464523139010623
29,30000,183138999.6071,1474,163530,259703,378323,483417,614547,894751,1034306,83359,70830,63462,33252,27989,25023,27715,59381,8.052196562266596e-06,0.0008932738026002405,0.001418556533518699,0.0020661448640694135,0.0026400214732977714,0.003356090077813163,0.004886378258553851,0.00564948740809693
