,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292268983,285962,472634,472634,623973,861554,977079,1757684,1831341,0,0,0,0,0,0,0,0,0.09212513354522399,0.1522631341507382,0.1522631341507382,0.20101830296897505,0.2775570785853432,0.3147744573028371,0.5662531148554825,0.5899823549696954
1,2000,9312181.820186852,109391,414648,414648,651594,921122,1046123,2790925,2990210,0,0,0,0,0,0,0,0,0.011747085925971002,0.044527481100200425,0.044527481100200425,0.06997221624125521,0.0989158091826774,0.11233919399342325,0.29970688436837234,0.32110734710074645
2,3000,15520302.808601484,74351,357165,357165,549046,673938,808611,1414754,1533943,2682,32182,19667,31288,29500,22348,27712,31288,0.004791391729251878,0.023060576839098828,0.023041958046766377,0.03544744496564749,0.04350568581415203,0.05217533603538543,0.09131810279366114,0.099034252272014
3,4000,21728423.45952682,150479,467915,467915,654717,983200,1148564,1949433,2185012,20560,35757,21454,24136,9833,21455,35758,35757,0.0069320041689298565,0.021570192897817073,0.021555980021644158,0.030165330293421836,0.04526997282960051,0.05291222503692886,0.08986599658014192,0.10072583765009688
4,5000,27936543.637855455,27028,172534,172534,367831,776298,959560,1989491,2208654,0,0,0,0,0,0,0,0,0.0009674783090695468,0.0061759250620469575,0.0061759250620469575,0.01316666101462781,0.02778790426128722,0.034347842468949764,0.0712146436506246,0.07905967282964668
5,6000,34144663.2086824,4470,63371,63371,172997,332263,405022,1117401,1226149,2177,14692,1788,0,8940,11621,6786,14328,0.0001309219244515147,0.0018567551555355225,0.0018560534112219405,0.005066589731539945,0.009733586072536734,0.011865980111698768,0.03273200009389592,0.03592548952428924
6,7000,40352782.03686553,894,44308,44308,67494,96520,118031,329005,361505,67550,73723,43803,2682,67044,3576,13690,84815,2.2191755012901233e-05,0.0011000256972102294,0.0010992091851167222,0.0016727096076176928,0.0023958851122864973,0.002925237237435591,0.008155984267056018,0.00897748326030565
7,8000,46560899.98756766,9833,18787,18787,20574,21469,29374,49040,56767,894,57296,5363,12515,41121,50060,60872,73387,0.00021118983538416175,0.00040399019407232485,0.000403539540420658,0.0004419917040192692,0.00046150262248102156,0.000631551698654586,0.0010546230211541255,0.0012211236168986157
8,9000,52769016.92555967,5364,41176,41176,54586,54586,66207,121630,135040,8045,58548,20109,22790,10850,34411,56759,61229,0.00010166605739500127,0.0007811730921641161,0.0007806038384360186,0.001034879709538974,0.001034645500042095,0.0012554753911209273,0.002307432934703083,0.002562050226632919
9,10000,58977132.71606785,4470,18717,18717,18717,19610,21398,31232,39276,13409,172981,80011,90739,104468,127391,156890,179238,7.580932339898857e-05,0.0003182938526241116,0.00031779142094975714,0.00031784931660525247,0.0003330917683881894,0.0003636039747334637,0.0005309736675307597,0.0006679831002395898
