,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292274906,3561,301435,357836,405003,469249,550331,619178,673002,1789948,1747169,1619900,1492194,1439424,1315277,1278307,1290833,0.0027098133910282533,0.22215112357323172,0.24110328286113786,0.25126334440840387,0.28189275170387473,0.3076565499638811,0.33913557124461824,0.3711624448865951
1,2000,9312181.820187088,60214,2026282,2257267,2591771,3013226,3499380,4129277,4338899,2308150,2232419,2254825,2110890,2051704,1848214,1865195,1842077,0.008597048321004287,0.28620761054626037,0.31984595047585546,0.3599036207274081,0.4150175890107402,0.46883642645612134,0.5544896344930367,0.5808350892580022
2,3000,15520302.808601221,169196,3554027,4135621,4835821,5467518,6020127,6909738,7365369,2097471,1934210,1967397,1951122,1888127,1575617,1612312,1575618,0.01260508977633027,0.2615930164815289,0.305146443014115,0.3563826783806045,0.4010744929323953,0.4317147824360966,0.4968178434319039,0.5281846883664927
3,4000,21728423.459527265,124012,2745549,3275019,4009910,4890936,5871411,7626007,8342257,5002649,4909516,4874345,4908450,4888694,4455778,4489635,4614033,0.007414424982238165,0.16324181618852726,0.19431611214250039,0.2384016841434838,0.2904402954783159,0.33992540481177075,0.44237488138474007,0.48744108180353096
4,5000,27936543.63785191,111094,2376539,3293911,4228672,5359056,6679131,8567276,9333915,8541074,8384171,8418560,8428162,8419801,8423748,8413970,8455434,0.005727832430682194,0.1215473458908614,0.16876287331299955,0.21676180415679136,0.27458762455607394,0.342294929130682,0.4388394767475272,0.4791264549871507
5,6000,34144663.208687514,50037,1778958,2332021,3021507,3929729,5190355,6855992,7546125,12011940,11756851,11938914,11908406,11908203,11908467,11852801,11909866,0.002260770151427165,0.07946100241584488,0.10501879392061439,0.13588199541150853,0.17672457590460836,0.23341919415030918,0.30755582175311064,0.3393835765253393
6,7000,40352782.03686999,15912,1963363,2377137,3294161,4415847,5463230,6914800,7527052,15309030,15034633,15152598,15171334,15205836,14888266,14899673,14929593,0.0006353680541387723,0.07754765157361303,0.09433014443553463,0.1308169806270386,0.17560172092172013,0.21454285610964716,0.27166818756732614,0.29607033126662
7,8000,46560899.987562746,16137,1658575,2210351,3502853,4596568,5643621,7075878,7744842,18874350,18463258,18712820,18691732,18702479,18260331,18337252,18473997,0.0005828461836974634,0.05902897477069992,0.07937175564660712,0.12568918460584214,0.16499743478110676,0.19941722735257383,0.2507074210647083,0.2757456741823589
8,9000,52769016.92555973,15564,2989306,3409759,4135225,5022107,6210025,7840388,8523703,21762064,21524646,21705837,21634562,21627040,21643148,21727355,21706349,0.0005019519343730885,0.09567502597898593,0.1097685107632637,0.1328182879670458,0.16126487448130222,0.19951330563178252,0.2525762962950195,0.2744034421134291
9,10000,58977132.71606669,4022,1969107,2267537,2763711,3392581,4242834,5591355,6179160,25211560,25017828,25131666,25085006,25060722,25024959,25185633,25157855,0.00011911540887580473,0.05798431435695396,0.06699677150333352,0.08154433692382758,0.10002771308559741,0.12496501801274143,0.16546631688387314,0.18271117591208746
10,11000,65185247.22379798,3561,1103788,1264514,1636564,2250885,3156575,4395292,4906832,29125066,29050525,29031881,29043667,29044801,29009461,29089474,29106622,9.875158357911723e-05,0.030546464233591256,0.034976383448566205,0.045282026681345254,0.062281605104195524,0.08725656936582266,0.12176749817073262,0.13600385185307404
11,12000,71393360.31407565,1781,867641,1086948,1443019,2021413,3018011,4334752,4799564,32906434,32759223,32823372,32819221,32842194,32838512,32864813,32893864,4.627545430534012e-05,0.02245788466677864,0.028181185618957823,0.037408974656589274,0.05243454850448843,0.07827837825776586,0.112507537973444,0.12466563096944337
12,13000,77601471.8515234,10684,900362,1210958,1598054,2043397,2878685,3843999,4214206,36521404,36385379,36412657,36441388,36452047,36427897,36443730,36489645,0.000260077467218784,0.0218449139088331,0.029400166146203447,0.03882533392703119,0.049657972313660446,0.06991583826230455,0.09339674207266353,0.10250592889534517
13,14000,83809581.70150113,0,348087,555635,1115000,1652719,2289638,3217484,3537171,39919788,39769813,39870047,39854454,39825148,39821951,39823073,39906536,0.0,0.007903924345273303,0.012645445696561224,0.02536677876519788,0.03757508875108229,0.05205186011352649,0.07314706474738235,0.08056778165345047
14,15000,90017689.72858584,1781,455158,562722,853188,1276857,1742147,2405038,2694498,43489798,43247143,43386388,43345960,43360188,43373847,43283605,43322332,3.827811520859837e-05,0.009731722886228537,0.01206747354545844,0.018280616659412843,0.027366595996238325,0.037349988724928083,0.05146218255835254,0.05770376609301548
15,16000,96225795.79822683,1780,460895,618459,769621,1121950,2022204,2719211,2984947,46692599,46475118,46560843,46548406,46557663,46578142,46592015,46602443,3.5935496092667286e-05,0.009264094890711757,0.012452624338788873,0.015492379996733857,0.022588930503142528,0.040731109031223206,0.054785489968097366,0.06015206211754921
16,17000,102433899.77492213,5342,657721,981622,1249802,1515087,2140667,2832309,3144331,50279969,50121023,50175679,50127718,50046421,50066042,50039398,50128785,0.00010242756242198076,0.012572831787283772,0.018784068524412226,0.023893963535285414,0.02892078480259431,0.040877497972145814,0.054057370602875805,0.06011517255110891
17,18000,108642001.52416885,890,739934,849541,996141,1225733,1483648,1858632,2054380,54236291,53997458,54116425,54128976,53996352,53929103,53757622,53927679,1.6358576910867326e-05,0.013540857920658319,0.015580596376150831,0.018273449151310666,0.02243056877671257,0.0271169694901946,0.033864498717372474,0.03754738988301505
18,19000,114850100.91039717,2672,503378,627574,751619,991113,1232470,2128715,2458404,56888000,56713416,56860747,56811720,56758736,56761089,56524985,56713324,4.6099088163326046e-05,0.00865852603697353,0.010822227834607404,0.012950378494541233,0.017061279271518907,0.021216921401608555,0.03649739853531145,0.04228655475326737
19,20000,121058197.79921126,890,836017,929736,1141545,1469360,1769849,2177784,2488103,59751526,59678722,59671735,59668684,59673598,59634969,59578483,59644174,1.4517180167843498e-05,0.01362046496999805,0.015145619369551716,0.01859511387781453,0.023936948433422547,0.028814001390020164,0.035422805832988985,0.04051359683147735
20,21000,127266292.0549326,0,1039725,1239910,1398864,1596861,2154204,2566330,2744997,62144537,62073436,62061839,62073557,62029474,62036802,61992368,62084637,0.0,0.015948449921014508,0.019015725796448547,0.021457360223056932,0.024477910597285185,0.03302500139409109,0.03931631255752684,0.04211303008011413
21,22000,133474383.54326057,0,853921,929544,1034041,1116195,1230468,1421387,1582591,66571262,66488833,66502826,66502488,66541265,66517621,66464561,66548287,0.0,0.012747838796197116,0.013879683168478752,0.015439924338591551,0.01667627363393467,0.01837705338881936,0.02121162161088209,0.023646844530623774
