,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292266767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000,9312181.820187636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3000,15520302.808600403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4000,21728423.459532276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5000,27936543.637851767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6000,34144663.208686754,0,0,0,0,0,0,0,0,690,690,690,0,690,690,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7000,40352782.036863476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8000,46560899.98756918,0,0,0,0,0,0,0,0,12414,11724,11034,8276,2069,2069,10777,28209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9000,52769016.92556304,0,0,0,0,0,0,0,0,22075,20686,21376,2758,0,0,260673,349742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10000,58977132.716062516,0,0,0,0,0,0,0,0,2753,1382,1382,1382,0,2074,1370,8129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11000,65185247.22379923,0,2071,2071,2071,2071,2071,2071,2071,25532,24152,24153,22771,15179,4828,0,9673,0.0,3.1782768427802524e-05,3.178276891555935e-05,3.178209484991319e-05,3.1778392388481475e-05,3.1773345809408644e-05,3.177099248990613e-05,3.1775707765743975e-05
11,12000,71393360.31407845,0,14496,16567,161875,186379,196044,198115,210540,3453,2074,2074,1382,1382,2074,2761,15891,0.0,0.00020304999038995282,0.00023205913291876024,0.0022674116031335466,0.0026106434420412493,0.002746049414735645,0.0027750852619741364,0.0029496702814381403
12,13000,77601471.85150611,0,35028,35028,411737,635771,693149,715056,728169,4840,2765,3457,4149,4149,2074,2766,4148,0.0,0.0004513992748233554,0.0004514033002910014,0.005306072231227864,0.008193207917966981,0.008932401786498486,0.009214792851936738,0.009383944752958987
13,14000,83809581.70150763,0,72314,73695,936949,1546137,1629580,1671152,1704812,28419,23319,18917,10368,12440,10366,11877,44169,0.0,0.0008630770447134265,0.0008795132520135506,0.011180880566939536,0.018450951531347792,0.019446244053220683,0.019942694205679526,0.020352218714363435
14,15000,90017689.72857738,0,127116,129877,1294475,2559625,2915277,3198744,3323256,42605,11582,14233,19991,37871,36490,52238,99389,0.0,0.0014123041558838573,0.0014430223540376778,0.014383423335123118,0.02844665655218829,0.03239873450002611,0.03555524858198344,0.036958616578302614
15,16000,96225795.79824913,0,225485,256111,1429858,2302282,2572118,2736457,2789689,336234,59639,67104,102783,320349,304465,315522,317726,0.0,0.002344743800805663,0.0026634201777343994,0.014875293214134928,0.024005748128604006,0.026814869837553896,0.028531427256231593,0.02908711441975999
16,17000,102433899.77489913,0,440558,506091,845577,1045196,1100479,1195740,1210243,266903,66012,45002,111982,249321,218960,236144,248996,0.0,0.004303673833426756,0.004942830824418439,0.008263889285775592,0.01022851013852537,0.01076632244193959,0.011700256927693579,0.011843657480619815
17,18000,108642001.52417302,0,118843,178100,303768,371769,378677,426726,453567,445187,298169,214723,313344,322712,324394,126143,191193,0.0,0.0010969060003806351,0.0016425755808331386,0.0028041333377755153,0.003432158774610817,0.003495987482141271,0.00393238376218479,0.0041822371467051134
18,19000,114850100.91040754,0,1377,1378,184377,229774,238061,260141,264968,309353,199517,155560,156245,146878,125110,102553,247103,0.0,1.2010405468811582e-05,1.2014521258482655e-05,0.0016075577766260212,0.0020032043927786757,0.002075057911191377,0.0022670724101495625,0.0023120512101013476
19,20000,121058197.79920077,0,0,3444,3445,3444,8954,25487,33064,111123,77978,33623,25623,27005,22215,26313,66757,0.0,0.0,2.845703036523078e-05,2.8463411653560464e-05,2.8455474331429892e-05,7.397800053274013e-05,0.00021058087331519689,0.0002732755290919588
20,21000,127266292.05496049,0,0,0,0,0,0,0,0,41637,31273,32659,30199,29508,27430,28816,47834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22000,133474383.5432396,0,948,947,2584,2584,2585,2584,2585,48193,35749,38514,36830,35445,34752,36135,47501,0.0,7.104389244127113e-06,7.097042221418033e-06,1.936486342401857e-05,1.936466243069432e-05,1.937205588852634e-05,1.9364762564031075e-05,1.9373906897377147e-05
22,23000,139682472.12843657,0,22516,57712,66426,69877,74708,74708,74707,50981,28165,32315,33884,31119,27661,28349,52044,0.0,0.00016122667795195604,0.00041326126075835447,0.00047566538903284273,0.0005003675111957885,0.0005349475567389739,0.0005349501921349851,0.0005350338103331038
