,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226951,0,18609,42265,142002,212843,330403,787202,898223,1471147,1421361,1436606,1355702,1256697,797590,523314,397841,0.0,0.011059014738446908,0.025347016499989862,0.0812201785298404,0.11521445839499743,0.1432504692725004,0.30502878162658,0.3319106070694577
1,2000,9312181.82018619,66096,597512,904453,1391715,1737440,2190841,2869564,2996989,4881965,4820316,4799794,4576719,3855186,3425287,2071287,2777680,0.014919360086132795,0.13302089241286214,0.20043778062557585,0.29389207620159924,0.3183876362105623,0.37215562141310826,0.3962996385474652,0.4586407782061962
2,3000,15520302.808603285,61463,888504,1167614,1701876,2028248,2348687,3199052,3368490,9202190,8755369,9035734,8769266,8355891,7229944,4878924,6155482,0.009728063088127629,0.1313396442800442,0.18006039174893004,0.2520910562702293,0.28310042110706235,0.2833034195772878,0.30062382493269085,0.35969615103637986
3,4000,21728423.459529113,23752,229983,312474,651063,859030,1127840,1793145,1939816,15681986,15054539,15523693,14927750,14304753,12547257,8793446,11308755,0.003928263569908779,0.034460141075955464,0.05036060825496587,0.09573507739703774,0.11571499633275595,0.1228427787440252,0.1386276091790946,0.18616868737565037
4,5000,27936543.63784808,32783,151261,251740,408656,559128,792924,1293781,1379705,20164290,18869129,19758104,19152803,18250095,16382712,12500541,14295030,0.004217952929425589,0.016681822332092883,0.030780932689776278,0.046524142372686934,0.05772270322224252,0.06862866145656277,0.0838158058374344,0.1011401693850189
5,6000,34144663.20868935,9446,78096,154088,313920,428351,680124,1438363,1574148,26396409,25089886,25827433,24844501,24226665,21227931,12914391,13250973,0.0012191133312852206,0.008624839485289132,0.01852635987386979,0.03375424997498405,0.04318925966579763,0.052654494109776996,0.06775056795603836,0.07534083181463738
6,7000,40352782.03686829,2640,87745,133975,321678,445133,622292,1207047,1352078,31496775,29573635,30985491,29866614,29252746,25409143,15457797,13022035,0.0002981027441610493,0.008140254483947824,0.014302427401123119,0.03067641095097973,0.040101941878522736,0.04164260114050591,0.048485548322781506,0.04947094926370255
7,8000,46560899.987574965,11436,102788,198434,455543,732980,1037680,1754795,1841696,37289010,35090893,36762234,35233296,33712765,29108178,16987667,14565766,0.001233405488560057,0.008961459231136167,0.020251124005208558,0.04021530064960573,0.05704952514188576,0.05945662806860447,0.05933727302447006,0.05756175300641675
8,9000,52769016.92554945,3518,184881,286240,475896,673913,951755,1516937,1597047,42167065,40346459,41891666,38841585,37272542,32579026,17836594,16249838,0.0003318256887698233,0.014882683671754562,0.026315230790951168,0.03416968774602182,0.04348814832003515,0.04713994194002339,0.04342490079296841,0.04373173348874715
9,10000,58977132.71606675,5277,110527,188288,395037,518084,750316,1437331,1550848,48758868,46641293,48473571,42866122,42665110,35745718,18979771,18750547,0.0005164281946721031,0.008959827830451194,0.017926109741611334,0.024519690723440977,0.031760867981731424,0.03229747345008157,0.03593564521088477,0.038552812086673854
10,11000,65185247.22379893,880,109244,168994,346851,393139,605273,1333678,1486411,52164099,49521927,51708130,46754664,44522647,36674770,17813736,17119353,6.758236561593024e-05,0.006974511051240215,0.012539328492415083,0.018819317641132503,0.019026598576261825,0.021229844567272005,0.02815358779033367,0.030924442871678257
11,12000,71393360.31408268,0,107416,143280,280279,330727,546682,1231690,1436521,56089277,51476198,55539198,51527572,45218182,36030106,18319452,14864899,0.0,0.005393137752562781,0.009037374360216404,0.014108627131665986,0.012635138375430411,0.015459041047087549,0.023207071782071535,0.025412349223843566
12,13000,77601471.85150927,880,131309,164252,374244,463349,587592,1088476,1182140,63977484,58137046,63095100,59067379,50338978,35553600,21089997,20510690,6.459195424946838e-05,0.006746101888734534,0.01132274849158171,0.020192194082459473,0.01699584060518178,0.013974357657744548,0.019261150109072575,0.020706320033848837
13,14000,83809581.7015028,880,59256,82615,244272,326042,496690,1056207,1141465,68618537,62887539,67303499,59696423,53667349,37268605,23210857,23309235,5.792886646650079e-05,0.00283222823150742,0.0050051245649264985,0.01013023648306915,0.010816783322880542,0.010672100914116871,0.017429525212001813,0.018867081962881487
14,15000,90017689.72858334,2639,83265,119852,226047,259843,413467,927801,1062352,72133647,65784747,70459554,63429943,58073886,40162722,28110743,27027581,0.00014756171409623138,0.003436025122189842,0.006127986923868295,0.008501923924113006,0.008134378804972819,0.008293396201778044,0.01498702567367324,0.01686537809575063
15,16000,96225795.7982347,2638,116774,182429,339597,404433,624505,1554465,1696401,76192222,70105104,74919388,67248082,63153663,43147340,30346996,33920837,0.0001316789518719048,0.004470555408792498,0.008562165979715961,0.011719247500494257,0.01222881519215439,0.011765696469654453,0.023595830597412517,0.027227383385222053
16,17000,102433899.77490592,10555,204705,280939,452887,531284,695081,1376822,1503656,83801508,76977195,82852656,69431970,66101367,47098118,31490168,37449992,0.0005664865857004714,0.008041299995818351,0.014347352151349732,0.013723045988188461,0.01462281760788629,0.012561149001697315,0.019407239590503285,0.02313889779002563
17,18000,108642001.52418315,5276,271092,373183,522733,591782,759150,1340173,1431408,90506039,82550805,89602361,78754749,71941448,54270859,35552492,39311525,0.00029091370215199715,0.010390171249859427,0.01960031753362163,0.017490165734606506,0.016124606938422773,0.013962369829957976,0.01833605135298625,0.020646158396166667
18,19000,114850100.91040218,10990,156006,222752,376775,453107,735254,1613878,1788672,96631415,85878658,95419165,87714342,80418589,62942065,42725156,45501641,0.0006032268218491613,0.005384819820071376,0.01146378131383531,0.013884815281711826,0.013159660289652016,0.014164550576891656,0.022376141874421582,0.025792526644585246
19,20000,121058197.79921556,16268,230115,314638,497055,654035,936168,1960208,2134664,99350493,84789323,96867541,92069906,88618083,69832004,49783335,48200723,0.0007494113334629404,0.006344696417352795,0.01300659186774139,0.017146750261891965,0.020161303498710658,0.01827518171014954,0.027502094329132455,0.029299176314891765
20,21000,127266292.0549345,7035,230282,329515,510442,594186,825096,1887690,2084830,95169187,78680976,92264416,89121276,85491091,63642203,44980747,50031198,0.00021917864517561724,0.004739744817953319,0.00941420966929987,0.013381617123057113,0.014223414489822414,0.012968295692023082,0.022940724263778803,0.02699329916678986
21,22000,133474383.5432477,0,295375,457660,765975,902122,1531315,3457592,3881909,100290534,81591326,96449000,93848810,92502609,61077941,44255978,51318731,0.0,0.0056930916176978754,0.012360709227101665,0.0193303195766746,0.022018133460335394,0.021151798986327724,0.038754245594805746,0.04725066236868507
22,23000,139682472.12843466,1761,130604,200902,317080,371964,544147,1388068,1567913,110775421,89915087,108092037,103727980,102248264,64522792,48708038,55368343,6.091939271757048e-05,0.002624288972847385,0.00635958318342907,0.008818925848468233,0.009936473044222346,0.007239879135597019,0.015257781082104585,0.01859608841611372
23,24000,145890557.67617893,165,189359,232727,358020,418756,690284,1536940,1764267,119325907,96335577,116452488,111612803,109139886,65944922,54025999,63529578,6.211261800930019e-06,0.0038211900684087005,0.007905647434088416,0.010444674786379848,0.01139451283203157,0.00863441755339849,0.01673050001162786,0.02142115121671233
24,25000,152098640.05075455,10609,452208,584481,950814,1148954,1645243,3079816,3357431,124345002,99245874,120785829,116067361,111681370,66098572,59101747,70200892,0.00038225619216474465,0.008555994960902223,0.018665874457985326,0.026388571958843313,0.028427303441256303,0.0191307174202354,0.03311740746348527,0.04099540072724951
25,26000,158306719.11794114,9455,362123,533029,980330,1257164,1661190,2858880,3123615,130673947,106500873,124649480,123328950,116590235,68131663,59384425,77671152,0.0003421661771625565,0.006990002618152228,0.015836979323591238,0.028027230573065894,0.030135904944571478,0.01842183494543444,0.028900259799792657,0.038737434504940764
26,27000,164514794.74180508,2637,155438,240496,489427,660315,979683,1830156,2019284,137062831,112745148,130732965,129287560,120721572,79122559,66925360,87770719,9.605870184012587e-05,0.003002492962241532,0.0071190933658157,0.013893426594145473,0.015078017982213086,0.011472740952259447,0.01875362845211771,0.02631192024246411
27,28000,170722866.7880907,11446,124923,155779,227659,313179,493547,1089498,1227767,144387019,117692504,136103275,136754707,126572566,83272444,73961101,89197359,0.0004346167281987398,0.002355688202609366,0.004499735321939546,0.00670212932994438,0.007093473756909902,0.005643734864449539,0.011259591958935642,0.015059912330645464
