,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292283884,324587,630717,684848,858105,888295,1114033,1780622,2029551,167679,134884,129568,137512,137351,132226,2050,94393,0.11053978705257524,0.21242151571289544,0.23024027468431013,0.28926038546794247,0.2994209447559034,0.3748637252703557,0.5740218886493377,0.6743438977414032
1,2000,9312181.820185272,792048,2072729,2184733,2707433,2806083,3504505,5426184,6226700,505372,396464,409412,399940,406887,415461,32830,283794,0.0899358582928202,0.23248032764196747,0.24539924586689296,0.3037880989570946,0.31510276264403564,0.3939097416712037,0.5847589470846963,0.6896801648328197
2,3000,15520302.80860173,982178,2575091,2847655,3828472,4054959,5373059,8369153,9510060,2114216,1974144,1411428,1396152,1639850,1658549,61123,571017,0.07326358646057747,0.19009750560172325,0.20183430915864928,0.2710585614583234,0.29213448984078805,0.387617546393431,0.5413710884805979,0.6361548051029948
3,4000,21728423.459524494,950254,3053287,3221938,3950063,4119142,5189727,8172283,9225587,4391151,4246511,3565088,2694865,3251036,3283060,157327,1143628,0.05480989020726634,0.1746540607081297,0.17738691261744435,0.20753150328667877,0.22292881009413026,0.28135672205039797,0.3788533890863769,0.4481748200092686
4,5000,27936543.63785147,928698,2685184,2739274,3188433,3294013,4068228,6038099,6661215,6872154,6747417,5588040,4204721,5603963,5413171,198309,1520571,0.044088531211518435,0.12672461899412538,0.12257080135604762,0.13435263901368263,0.14749809049908816,0.1806225055817428,0.21768144508232104,0.2521661833664659
5,6000,34144663.208693564,369157,1032993,1081661,1353008,1424555,1874014,2949214,3200440,10925086,10826037,8995789,6554939,8969901,8517861,294663,2341074,0.015898523762171914,0.044299050499590896,0.0430103149359301,0.04904028723758192,0.05658663180969632,0.07312711062187326,0.08712596696653978,0.10063140920978675
6,7000,40352782.036866635,162231,515712,547691,652172,679251,926841,1533757,1702941,14101126,13914276,11605355,8891129,11988932,11684730,536916,2891845,0.006179838703210577,0.019506094606135307,0.01905182677036186,0.02072910788367628,0.023947771516106813,0.03233010037822235,0.0385212517688263,0.045459113804977046
7,8000,46560899.98756641,198077,482214,495196,579229,596780,753737,1251982,1403347,16685678,16061638,13539351,10718858,13791642,13619007,298585,3143035,0.006630143203034155,0.015810677654973536,0.014996146915653652,0.01616060268555386,0.018211581117474045,0.02288080409600294,0.027062675102542667,0.0323218794936572
8,9000,52769016.92554787,187963,400696,405478,452373,462622,552294,846164,943623,20435152,19996894,17210671,13367807,17227602,17274405,572503,3557486,0.005813193085107661,0.012226733096000718,0.011403173838541045,0.01148119564995084,0.013016420448344565,0.015559939101700017,0.016211120942041312,0.019174835292720467
9,10000,58977132.71607283,240253,774251,803145,961755,1013280,1279569,1807828,1958029,22856059,22276858,19160083,14368948,17512168,17548480,498664,3846746,0.006651324982432469,0.021096599575613478,0.02017088171341326,0.0215600568846611,0.024437015850328894,0.030886087673895637,0.030914420977359105,0.03551632986149818
10,11000,65185247.223804474,146753,360623,402433,538525,612875,862654,1402425,1572247,26492908,25380520,22132310,17262871,20934383,20604654,1013396,4299851,0.0037928179826799916,0.009059803323669962,0.009347399409894154,0.011237443600146408,0.013850011988473385,0.019350437883795882,0.021854208243251863,0.025823056061270992
11,12000,71393360.31408292,179715,423059,456204,549383,577233,688577,1026270,1105408,30218866,28887338,24809865,20409548,24207974,23410821,1269968,4608810,0.004364716628433055,0.00995291906812541,0.00979325396095991,0.010775635933530368,0.012233300288308107,0.014350574393171018,0.014635201836832609,0.016551852109527518
12,13000,77601471.85151011,69629,287598,312199,415932,434997,596333,893556,977897,30571614,29736195,25006111,21338192,24336606,24175128,724432,4337697,0.0014805275452850267,0.006008489220530363,0.005935865729325749,0.007392601375137152,0.008166677847507757,0.01116177819798808,0.0116231842657564,0.013347619638518307
13,14000,83809581.70150077,72130,225212,244356,326915,347429,494882,749523,814949,30645176,29679962,23726270,19400357,22940276,23682808,1252718,5136322,0.0013567348124793174,0.004160605621135666,0.004066952920537774,0.005075592844271307,0.005707786477864063,0.008230642849005012,0.00907886959841444,0.010358653030166157
14,15000,90017689.72858024,84928,443305,475689,586544,611183,725848,1064490,1137517,34940254,33299131,28125657,21190858,25911018,27433142,1329875,5495576,0.0015419744742388216,0.007815872087324753,0.007685787314274756,0.00852202528096958,0.009533843881143506,0.01159787881104284,0.012002663536786425,0.013458217616904687
15,16000,96225795.79823947,350037,962066,1074352,1541727,1660549,2088822,2998199,3201054,36700404,35596463,29732422,22270662,26478944,28530992,861448,5964514,0.005880465284234429,0.015867995829700703,0.01615727911866679,0.020846788056743417,0.023808228718388048,0.030856459917154286,0.03143941178461402,0.03546430912819627
16,17000,102433899.77490652,336389,894921,969615,1359678,1458516,1916672,2900019,3144102,36423204,35371300,28906468,21679600,25970552,28044481,1486043,6697282,0.005095977190530929,0.013344561693160926,0.013187119100913719,0.01683722109893775,0.01907470758792294,0.02576538480290618,0.02872789074132065,0.03284116436400889
17,18000,108642001.52417076,418440,1267048,1355202,1747001,1828164,2257742,3018835,3262551,42305018,41331130,33423496,25442355,30720374,34049492,1726224,7805932,0.006307793598235227,0.01882382401697197,0.018016869526402895,0.020997697381953055,0.023461573610393548,0.03026767720247309,0.028235636216717624,0.03235499970789674
18,19000,114850100.91039097,218202,680480,711903,885406,914519,1066842,1492178,1578077,39951713,38954384,32217941,24956510,29301604,32790249,2404456,8319259,0.0029133070295325795,0.00896598685276843,0.008615326051890825,0.009849489724830364,0.010690065086215674,0.013000779006583965,0.013270216033614562,0.014813334539563749
19,20000,121058197.79922223,168373,455480,495256,656091,707163,924192,1251060,1333457,42204319,41141841,35636584,26023308,29684982,33269050,3165307,9722005,0.002135253237557424,0.005699459012431268,0.005797783230413628,0.006903685597848396,0.007739281077223719,0.010527405985460403,0.010611835807221156,0.01197685107128358
20,21000,127266292.0549407,408023,901872,1055361,1404725,1483686,1820282,2489413,2646662,43965800,42970181,36555976,28064462,32045654,34777474,2539598,9805694,0.0048982063603044395,0.010698856551190093,0.011634409909461647,0.014160273043572126,0.01558155910637711,0.019681103492086,0.019958943182631313,0.022532338876412476
21,22000,133474383.54325867,263957,654998,767487,1014006,1060979,1378482,2025493,2181712,46493866,45716925,37580367,26927135,32421200,35271858,3535061,11531685,0.003034668078040859,0.007463730272876225,0.00800349205994286,0.009516960915122167,0.010499214005918162,0.014037133896243557,0.015587991074262253,0.01789128849913098
22,23000,139682472.12841392,241922,564163,617513,801522,824775,993282,1413326,1519898,44998338,43921189,36735357,27074614,31181199,32733557,6294961,13982618,0.0025550426396876266,0.005891347542236553,0.005998351670464279,0.007117815872902701,0.007601523707688283,0.009287443437900824,0.01059563963705247,0.012091485790009628
23,24000,145890557.6762004,270061,808420,972023,1303223,1341511,1477963,1835168,1913404,41237744,39898029,33981503,24667322,28147908,29821966,6600139,12501027,0.0025805421805053285,0.007627141366441642,0.008685829782160776,0.010750603980585383,0.011393585957928063,0.01273353091181732,0.013175120137057659,0.014344484085821835
24,25000,152098640.05074573,100659,365966,868230,1296057,1435065,1701879,2074809,2166461,38340660,37556102,31687617,21420812,24614462,26522889,5081993,12537494,0.0008848522095337622,0.0031950226197874736,0.007210552472709208,0.009917956391934416,0.011256808663964285,0.013552608570999214,0.014112748737113004,0.015523382125367864
25,26000,158306719.1179335,61662,228305,437182,869744,938099,1323546,1797616,1930099,33004015,32320989,27568065,19490416,21727063,23411200,5026228,12197925,0.0004921043040057971,0.001812149675890173,0.003343938355106804,0.006265431224321654,0.006868511948733948,0.009811637989567905,0.011727624219424767,0.013210012522874542
26,27000,164514794.74180746,45035,185872,370959,830573,899155,1024990,1288346,1344448,31777165,31388501,25788469,18370991,20175628,21641323,5163994,12647613,0.00033927831985247235,0.0013962080275478149,0.002674034636298346,0.005683258398470146,0.006229459545158661,0.0071741099834985575,0.008084967216998666,0.008852788236274271
27,28000,170722866.78810835,27732,97865,354151,774353,872478,1012183,1215397,1261881,30710128,30424381,25225214,17762620,19319531,20088338,5938573,11556504,0.00019806769184030384,0.0006975485120189017,0.002434066757872434,0.005062446068570287,0.005762607510980131,0.006719462052580241,0.0073756847334178945,0.007928063303676106
28,29000,176930935.12179613,15364,113866,818439,1252116,1531976,1940005,2596353,2727098,29123911,28516941,22865447,17658574,19325066,20626250,6977469,11109015,0.00010394634552238693,0.0007672187563832809,0.005312279927046249,0.007861476976802664,0.00972029790855127,0.012411688098077831,0.015276846417120668,0.016445943925850984
29,30000,183138999.6071186,50846,238932,883746,1578128,1764910,2184411,2928071,3058944,30551024,29707466,24986420,19319978,21219625,22192997,7280439,12506503,0.000333224160014532,0.0015572548509605363,0.00558793288225456,0.009633362380742139,0.010899930933419056,0.013572322173992186,0.016650147652132404,0.017927089275633232
