,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292276504,873,60396,95043,188801,270783,365928,579138,614525,0,0,0,0,0,0,0,0,0.000281244506560176,0.019457094178932863,0.03061892512829188,0.060823876383811905,0.08723508730800016,0.1178868726191891,0.18657431963373106,0.19797454798842173
1,2000,9312181.82018394,16582,809569,1025956,1431712,1753366,2075294,2609908,2683801,0,0,0,0,0,0,0,0,0.0017806782900285404,0.08693655425039895,0.1101735361068943,0.15374613894423722,0.18828734595791713,0.2228579767957116,0.2802681530920159,0.2882032430018627
2,3000,15520302.808603887,38781,839667,1149607,1715203,2349457,3347849,4888464,5068200,92852,89251,32521,71566,76803,77785,79530,82149,0.0025137659151291437,0.05441411320593371,0.07422670426318648,0.11102545284121544,0.15213242005488095,0.21679424569837485,0.31659451638819897,0.3282905496883588
3,4000,21728423.45953066,30942,423017,601900,1039732,1494492,2122727,3513665,3823018,68396,60938,19846,40805,30221,34448,35349,44077,0.0014285300449323839,0.019523123751027223,0.027726367659146153,0.047941271280668815,0.06887630451358258,0.0978486863304456,0.16197173925507377,0.17630312295253497
4,5000,27936543.637855053,6599,89778,125777,297202,428838,817933,2193693,2586016,40368,21750,5236,18547,21275,25669,28260,23022,0.00023655572310941328,0.003216144140798974,0.004503083122020952,0.010645534629695195,0.015362130508694649,0.0293051726473183,0.07860365146298193,0.09264384600232463
5,6000,34144663.20868555,16189,161532,206328,339641,395355,628671,1526978,1845919,532250,461554,393910,378915,398986,468819,513046,509558,0.000481637539663969,0.004795638045146594,0.006113285790223573,0.010058743490619122,0.011715722803697136,0.01866830705428479,0.045403050068185534,0.054880726209928156
6,7000,40352782.036862284,26427,152250,219006,429154,516978,818759,1641023,1816347,1735709,1608728,1306019,1547672,1595594,1683459,1664536,1686359,0.0006843346199432014,0.003929635237839196,0.0056088132015769485,0.01105921358275578,0.013338893407547986,0.021173347131510475,0.04241657785251955,0.046974787356678996
7,8000,46560899.987570286,2375,58436,75185,156651,191890,334424,803488,903557,1071499,824623,703722,889190,894516,993437,984503,989741,5.220996426505935e-05,0.001277672863838067,0.001639547030573471,0.003429935074527166,0.004201996813503552,0.0073390963216719545,0.017629476068920704,0.019827386884025678
8,9000,52769016.92555165,0,23304,42603,72156,86093,210100,628637,686917,488443,366456,276541,354753,376604,399420,474480,475353,0.0,0.00044471109022912076,0.0008116020296017744,0.0013766481601742834,0.0016432341095329215,0.004011869717055051,0.01202108359607333,0.0131357596395987
9,10000,58977132.7160736,3491,56189,81668,145378,153259,202047,394248,418111,776588,646596,470333,666605,654062,724671,713764,721975,5.99822564725218e-05,0.0009632861818759251,0.0013958719396091547,0.002493168998707686,0.002627759446104789,0.003468471443915806,0.006766653022094061,0.007177235740014758
