,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292262534,2892217,3018983,3032006,3047423,3093987,3096869,3096869,3101191,0,0,0,0,0,0,0,0,0.9317527411572951,0.9725915053252485,0.9767869775004316,0.9817536974977286,0.9967546931489014,0.9976831543950718,0.9976831543950718,0.9990755241056717
1,2000,9312181.820189606,7974934,8829899,8909804,9004605,9084876,9095681,9098563,9115572,106515,107236,106515,106515,106515,104342,108405,109137,0.8663070427999416,0.9592559448457589,0.9678607942294057,0.978158907538491,0.9868786452357051,0.9878192038111174,0.9885684081388406,0.9904952304483284
2,3000,15520302.808598349,10274107,13799581,14469367,14603462,14816092,14836351,14855165,14929323,245160,251441,245060,242999,242898,240028,276249,285603,0.6726030079546441,0.9037727351903235,0.9472430115385972,0.9558926223474656,0.9698042426460602,0.9709479172227616,0.9744891474747355,0.9799551804475992
3,4000,21728423.459532596,10983317,17049271,18774188,19799361,20632485,20828036,20922447,20999119,31800,60013,41263,65841,46497,60823,164756,175243,0.5062224092373409,0.7868261048423838,0.865682164109585,0.9139889501626485,0.9515983295353719,0.9612525410416071,0.9702638495638118,0.9742932853658011
4,5000,27936543.637840495,10601870,17992598,20161045,21997702,24666601,25464028,25983574,26116953,40838,63257,52369,36800,28158,34723,83947,97069,0.3800538383090254,0.6455140448192941,0.7230282144568215,0.7884553451654107,0.8838419147596622,0.9126296212178228,0.9328959284427635,0.9381266471351016
5,6000,34144663.20869054,8933173,18471800,22018455,23945274,26890958,28405427,29121131,29396713,1337121,372117,686744,1053497,1086121,1239884,1401130,1471404,0.2722902234850635,0.5469472122669488,0.6580939735870008,0.723615295060571,0.8134344772447594,0.8632614374904479,0.8893704541411827,0.8997178032420153
6,7000,40352782.03686716,6460084,18251939,22068243,24395147,27380331,28723655,30508994,31070948,1303075,596690,749218,1110284,1149704,1067555,1214807,1326511,0.16543232946411046,0.45909791593887966,0.557228712533462,0.6216512255942903,0.6984229905175081,0.7311566501332507,0.7795240804170671,0.7961546715710563
7,8000,46560899.98758039,4115727,15340165,19772424,23012743,27404496,30043615,32273563,33380317,1574575,1242793,1472406,2467370,2331492,2219415,2099054,2262618,0.09148840233418157,0.3384996863219383,0.43852482643235563,0.5219074772757338,0.6195989783018389,0.6775509437362082,0.725870963815021,0.7535352501787455
8,9000,52769016.92553654,2949208,13947366,18597554,21947442,25966040,29503128,33393529,34852911,1877022,1122671,1437191,3872730,3847940,3688734,3602346,3818555,0.057950331959184975,0.27005523333846787,0.3623006519771605,0.44885702739399097,0.5307740882222047,0.6011197621815151,0.6791903615067789,0.7120037202716955
9,10000,58977132.71609616,2365647,12187400,16791029,20444677,25428602,30635008,34463765,36239799,1747255,1532160,2034299,4966859,5031021,4997758,4813808,4931305,0.04133587374999145,0.21215781684208326,0.29487519155994585,0.3785331121902289,0.4713704322903544,0.567531731538656,0.6362933808189607,0.670538328885782
10,11000,65185247.223792255,1660369,10277822,13339928,16629002,21916470,28570218,34037815,36733597,1459067,1285958,1460005,2581969,2639007,2629348,2148629,2375311,0.026054739106739982,0.16084407393021763,0.20933506934587134,0.26562509938465456,0.35040427564602183,0.4567150077691429,0.5399689253500106,0.5848373554960784
11,12000,71393360.31407088,1915753,11546802,14534147,17261119,22466872,27895659,32890692,35152812,1905317,1844067,2330570,2330888,2835956,2395417,1532805,1861870,0.027569534392286914,0.16602328290895668,0.21044830268085485,0.24993485494557363,0.32770890649646206,0.4042969639402452,0.4708049034556609,0.5055667847937129
12,13000,77601471.85152125,2429005,11472738,14415329,16924090,22962792,27969922,31676954,33583276,1778329,1382046,1818770,1636223,1774733,1759291,1272455,1514842,0.03203514004631195,0.150522493076101,0.19021925383768337,0.2227872646488551,0.30283238271613094,0.36879110919499586,0.41500539777185236,0.4413820938781999
13,14000,83809581.70149493,2635181,11616547,14579174,17211430,23444730,27973738,32885958,35488016,1910664,1531897,2002454,2305642,2431424,2358030,1564786,1912610,0.03217601738773526,0.1411870915199554,0.17821398219966575,0.21117298210413146,0.28809610173282796,0.34344020973987877,0.3998545770526152,0.43332513110923987
14,15000,90017689.72858584,2377948,11081923,14194202,16715354,22067294,26017408,31403685,34089578,1768243,1354886,1910269,1586441,1943941,1789269,802704,1430454,0.026945755335027306,0.12498953940058033,0.16110109548803067,0.1890208974805156,0.25055472622159075,0.29488692855600906,0.3520001123526244,0.38481365537179507
15,16000,96225795.79825342,1950529,9960881,12339778,14743087,20621861,24791043,30852867,33682226,2712643,1101130,1647747,1589986,2780957,2509576,1768101,2292019,0.020858338550600455,0.10471396578807105,0.13047190290764257,0.15578761392151258,0.2206848582030562,0.2645331091391506,0.3266315895798305,0.3585741694634627
16,17000,102433899.77487624,3307379,10966308,13199772,15725769,21001415,25037585,31220263,33515110,3625395,809823,1204542,1423476,4410981,4608712,4303336,4739592,0.03347261460473955,0.10791053014231287,0.13039470258573552,0.1556846156298513,0.21425004746321397,0.25594211030413405,0.3181502459480736,0.34306103153145
17,18000,108642001.52417588,2333907,9364123,11903194,14158945,19406448,24426918,29172873,31592845,4533602,991498,1572187,1657086,3430823,3619034,3488206,4273601,0.022418047061207813,0.08698633720646767,0.1111722669260094,0.13234524634269995,0.18445233930670876,0.23258643871757878,0.2774305278718434,0.3027050797111894
18,19000,114850100.91042829,2030277,9007020,11405601,14461419,19823056,24601971,28745642,31035959,3557060,1331232,2507410,1473041,1825079,2232990,2127309,2834349,0.018242623109148603,0.07934381382100417,0.10152508282976572,0.12755154359642956,0.17538643801997814,0.21845677624928195,0.2550117994135724,0.27706780939896236
19,20000,121058197.79919386,1997495,8384500,10465752,13331426,18355935,23658638,28450270,30790398,3241674,1698382,1855342,2801761,1967989,2494925,2047966,2637568,0.016954285660341878,0.07024558427692068,0.08779782942138856,0.1127331954254424,0.15413471170372367,0.19954440731464745,0.23905734464919104,0.26000873371650995
20,21000,127266292.05493546,1917083,7924172,10023479,12166964,16636240,22942994,28517572,31851273,2372946,2174213,2267581,2617072,1420970,1921447,2694856,3043984,0.015349760900446641,0.06334671275644894,0.08018865887020867,0.0976096279995797,0.13219593488534884,0.18303899127199583,0.22892544955027955,0.2564054194349235
21,22000,133474383.5432725,2192983,7460592,9692095,11688937,15969322,22807990,28558956,31400892,6160657,5381574,5579486,4864906,5373594,5364349,5855870,6600629,0.01722503189202171,0.058243644015627996,0.075781717536626,0.09088705765146345,0.12466216685265283,0.17803437553750723,0.22378380069688178,0.24749714480381504
22,23000,139682472.12841606,1854666,7650529,10209470,12663359,18102987,24451149,30081800,32565098,1611695,876753,1210436,948624,1135636,1338119,1196805,1745414,0.013432719352879596,0.05511681397595812,0.07372947120191077,0.09127807792283271,0.13066330134901624,0.17674121456409275,0.21721959119498999,0.23608665025813935
23,24000,145890557.67616582,2300218,9424107,12258012,15161002,20163693,26486452,32839296,35769977,3233489,2392409,2724410,2184202,2492487,3305512,2980217,3926910,0.016124108124088387,0.06567406678721345,0.08562088314150192,0.10549987109939983,0.14061341902943333,0.1857589754549373,0.2297895018976527,0.2519657502855599
24,25000,152098640.05080223,3175339,9770362,12587855,15678808,20798524,27336372,32792214,35236323,4454460,3605595,3665331,2823156,3181795,3648134,2071963,3435974,0.02150669941007774,0.06579676507177408,0.08480478593717619,0.10503270580361411,0.13966535480190095,0.1841446871905242,0.21857588693306762,0.2370220038160674
