,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292269924,1989715,2154373,2388559,2471594,2550189,2615519,2682272,2750059,658,5358,12598,11940,13256,13256,13256,9307,0.6411398190042799,0.695249999041513,0.7726307209468838,0.7993200448385742,0.8250890321197041,0.8462259229416708,0.8678232116763828,0.8886196865651337
1,2000,9312181.820186114,5446481,5903606,6551765,6708833,6887943,7010880,7145939,7264658,88517,132529,140097,145363,148984,146609,146020,143121,0.5904899089655018,0.6431186577141494,0.7143157884432927,0.731860543073741,0.7516964203071301,0.7649145489913459,0.7795999176299623,0.7923012119198204
2,3000,15520302.808602314,9166042,10077867,10972964,11282082,11534736,11743760,12108828,12314921,70648,90681,111319,103421,112305,111399,112646,116357,0.5932845823128928,0.6531506167170859,0.7121147076469875,0.7318005119365203,0.7486200441669414,0.7621411714857887,0.7858967882280107,0.7994653547224729
3,4000,21728423.459528673,11017296,12459944,13982284,14467070,14983777,15459970,15983215,16318129,247951,324372,339472,325649,335524,341438,333535,323156,0.512898215845004,0.5821301646354,0.6537152616600549,0.6759436739080878,0.700408891667372,0.7228681213280587,0.7470576455789621,0.7623417474625338
4,5000,27936543.63784647,13667177,15571825,17508943,18154764,19235759,19941177,20868703,21446094,87300,134337,163073,185223,203900,234194,226949,200741,0.4907557698057777,0.5600931322768622,0.6304196990109273,0.6541945962471077,0.69361432870212,0.7198370268475967,0.7531219158109587,0.773227812442538
5,6000,34144663.208692655,12025905,14334323,16760773,17480719,18803810,19828280,21201138,22256822,249071,290206,321462,308960,346238,323849,325167,322252,0.354792591495596,0.4234102148392868,0.49554070581859755,0.5166353095185285,0.5563516608804551,0.58627447221255,0.6268910059798778,0.6580495359325477
6,7000,40352782.03685802,11688217,13754764,16384765,18078086,19720099,21563901,23313398,24377562,86608,144204,144844,137858,197220,191953,200551,200410,0.2902738409986775,0.34208531292480454,0.40750075233851407,0.44953674370815583,0.4910925909068163,0.5369386418843471,0.5806252205163719,0.6071263231378342
7,8000,46560899.98758355,10511418,12474794,14764783,16067764,18413231,20417128,22863724,24052874,49800,114576,160665,137148,195471,198757,207946,217114,0.2259980521382228,0.2685851737875935,0.31820491865937695,0.3461108443862415,0.3971327646926545,0.4403836122387182,0.49325279260787674,0.5190096900249854
8,9000,52769016.925551295,4509102,5987112,7706251,8466564,10365553,12841021,15990045,18033385,142261,182049,220896,213740,304351,309539,353761,317781,0.08568078956603033,0.11385162971320396,0.1466513143432474,0.16109826634523414,0.19757207669460786,0.2447798092505522,0.3050647128903019,0.34381239415590487
9,10000,58977132.71605173,3341268,4295217,5283564,5926777,6806213,8088758,10416278,11532635,227875,315433,376231,368569,448601,407045,405395,378539,0.05687336538189289,0.07322012523999011,0.09016182081295085,0.10112476102834052,0.11628880480070823,0.13810390790627403,0.1778379540401683,0.19680736803826918
10,11000,65185247.22381389,2547622,3283600,3810158,4270515,4737150,5380731,7166701,8138242,566524,619725,707736,679261,723366,692729,769191,717688,0.039425446262316845,0.0508568642660014,0.05909282054597619,0.06620339056878785,0.07348761640313367,0.08343186385321147,0.11125643853605789,0.12623778684944825
11,12000,71393360.31406718,1543724,1933037,2302031,2576333,2887847,3118520,3887439,4310153,1420474,1508233,1524014,1539226,1549965,1532190,1529003,1534445,0.022061745360497632,0.027660205744676362,0.03294765331927142,0.036881610878129224,0.04134746008572635,0.0446388170421482,0.05564266457822642,0.061697966259892434
12,13000,77601471.85151541,1432360,1861148,2218835,2523494,2846676,3032253,3670785,3995471,728170,804936,824768,787889,835898,804861,817561,791874,0.018632736795495975,0.024234791053576857,0.0288998470719866,0.03285218455280289,0.03708271634243511,0.03948420335713507,0.04780669490902277,0.05201786120171922
13,14000,83809581.70151633,1245518,1491985,1716933,1854731,2084694,2352064,3083806,3389849,358499,450286,550937,509125,560170,556378,736767,660732,0.0149251269088372,0.01789824383044614,0.020621678459398832,0.02226555619791984,0.025041546329173985,0.028251933804646617,0.037121722805230906,0.04076844132142193
14,15000,90017689.72857893,1063997,1396747,1667257,1847592,2084090,2309339,2789945,3069031,564545,749526,881393,837363,832572,938715,938331,877062,0.011894461656193392,0.015646642001585564,0.01870458007781967,0.020717484088426382,0.023368136445618703,0.025924624829107987,0.03131976969547845,0.03442909342465909
15,16000,96225795.79823518,2025537,2567813,2971899,3342824,3859484,4258018,4967885,5369889,628175,806808,989940,1032291,1190621,1120893,1164384,1063459,0.02118815283358384,0.026910922650213786,0.03120567327390019,0.03511609334150678,0.04061111065659524,0.0447718032900299,0.05225974352815397,0.05642872149498946
16,17000,102433899.7749083,1721265,2099681,2363087,2619992,3005076,3408810,4140649,4523104,414818,610588,808422,655760,811910,922826,959870,933203,0.016871990710500072,0.02062082801472395,0.023252899290018933,0.02574218791770367,0.029571119465936588,0.03358067128280733,0.040805011973850544,0.04456229507498458
17,18000,108642001.5241828,972696,1204092,1445442,1579915,1947273,2158108,2858348,3396638,220653,309871,512577,374827,403363,500889,504210,337042,0.00897144347713998,0.01111481879082229,0.013367702698507672,0.014592742508922745,0.017990553341678796,0.01995640649172532,0.02643246139681694,0.031361795571712335
18,19000,114850100.91038549,1269031,1491483,1707768,1828407,2058686,2212727,2559650,2802281,135677,224978,266916,227251,256541,270893,320829,299085,0.011062523410232724,0.013011833375882607,0.01490417639669931,0.01595150531878667,0.01796511079339829,0.01931176729490585,0.022349308236263146,0.024463170210487307
19,20000,121058197.79922843,1199515,1481553,1668608,1958694,2497357,2901736,3441343,3721289,261282,330502,368526,274463,368206,375541,419137,368609,0.009930013461549501,0.0122718568443801,0.01382560723817187,0.01621653779174671,0.02069232885651721,0.024044349676751165,0.028525943232658273,0.030833554385461544
20,21000,127266292.05492258,1848184,2236433,2562939,2911522,3094705,3299577,3777010,4158993,390756,463378,585418,619047,837436,891021,943425,957606,0.014566905941583158,0.017637078900500078,0.02023145971418571,0.022989224903687187,0.024477837548855255,0.026109356462357312,0.029899653863602018,0.0329272129249413
21,22000,133474383.54327488,3662237,4489230,4916635,5252058,5680622,5977701,6662335,7235463,195864,228661,297399,322444,372416,441336,474273,475151,0.027478073830276076,0.033691362951947745,0.03691805319711512,0.039444096856681994,0.04267872297344578,0.04493395521180922,0.05009270272623002,0.054402291363942624
22,23000,139682472.1284318,3678373,4378245,4711027,5036032,5420658,5691821,6147038,6468382,186093,166591,231280,157209,205269,216644,264157,238194,0.026368949667241102,0.03138169622402766,0.033782622637325586,0.03609405126413828,0.03886411455360638,0.040811581420206355,0.044090605989158344,0.04638685851306464
23,24000,145890557.67617273,2914489,3440551,3780208,4209318,4603787,4814300,5476165,5726209,269486,285161,363148,395341,436099,465601,509186,457473,0.020014198264390905,0.023629282145714733,0.025975917584266157,0.028930971726504506,0.03165105450806066,0.03310504682301757,0.037667583796071144,0.039373496152888536
24,25000,152098640.0507419,2130633,2576653,2933697,3279414,3850412,4294082,4839184,5210729,291669,286157,361206,383208,500301,491000,489381,490111,0.014035145983433328,0.01697260296532254,0.019334035917721887,0.021615559839049104,0.025398774314481228,0.028323651753716393,0.03191878932922151,0.03436962968129596
25,26000,158306719.11791134,919968,1185001,1391631,1539882,1863124,2142415,2814646,3213116,144303,97642,216186,231154,363803,347657,371833,378163,0.005816603100664298,0.007490094889541849,0.008802747214231079,0.009741429669103982,0.011796185899271961,0.013563102814580884,0.017821559689469975,0.020345376915882455
26,27000,164514794.74182487,835542,1092780,1287449,1453700,1630471,1851073,2319039,2473479,138874,156604,219439,177835,265723,287663,320633,348917,0.005083116774216185,0.006648771169041082,0.007836186203723911,0.008845849419897864,0.009926820180529592,0.011271420138482358,0.014123760402921048,0.015066949563598787
27,28000,170722866.7881217,949617,1162569,1269991,1385459,1520807,1614147,2012726,2169123,212049,187745,340290,207913,301466,329344,329047,289691,0.005569247818516728,0.006817182219181882,0.007453760965120807,0.008125146617472285,0.008923802955303484,0.009473053749860754,0.01181220071539419,0.012727117182259162
28,29000,176930935.12175083,839741,1085017,1298490,1528060,1694898,1856138,2360009,2675062,311421,353390,450579,421590,518149,493044,501013,474424,0.004754519930459855,0.006144705428155528,0.007357702741171905,0.008657105372783466,0.009607568914139084,0.010520064529218236,0.01337646682387245,0.0151598939761099
29,30000,183138999.60711098,2658835,3519234,3978348,4420214,4995539,5519902,6268313,6728777,288527,318694,404961,361983,414523,422675,440490,394160,0.014541034333080521,0.019249688858758347,0.02177124760293666,0.024183642353138347,0.02733918899514085,0.030210228953922245,0.03430960117561914,0.03682061290740912
