,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292259167,1808565,2756049,2889533,2916508,2963639,2968761,3023349,3089974,0,0,0,0,0,0,0,0,0.5826448694241567,0.8878850413071013,0.9308880673250848,0.9395782970667399,0.9547619566757836,0.9564120533110665,0.9739980500168116,0.9954618704630683
1,2000,9312181.820185494,5809419,7489557,7881889,8008680,8088470,8133195,8415177,8618272,17551,22647,23222,18152,18089,14616,17488,14625,0.6250295587193705,0.8062359574481307,0.8485222406573618,0.8617015605659161,0.8702807424553534,0.8747660578366022,0.9053743095576288,0.9269394279246855
2,3000,15520302.808603399,8907186,11333012,11937382,12181329,12365989,12422009,12969292,13458426,111679,84757,116920,65159,72222,66902,71674,57911,0.5780649920875267,0.7342151771324635,0.7749844399979788,0.788173125456072,0.8004870736507987,0.8038365893599468,0.8395108822070573,0.8703974240590401
3,4000,21728423.459528755,10106962,12597039,13918112,14337589,14672834,14750056,15862572,16576030,72272,61843,76292,48926,45629,41211,39390,41664,0.4667016676018358,0.581404113285442,0.6428056298297996,0.6613432357814283,0.6767040119015588,0.6801268732680874,0.7313637110477605,0.7643387215565212
4,5000,27936543.63784688,9096290,11945784,13689401,14332188,14821633,15014367,16713774,17739363,93523,80410,115914,47396,63717,85527,86019,92377,0.32669910776977473,0.42883855151275546,0.4920593522936335,0.5138983875057748,0.5317592360680984,0.5390958324873824,0.6001242065396202,0.6370944130138901
5,6000,34144663.2086962,6544977,7955849,9037265,9632751,10376640,10748069,12580730,13681824,90858,82869,130699,98475,87605,93349,76119,91650,0.19219517348764983,0.23357104887824198,0.26569278854269746,0.28293184954959416,0.3046839787633333,0.3156432945326704,0.36927700587771795,0.40178012783039235
6,7000,40352782.03686109,5254913,6757071,8066307,8941241,9618163,9907077,12276088,13481584,64112,59468,120435,90480,89324,97531,107800,111177,0.13043153311320904,0.167697077331949,0.20049307569875569,0.22207475846299304,0.23888069899993677,0.24610645182483765,0.30503400371147177,0.3350160608069917
7,8000,46560899.98757258,2712552,3733687,4687361,5362915,5793684,6047912,8215793,9371894,80961,83236,122531,86515,87496,87305,87824,95420,0.058359629102036036,0.08033293155607672,0.1009372443992249,0.11539507196134091,0.12466665883887663,0.13013652164454376,0.1767860815194801,0.20169583963205714
8,9000,52769016.92555225,2383669,3360120,4090768,4753466,5008160,5351080,7765206,8755645,76453,67300,108094,50759,63537,80776,72845,83046,0.04523729388776403,0.0637573156249651,0.07768128192100235,0.09016735732642678,0.0950216183796096,0.10156118150843187,0.14735806636904245,0.16618551098492876
9,10000,58977132.716062576,2468881,3478463,4178815,4817177,5148436,5320725,7482377,8414823,61890,53325,80255,27528,24055,17180,28076,40115,0.04190564081860071,0.05903323520370144,0.07095138421676193,0.08171686685945524,0.08733108091144219,0.0902430337015936,0.1269295458965535,0.14277653206919294
10,11000,65185247.22381085,2044846,2967663,3561305,4062235,4284533,4368408,6099900,6902091,43635,27537,55686,23747,43425,46524,48013,47323,0.03139077972117735,0.04554584545415033,0.05468031617412486,0.062341029381573494,0.06577238483258001,0.06706315051633019,0.09364689908448995,0.10596117518704985
11,12000,71393360.31406921,1951128,2972684,3687041,4221982,4484933,4610796,6629326,7453939,39600,35452,50201,23180,33378,22649,34347,49402,0.027344431343379185,0.041658788356242975,0.05168037181769294,0.05915610667397628,0.06284941299818342,0.06460347550285771,0.09290103228897863,0.10447891000365288
12,13000,77601471.85151172,2022840,2958682,3666179,4445936,4801529,4900499,7146786,8026870,268179,268676,354631,219708,279355,265177,314449,325650,0.026157427485779913,0.03825908487365472,0.04746056873765671,0.0574545704144368,0.062097743770010684,0.06336609491583638,0.09247071159321038,0.10387298132427399
13,14000,83809581.70151311,2421921,3552423,4261239,5073687,5343345,5528754,7993862,9027169,116403,112670,145043,96144,75066,92776,112854,105947,0.028938093134658456,0.042443895811460124,0.0509324388341238,0.06060779654146605,0.06381293251933676,0.06604114853249916,0.09550985109607198,0.10784679819688661
14,15000,90017689.7285794,1776956,2660018,3405948,4123058,4449103,4678480,6773815,7673405,72495,49525,110996,84672,82725,97808,101868,104429,0.019755985913001595,0.029566213871594242,0.037883141496474836,0.045845876232503566,0.04947022566170163,0.05202942786470581,0.07533507306920345,0.08534230588259567
15,16000,96225795.79824734,1989845,2913146,3561422,4214727,4435785,4552364,6466819,7299009,87561,115207,127823,86575,98595,106629,90547,103155,0.020697748447075462,0.03031035431605975,0.037060323920432944,0.04383982900012059,0.04614495130582099,0.04736166730986487,0.0672679280580163,0.07593433700307875
16,17000,102433899.77490544,1956107,2826559,3497188,4213265,4505773,4659799,6649544,7494043,104104,99480,123611,64391,56975,97137,55279,66708,0.01911571292786358,0.02762080447827127,0.034182173092035945,0.041157421290985305,0.04401160720452166,0.045533969158761144,0.06495051359033256,0.0732074688194886
