,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227058,360456,391732,484173,634777,823949,1082088,1368818,1415694,0,0,0,0,0,0,0,0,0.11612402045438047,0.126199854574859,0.15598052288062553,0.20449890508680746,0.26544230233195265,0.34860401559535603,0.44097656698827087,0.45607807614006624
1,2000,9312181.820187654,2077245,2290105,2494820,3074533,3554847,4155802,5018707,5133861,572,3785,2642,2286,2286,2286,2286,3429,0.22308119005335833,0.24602571680585403,0.26798531916583085,0.3302435450816923,0.38183531466502996,0.44638544622470694,0.5390723050968406,0.5515090043927611
2,3000,15520302.808601305,2710480,3303308,3770395,4874559,5584043,6263665,7554120,7726985,24582,96273,60958,100083,129801,99121,77410,110557,0.1749179682235548,0.2141663392116819,0.24389099581388593,0.31611475455628724,0.36282397217738804,0.4061728262944403,0.489164827705891,0.5014349422744537
3,4000,21728423.45953085,2943912,3965828,4978279,6563064,7489931,8350051,9557728,9898365,103275,149128,119630,124355,138651,140189,132186,161487,0.1361337243769316,0.1837793086172527,0.23038209001920296,0.3037883356227118,0.3469203306352381,0.3867871184951667,0.44256449846461493,0.4589601781678046
4,5000,27936543.637845904,2957382,3814287,4461725,5860358,7209998,8510536,10955991,11457978,630128,687702,524294,485086,641028,690945,682982,880021,0.10830355910576392,0.13997978522148768,0.16276391244591806,0.21348075855617327,0.26414588006548445,0.31236370002816943,0.40200217298519486,0.42348302305385327
5,6000,34144663.20868561,2974209,3613865,4354055,5603515,6930264,8388740,11283795,11974538,266831,250392,288172,168441,354908,355299,240927,416992,0.08779218757797234,0.10662170541297628,0.12860325581769097,0.1649246042006262,0.20509956219566178,0.2482656953291729,0.3328186289129181,0.3550360155585333
6,7000,40352782.03687431,3003519,3559316,4363158,5599707,6574791,7613769,10173541,10705166,25730,120776,80737,92191,99631,97342,101920,296308,0.07447901218402074,0.0884697620282155,0.10834210172353949,0.13908655724580096,0.16333605769091458,0.18913639977666935,0.2527533693733042,0.2672518302570834
7,8000,46560899.98756927,1488740,1878688,2950263,3980013,5091400,6154826,8464709,8892223,28155,150688,112079,128398,129166,132600,130317,198407,0.03199338445212508,0.04048005642601237,0.06351642382461237,0.0857161003528415,0.10965345385040051,0.13256625811515596,0.182308910535675,0.19179777503302478
8,9000,52769016.92555919,649819,1092282,1589167,2375595,3531606,4866072,7411592,8073596,39391,361716,180887,170752,197751,176566,178283,178865,0.012323603450503878,0.020842172382651573,0.030219119832736698,0.04516489286028942,0.06717749587770526,0.09252415345479093,0.14092961719246805,0.15351916099097965
9,10000,58977132.71606812,408976,773823,900866,1735134,2116621,2842646,5016241,5440643,84833,399616,346078,337841,371265,352399,365427,355778,0.006944473249843483,0.013210239070918763,0.015364997344199462,0.029589954946958288,0.03611619591155171,0.04848885137402126,0.08558428625674379,0.09280991588051307
