,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629224706,829635,1536861,1731270,2013199,2214093,2358392,2496890,2568870,0,0,0,0,0,0,0,0,0.267274096449339,0.49511307399425963,0.5577436161201579,0.6485694838063881,0.7132892248154988,0.7597763966965587,0.8043947262150103,0.8275837062633731
1,2000,9312181.82018815,2101415,3587684,4031486,4610250,5070531,5431940,5775854,5965230,31358,25582,28057,23931,23931,24757,24757,23931,0.22642548126265347,0.38632912685660575,0.43423436005875443,0.4963528751807126,0.5459080615027241,0.5848704140455111,0.6219004849918117,0.6422339486175895
2,3000,15520302.808602978,2984579,5364347,6064604,7006174,7465420,7822754,8356325,8684899,23591,37823,49640,70834,69801,67639,79704,94767,0.19259434110035623,0.3464785400216865,0.39200673397312846,0.45348963687985433,0.4831830119487244,0.5062398365028061,0.5411917700590821,0.5630208965030793
3,4000,21728423.45952823,3511765,6548724,7328548,8319100,8915711,9513352,10168856,10604282,90305,101629,101251,108966,102570,94830,112591,112383,0.1622953033817787,0.3028060405463739,0.3388583511651464,0.3847968902815166,0.4122709430490378,0.43974904205338894,0.47043554852857783,0.4905746739258018
4,5000,27936543.637852117,4781274,9237446,10888328,12846096,13786515,14310823,14941559,15371481,11555,32217,34809,52937,51288,47162,62724,65202,0.17121847611135704,0.3310399179269009,0.3902383898823498,0.4607042470094729,0.4944015998650503,0.513128013586971,0.5360427524511082,0.551515646420263
5,6000,34144663.20868991,4587943,9384940,11648380,15100147,16756781,17997032,19598060,20737331,71400,74766,64036,63506,63904,62254,67193,77396,0.13464935752997995,0.27546135353781653,0.34178889750684766,0.44306438621015515,0.4916786300854282,0.5280445959615829,0.5751031364705707,0.6087171851198648
6,7000,40352782.03686072,3931888,8401502,10323062,13668729,16276955,18014393,20861212,22085364,83157,102883,152417,144283,94964,91663,101322,109368,0.09763905167731148,0.20873349253139575,0.25679025527590427,0.33994626328800126,0.4043178640505691,0.44743895428011027,0.5182721814536942,0.5487944929267442
7,8000,46560899.9875758,3392574,8436782,11086317,15092443,17737585,19971201,23243961,24530306,79872,104624,77362,82738,116722,103575,89748,98900,0.07298835991550837,0.1816069372899438,0.23849985349572939,0.3247211669866463,0.38191191595090673,0.4298827150581948,0.5001804346536178,0.5279649177082248
8,9000,52769016.925550014,2324318,7047382,9503652,13500295,16260263,18521090,22018969,23347001,70025,135185,96431,67559,45378,48625,48859,43578,0.044105549557449934,0.13389452643251296,0.18042881003474792,0.25616549392374527,0.3084055526395056,0.35130789668928997,0.41765749319443607,0.44280335025691686
9,10000,58977132.71607295,1945990,6390419,9119482,13600918,16059401,18392987,22258216,23683762,114227,160394,93639,154004,123895,114340,178445,132085,0.03305969993031848,0.10864966571588709,0.1548733171977316,0.23121718101138097,0.27287200540224726,0.31247221124419483,0.37854953681076103,0.4024767235175682
