,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292266017,0,0,431392,946869,1187625,1824396,2157503,2190242,109678,4574,109678,27529,2450,105615,89333,93291,0.0,0.0,0.14406709275875718,0.3077715798546918,0.3829058969584905,0.608447250874638,0.7156543692650225,0.7274691423543499
1,2000,9312181.820185985,0,0,2219616,3443926,3908046,4955577,5651865,5733254,349875,232913,349875,241786,200561,295716,117121,144968,0.0,0.0,0.24766123772963383,0.3796886120819128,0.4289078833638546,0.5496141280661762,0.6146631447605456,0.6254085606005515
2,3000,15520302.808604287,0,0,4084875,6147358,7169298,7922500,8746660,8870202,481972,374682,480618,313095,319892,250803,98726,115929,0.0,0.0,0.2716064234047658,0.40423975771027504,0.4716515948333301,0.5188447623893817,0.5671702776281543,0.5758236011544623
3,4000,21728423.459528264,0,0,5091518,8433412,9917127,10783147,11599703,11767285,1581426,854687,1573299,935026,845112,638151,214330,235552,0.0,0.0,0.2526165497128946,0.40558124358535336,0.47488287569810633,0.5112853340653899,0.5391676401248814,0.5474971095490037
4,5000,27936543.637848288,0,0,5989404,8970111,10102981,10867543,11996155,12260743,5296655,1699912,5265291,2936274,3090096,3265169,2104751,1962481,0.0,0.0,0.2641849612668094,0.358800570151452,0.40661671830343477,0.4404919936373603,0.4643949867584275,0.4720379391914676
5,6000,34144663.208695844,0,0,4104284,6631017,7846036,8327874,9123183,9348341,4324924,1502408,4218687,1855643,2174012,2690505,1669108,1449389,0.0,0.0,0.13714787351890576,0.2053644538341917,0.24541370611387237,0.2647622595634325,0.2809246198062573,0.28592330929323284
6,7000,40352782.036856145,0,0,3548373,5538741,6399780,6882738,7822454,8142264,3743673,1821810,3706936,2223393,2220338,2097428,1533307,1659218,0.0,0.0,0.09682879190266924,0.1452617295977707,0.1678303125237507,0.17991567908034525,0.20150849522238964,0.2104294138488867
7,8000,46560899.98757532,0,0,2951119,4487163,5050837,5612847,6623218,6832741,6180362,3754323,5810320,4160657,4415469,4109235,3541248,4602804,0.0,0.0,0.07241906743167296,0.10582870955043554,0.11984305016335012,0.13221735829779016,0.15395796325625502,0.1628467841348978
8,9000,52769016.92554659,0,0,2080051,3331139,3690376,4310768,6525899,6942425,5176383,2143498,5106453,3324608,3921932,3690724,3117660,3279398,0.0,0.0,0.043641189828756075,0.06737139895869786,0.07554956463880952,0.08783451385604588,0.13143445424433706,0.14028042952693487
9,10000,58977132.71607056,0,0,1263265,2225254,2773935,3462477,5455605,6019582,4349038,922512,4324048,2146281,2582683,2930308,2105583,1851332,0.0,0.0,0.023114248839984343,0.03915573905380597,0.04918808524537335,0.06177829016256809,0.09592854471588937,0.10537413785968305
