,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292277724,0,9323,42116,54548,87218,283823,418115,519419,510975,510975,507866,437634,407333,510975,470682,482361,0.0,0.0035953305571233348,0.016222204424067865,0.020457341447942905,0.03234216131236639,0.10945377075130497,0.15877511701483296,0.19812300166247346
1,2000,9312181.820184475,0,3109,8388,9942,14568,24636,101770,197301,512873,512873,509766,428448,447350,499666,480479,500081,0.0,0.00035332320566683106,0.0009529202177390672,0.0011191240306425063,0.0016433475891589834,0.0027955694494837557,0.011523259112320794,0.022389780147325827
2,3000,15520302.808605315,0,3885,3886,14761,20975,58262,185566,207052,581430,581430,578323,525818,459399,572102,552762,593822,0.0,0.0002600597816029402,0.00026007263092150566,0.0009844286208172141,0.0013926787041834475,0.0038975928103976223,0.012397895043206576,0.013871454541423573
3,4000,21728423.45952826,0,42835,43538,43539,44483,50079,164064,270600,552600,552600,551046,445079,419708,551823,519629,527689,0.0,0.0020228257041275052,0.0020558730694206478,0.002045684130273435,0.002087549579630305,0.0023648271636284904,0.007735658917958565,0.012763708753419345
4,5000,27936543.637848437,41941,167681,214595,224844,310657,403698,652363,720059,1149727,1149727,1145963,955714,937279,1144290,1013188,1033011,0.0015657328964106716,0.006259833046494786,0.008010091416116251,0.008333472432759854,0.0115061281915253,0.015067713431531217,0.024230374875073825,0.026764477724646702
5,6000,34144663.20869626,777,853214,1050183,1170177,1240912,1370954,2078620,2212857,1460577,1460577,1386461,1092391,1265117,1457469,1387602,1391480,2.3773037282996258e-05,0.026104875459941272,0.03205862743350457,0.03540382920155544,0.0377411534856218,0.041941623721110474,0.06345563134485865,0.06756158587396376
6,7000,40352782.03686324,31365,1024944,1257784,1325327,1380961,1517080,1698195,1823152,830908,830908,756574,677065,720409,826246,758350,780837,0.0007936111524151138,0.02593358804402858,0.03176526395732211,0.033403983569310694,0.03484426730429509,0.03838130410884326,0.04288974263903938,0.046071831907722585
7,8000,46560899.98756406,678362,1050509,1096542,1114704,1231826,1326389,1746353,1907829,896606,896606,624789,526667,519634,888181,743907,816462,0.014855414170746647,0.02300504197625588,0.02387102382909295,0.024214675202715603,0.02675482468993623,0.029041165698086735,0.038115836202389064,0.04170625072535936
8,9000,52769016.92555487,164886,1240795,1383531,1440301,1517853,1680037,3088217,3324163,1402327,1402327,1357690,1094255,1174226,1357103,1057601,1214260,0.0032099790786396265,0.024155634746920025,0.026911015193274313,0.027872426428881596,0.029418725665350226,0.03267797037147296,0.05972021737803272,0.06447829838088646
9,10000,58977132.716068536,7137,610987,829167,935571,1066880,1315904,2577254,2909205,831332,831332,818116,687633,684995,822796,626072,773805,0.00012274317168406792,0.010507843945317867,0.014256895092432203,0.016050420822913553,0.018302296704173004,0.02262778795715169,0.04416807455378928,0.04998348228802111
10,11000,65185247.22380012,0,157247,331838,519926,738497,1153180,1902384,2184595,541537,541537,536875,480550,502489,536872,399539,480073,0.0,0.0024325181747087555,0.005132967599729212,0.008035367172829568,0.011417215658071132,0.01783772594451005,0.029364254125744466,0.03376229221551889
11,12000,71393360.31408423,159,306348,446197,544965,719199,839934,1217155,1454222,1159280,1159280,1152288,1121268,1092897,1156597,992345,1061771,2.263858219385202e-06,0.004361814074164892,0.006352366006099992,0.007755070071974729,0.010230359319067435,0.011958609143818166,0.017288884181141908,0.020676654888399988
12,13000,77601471.85151005,2947,388547,654153,758571,867314,1084112,1589069,1709294,1633873,1633873,1633095,1608928,1531833,1627204,1613163,1660805,3.8792854382041865e-05,0.005114641055846359,0.008610859243164114,0.009982176691995638,0.011401579041186457,0.014269462946571224,0.02091201954639134,0.02250828272738576
13,14000,83809581.70149118,0,74086,120725,214126,252157,302938,716320,899604,1028251,1028251,1028252,1000219,957415,1022055,887122,931279,0.0,0.0008949602449271265,0.0014583602418000942,0.0025857704130857195,0.0030434569189783382,0.00365922273644326,0.008638431645402803,0.010854517656330021
