,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227441,1570500,1811703,1997175,2155537,2258343,2394903,2589620,2679891,0,0,0,0,0,0,0,0,0.5059501690180828,0.5836558032859392,0.6434072135044187,0.6944249025627068,0.7275447453363922,0.7715387313797603,0.8342684983716062,0.8633500823941667
1,2000,9312181.82018735,4313468,5248804,5789583,6220183,6509526,6859312,7412815,7640155,0,0,0,0,0,0,0,0,0.463207021006514,0.5636492179116838,0.6217214302505447,0.667961936322551,0.6990333872013074,0.7365955833390287,0.796034177933487,0.8204473610510205
2,3000,15520302.80859887,3883082,4855892,5614230,6015052,6354266,6773753,7792719,8180460,1623885,1711352,1553668,1731148,1576588,1653422,1623522,1698722,0.27943042973256127,0.3516481496172919,0.4019744252597966,0.43621614837836425,0.4557082590416597,0.4884842592574667,0.5607571355790631,0.5918613878747256
3,4000,21728423.4595364,2410170,3367620,3969604,4306519,4609173,4926787,5615533,6013725,1393394,1520897,1367276,1525159,1369193,1488776,1470466,1521428,0.11852306409468794,0.1666517674364218,0.19495973927249302,0.21315956184334484,0.22639229951056586,0.24342256997557657,0.27720134229803595,0.29760609448555647
4,5000,27936543.63784329,1942088,3078449,3769022,4208826,4530838,4920647,5772429,6204116,454609,508885,426379,524122,461933,516757,509425,536705,0.07066780507241648,0.11223885496928683,0.13700470533772421,0.15353718309183045,0.16490999853367397,0.17945606451980164,0.21046428814565082,0.2264289247102056
5,6000,34144663.20868757,963237,1947692,2459506,2791211,2963909,3266616,4395305,4910591,416224,472320,395233,471274,420628,459736,446016,477541,0.02855859988184378,0.05784248479320231,0.07287548218715968,0.082890705853864,0.08788713988877801,0.09697559919789636,0.13042971644472667,0.14585716502769147
6,7000,40352782.03687391,564486,1275844,1652837,2045078,2223708,2573496,4099492,4987453,355862,401919,348050,404396,367236,387976,390496,407874,0.014113236706216125,0.03193533012847356,0.04131603727470331,0.051193006849195706,0.05561279563243526,0.06439405705173545,0.1025840212498686,0.12485829221076156
7,8000,46560899.987562925,176969,459403,575961,726863,816329,1322089,2796200,3328366,427908,502631,428422,511127,443926,504497,482919,559074,0.0038360616204496205,0.009974387012331103,0.01248493523706392,0.015784290623893204,0.017701269823561103,0.02870586746335829,0.06068408250688615,0.07235291053228754
8,9000,52769016.9255504,308489,653737,769643,901613,1003434,1482226,2457911,2790102,464382,507799,436602,541902,471894,525575,627675,729204,0.0058979285571746825,0.012509027266285529,0.014706812232818155,0.017263312386396352,0.019187174052164923,0.02837152272838854,0.04713938899979806,0.053614758454101234
9,10000,58977132.71606961,378491,698549,835171,960573,1043842,1141187,1472298,1672932,689433,787002,694988,822346,697981,776329,797085,829905,0.0064934969443587775,0.012004595820698008,0.01432979180962992,0.016517522533266722,0.01791107058464916,0.01960775328064604,0.025305891930256088,0.028770623565561104
10,11000,65185247.22380799,209250,481183,632056,833961,932126,998111,1466087,1767100,761121,850712,728752,879991,745687,822283,841223,859325,0.003248006799084401,0.007479388765708076,0.009805931858462891,0.012968784341632704,0.014465120444065577,0.015507536236666937,0.022785130673526194,0.027471040272874156
11,12000,71393360.31407851,76424,188964,248821,337814,430675,498053,763404,922232,960063,968073,1007779,1007795,1033466,970099,1003752,1021141,0.001085054979879865,0.0026831839415474385,0.003535113234196318,0.004799478394363773,0.00612102966041302,0.007072279680129395,0.010845407699865164,0.01310505777690459
12,13000,77601471.85151136,6109,34151,36767,52697,70919,106820,195445,236950,772055,780342,830351,901115,832417,979897,959562,1064550,7.951381450423993e-05,0.00044455217029495595,0.0004789170666286577,0.0006870502584755786,0.0009237967060708683,0.0013941243077685577,0.0025501060761489607,0.003095891424268469
13,14000,83809581.70150441,49120,142308,151732,172149,185737,199843,352253,465989,636437,744668,714486,893513,908337,1074177,1161481,1231507,0.0005905752412787097,0.0017132143242980654,0.0018260042752108287,0.002076183816911674,0.0022404609323872964,0.0024154471803335023,0.0042620822137487795,0.005643011194974137
14,15000,90017689.72858989,93472,183425,222888,345518,377653,653055,1538623,1844001,1160317,1435350,1520079,1576840,1555694,1545719,1625942,1662682,0.001051932969991193,0.0020706723322278615,0.002518576469635628,0.003906769338606952,0.004269098802141844,0.007381490370587664,0.017406862513052672,0.020870362047439656
