,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226885,782120,901860,1171895,1471671,1544907,1668958,2085458,2364668,0,0,0,0,0,0,0,0,0.25196672791626473,0.29054200536818203,0.3775361180016252,0.474111551218812,0.4977051625389107,0.5376692659562131,0.6718483461192626,0.7617982644201631
1,2000,9312181.820187483,2167155,2605317,2993354,3443391,3793734,4220375,5337091,6096717,794,0,0,0,794,794,2382,2382,0.2327424269990684,0.2797751429586613,0.32144496937450634,0.369772741392916,0.4074294909911307,0.45324876178501,0.5732766657803948,0.654870901389287
2,3000,15520302.808602525,2938341,3579356,3935255,4683488,5217026,5647035,7247054,8394042,4763,794,4763,3176,794,794,1588,2382,0.18938052019117307,0.23063590762717626,0.2536331348148206,0.3018270107455412,0.33615922155398253,0.36386686393514117,0.4669880263527186,0.5409256886622771
3,4000,21728423.459528565,3247207,4202438,4585802,5500103,6128403,6689157,8436110,9645782,50818,49229,794,1588,794,794,794,1588,0.14979546546607453,0.1938465936935641,0.21105855144215535,0.2531479105756224,0.28205575814955797,0.30786409591804303,0.3882664703811201,0.4439570602892252
4,5000,27936543.6378474,2543845,3720917,4774527,5951141,6428105,6885513,8440082,9451898,18172,14996,16676,15086,6721,4672,7849,3085,0.0911172411127105,0.13326327925162468,0.17100822474988323,0.21313862181511817,0.23015201647894978,0.2465109781855864,0.3022010913665286,0.33837191887128154
5,6000,34144663.20869206,2919999,4483963,5493320,6661579,7196541,7668553,9713188,11059386,44564,39005,36533,23032,30602,28679,31062,27885,0.0856302200802893,0.13147270088038446,0.1610560287646636,0.19523037920599312,0.21095527020296148,0.22477888819183497,0.28473065451457247,0.3241626724642586
6,7000,40352782.03686595,3573539,4597683,4912528,5813346,6612635,7518211,10025879,11642514,7942,6354,6354,1588,0,0,0,3972,0.08857487095585466,0.11395514358294458,0.1217586844493706,0.14406874787122206,0.16387060981219967,0.18631208606959065,0.2484557072382381,0.2885466508024017
7,8000,46560899.98757601,3807647,4758248,4856943,5533810,6235322,7142839,9645773,11256204,1589,1589,1589,794,0,0,0,0,0.08178057018532858,0.10219756046797389,0.10431732980962793,0.11885303700718872,0.13391755747126433,0.15340852521978626,0.20716465967311226,0.24175228578063415
8,9000,52769016.925550014,2959069,3837010,3896310,4366728,4775502,5383318,7780807,8695602,9533,7945,7150,5562,4765,4766,8736,10324,0.056086011079554965,0.07272426165666838,0.07384708364277394,0.08276046377481375,0.0905063907044148,0.10202585852295759,0.14747470755471317,0.16481837433445756
9,10000,58977132.71605712,1815587,2597395,2807221,3075207,3142772,3241321,4505660,4949274,3179,1589,1589,1589,3179,3178,3178,3971,0.03078625199086256,0.044041900020547226,0.047599747677030485,0.052143766826565456,0.05329084794164483,0.05496190675368545,0.07640084545276768,0.08392417594684294
10,11000,65185247.22381055,1112644,1447098,1521847,1623963,1649364,1706560,2147856,2367998,11918,11125,11919,9535,7151,7152,9536,9536,0.01707207554456961,0.02220356716168125,0.023350763901052476,0.024916689739014772,0.025305495182558924,0.026183029653443563,0.032954853267720484,0.036332522584500815
11,12000,71393360.31408072,444129,602658,616150,651450,659389,673673,873184,975870,40329,40329,39534,21457,17904,17904,24261,41124,0.006224388674463451,0.008446144317922934,0.00863513607928845,0.009127541367829513,0.009238315718759446,0.009438440533894001,0.01223476278098028,0.013676796277335753
12,13000,77601471.85150874,255044,308424,308424,329192,333952,337918,444981,481253,55830,55830,43910,30199,9116,9116,14679,42320,0.003288953368757729,0.003977322163257061,0.003976710879469198,0.004243735959188883,0.004303929122078673,0.004355042404520952,0.005735267352159241,0.006204980179790843
13,14000,83809581.70149124,73402,100214,100215,104978,104978,105771,149359,167610,32585,32585,31790,18280,7948,7152,7948,19074,0.0008761593622356892,0.0011961994813096013,0.0011962000664457258,0.0012528508075216082,0.001252696342101645,0.0012621471761231982,0.0017822922227510485,0.0020003459174292248
14,15000,90017689.72860539,37425,95126,96713,111794,113381,118143,143993,155898,26229,26229,21459,11127,11127,11128,11922,15893,0.00041587279167370816,0.001057055849853124,0.0010746338954089071,0.0012420649851621348,0.0012596970327805428,0.0013126043005201524,0.001599819696379708,0.0017321654196537917
15,16000,96225795.79822755,23078,28869,28869,36807,36807,36807,42368,42542,93939,93938,72578,40685,27272,27272,41479,51812,0.000240066100548112,0.0003003062737078642,0.0003002395620350436,0.0003826683744972955,0.00038261501888741214,0.00038261501888741214,0.0004404876118097118,0.00044234415919852985
16,17000,102433899.77490854,18033,20414,20414,22004,22003,22004,44203,44823,25290,25291,20421,18932,3729,3728,10983,18932,0.00017608871011564424,0.0001993387103311738,0.00019932923131014139,0.00021485140773916189,0.000214809756085947,0.00021481951673725627,0.00043157333721654764,0.0004376606366611731
17,18000,108642001.52417481,68510,107144,109528,115880,117470,117469,158027,170184,7152,7152,5563,4768,795,795,2384,1590,0.0006306447728337331,0.0009862765076703766,0.0010082068363795522,0.0010666692830889647,0.001081265605917775,0.0010812564013071857,0.0014545982727234414,0.0015664889115605976
18,19000,114850100.91040933,212260,303774,309766,324857,333594,339154,370951,384999,991913,687732,695571,976807,971134,911320,994178,988681,0.001864248886228712,0.0026608943288343226,0.0027135673042770207,0.002852793564183571,0.0029293732552249487,0.0029766335683956333,0.0032580738051888,0.003381294562310328
19,20000,121058197.79921603,73449,299567,322171,343630,352368,357928,441939,461523,575639,273652,253098,561338,547946,488598,578138,574900,0.0006096235067716534,0.0024801765657833388,0.002666865890061462,0.002851775561392976,0.0029239670047913075,0.002968642183403244,0.003668150569783131,0.0038305973394679362
20,21000,127266292.05491328,95518,193607,199169,205885,207474,208269,253710,271460,34311,32725,23977,9661,7948,7155,13515,27829,0.000750738919633535,0.0015216660546539603,0.001565273312687259,0.001617872469931703,0.0016303371031645112,0.001636574039553092,0.001993748237734071,0.0021334743715258797
