,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226975,1915904,2599954,2720741,2806758,2921960,2954706,2981448,2991404,0,0,0,0,0,0,0,0,0.6172250573846331,0.837597685921323,0.8765102634859179,0.9042213845864814,0.9413347060581336,0.9518841134027173,0.9604992801775556,0.9637066917552346
1,2000,9312181.820188249,4458154,5431768,5877308,6455025,6953980,7296533,7492729,7581469,764836,105161,777022,753545,754026,754197,769196,776370,0.5215834358158463,0.5899593479890644,0.688599642399007,0.7542118138222415,0.8125558994375773,0.85259943237893,0.8770620901996177,0.888195424138673
2,3000,15520302.808600528,3623863,4424939,5315142,5862915,6379208,7034266,7435334,7558296,3904344,1799825,3911723,3863127,3765486,3776320,3769514,3770677,0.3119727832812965,0.3225061883213919,0.4578632431903629,0.5029447180229031,0.542688848654161,0.5989676683491534,0.6327519046685615,0.6432797199777591
3,4000,21728423.459528208,3040469,3882537,4928148,5309509,5665378,6269319,7259792,7494031,5020285,3842785,5047739,4987061,4899431,4939285,4918710,4910149,0.18197532940996794,0.21707567268484385,0.29544039466467953,0.31714915753336054,0.33664392052136116,0.37341517047541073,0.43188077045328516,0.445588577950358
4,5000,27936543.637849748,2863721,4333360,4949113,5394899,5782059,6288852,7048347,7262804,6500315,5170965,6553700,6455265,6441188,6301833,6162271,6146955,0.13359257583880937,0.19034701770309556,0.23145251790737414,0.2511442214847609,0.26899108334912847,0.2906834348409405,0.3237006864582016,0.3333153333323649
5,6000,34144663.20868994,1957896,3404604,3722694,3996209,4236064,4525107,4965307,5136063,9267696,6649174,9285300,9262218,9250310,9025593,8481512,8546583,0.07870316279212983,0.1238240925323844,0.14975017536646631,0.1606035486658829,0.17016164125611044,0.1801462778042851,0.19348001964461284,0.20064250748993387
6,7000,40352782.03686331,807596,1184150,1313165,1511602,1697082,1833461,2245123,2331989,13027563,10417884,13030171,13028867,13001359,12879504,12730186,12706074,0.02955496894317685,0.039557509049864784,0.048061475465441234,0.055321574450830475,0.062047301806298374,0.06673615713202787,0.08127849377385839,0.08434960852809652
7,8000,46560899.9875744,228446,408775,467293,571206,686396,763853,1309513,1379053,15800644,13640804,15808346,15795928,15784517,15803106,15801900,15799289,0.007426661211541306,0.012417187366473386,0.015195258260137035,0.01856676483341845,0.022302685805447777,0.024834453352167683,0.04257332814880195,0.04483032441171705
8,9000,52769016.92554602,338495,545857,680894,767900,892999,971104,1121640,1171231,18137110,16085078,18145339,18048719,18066500,18065314,18015476,18004549,0.0097740791671599,0.014879999694358754,0.019665559547549488,0.022116745704391125,0.02573297498610612,0.027982719944422786,0.03227412143133664,0.03369046241433607
9,10000,58977132.71607551,389450,536071,718019,876908,983879,1070928,1228421,1261588,20624697,18477785,20643316,20611418,20615428,20617889,20625184,20609387,0.01015450499371442,0.013236534172307569,0.018730694241017084,0.022856553213970735,0.02564742644473004,0.02791838149695318,0.03203021074872,0.032881473134644276
10,11000,65185247.22379434,589553,798148,882621,1086877,1192170,1292247,1430876,1480391,22674424,20886491,22676380,22675077,22648122,22672234,22676798,22674842,0.013868303535228008,0.018017390735934207,0.020763220891145105,0.025567458193607496,0.02802657663694504,0.030396504552557456,0.03366097860843766,0.03482420344399307
11,12000,71393360.31408489,364197,466891,511637,619515,705398,793468,939553,999013,24878109,23213310,24887232,24883973,24863116,24882018,24889430,24886824,0.00782962554670151,0.009690546127626392,0.011001496330646926,0.01332021417130959,0.015159989172600868,0.01705966675057057,0.02020373318242808,0.02148113102324158
12,13000,77601471.85151333,334137,708466,984740,1153487,1351876,1606972,1790638,1865829,26889754,24976281,26897574,26896922,26871392,26896270,26901241,26901894,0.006588950525761548,0.013462487993611274,0.01942138655461592,0.0227491813531123,0.026648410646246446,0.03169244853232034,0.035318142933989265,0.03680166737215362
13,14000,83809581.70148909,868644,1778699,2092461,2303209,2687741,3024779,3397946,3501985,29229310,27889649,29237130,29225404,29211460,29224755,29213688,29201963,0.015914981236275178,0.03180796031166602,0.03834280730955146,0.04219554268264019,0.049227719127317444,0.0554142823708458,0.062238123961826854,0.06412997093214219
14,15000,90017689.72859514,787085,1327984,1723515,1961012,2231805,2528584,2905076,3022886,30838345,30285694,30848706,30846099,30820467,30848707,30850011,30849359,0.01329999518598395,0.02223237284811266,0.02912869025950603,0.033141106667127766,0.03770117747300888,0.042734958138429986,0.04909903620396732,0.05108959409157517
15,16000,96225795.79822993,1863687,2907903,3448850,3927733,4583443,5009070,5587513,5780797,33557164,32027410,33572869,33527887,33544526,33557874,33567652,33571566,0.02973875360803137,0.04529557813399377,0.05504690963770645,0.06264535891683339,0.07312300811317375,0.07993036718414814,0.08917456951793463,0.09226507162591145
16,17000,102433899.77491152,2349193,3847654,5055676,5654114,6396864,6990231,7767322,8056980,36169303,34359986,36214297,36192126,36196961,36212341,36217555,36204512,0.03545170595362967,0.05652170980975746,0.0763471206129831,0.08535571555213162,0.09657547764606132,0.1055582370653633,0.11730218613551338,0.12165264198700745
17,18000,108642001.52418208,2539823,4160171,5782652,6469230,7115115,7822143,9608828,9955454,38435932,36863281,38445440,38432403,38405036,38441524,38440873,38441523,0.03617668696187546,0.05795827746188995,0.08237799508182361,0.09214167487044983,0.10130157171369138,0.11142578050563107,0.13687569134576036,0.14181461735436215
18,19000,114850100.91041052,2719133,4041436,4832808,5382788,6311386,7047994,8162096,8429480,41017094,39734572,41021267,41017360,41000237,41019964,41021270,41020619,0.03682814927610106,0.05380293607224915,0.06545962795328034,0.07290516285358464,0.08546239174735015,0.09546229080615706,0.11055431732224642,0.11417498513979656
19,20000,121058197.7992003,2682827,3904687,4609637,5189654,5875727,6327482,7326403,7629516,43855181,42237014,43872123,43845134,43801308,43868213,43875823,43877053,0.034750287116083134,0.049538548037382,0.059721096220943716,0.06721212376050993,0.07605440777219614,0.08197283645618174,0.09492326478759644,0.09885207092806755
20,21000,127266292.0549519,2945458,4190016,4932514,5633446,6342971,6937199,7754175,8076372,50231146,46338158,50303997,50250810,50086405,50238824,50219423,50280101,0.03823524911472096,0.05177452870907528,0.06409000662568771,0.07314692902889885,0.08218424828069286,0.09006136609671443,0.10064231155804025,0.10490676171048875
21,22000,133474383.54322743,3052189,4303229,5090969,5497393,6115502,6723933,7352094,7524269,55035143,52091970,55187112,55115288,54754575,55149155,55126340,55192505,0.0389115062672994,0.052876645120807066,0.06502933235052072,0.07015641211641242,0.0776869521556546,0.08584632467799419,0.09383889715055342,0.09611763463040915
22,23000,139682472.1284361,2749864,4033931,4708467,5012064,5432969,5731206,6285549,6496264,61842520,59475545,61975572,61905977,61528445,61898155,61879956,61917553,0.03532715430583409,0.050294047464758615,0.060592649973396404,0.06444188558154153,0.06951617465689407,0.07368073940324929,0.08078850547228884,0.0835372051152115
23,24000,145890557.67619252,3379951,5034335,5804417,6310690,6737062,7017581,7428902,7647849,66823637,65047394,66911767,66827005,66561742,66851123,66872636,66882422,0.042747978182204854,0.06227285983221065,0.07349336385508486,0.07981794121806854,0.08492578570061608,0.08878581974617496,0.09401540615612357,0.09679824659252809
24,25000,152098640.05072498,3769586,5261699,5899181,6233845,6786068,7010491,7414228,7582367,70073148,69128484,70084883,70082928,70044903,70082924,70082926,70084228,0.04595627415034425,0.06341676634648229,0.07192916422974495,0.07600793609088584,0.08270272925905746,0.08547741015470937,0.09040009083398892,0.09245164124703341
25,26000,158306719.1179154,1976877,3072648,3546708,4013600,4823489,5203726,5821346,6002726,72699569,71833781,72702829,72701525,72682889,72702177,72704785,72702830,0.023092428579587654,0.035533058860682004,0.04143162180030106,0.04688500553449521,0.056333487924534735,0.060787966050121066,0.06800484194645862,0.07012211783662682
26,27000,164514794.74187136,1114098,1726636,1966588,2166838,2454577,2634400,3034010,3152546,68925060,67961528,68931120,68927860,68896746,68930468,68932424,68933076,0.011654996250470706,0.017882730002456,0.02057451761831581,0.02266876750312643,0.02567064515849229,0.027561003877908608,0.03174235977253182,0.03298272976774761
27,28000,170722866.7880888,1168494,1990615,2279263,2568899,2956676,3190161,3485837,3596423,68866851,67992705,68869920,68866010,68830745,68869921,68868617,68868617,0.011472017543186148,0.019377123187114504,0.022377977975857135,0.025220678126211416,0.029017709594360765,0.03132124432254834,0.03422377571139546,0.03530950360424311
28,29000,176930935.12178183,669294,1204080,1530840,1808661,2048529,2117501,2318164,2436650,68023329,67156986,68029848,68025300,68002212,68027255,68031821,68027259,0.00614552117922404,0.010968722630760135,0.014057159946329034,0.01660759792620002,0.018806141679543545,0.0194437965515224,0.021287262239870916,0.022374359496140514
29,30000,183138999.60710382,902345,1669932,2038270,2372216,2744977,2991076,3481952,3616644,67557097,66576138,67623612,67589336,67584093,67607713,67624831,67636609,0.007806974791437121,0.01432644992561016,0.01764500853282557,0.020529839083444634,0.023754742058103576,0.025889748896954497,0.030143072854059125,0.03131228696644451
