,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227431,2009990,2449432,2490287,2539314,2588725,2603544,2619999,2645906,112389,117543,113137,107153,107153,111559,104161,115299,0.6718618381653937,0.8201632483360336,0.8326147065959194,0.847311400336555,0.8637987286472837,0.8700225839717095,0.8733622200135851,0.8852850538916828
1,2000,9312181.820187097,4487083,5624138,5931241,6370482,6789562,6863617,6959363,7024697,260191,278601,272148,249440,250937,249053,252237,260743,0.4957012318210963,0.6225812456818776,0.6561082754751513,0.7029309811970881,0.7492968278347222,0.7573120868272408,0.7681462898640791,0.7760862266817814
2,3000,15520302.808603555,3695644,5278285,5757148,6515087,7366527,7571429,7770126,8001014,822964,850335,832022,819842,822833,829930,815188,821723,0.2514498745743438,0.35980208469881053,0.3919551971410971,0.44318930439153287,0.5012105550091219,0.5154007388815702,0.5283961465879827,0.5443392561856042
3,4000,21728423.45952472,2008770,3273959,3664471,4221310,4747559,4908049,5126135,5374498,1807771,1844075,1806673,1807400,1817123,1820902,1791142,1804068,0.10083856460432052,0.1646500516053748,0.18394322363615354,0.21190226539197665,0.238435405545245,0.24654244427056748,0.2571130377231581,0.26974513734800654
4,5000,27936543.63784731,1662908,2777891,3363885,3966347,4502762,4742485,4953698,5221410,1978405,2030203,1994618,1967535,1964542,1976026,1943570,1967113,0.0640611417944836,0.10722822797835445,0.12966982663354587,0.1527338627097006,0.17336984891601182,0.1826806794131881,0.19057834894223574,0.20105985659887457
5,6000,34144663.2086906,1547605,2792168,3353625,3970702,4627137,4931277,5282545,5595284,1780681,1834284,1835652,1829374,1835358,1823248,1807119,1832788,0.047818744616180964,0.08641706065922569,0.1037984411945708,0.12287378814273936,0.14321375746437862,0.15256995921001862,0.16335640597532866,0.17316494211066688
6,7000,40352782.03686416,1272586,2226182,2657996,3174547,3651432,3817412,4046322,4331044,1113783,1168805,1148296,1138950,1147688,1144653,1122649,1154284,0.03243166317276427,0.056813579640106845,0.06779826159436637,0.08095477628954166,0.09313667240707534,0.09736276873632004,0.10314321381978776,0.11049004979545075
7,8000,46560899.98757401,1058059,1985673,2499591,3124915,3593320,3772842,4048151,4426591,3628051,3710281,3715945,3506838,3527714,3509959,3447836,3537260,0.02464450938968044,0.04633942395501482,0.05834038104894583,0.07258118875988735,0.083501137959843,0.08763669070761944,0.09389615642179254,0.10288741262428
8,9000,52769016.925548434,597209,1213502,1556893,1826772,2141950,2291626,2498618,2813938,7590247,7696013,7658254,7680128,7733630,7710991,7768230,7723414,0.01321879725774208,0.026923033619069676,0.03451267278652597,0.040514903860602955,0.047561487670596175,0.050859440752832025,0.05552387348545347,0.06246864992907052
9,10000,58977132.71606228,423960,1049048,1389021,1766593,2124304,2295558,2543541,2809332,11902212,11963362,11953631,11958137,12023936,12020192,12017084,12020826,0.009006069336944035,0.022313632453258896,0.029538867785457553,0.03757189989059059,0.04524301109562779,0.04888644713633936,0.054163934440936895,0.05982864063367692
