,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.62922723,2830654,2870970,2899677,2910910,2937407,2943342,2948179,2970640,5739,5739,4264,2950,2788,5001,1475,738,0.9136088304383072,0.9266210366662498,0.9354410456026855,0.938666931958301,0.9471618110310858,0.9497532645843091,0.9502329193519509,0.9572449773743732
1,2000,9312181.82018748,8648583,8806539,8978168,9098136,9151774,9158379,9176512,9199035,6063,6063,3850,4426,6063,3850,3688,2950,0.9293437110687748,0.9463170597925575,0.9645302910805742,0.9774790159693664,0.9834146948722958,0.9838904732787599,0.9858213559855142,0.9881626301379118
2,3000,15520302.808600271,14644885,15037644,15199887,15316455,15345612,15351316,15357113,15390982,8319,8319,7581,4631,1475,8320,2213,0,0.9441013593554985,0.969421073767671,0.9798336608842663,0.9871602847071149,0.9888383445749506,0.9896424067391828,0.9896265061882129,0.9916676362442741
3,4000,21728423.459528353,17396887,18536107,19838889,20943485,21233782,21317534,21350929,21410012,15667,15667,10862,7172,9476,11240,10880,17508,0.801228855139929,0.8536966291935576,0.9134952391856083,0.964193294250218,0.9776616495604853,0.9815975464648475,0.9831189719863319,0.9861404527096395
4,5000,27936543.63784747,17108210,19415434,21290525,24386264,26092220,26782463,27150424,27312873,133766,133766,34068,44116,59041,118450,171633,217340,0.6153417555198109,0.6983271330980285,0.7630335485759232,0.8742969352337792,0.9359597356678677,0.962771329648612,0.9778682292241979,0.9853411864512345
5,6000,34144663.208689705,16933496,20439035,22557209,25974559,29380404,31819576,32576632,32860884,496837,496837,82111,125227,206840,395518,450769,530454,0.5032567600348236,0.6074399835886434,0.6622289739711702,0.7635211483418184,0.8657126834368449,0.9428261309506327,0.9668408109264627,0.9775890843061998
6,7000,40352782.0368655,15627750,19385051,21573786,25472901,31215547,35342026,37657482,38462347,731483,731483,95340,170837,318207,540232,755579,927031,0.3944280066501407,0.48925834011558395,0.5358955986384812,0.6339389737512587,0.7797147083803294,0.8877106833718036,0.9510136856115924,0.9755640917032966
7,8000,46560899.98757696,13139034,17032442,18810162,22309509,30275006,37373943,41769507,43389502,1125940,1125940,432010,528312,564510,581480,1032695,1292278,0.28918335140148765,0.3748752503503269,0.4077740003079587,0.48464598614400684,0.6582039592276023,0.8128406798106186,0.9174424296191213,0.9584895694838547
8,9000,52769016.92554739,10252416,13871235,15906055,19781428,26119582,35050441,43211995,46274327,1828383,1828383,581795,656122,622201,543076,1829026,2158586,0.20126204190910707,0.2723019705697733,0.3047883066604366,0.379587970084205,0.5008854622551112,0.6711308667462295,0.8482921613228703,0.9143239082092346
9,10000,58977132.71607098,8643589,12564207,14466818,17349101,23049958,33386723,44745375,49283014,1899440,1899440,324598,452745,466528,358518,1989015,2710274,0.15143550113346266,0.22012464768854229,0.24665290374971716,0.29644224701962807,0.3939449628294291,0.5695583759820008,0.7851702564196386,0.8758799606832103
10,11000,65185247.2237882,6705587,10163029,12029991,14617477,20209429,31669679,45750271,52101156,1489529,1489529,598573,861763,1117693,715744,976990,1928211,0.10527531813740801,0.15955592123623236,0.18626119311108888,0.2272494591422357,0.3154393709085318,0.49123504007883223,0.7125294000823652,0.8236420659304781
