,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292275703,1487106,2134314,2426532,2722596,2927750,2982001,3002053,3021591,5882,8021,8734,6416,6416,6416,5882,5046,0.47999362785959226,0.6893690829572776,0.7839340692150263,0.8789245784720333,0.945153608769533,0.9626672381536525,0.9689735032316275,0.9750166945010943
1,2000,9312181.82018732,4403961,6696008,7181742,7680924,7942588,8029477,8145313,8294250,586126,569890,596095,533558,550667,485264,545732,513219,0.5046909039719462,0.7659327940229438,0.8239640274539688,0.8749576422601628,0.9065313662084509,0.9096580667870774,0.9291461386390453,0.9426395098488921
2,3000,15520302.80860351,5818140,9099419,9559673,10058296,10235272,10304724,10446455,10553912,4009412,3768606,3926002,4019100,3972627,3659256,3821607,3763450,0.5054465459485886,0.7743068212360825,0.8245148334349129,0.8745429645389664,0.8863490948000364,0.8687870612335314,0.8929589392620516,0.8976817326722664
3,4000,21728423.459525127,7921362,13206191,13809023,14771172,15050577,15166347,15576506,15721571,4273499,3698213,3805093,3823415,3698264,3056455,3352486,3149240,0.4538181771206305,0.7324479672406342,0.7704496120954669,0.8249743100312257,0.8347445308948143,0.8122521753866393,0.8476577608249288,0.8461927852884141
4,5000,27936543.63784671,6406903,11235239,12377879,13443970,13883637,14067088,14550635,14710833,8764703,8287396,8409056,7969436,7745102,7083887,7291157,7205818,0.334182988531225,0.571792690811663,0.6338695089485104,0.6733058309615956,0.6876000856707825,0.6745945250193598,0.704788689853164,0.7096149578644468
5,6000,34144663.2086864,2857696,6669052,8510917,10193309,10770647,11107218,12593459,12833076,12927312,12553837,12569949,12295616,11789129,10803593,11038948,11089880,0.13468674632816832,0.3088835941496724,0.394485735369479,0.466533341369115,0.4817888447423006,0.47586584079878397,0.5450365369025927,0.5566339914731818
6,7000,40352782.036884576,3815886,7172628,9337773,11425511,12483661,13129494,15428005,15963719,15404194,14763336,14756487,14285925,14178494,12796544,12834291,12309943,0.15294997834580878,0.2802963373908676,0.3648095549197317,0.43831563520806954,0.4769436701547769,0.47646177182915567,0.5606413876153667,0.569261870347828
7,8000,46560899.98756948,4075082,7420555,9334611,11463752,12435544,13111496,16153319,16928092,16774583,16270673,16622171,15949840,16173221,13970349,15242640,13611607,0.13681053625060882,0.24498182212517758,0.31179049063424563,0.37449706101831143,0.409229806761054,0.402309737107572,0.5157795805517742,0.5137619191521448
8,9000,52769016.92553723,3818252,8547242,11646708,13902813,15277309,16182918,18115178,18892048,19038630,18914478,19093523,18294683,18387255,15634626,16000366,14375415,0.11319917581820584,0.2524696029326994,0.3458511410627869,0.4032801048463867,0.4443434002331539,0.43579327940103757,0.4926799744893093,0.49206240239299065
9,10000,58977132.71607271,2302190,6521694,8663257,11286709,13752602,15080605,17398277,18462750,21899568,21738845,21685323,20806921,21058149,19056813,19393545,18576657,0.06209118688428926,0.17513409987390802,0.23230991110270924,0.2956941681108725,0.36268382356910817,0.37776764082198094,0.4395325942861799,0.4569933812104811
