,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292273966,41342,41342,41342,2576313,2620419,2729261,2799290,2833976,251440,246122,253447,241656,244616,246301,239659,239715,0.014492638655283462,0.014465671017986913,0.014502842327041335,0.9000519960364176,0.9164083728762463,0.9550351863350605,0.9772686802845595,0.9893973587134496
1,2000,9312181.820187334,137834,137834,137834,7508043,7730949,8173804,8333018,8457537,700466,691519,756552,709384,729651,732432,699394,686540,0.01600540506421421,0.015988793770848907,0.016110327690285926,0.872744327709483,0.9007773070637518,0.9526855877274903,0.9675169264553821,0.9805110363157088
2,3000,15520302.808601689,286498,286498,286498,12601764,13001536,13365851,13487918,13664592,1420831,1469718,1497285,1435022,1432244,1482098,1423818,1359815,0.0203197682784979,0.02039046800561693,0.02043055238967626,0.8946760928120279,0.9228763292826195,0.9521054281677302,0.9568284705822305,0.9649803159817376
3,4000,21728423.459527995,3220859,3220859,3220859,8823820,9574020,10542964,10970275,11233201,2691895,2951549,3102151,2625401,2693353,2989097,2644916,2621614,0.16919361147425618,0.17153328723277647,0.17292021294107168,0.4619070107201257,0.5029674053666415,0.562611683123725,0.5748563267662188,0.5879161051872184
4,5000,27936543.637850307,3679348,3679348,3679348,7063162,7390936,7969769,8364066,8636391,5145704,6094606,6392826,4983226,5341970,5927538,5879722,5834149,0.1614397739822387,0.1684533698889419,0.1707851941735315,0.307718566502681,0.32711110722703546,0.36211399693105056,0.3792054058072882,0.3907445840827671
5,6000,34144663.2086885,3665975,3665975,3665975,8016895,8429341,8897965,9175509,9310244,6483276,6930363,7396165,6705507,6484890,6818541,6769890,6616414,0.13253041043612265,0.1347076710364793,0.13705348881266205,0.292169880845734,0.3047509079847471,0.3256212107977341,0.33518118780570494,0.33820690627362854
6,7000,40352782.03686878,3640350,3640350,3640350,9661877,10076510,11039752,11569486,11820677,7585646,8485092,9249969,8319734,7970710,8466305,8440963,8339553,0.11109759473345389,0.11423325618481789,0.11704246801357765,0.3016221556212684,0.3111755785277525,0.34622049928047155,0.36254548782171864,0.3692435082504936
7,8000,46560899.987565815,3122897,3122897,3122897,8918494,9366508,10453231,11409945,11835723,9514870,10386728,11132181,10357604,9629090,10153034,10309112,10040213,0.0842977506914553,0.08632946736343922,0.08814591916507121,0.2463448080269569,0.25361627288653094,0.28711463076605576,0.31474157919917095,0.3240827042500516
8,9000,52769016.925549805,2813929,2813929,2813929,7802268,8348582,9179657,9915084,10309835,10782604,12266870,12869710,11994905,11568244,12104382,11780103,11690491,0.06701999060957295,0.0694760454346409,0.07052576139356648,0.19135347482849666,0.20263168399986012,0.2257405486808483,0.2418967240266297,0.2509786991550138
9,10000,58977132.71607432,2763456,2763456,2763456,7160366,7920701,9487130,10567360,10967680,15461984,19872091,22648476,20741699,20514958,21167431,20240012,20317785,0.06350560854177181,0.07066751187901349,0.07606821308031617,0.18727042703819927,0.2059348192989654,0.2509178747624625,0.27279673358931344,0.28370059630984684
10,11000,65185247.22379655,2108463,2108463,2108463,8174085,9501437,11954147,13887008,14492400,21037129,24613913,27089064,25484361,24876716,25617333,25132396,25581426,0.0477588419354985,0.05196927930369395,0.05534578064195579,0.20589175148187214,0.23571776771639674,0.3021171884974077,0.3467170894378009,0.3659343859297099
11,12000,71393360.31408376,2600376,2613777,2613777,7040306,8374576,10969898,13902208,14610988,19999622,23226677,26796175,24449732,24512300,24388538,23363081,24672271,0.0505971366415936,0.05426524768077069,0.058608564230948706,0.14997362267986022,0.1786345262648455,0.23337813994274284,0.28944674481465077,0.3127278968556843
12,13000,77601471.85150951,939472,939471,939471,3768629,5218750,8189225,11559251,13386399,19963086,25707584,29451067,25312508,26117593,26334313,25657265,27000282,0.016299415504457536,0.01810369272559085,0.019511175511342512,0.07207312446852406,0.10136668247262387,0.1597362752970048,0.22253205315164198,0.264547119134604
13,14000,83809581.70150244,566911,566911,566911,3355857,4816575,7966712,12162907,13960093,17595731,25250218,30868220,25360778,25052904,26190018,25902205,27511033,0.008561818924497868,0.009680962431384051,0.010708281422687914,0.05741532396690844,0.08197493780144137,0.1382640111832757,0.21004071834745064,0.24796541513027398
14,15000,90017689.72857666,576558,576558,576558,1956692,3470483,6686405,9940109,10939912,13825625,19560737,25200503,20020035,18996550,20362960,21026595,22143969,0.0075671659778994765,0.008183124271937944,0.008895140765895145,0.027953679413792946,0.04886549291187434,0.09599355314498945,0.14407814572454852,0.16118037854073328
15,16000,96225795.79824924,680603,680603,680603,1416922,1971418,3756250,5202928,5625478,13228646,16214126,21143212,16868846,15732115,17197065,17534626,18875240,0.008200317741686556,0.008506296665425829,0.009064725340683736,0.01785504613776448,0.02449158717118672,0.04753018253056917,0.06611832068756153,0.07272705337338155
16,17000,102433899.77491152,497461,497461,497461,1164850,1529934,2476928,3548127,3959283,14894563,18063227,22067703,18078546,17764473,18155423,18709878,19798758,0.0056827138327437115,0.005896136461151049,0.006189928352504742,0.013808844938380697,0.018069497553907334,0.02938980502240574,0.042378840920219873,0.0479128239506701
17,18000,108642001.52416992,598213,598213,598213,766781,845761,1355132,3526984,4069834,19083251,21280013,25013591,21394863,21012449,21928299,21925285,23045309,0.006679559467933349,0.006847520415981557,0.007153226950631891,0.008788609150632258,0.009651549912533478,0.01562765699714276,0.040672480939899856,0.04754662686120497
18,19000,114850100.91039836,88622,88622,88622,251013,374214,1612301,3614602,4155422,18330277,20167958,23077844,20394094,19263432,20209380,19319584,20320882,0.000918174074605336,0.0009359948695274743,0.0009656731019105903,0.0026574593634697335,0.003914918306764964,0.017036017736239088,0.03783714478788249,0.04395912764220351
19,20000,121058197.79921174,44422,44422,44422,133978,193409,1215754,3846376,4861916,13787309,16155077,19513723,16799277,15795591,16807937,16348657,17319321,0.00041411048698541616,0.0004234573734467373,0.00043746348669228464,0.0012850507081118084,0.0018373951195121679,0.011661879698714314,0.03673376819955413,0.046866865634282086
