,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226603,143354,2723183,2812611,2885369,2912780,2938520,2952758,3045485,0,0,0,0,0,0,1780,2670,0.0461827319512498,0.8772969749236177,0.9061069791993014,0.9295465986819041,0.9383772895975097,0.9466696533991835,0.9518023521734463,0.9819740123350588
1,2000,9312181.820187144,382556,3451874,3989639,4378085,4638078,4800336,4905426,5011382,3603092,3591520,3592410,3594191,3429090,3394362,3403263,3362318,0.06700822934109309,0.6034046598977383,0.6975171607229367,0.7656684205478856,0.7883742327605657,0.8111662987144133,0.8301731923006244,0.8422683529322146
2,3000,15520302.808603223,133550,2614151,3180600,3591085,3908328,4112969,4244832,4363406,9694458,9670426,9676657,9634820,9623679,9592538,9525779,9445682,0.02292371396553203,0.446872829211626,0.5442835011179848,0.6101597977230787,0.6628077569231594,0.6938482097047219,0.7081182985557418,0.7183009668389995
3,4000,21728423.459526446,165027,2714109,3326976,3801988,4098137,4316169,4500799,4737959,14329290,14327510,14327509,14323851,14276928,14269658,14254771,14192167,0.022303557693979202,0.36672621762742036,0.4495357996899318,0.5134648922381068,0.5499751053006,0.5786706960315162,0.6022221429714681,0.628688663323132
4,5000,27936543.637852944,1682837,4191027,4779668,5468055,5815530,6218328,6439917,6613032,15167566,15128332,15090061,15083037,14994905,14660807,14519186,14430635,0.13179105232444926,0.3272140653589752,0.37206044134730054,0.4254134808548546,0.44936581546869814,0.46839796311338067,0.4799690947964118,0.48963991815150354
5,6000,34144663.20868912,2878719,6396247,7148990,7660683,7940129,8292198,8561041,8819689,15862142,15781712,15825716,15800099,15713417,15285172,15251329,15097448,0.15745744075121504,0.3483234762924913,0.3902511382645974,0.4175996176770133,0.4307971859361713,0.43968301733291404,0.453124943720243,0.4630434897368387
6,7000,40352782.036863565,2087553,6884316,8039505,8799473,9308453,9934354,10569963,10888960,17117082,17079182,17060993,16999103,16976072,16970400,16941253,16925298,0.08984248362167208,0.29579936018045255,0.34516476975109106,0.3767917245976582,0.39819345773298165,0.42486492540999304,0.4514853764295634,0.4647942554508212
7,8000,46560899.98757613,1734249,6605967,8301491,9526105,10335729,11365802,11883755,12339080,19028325,18954741,18905087,18809102,18802582,18801770,18801892,18809110,0.06298898671056256,0.2392932317376332,0.30017164940077135,0.3432608223894044,0.3723470926669978,0.4094437399546339,0.42810445550931486,0.4446228515538615
8,9000,52769016.925551504,1497968,6049025,7889270,9125939,9736953,10351842,10948812,11343416,21054867,20986937,20956464,20920622,20874557,20832062,20853850,20812435,0.04723342746113195,0.19032816650671214,0.24799235755969218,0.2865431373019804,0.30528665551096124,0.3241336572046791,0.3430598381496888,0.3549633695626926
9,10000,58977132.71606949,988229,4587361,6065190,7695101,8470864,9417680,10309684,10856612,21310261,21134805,21241151,21094904,20985915,21063381,21065466,20959303,0.02623602531819494,0.1212230134049605,0.16072696996822,0.20313221425474814,0.22296900466070088,0.24839746988184183,0.2719396136606695,0.2855663271965021
10,11000,65185247.22379303,1064230,4899432,6651169,8170979,9106173,10102045,11120273,11735322,24205051,23360855,23955086,23561744,23515212,23682960,23661313,23672263,0.025969372967084767,0.11714293357293103,0.1613180449113004,0.19630685471301862,0.21853048482187262,0.24340935586336923,0.2678039354379897,0.2826903972197195
11,12000,71393360.31408453,674366,3811237,5657424,7110344,8089131,8979362,10335769,10917039,29126943,28056862,28700158,27771517,27774673,27952882,27697994,27905531,0.015955125673149485,0.08794519973390036,0.13251346100439063,0.16299962266161794,0.1854510417003771,0.20670495235059735,0.23654153453494275,0.2510366503040028
12,13000,77601471.85151052,343016,2816765,4785802,6335970,7292767,8298767,9516082,10070803,32894848,31371416,32151249,31049934,31168907,31387574,31210132,31414774,0.007672599056893677,0.06092930125473696,0.10529765751942721,0.13610656688099956,0.1570614723378296,0.17957297232673808,0.20512625913498275,0.2180455297405644
13,14000,83809581.70150459,412001,2884763,4748437,6742338,7794319,9455889,10838395,11661817,34793179,32980075,33667726,33316031,33238241,33483792,32915761,33219272,0.008405369984185996,0.05675370837141351,0.09470006511660707,0.13352869636476355,0.15412521977626956,0.18789350462427612,0.2129609223793171,0.23051483710630793
14,15000,90017689.72858238,573132,3260879,5048192,7451710,8745099,10687253,12595399,13455921,36844493,35263771,35859836,35144607,35312161,35463577,35072924,35188545,0.010778588372737843,0.05955517113148234,0.09321255648902799,0.1357990043471449,0.1598576817233262,0.19590187550425794,0.22923746844638646,0.2454154823426498
15,16000,96225795.7982415,423917,4503896,6522946,8817053,10662696,12974728,15637695,16872527,39825871,38026367,38814160,37821036,37697058,37957871,37162584,37938441,0.007516268887174427,0.07738728872431967,0.1136171424016418,0.1509646308016401,0.18217881336782155,0.22267359005707327,0.26476201554053624,0.28947148242364634
16,17000,102433899.77491534,314664,3861869,5487714,8167384,9716947,11789636,13977021,15383601,45781260,44138015,44575882,44364357,44315115,44700149,43859578,44412138,0.005554268984643624,0.0662459968642891,0.09484794348380232,0.1406483262948665,0.16719115923762284,0.20420699922933924,0.23862027892887544,0.2651350205407038
17,18000,108642001.52417362,319187,3099924,4899440,7134085,8208932,10019962,12454959,13382834,56465490,54275269,54869583,54821516,55056067,55525022,54695127,55421048,0.006117446158739823,0.05701876600035969,0.09111436930807633,0.13255333783259363,0.15319191636560517,0.18863952901237355,0.23087452442530154,0.2514579900174346
18,19000,114850100.91040277,273893,2011616,2775771,5188894,6241423,7600060,9574395,10545793,66321390,63380062,63968021,63705273,63976315,64651019,64424778,65583775,0.005643937266449981,0.039083242262586006,0.05455301758276782,0.10145491170857156,0.12268446093224096,0.15139838640007153,0.1898727553418363,0.21405681883359634
19,20000,121058197.79920077,193967,1561122,2737946,5084732,6088338,7962939,11107410,12286769,72414078,68712810,69819754,69172993,69909977,70764137,69999359,71646370,0.003987470650115184,0.02982348714252597,0.053435385561860234,0.09799965172496194,0.119033231359147,0.15832762106428558,0.21754137503365753,0.24866048367874252
20,21000,127266292.05494332,104859,1227908,2272941,4900684,6520706,9406487,11787537,12821335,77030008,72919871,75263356,73445995,74725270,75172087,73558036,76059507,0.002087316010183315,0.022594091315757583,0.04370793598266338,0.09105642793084284,0.12410695005478103,0.180566859405553,0.21947346396690667,0.2503835182435901
21,22000,133474383.54325056,59100,1128173,1742108,4034762,5286220,6969511,9525083,10695587,80363992,77352162,79003816,77771486,78419882,79123860,78587505,80197602,0.0011127765825614709,0.020102073100056704,0.03198255642584845,0.07243361078060985,0.09601794316214397,0.12823263780437857,0.17354025684835195,0.20075512615785976
22,23000,139682472.12842083,95011,1226070,2253694,3990593,4926398,6312166,8097412,9737782,84237170,81633204,82659513,81672042,82246836,82604763,82378767,83563114,0.0017135987424135273,0.021121196520300624,0.03952257186310655,0.06879095692215707,0.08577249826196796,0.11058898642547252,0.14130695357051073,0.17351912646107837
23,24000,145890557.67619824,62298,1602030,3308173,5930906,7685839,8801588,11605445,13162936,87823102,85511372,86252098,85929108,86342916,86842986,86529815,87185968,0.0010728556861074223,0.02653281891861499,0.055470463488853226,0.0989119848173764,0.1290704179653869,0.14905927119688603,0.1955070721285536,0.22422328599184313
24,25000,152098640.05075192,89336,2077649,4229313,6435838,7881302,9397369,14966561,16766798,91326200,88464955,89432522,88937791,89522843,90294707,90031464,90373032,0.001470008443389705,0.032650144311820735,0.06748962807261767,0.10189600198104655,0.1259480881019844,0.15205131026666382,0.2411348792115488,0.27163439177810983
25,26000,158306719.1179242,200180,2565848,4181956,5759855,7246502,9067626,13582028,15474784,93625108,91848751,92342084,92310111,92486183,92988677,92656991,92839133,0.003094851790797883,0.0386085833296485,0.06339693977726044,0.08727501555395335,0.11009484922786335,0.1388226852181124,0.20688627949232474,0.23637321791773222
26,27000,164514794.74181318,74728,1928665,3454167,6334129,7923597,10206579,13037008,14406783,96395555,95239895,95089637,95424594,95370864,95531874,95451405,95521286,0.0010970175281350095,0.027840747618374247,0.04975382285548102,0.09167912282771244,0.1145956979158026,0.1479580581721209,0.18876872462729669,0.20881360091299195
27,28000,170722866.78810406,86112,1374849,2284825,4132807,5673834,7389067,9262217,10120632,99468438,98536139,98793229,98773581,98788267,98924094,98809712,98870695,0.0012085143543298803,0.019045731010771304,0.03176472272432145,0.057440556285317704,0.07887489492835534,0.10291355566489925,0.1287972559025065,0.14085352951955707
28,29000,176930935.12178278,240535,2342243,4086603,5671658,6368151,8017253,9586441,10337833,106081862,104381215,104631748,104690430,104774733,105420627,105489175,105578239,0.0033950338289753393,0.03228465934904069,0.05652349857151798,0.07851077439780826,0.08825507458460814,0.11211324927235017,0.13418539777937344,0.14488356518940332
29,30000,183138999.60710478,141137,2793341,4149055,5947171,6548884,8617048,9838914,10641652,110235869,109266877,109349871,109327874,109207454,109533455,109416513,109478300,0.0019359525280282749,0.03781319530855535,0.056228540414021214,0.0805728262654695,0.08858037453731599,0.11707063708306886,0.13345879192105012,0.14446851654628573
