,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292266077,30694,2943804,3000768,3021548,3029921,3036168,3047668,3055637,24227,21361,24227,22495,22495,19629,22495,17032,0.009966122750503157,0.954943508634523,0.9743279544465321,0.9805236569822234,0.9832407823033874,0.984352504763184,0.9889998678252667,0.9898311182055761
1,2000,9312181.820186269,132974,8014553,8184732,8265943,8314832,8354474,8390608,8426796,505439,468163,505439,421519,413414,400694,476690,450238,0.015099112431806826,0.9062116627010074,0.9293710702258122,0.929733043213849,0.9343801488042368,0.9374948570400867,0.9496480977810594,0.9508970233827185
2,3000,15520302.808603222,297032,11252718,11660774,11879518,11978911,12046393,12122451,12175240,2712410,2434659,2701263,2499702,2495470,2473369,2611785,2658941,0.023191324633860137,0.8599284960363849,0.9096448855844977,0.9123632752914702,0.9196978706772831,0.9233121878840637,0.9391047972928909,0.9466524759342155
3,4000,21728423.45953008,316157,11719458,12321380,12686772,12839212,12950643,13064298,13162150,7754212,7610483,7724233,7428257,7536074,7506951,7557563,7643711,0.022624317723801753,0.830111023176116,0.8798352204368299,0.8871765259449225,0.9046572617600352,0.9106400927789672,0.9219128250757769,0.9344990206806919
4,5000,27936543.637846857,347831,13546272,14565724,15299836,15539423,15679828,15785387,15899737,11380560,11208772,11313460,11165314,11242382,11232992,11320425,11350639,0.021009382928167487,0.8098073248053757,0.876234777934779,0.9122668003706519,0.9308297917022091,0.9387122176144079,0.9500044712033601,0.9586294716610686
5,6000,34144663.208691776,654761,16117763,17608033,18361515,18736552,18927464,19292023,19540410,13797192,13747150,13758911,13721802,13729967,13729967,13839633,13885515,0.032178986434457144,0.7901827460580787,0.8637421283131533,0.8990667278385809,0.9177972480444119,0.9271489424340015,0.9501105293476417,0.9645227824344847
6,7000,40352782.036864206,700555,17423105,19588865,20557838,21152775,21439828,21911778,22182038,17119174,16859983,17041547,16850171,16868021,16875854,16980753,17010784,0.03015265639707988,0.7416359784400394,0.8403186261483925,0.8747044304036992,0.9007021602986008,0.9132297022137867,0.9375214263784721,0.9503058806263169
7,8000,46560899.9875716,876974,17990686,20446660,22016489,22696778,23145739,23746713,24103484,19738819,19523257,19632548,19353929,19267486,19246155,19457951,19554104,0.0326959716662685,0.6653940215228741,0.759298601319415,0.8092223500387948,0.831584425837503,0.8473715940065146,0.8761671289308539,0.8924969852437258
8,9000,52769016.92556146,1304505,17803403,20403569,22223980,23101579,23624058,24412492,24963188,23858237,23695311,23709127,22869068,22500432,22520091,22894231,22975002,0.04512175054975332,0.6123540991156321,0.7021213449970006,0.7432781927263001,0.7632196568426624,0.7809883252759332,0.8171603994361074,0.8378591493079739
9,10000,58977132.71605301,1845668,15714824,18862395,22023683,23720380,25064663,26730449,27564360,26439103,26260816,26297884,25436435,25412762,25322809,25961479,25493072,0.0567234099945953,0.4803359784168235,0.5771979387865865,0.6566256667182919,0.706713085750037,0.7447679891438208,0.8096295542075852,0.8232083985794778
10,11000,65185247.22379929,2044606,14373345,17801637,21082582,23424436,25260273,27686364,28955558,28783488,28617568,28606700,28356861,28382780,28333642,28647109,28582121,0.05616777989848487,0.393061449484752,0.4866687813237599,0.5724546786243918,0.6364909139801358,0.6854592316018451,0.7577387723046698,0.791067894664504
11,12000,71393360.31408685,2138084,14428449,17601893,21128680,23789767,25434386,28209651,29455304,32806377,32560251,32624679,32235026,32120700,31983535,32197113,32396594,0.05540946237223616,0.3715501862933759,0.4540235159766509,0.5395704482863856,0.6057589888166237,0.6453818507769077,0.7197028525192933,0.7553268330702544
12,13000,77601471.85151207,2218526,13512391,18117705,23822363,27056187,28983316,31836349,33354043,35479939,35122824,35308298,35026288,34790834,34580032,34744599,34703165,0.05266964067572768,0.3180984255250726,0.42838366927981814,0.5595363506376013,0.6319968203660944,0.6736946996668528,0.7428528234037205,0.777514206223837
13,14000,83809581.7015034,2505365,13302323,18204727,23875906,27664967,30002118,33699254,35435136,38281409,37878348,38062116,37412053,37272028,37067359,37211980,37058483,0.05502889422832623,0.28961388423504497,0.39793957371941896,0.5145943473326924,0.594465432743756,0.6418633147078611,0.7231971768820186,0.7579530103933257
14,15000,90017689.72860157,3189019,13652912,17692235,23470437,27739807,30477933,34437637,36412143,41054815,39946909,40462909,39669374,39363036,39619103,39253217,39261994,0.06513136774906601,0.27267224120196604,0.35702377732020835,0.4661613136478179,0.5476260315315714,0.6047378503711801,0.6783806695700642,0.7174001356360332
15,16000,96225795.79820812,4078559,14493235,18656815,24655691,28939798,31577695,35417440,37461616,46621309,44414718,45219671,45725590,43954307,45534657,44168604,43707645,0.08222157436265083,0.2797323587138588,0.36577597443073007,0.488229515311695,0.5536440355031951,0.6229430971299512,0.6803563307312155,0.7133079788726713
16,17000,102433899.77491605,3571714,14251587,17685377,23242292,27324394,29966515,33887876,35925048,52769824,50006722,52176926,51568211,51311258,52152347,51058521,50951118,0.07191745631565691,0.2718358608045981,0.35189896389716596,0.45693457731101683,0.5344871284294046,0.5959743354415536,0.6596131611694452,0.6978070485209048
