,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292280075,0,331219,768639,1476991,1884483,2173803,2655256,2802619,0,0,0,0,0,0,0,0,0.0,0.10670506783315489,0.247623707076612,0.47582543526778137,0.6071025102588536,0.7003094525704009,0.8554137039070571,0.9028879699096028
1,2000,9312181.820185855,2663,1524600,2724419,4131713,5045100,5757116,7136751,7537146,16088,2774,2774,7101,13314,12537,2663,9763,0.00028646440661102957,0.16376981537903693,0.29265223445175154,0.44402763176832627,0.5425499208675885,0.6190683742570012,0.7666079351518538,0.8102350738761313
2,3000,15520302.808601346,17752,3570667,5749055,7583672,8718470,9666190,11334639,11815890,95745,26516,42492,15976,18638,28291,19526,1775,0.0011508919879765227,0.2304579922332319,0.37143851098148384,0.48913262043681904,0.5624215274711926,0.6239467229577774,0.7312303854159383,0.7614053437112049
3,4000,21728423.45952569,155355,5235277,7385076,9535182,10846320,12116460,14570043,15387349,182470,45513,144030,74968,90252,92012,79406,89002,0.007210402653650769,0.24144715303660028,0.3421488777921066,0.4403538279524493,0.5012586216117243,0.5600032159984453,0.6730117441699,0.7110795003822284
4,5000,27936543.6378505,413816,7354752,8808299,10588687,11462351,12455258,14990669,15881337,460818,98947,310976,218198,224908,220805,188623,181750,0.015061149083172092,0.26420211829636964,0.3188459008506136,0.3820100643214697,0.41362953633613436,0.4493929663122978,0.5402447698928281,0.5722015882093204
5,6000,34144663.20869292,868290,8124047,9941005,11863455,12974320,14265562,17090519,18051687,556068,200340,308676,429246,440021,378558,284602,195599,0.025850738758353357,0.23933448164668322,0.29379976232660415,0.35187033061365225,0.38494163265894965,0.42248171389122485,0.5047397550366015,0.5317285592625474
6,7000,40352782.03686476,861484,7176466,9575180,12144292,13549003,14976494,18270169,19392267,704096,508906,488187,495705,481767,330712,313414,257135,0.021727933157709312,0.1801146553452811,0.2401925816917332,0.3046960013843327,0.33982086955831414,0.37420588155997403,0.45630512907142845,0.483650182329527
7,8000,46560899.98757127,984779,6859017,9699554,12852673,14616280,16107764,19791067,21034686,895308,596004,575025,518670,631553,474532,325275,367536,0.021565011141605823,0.14922294182618517,0.21092463724179492,0.2791496633301531,0.3182340041532758,0.34951255009602833,0.42804800422445016,0.45536164037889876
8,9000,52769016.92554954,1240849,8654827,12094266,15634504,17503484,19581175,24775569,26368412,1600083,1084240,1159842,1243410,1226642,1338420,916247,823599,0.024250045971358856,0.1674540844486382,0.23434333173213812,0.30343172905446086,0.33959405295706563,0.3807300745185892,0.47780608510544154,0.5076176697200198
9,10000,58977132.71607199,979283,7158523,10214826,14191634,16065751,18516622,24111477,25984367,2872834,1858806,2094107,2480237,2344931,2501042,2137669,1955986,0.01745468747334094,0.1253279535933207,0.1795759960271216,0.25119316415756315,0.28368579206131417,0.3278665673424618,0.424203105089857,0.45569702639242154
10,11000,65185247.22379559,681022,5005310,7376479,10287320,11976880,14103766,19699982,21508400,4032269,2696592,3036861,3389790,3305410,3416022,3020473,2702010,0.011136366858662716,0.08009949937431178,0.11869140050455032,0.16647372577475905,0.19355060609943472,0.22832998064814244,0.31689943776002955,0.34422672312837405
11,12000,71393360.31407928,446007,3421255,4908737,7428061,8984980,10609836,15665013,17286602,4903889,3223946,4124182,4158449,4075388,4075058,3865797,3389368,0.006707934221542789,0.05018753695370088,0.07297156176163092,0.11047922656283078,0.13347074623816063,0.15760700486026674,0.23197953889051248,0.2541998110958119
12,13000,77601471.85151488,297609,2279727,3203205,4640193,5341243,6469674,10012018,11278956,4993694,3327042,4238409,3339201,3403198,3000620,3118835,2969630,0.0040988583979063445,0.030693295183248093,0.04366236734803742,0.06248385548669691,0.07198608165317784,0.08672386225397538,0.1344208317968051,0.15112793306696423
13,14000,83809581.70149839,388856,1816518,2529110,3851922,4549203,5460917,8488792,9578650,6150511,4185005,5758021,3932657,3860814,3830462,3597167,3877092,0.005007219330432926,0.02281353415302761,0.03240306762951695,0.04822321358007593,0.05690147741845356,0.06827928364780053,0.10582890480968686,0.11983425057533822
14,15000,90017689.72859359,416313,1468739,1967589,2874096,3358493,3946747,6576902,7497732,9386164,6856226,8634159,6873042,6317486,6016544,5462811,6307608,0.005163154191095343,0.017661293273930196,0.02417674660198418,0.03456742049568626,0.04012526673041627,0.04698444248310468,0.07778264363799407,0.08956784947731014
15,16000,96225795.79822505,492646,1824945,2523586,4083950,4848070,5631476,8681648,9785755,9395326,7318391,8798889,7669482,6770845,6779424,6298467,6156566,0.005673653512929288,0.02052635552844788,0.028865095339862056,0.04611698279701718,0.05419565889578685,0.0629592445929903,0.09654070810308951,0.10864703763896118
16,17000,102433899.77494073,133565,1037178,1534638,2662327,3197738,3889152,6929219,7811848,7280287,4702890,6283974,5433973,4455639,4651344,3704092,3714806,0.0014036776545301613,0.01061257836574552,0.015960885956294395,0.02744669082253157,0.03263721946795227,0.039773474615977404,0.07018365735903673,0.07913208783915106
17,18000,108642001.52414179,149800,755263,978117,1587200,1895230,2458333,4474933,5076811,6809951,4386079,5951255,5549911,4738222,4951311,4191472,4804931,0.0014710496275873992,0.00724431746143831,0.00952487963236349,0.015395943490236182,0.018240241198922393,0.02370832895000963,0.04284260712116067,0.04889208617282455
18,19000,114850100.91040659,152931,774332,995007,1592187,1919355,2203659,3780884,4320069,5496322,3167966,4701391,4368218,3437801,3732620,3039915,3937970,0.0013984976241680333,0.006933355998443108,0.009033305980699407,0.014411294938656657,0.01722749643929324,0.019831794079068425,0.03381520180128865,0.03895037417944568
19,20000,121058197.79922318,170122,881765,1133403,1556724,1818434,2220437,3992837,4509377,4291048,2435320,3644164,3474297,3133521,3074823,2771022,3322839,0.001456933737720913,0.007433346891924538,0.009653045409700408,0.013239261407547082,0.015420300901871785,0.018819914278419333,0.033755451282202496,0.038300957724093275
20,21000,127266292.05493855,384187,1392449,1767499,2504263,2979935,3425659,5125231,5665644,2747683,1492741,2188187,2167967,1735654,1934504,1633562,1807656,0.003085378184962649,0.01107107963733783,0.01413116227835123,0.020018357551152027,0.02373870671075399,0.02733272263297145,0.04079534845544439,0.04515945795488327
21,22000,133474383.54325128,367237,1078970,1403517,2183587,2573169,2991555,4146220,4525868,3638262,2214456,3237334,2919428,2561482,2850103,2480275,2791914,0.0028284655736398076,0.008220102053952986,0.010776633875861084,0.0167254241013977,0.01965557992884201,0.022901982598935427,0.031651957833134244,0.03463255642335484
22,23000,139682472.12842727,380066,1213508,1429032,1851576,2115685,2523746,3871594,4312849,3949349,1957851,3260764,2715546,2675018,2830154,2567062,3037668,0.0028000976566375114,0.008811118811272039,0.010475107075002394,0.01351841683490704,0.01544211600353373,0.01844138290468433,0.02823602391863704,0.03156248075079764
23,24000,145890557.67618632,485845,1492472,1816701,2405996,2737314,3165392,4490969,4995904,3374565,1435932,2321788,2277927,2500086,1947447,1876124,2208441,0.003409056000500231,0.010331770222059684,0.012653873151504309,0.016753373214261156,0.01908992953298585,0.02199057659050352,0.031184159013518446,0.03477053453533939
24,25000,152098640.05074358,269651,1431394,1657461,2356350,2694675,3132826,4434583,4794269,2589734,1294382,1791898,1651888,1709805,1484281,1206534,1745266,0.0018035781755267476,0.009491734640001713,0.011027189980875514,0.015662352080590188,0.01791805222170099,0.020800314257849197,0.02938909871473788,0.03188667384598869
25,26000,158306719.1179304,352221,1705536,1900436,2506934,2794666,3135731,4712845,5151355,1854576,663278,1160826,1305415,1443787,1271752,1181739,1564260,0.002251301854871384,0.010818946782087287,0.012093449992828095,0.015967599849469622,0.01781597450887221,0.019968361553800454,0.02999424404994525,0.03286508983583195
26,27000,164514794.7418158,130982,694228,760667,1022197,1187433,1384127,2436669,2771296,411841,184795,255063,264759,182735,235167,238108,266373,0.0007981696673545242,0.004224596854443645,0.00463087935146284,0.006223420259139479,0.007225814621112832,0.008425433019457005,0.014832713322430054,0.016872588306244034
27,28000,170722866.788105,153072,513341,612395,924808,1044500,1230208,2128665,2459602,853698,799585,790005,803968,803277,781110,811872,828199,0.0009011170248966261,0.0030210162762754206,0.0036037467594914976,0.0054426435587560445,0.006147025197639212,0.007238997779303337,0.012528118045890118,0.01447721716062125
28,29000,176930935.1217947,116059,431966,494360,889802,1044934,1224195,2093733,2398668,691767,635831,647787,618219,635974,629552,638619,637910,0.0006585312518031996,0.002450243880292746,0.0028043520056633253,0.005046726178192022,0.00592719152805564,0.006943762881056279,0.011876484727522141,0.013606142377685357
29,30000,183138999.60707426,93369,274627,364612,612338,709204,858749,1614719,1865012,1070451,990028,1034921,978318,1028631,1010576,1020613,964087,0.0005128233333781415,0.0015077054653507256,0.002002217648220405,0.0033615267279293033,0.0038943636511449588,0.004715074028492521,0.008866315093619863,0.010237479866520202
