,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226375,2207198,2233848,2292320,2364110,2396777,2411432,2432490,2456441,530203,563293,572697,547496,543969,539855,536125,553097,0.8575447122393549,0.8792020074185898,0.905567249814903,0.9247213909532135,0.9362075062619042,0.9404206794162343,0.947255052780595,0.962946304626444
1,2000,9312181.820186017,6838483,6963868,7082192,7186238,7283557,7315086,7454898,7574607,1376913,1425515,1403187,1390324,1391499,1382684,1389204,1417488,0.8617834070855955,0.8829925440968164,0.8954604423212189,0.9071404919296135,0.9195617556402726,0.9225156707122213,0.9409212254774396,0.9594554484978779
2,3000,15520302.808603944,6959176,7187630,7556044,7768762,8105602,8226498,8966547,9184403,4655958,4680049,4658803,4635840,4628789,4624677,4636394,4676515,0.6405518347032513,0.6630499734512817,0.6956722490585024,0.7137478566107051,0.7442126174964618,0.7550275812063759,0.8238351825321955,0.846973692413336
3,4000,21728423.459523495,6765700,7039612,7782119,8320073,8975771,9368788,10784534,11040094,7947627,7952328,7943018,7935170,7935756,7938219,7933591,7948526,0.49095130458330133,0.5110019758997442,0.5645186877418835,0.6031987322219067,0.6507639676183488,0.6793799198190951,0.7817807161952673,0.8011738862664776
4,5000,27936543.637848064,9382920,9921488,10838848,11638145,12544357,13097201,15205624,15504348,9832094,9834845,9833799,9774600,9774317,9774179,9776052,9807554,0.518265961555917,0.5480970708050341,0.5987405897191317,0.6407984317133889,0.6906838709885358,0.721117611123559,0.8372914292865365,0.855224053282673
5,6000,34144663.208688915,13128346,13873799,15190164,16243231,17382266,18166384,21420566,21854251,8581874,8587354,8597793,8592844,8597828,8596679,8606078,8618435,0.5135725171781181,0.5428505358961349,0.5945998032601886,0.6356976333988962,0.6804078022974835,0.7110691728790712,0.8387530407405711,0.856148852910474
6,7000,40352782.03687596,13498013,14622187,16664173,17788425,19083180,20289112,24151035,24820252,8127694,8134744,8119878,8138343,8135401,8138930,8128264,8138031,0.41886659811616,0.4538509447181051,0.5169926042324762,0.5521879483804618,0.5923256138715131,0.6298257028304026,0.7494614806143225,0.7704623255225055
7,8000,46560899.98756522,14985606,16490783,18530339,19626030,20776270,21754747,23895732,24596556,8505389,8506539,8508050,8508742,8498536,8502562,8499867,8516828,0.3937828086159874,0.4333480466375086,0.4869632368155153,0.5157665435535468,0.5458481245880445,0.5716157917118692,0.6278266805792393,0.6465279533704865
8,9000,52769016.92555469,12691803,14062316,16238892,17653466,19062957,20449288,23789411,24725173,11925819,12090350,12124408,12219155,12031504,12187020,12069622,12326471,0.3107445950518732,0.3456926458709966,0.399533724872182,0.43535206192341463,0.46794601906199784,0.5039004866496103,0.5845151025835742,0.6113653934031078
9,10000,58977132.71605155,11350890,12430435,14638794,16100372,17385571,18779967,21542414,22517746,15142848,15283171,15182036,15155184,15220366,15334343,15368335,15456263,0.25895004500537566,0.2844886229539016,0.33425646014465055,0.36740429103972255,0.3973230269233387,0.43031087430904635,0.4939923852124604,0.517401103123978
10,11000,65185247.22381574,8921366,9980258,12166074,13565660,14798648,16034411,18742267,19530379,19926024,19910974,19980611,19982561,20042380,20106921,19989097,20057514,0.19711708165829747,0.22043993838757106,0.26913332384235383,0.3001073859378897,0.3278180786929008,0.3557011172151444,0.41468724453712247,0.43277996931813595
11,12000,71393360.314094,6818308,7828348,9725674,10855222,11798997,12899141,15074072,15504899,22827987,22907471,22926407,22904520,22906425,22941972,22937556,22910087,0.14039443197322812,0.16145621150284717,0.20066608967499946,0.22387052215898773,0.24334383939853402,0.2662285116863777,0.31108908857004586,0.3197989314696859
