,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292268867,1916969,2471219,2623415,2754454,2783597,2806446,2851846,3007435,80606,84668,80606,85176,85176,85176,85176,85176,0.6340326662980814,0.8184490404061011,0.8676879006683891,0.9124078387538098,0.9220614040864682,0.9296300934556447,0.9446687602402136,0.9962073313050659
1,2000,9312181.82018844,4754762,6604427,7153983,8050047,8272672,8402579,8594991,9093889,257700,257700,250083,258715,256175,257699,258715,260238,0.5251280078113896,0.7294097145652615,0.7894399677106189,0.8891673388639475,0.9135010788152056,0.92800209209797,0.949359087596579,1.0046338312129168
2,3000,15520302.808601588,6717988,9837085,10847562,12446711,12880990,13195597,13706286,15092753,451050,452065,447495,448003,446988,448464,448463,453334,0.44580763793181216,0.6528357944008938,0.7196775901175911,0.8258003860098911,0.854555893216631,0.8755134106443067,0.9093970062087404,1.0017113058191036
3,4000,21728423.459531046,9635344,13621502,14730449,16559964,17369669,17831300,18903958,21046079,629221,623123,619364,615006,603328,613529,615053,637093,0.45666863562643667,0.6454066847386956,0.6978259276894968,0.784333660419549,0.8222291365866135,0.8444891843610961,0.8953548196501394,0.9978544995244434
4,5000,27936543.63784305,12129501,16719285,17944430,19996375,21400389,22170245,23786985,26878252,719745,711619,703411,703996,694456,709584,708059,731425,0.44566229707614397,0.6141168514663194,0.6589190541768409,0.7342822003260732,0.7855634738606406,0.8142754569329633,0.873606640853603,0.9879851052225014
5,6000,34144663.20869224,14619708,19940986,21451225,23801108,25339890,26313241,28518307,31995840,907212,897354,869428,884119,846232,879043,884626,915641,0.4398564711898445,0.5997774398773478,0.6446603567326988,0.7155958679046469,0.7609935087087605,0.7910040707169621,0.8574346090192279,0.9628883991545903
6,7000,40352782.03686637,16356891,22151756,23933572,26108104,27996366,29110371,31902278,36363869,786060,766447,737648,750837,717623,744737,750837,789203,0.41340020496920205,0.5595808750512086,0.6041522408513651,0.6592631744651775,0.7063518017919236,0.7349610659376058,0.8055735133792401,0.9191248589040745
7,8000,46560899.98757318,19212646,25733238,28146664,30151545,31585765,32635834,35493243,40765425,1021113,1003543,965571,971959,917982,965860,970937,1018135,0.4218870414401085,0.5648536197352129,0.6173146378145722,0.6613784910735003,0.6920189679502874,0.7157759705637898,0.7785319547128099,0.8951021092180783
8,9000,52769016.92555177,20678150,26958583,29661239,31697624,33392239,35136325,38384980,43493951,1716856,1702483,1627663,1626044,1512564,1624513,1628068,1720928,0.405039661889229,0.5279109610082806,0.5799854075662307,0.6197845409992466,0.6514738553699975,0.6870009933256173,0.7505723066632725,0.8520191826070378
9,10000,58977132.71606165,20860669,26497778,29836571,31821534,33532972,34993055,38803819,44255706,1451317,1426181,1397833,1401219,1257947,1395693,1409338,1497296,0.3626314332153927,0.4604229332423854,0.5181822486055199,0.552688302211397,0.5809675168488855,0.6077141379679519,0.6740542901007388,0.7699344418567838
10,11000,65185247.22379947,20891477,27850711,31714469,34179998,36316524,37721120,42273886,47925242,2067727,2060839,2014467,2052854,1847528,2034396,2048784,2192035,0.3309933109843966,0.4412035183167007,0.5020433321805267,0.5414019056561746,0.5733790929805677,0.5973176809022038,0.6695637329280228,0.7608000974729363
11,12000,71393360.3140977,23784950,31269218,35015484,37403401,39298511,40865470,45933671,51964099,1702279,1741806,1686469,1665771,1546340,1664197,1681026,1827126,0.34129116023901584,0.4489378350264756,0.502324567053507,0.5364218291200509,0.5626369002324945,0.5860599504961779,0.6589030686168112,0.7469730036755691
12,13000,77601471.85149688,27271711,36199407,40081219,42242202,44379165,45769413,50335121,56309235,3090899,3155107,3070452,3052195,2885238,3044685,3058799,3239504,0.3660112915029364,0.48624814753828977,0.5377790224776458,0.5666346312674101,0.5939695125453771,0.6138866082193708,0.6752524302459223,0.7572316417506765
13,14000,83809581.70150942,27515736,37597002,43002724,45931815,48430504,49964625,55086480,61336639,1702831,1735963,1684080,1676089,1519337,1653816,1674541,1819370,0.3351214822765379,0.4580887573232902,0.5236220553792932,0.5592336754376924,0.5885327498498939,0.6081694275911547,0.6706818372464466,0.7480970926541809
14,15000,90017689.72857273,23981259,34115003,41720368,46106477,49222511,51122560,56469981,62219473,2082584,2135376,2068077,2005534,1775770,1908557,1926393,2050552,0.27271541668491767,0.388189631708665,0.47436670504458117,0.5238648754632396,0.5578132383271548,0.5802186267964657,0.6410392751283426,0.7073035977592165
15,16000,96225795.7982217,21122426,29338634,37673976,42603490,45861329,48508523,54747548,61205845,2731279,2779141,2720022,2693388,2497178,2674854,2699235,2893653,0.22592154837899278,0.31396130833522695,0.4029053444474729,0.45549442169722487,0.48929910711720875,0.5185252234512736,0.5853689853742698,0.6557852757363906
16,17000,102433899.774943,18937384,27323113,35899286,40403251,44188926,47540773,54795918,60631625,2125206,2181754,2086011,2109319,1935494,2112972,2151282,2283821,0.1887910537693647,0.2725439220157733,0.35774829384316953,0.4027253409673962,0.4396977808678584,0.4738868953310676,0.5464149143271719,0.6054076615980626
17,18000,108642001.52416658,14942036,21567613,30590910,34680438,39760103,43624974,53908841,60060378,1796406,1877957,1747243,1901502,1710360,1895242,1929837,2107758,0.13984700002556844,0.20201195164649333,0.28617782969296907,0.32490421306439715,0.3718272948331594,0.4086772675298276,0.5051799037193321,0.5637659405388813
18,19000,114850100.9103862,14255973,20725211,29997250,34028588,40445772,46188351,57135539,64558072,1670120,1793844,1698234,1948108,1597160,1906280,1940617,2203272,0.12595843262500295,0.1833176824209543,0.2651060987244441,0.30139935640471416,0.3571277855998775,0.40894978253522646,0.5060295824693276,0.5731015477706684
