,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227962,684142,909456,1156702,1373467,1459524,1608360,1868800,2044552,1351,0,0,1351,1351,675,1351,1351,0.22049823597905713,0.29298912251794473,0.3726415615431112,0.44266694732299383,0.4704030265194907,0.5182597949968971,0.602312244238275,0.6589569261461118
1,2000,9312181.820188768,1889668,3013588,3947295,4636127,4940249,5532280,6355233,6830756,675,0,675,0,0,676,675,0,0.20293901260995817,0.32361782213772444,0.4239158147252453,0.49785615117059867,0.5305146629858066,0.5941337638435634,0.6825139177496906,0.733529062457839
2,3000,15520302.808599215,2459039,5085650,7336395,8810474,9379485,10228535,11368468,12155536,40500,29696,37800,33748,34423,32397,41176,41850,0.1588546721431086,0.3283054087446614,0.47385071333074497,0.5689111690036968,0.6056798267794659,0.6604207906740303,0.7344385856238612,0.7853198346314605
3,4000,21728423.45952919,2955571,7054235,10922541,13283916,14283962,15628796,16877143,17797222,33772,22970,27695,24318,25669,24994,27694,31745,0.13623500730184768,0.32499827811259246,0.5033260067914315,0.6120462335925342,0.6581635536925238,0.7201072083627761,0.7777223817049586,0.8202740356408541
4,5000,27936543.63785371,3434936,9959655,15487890,17685252,18615396,20141016,21775304,22955939,95315,81133,86534,79027,68220,72950,77676,43301,0.1233758770016983,0.35754831007464916,0.556117940402752,0.6348466817738052,0.6679768845053383,0.7228434444521074,0.7816291847559674,0.8229928408842171
5,6000,34144663.20867963,3349184,11513743,17635182,20256685,21285616,23141075,25503394,27254798,19500,18825,19500,10800,9450,9449,9449,20175,0.09814411668947404,0.33739077497799225,0.5167794185234709,0.5934483558500079,0.6235676885881487,0.6779238254821284,0.7471285764925769,0.798687377619562
6,7000,40352782.03687248,3737183,12417188,19915819,22662774,23876377,26009385,29151439,31144919,10672,8646,9996,7424,6749,7424,7424,13372,0.09263727149086239,0.3077817303771563,0.49366493880212814,0.5617194914787473,0.5917899531331677,0.644668588049943,0.722547535043756,0.7720717524508118
7,8000,46560899.98756245,3510620,11548363,19587521,22750793,24242416,26679085,29891820,31626308,21057,17681,12275,16214,18239,16215,18917,24434,0.07543257077464134,0.2481212784849716,0.420796983911634,0.48879463932959843,0.5208644174100462,0.5731929436654071,0.6422549724189466,0.6796027014267175
8,9000,52769016.92555392,3839071,10226597,18176511,21948555,23793374,26540510,29804880,31637420,775679,599507,449443,467358,650922,608576,413027,452834,0.07383774831877367,0.19602631910081944,0.34741320764315764,0.41965313244158337,0.45652808365284125,0.5088244947522585,0.5692735452501267,0.6047348684635525
9,10000,58977132.716077775,3114394,10035631,18827651,23754377,26121376,29352246,33019787,35087381,2311822,1590470,1935131,1001437,1759717,1766226,1405657,1384257,0.05496120925913049,0.17487741097006432,0.33006644987167877,0.4097299171075312,0.456528413125447,0.5130533264516719,0.5735442176754675,0.6092312732042466
10,11000,65185247.223801136,2669383,9435437,18171921,22577002,24816584,28354228,32651608,34948798,1842914,569897,1221166,463576,1246930,1479052,1024323,949671,0.04214216408114516,0.14602469795984246,0.2840957089091776,0.3488321851568227,0.3881332052130078,0.4450780320562393,0.508901771522293,0.5440723047028644
11,12000,71393360.31408197,2134485,8602543,16720137,21020351,23228553,26418625,29561575,31431191,896968,326180,780434,372526,600518,690474,473347,571845,0.030277932386812752,0.12104804161331564,0.23678578233155012,0.2959744306443905,0.32812007882016375,0.37365695203221394,0.4168298004835571,0.44380850735271266
12,13000,77601471.85150343,1444258,5568645,13031757,17009413,18888554,21685030,24908674,26574586,644954,250511,563889,350395,456030,502650,382786,487452,0.018767195298348402,0.07199193052935121,0.16916103176705105,0.22018350673216497,0.24484342232893563,0.2812627933766168,0.3225731404947891,0.3446141966295367
13,14000,83809581.7015065,1513221,4984794,11784434,15445552,17272707,19846372,22498874,23845970,1001038,553016,838069,713667,762969,800071,674239,611224,0.018273730370800746,0.05987268340939749,0.1420298800914357,0.1858761896476239,0.2079880977455769,0.23908551962636515,0.2706294732046891,0.2866158739040616
14,15000,90017689.72858346,1486227,3846753,9719337,12487563,14103508,16543900,19402623,20648048,1030558,431973,712263,473901,604218,735916,582877,583196,0.016701594614073965,0.042939356188380476,0.10883254642003955,0.13945761260840886,0.15773359122897618,0.185299858068383,0.21694709708716037,0.2308734263388673
15,16000,96225795.79822385,835233,2653131,8236979,10770697,12195609,14365823,16964097,18017142,1254077,512039,982260,643624,653169,777901,817408,842636,0.008794544424056696,0.02771943228174734,0.08648333906303389,0.1126852089397716,0.12760566920220556,0.15050958463116704,0.17780509021782054,0.18889227446557605
16,17000,102433899.77491212,630444,1476659,5320174,7431182,8781971,10719029,13143505,14037341,1387945,809530,1129988,412979,641754,802187,767516,487052,0.006239180988535009,0.014530559975630382,0.05251696510812862,0.07283978563960772,0.08627356200368477,0.10546933341308405,0.12928073677824056,0.13769274191775863
17,18000,108642001.52418423,566644,1343115,4142817,5585388,6583749,8469867,10542751,11305999,1896449,1107548,1563065,602940,825888,730289,706314,745149,0.0053083616750367315,0.012490089975655448,0.038689373787946874,0.05169785743418113,0.06106461070425433,0.07848885725079942,0.09767622963107338,0.10478525309592186
18,19000,114850100.91039407,729570,1926335,6236098,8059482,9294875,11389713,13700212,14493963,2439547,1562356,2009935,1091507,1437323,1312261,1344324,1507077,0.00649022689258842,0.017003913367007628,0.05526487797751078,0.07084723644130422,0.08195615318887399,0.10031644964347523,0.12070057025216863,0.12787697469108056
19,20000,121058197.79923415,1009695,2295331,6507511,8569392,9762635,11911117,14240419,15096734,4030821,2548020,3144681,2053542,2284702,2209774,2343557,2545501,0.008627852965825068,0.01936821834735981,0.055188846678875976,0.07200888017740183,0.08219540002848809,0.10022107672307855,0.11995503590903227,0.12738495037012404
20,21000,127266292.05494952,521321,1459993,4612846,6376967,7213282,9446064,11677530,12272955,3740183,2932501,2557238,1671325,2192893,1892777,1837148,2243752,0.004220330454738883,0.011742527816551123,0.0369888620754631,0.050774064833425926,0.057672391207909283,0.07534337691545075,0.09310061140881394,0.09816593867478479
21,22000,133474383.54323673,311090,998778,3518127,4448974,4967157,6173524,7754302,8195890,3390223,2293294,1924702,871282,1764286,1084452,850094,1341242,0.0023914518009023967,0.007613734597552698,0.026743713544024727,0.03355105535408131,0.03771280329034318,0.04663137089079778,0.05846818879638203,0.06202751182842446
22,23000,139682472.12838292,275518,607286,2164845,3072350,3468031,4119043,4941884,5212433,3879868,2828174,2204340,1042571,1397396,1100560,1153269,1625719,0.002028812346923297,0.00443746384516404,0.015746831634127642,0.022160647656225253,0.025078852303485763,0.029722803912418955,0.03567395096772537,0.037755726408782116
23,24000,145890557.67623758,200397,629317,2183392,2945466,3308550,3857114,4645739,4872242,3505115,2515805,1909345,926991,996318,1101573,1186487,1910702,0.0014074261822935908,0.004389315330999003,0.015164422909186563,0.020318663975607193,0.022834241080893686,0.026639554166533363,0.03210510235330163,0.033839747769688275
24,25000,152098640.0507114,165075,392476,1454916,1949317,2141457,2560031,3159726,3359726,2722340,1957999,1688454,828283,901574,943097,1000169,1372498,0.0011050949845722454,0.0026140557097224433,0.009672988500323172,0.012886311885589833,0.014163350228514069,0.016936401724554233,0.020911700681203706,0.022290267330465005
25,26000,158306719.11796832,378856,751500,2625765,3300378,3636754,4307094,5159127,5480966,1807193,1308809,1109261,518909,824309,849811,756149,918765,0.0024208124420416507,0.004786687921102405,0.01670360978756732,0.020916558747678345,0.023093080663902386,0.02735411263615745,0.03274584786419387,0.034824558402301906
26,27000,164514794.74180388,390080,813222,2478991,3204920,3527781,4182523,4940001,5257978,1745055,1262153,1022646,613002,864544,746411,622753,782012,0.002396514245330678,0.004981371151629942,0.015162752579115979,0.01955390448381942,0.021556832232208983,0.025539257971759294,0.030141799122757256,0.032113165805601036
