,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270306,7314,2918820,2932053,2943612,2944438,2954410,2957713,2958538,38292,37596,38292,37350,37466,36563,41734,45037,0.002385698623918685,0.9518518401223993,0.9563843050802094,0.959859718079088,0.9601653808224984,0.9631335887110279,0.9658385136880594,0.9671510777926152
1,2000,9312181.820188334,44704,7732901,7955874,8094242,8113915,8144544,8158191,8166604,585274,583493,585274,583237,583946,581547,591740,598345,0.005122547518673716,0.8859178233178384,0.9116486806008575,0.9272875664512862,0.9296168397779291,0.9328696214812371,0.9355249617184888,0.9371995561219947
2,3000,15520302.808597686,33854,12785949,13586736,14008076,14173929,14348705,14395576,14411108,748523,739479,748523,740768,737880,739427,753931,756702,0.002291802371728815,0.8650362906404913,0.9197765046627658,0.9478022266202245,0.9588366659189469,0.970761488412865,0.9748891729529802,0.9761241980755528
3,4000,21728423.459535804,67305,14278165,15478587,16835067,17383052,18060311,18243130,18291023,1740377,1712095,1740377,1693311,1696200,1692175,1709054,1737447,0.003367262535448553,0.7133258743662285,0.7743921864167745,0.8402781383933422,0.8677544974032957,0.9013818647973793,0.9112739557993557,0.9149639607161402
4,5000,27936543.637842245,75780,14556181,15807185,18504413,20270334,22499351,23125846,23266485,1995474,1953479,1995474,1830109,1782691,1762989,1842256,1881493,0.0029212365202340713,0.5602180190399901,0.6093497770400661,0.7088065933437409,0.7750419902064705,0.8596215268166133,0.886241706267644,0.8929740848865538
5,6000,34144663.20869093,44405,12296418,14504784,17877608,20563844,25279689,26740101,26962050,1776521,1529740,1776521,1377288,1269721,1350384,1753956,2041745,0.001371873606884894,0.3770181496770584,0.448119138456622,0.5455917016892553,0.6255172669037781,0.770856674090295,0.8255485385890314,0.8398629004605822
6,7000,40352782.03687015,19969,10317716,12711043,15835908,19818384,27914597,30666536,31233565,2851914,2696873,2851914,2653618,2617909,2585029,2629449,2825765,0.0005324943406741106,0.27399991831023335,0.33895330069433965,0.4200599245254438,0.5252007600671074,0.7391119342670143,0.8129328331096047,0.8322954358272905
7,8000,46560899.98756814,21249,9525744,11140470,12774067,16140535,27955178,33511581,34316896,1048813,898010,1046336,881324,846937,853843,820720,1222095,0.0004668869613868569,0.2086101865780596,0.24476714756715917,0.27964504319121763,0.353076695721817,0.6116162326444148,0.7326508336676465,0.7568989965529453
8,9000,52769016.925545186,14859,7947115,9426953,10772960,13696499,25102139,32573366,33811983,1509596,1241309,1492158,1258074,1119465,1276784,1338206,1699670,0.00028987842101421403,0.1542299341450072,0.18384419790003295,0.20913925057771557,0.26518137117131296,0.48749369708430107,0.633343426125547,0.6620798000275004
9,10000,58977132.71606904,9908,7770302,9268568,11284490,14848320,25773300,34171120,36096507,1544495,1125859,1499545,1159533,1054081,1240149,1348297,1694507,0.00017251514807629752,0.13431514123848382,0.16125534087800245,0.19517396182850774,0.256345609564642,0.4463915213642675,0.5929517675553496,0.6301475630484957
10,11000,65185247.22380084,5779,6053371,7261102,8618983,10604052,19688851,28265650,30345537,2045600,1452004,2023777,1448524,1358446,1445160,1697792,2090904,9.152727729878057e-05,0.09497980478952625,0.11496094017874577,0.13522789632180937,0.16613792006931688,0.30889275270160116,0.44521630139939017,0.48095495490557494
11,12000,71393360.31408685,4954,4700581,5665053,6864102,8951179,15395995,21898704,24502398,2408129,1944625,2359803,1992797,1955200,1990299,1994535,2343082,7.181247211369991e-05,0.0676841842942321,0.08206230738226784,0.09890556606774302,0.12890864273349825,0.22183452298054537,0.3155486263764599,0.35484864939351446
12,13000,77601471.8515082,4128,3907341,4705254,6038252,7796140,12399712,19217887,22120925,3982503,3619328,3864093,3551836,3425064,3479362,3425520,4007676,5.607250501329769e-05,0.05281464954357828,0.06381097447843118,0.08154330444120633,0.10510269000363144,0.16728762881737771,0.25908514175149405,0.30058138385243605
13,14000,83809581.70150208,2477,2694502,3186621,4112714,5266192,7677767,11253424,13781650,2924632,2493340,2827114,2407626,2391439,2199713,2405956,2788294,3.0623744085162e-05,0.03313608626787073,0.03934951712938347,0.05052352814570166,0.06468081714056152,0.09407890396297973,0.13824229452954634,0.17009912321776757
14,15000,90017689.72859216,4129,2462157,2790294,3262733,3973816,6002835,9199608,11339855,1894817,1596101,1802147,1549467,1550964,1440552,1532819,1740803,4.6855031754545985e-05,0.027845654386029286,0.031630412438596475,0.036880281974349116,0.0449187642842271,0.06776957524178749,0.10396814646673068,0.12845780385147082
15,16000,96225795.79822898,4131,2180704,2575490,3012364,3703815,6160004,9926829,11855820,1856158,1533479,1806114,1535951,1494304,1527795,1570086,1729444,4.377467262121383e-05,0.02302936577892226,0.027277045960647457,0.03181295741289821,0.03909803307952597,0.06504893395928167,0.1048730078846837,0.12546325624628185
16,17000,102433899.77492654,0,2090526,2408815,2605626,3074281,5321485,8860137,10386096,2352946,2058184,2272667,2067289,1904104,2005582,2042613,2284789,0.0,0.02082700963933953,0.024049374526099093,0.02596108386924762,0.030580794244155485,0.05298789343386363,0.0882560358038252,0.10370632269857633
17,18000,108642001.52418315,541,2101247,2389423,2576344,2854796,3948928,6212153,7579158,2282029,1779170,2254788,1776267,1700319,1732709,1632915,1942131,5.086499997703481e-06,0.019663029418460487,0.022459682144573268,0.02410823274149664,0.026694885779026654,0.036937182042494035,0.05805257480257161,0.0710324948171536
18,19000,114850100.91037798,1111,2476888,2975759,3256901,3660587,4363062,5672002,6383398,5129286,4383491,5060458,4180840,4171239,4081581,4115754,4678980,1.0125699493824263e-05,0.02242205135116855,0.027104186889733598,0.029429138436530257,0.03307394869098088,0.03938900694466372,0.0512217045411447,0.05794075568308656
19,20000,121058197.7992096,0,2425083,2927233,3298516,3852636,4767002,6015605,6588352,3736621,3077049,3669959,2978683,2930158,2819286,2849314,3455724,0.0,0.020554834604358817,0.02493633970441432,0.027934701506938102,0.032614068654221236,0.040316693780937406,0.05088961850124689,0.05602222289344631
20,21000,127266292.05492187,0,1857518,2322158,2666425,3162661,4519626,6665608,7575060,3771522,3266855,3671163,3197407,3132179,3186395,3464552,4011599,0.0,0.014980051878600607,0.018788426516129973,0.02149148836809203,0.025477774981972224,0.03642512693252368,0.053840987994538306,0.06145859287179093
21,22000,133474383.5433011,1653,2024803,2350762,2695486,3169796,4325088,6911480,8405916,3229732,2813371,3070395,2584302,2424274,2570693,2924711,3196353,1.2691500037914755e-05,0.015496611885882788,0.018026764566479662,0.020593508447836657,0.02418766387183101,0.033040229668462415,0.052941381355878774,0.06452289741366705
22,23000,139682472.12837076,0,1307240,1506129,1723803,2122610,3192836,5530386,6835286,2029947,1563724,1866251,1439936,1331837,1428387,1574859,1755165,0.0,0.009464609386591173,0.010928532125380915,0.01246941099517512,0.015342249770161905,0.023093972210914485,0.04004403432024791,0.04955716269903181
23,24000,145890557.6762073,0,1124453,1235898,1429542,1637822,2324550,4294846,4856187,2100824,1748118,1892743,1603667,1517615,1565689,1866278,2052238,0.0,0.007800984932167805,0.00858275525068928,0.009907636052730668,0.011344383300915521,0.01610637183543971,0.029820291479017238,0.03376142748977952
24,25000,152098640.05075312,2480,1188172,1292265,1391358,1502323,1788385,3142815,3837006,2298733,1925610,2028271,1640111,1582984,1739496,1848982,2062006,1.6555417482066668e-05,0.007912019885317891,0.008611060319062464,0.009247451831266162,0.00998117431380975,0.01189408872530119,0.020917285541763978,0.02557379418883824
25,26000,158306719.11793494,0,820131,915302,1146118,1221821,1425631,2308729,2696343,4426466,4113305,4300807,3959679,3774282,3839759,4038122,4373609,0.0,0.005318845844951083,0.005943291315330014,0.007425591051984304,0.007906566561605053,0.009229358815060101,0.014965644616804465,0.017516328994679656
26,27000,164514794.741817,827,736219,804329,890234,1169642,1700979,2558657,2875237,5471992,5242240,5375118,5027781,4819926,4998208,5011225,5223720,5.199858061747786e-06,0.004622384573371233,0.005054232963567703,0.005581858855550089,0.007324230322584702,0.010663336238212594,0.01604137765782679,0.018050207801411703
27,28000,170722866.7881217,3300,1518466,1639916,1781810,2156285,3566075,5325613,5966938,5674859,5094725,5275067,4776439,4610579,4877786,4972655,5337254,1.9994182566785862e-05,0.009167922694818878,0.009911984336450134,0.010737260354136653,0.012980887980727641,0.021502446639076994,0.0321303541186887,0.036078942414684796
28,29000,176930935.1217475,827,1164837,1235691,1358119,1648574,2969321,4603624,4961629,4212247,3609109,3972859,3460675,3261186,3449563,3475537,3760503,4.788132708702934e-06,0.006720659631071372,0.007144453891416904,0.00782911721609701,0.009492580074174589,0.017116079747836903,0.026540678755749874,0.0286517099900272
29,30000,183138999.6071148,2481,1204292,1517468,1754249,1934991,2536895,3473551,3781625,6312886,5602670,6039077,5348592,5076496,5154289,5324680,5629254,1.4030733070978801e-05,0.006783355286577569,0.008568428363271556,0.009866949649367915,0.010866920102782854,0.014253443407282141,0.019534709058724283,0.021303759898174447
