,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292264285,2874130,2874130,2874130,2874130,2874130,2874130,2874130,2874130,0,0,0,0,0,0,0,0,0.9259258575488166,0.9259258575488166,0.9259258575488166,0.9259258575488166,0.9259258575488166,0.9259258575488166,0.9259258575488166,0.9259258575488166
1,2000,9312181.820186172,8215534,8215534,8215534,8217322,8217322,8217322,8217322,8217322,302768,300087,282353,300311,300311,301205,307236,309024,0.911883299398743,0.91161202405439,0.9098216769773291,0.9118330881523047,0.9118330881523047,0.9119235532369537,0.9125343077111497,0.9127155342735154
2,3000,15520302.808602951,11038066,11038066,11038066,11040522,11040522,11040522,11040522,11040522,3090161,3087480,3087340,3083681,3086362,3075875,3081224,3054651,0.8880080509106106,0.8878165618480589,0.8878065646880439,0.8877428428645142,0.8879342575252687,0.8871859895693703,0.8875674935321014,0.8856754680393509
3,4000,21728423.45953209,9324620,9324620,9324620,9536544,9536544,9536544,9590677,9590677,9291958,9328180,9287491,9248740,9261813,9211276,9212646,9208832,0.7497805570515234,0.751970719803259,0.749511343328256,0.7641655360029108,0.7649668713846968,0.7618783777079903,0.7662869550860929,0.7660535114904177
4,5000,27936543.63784735,3528847,3528847,3528847,3887715,3887715,3887715,4001596,4001596,16005934,16046318,16027599,16074782,16071288,16050119,16061443,16040527,0.29578094557762374,0.2967855369176052,0.29631903643124763,0.32775190723740893,0.3276553930788572,0.3270718587338027,0.3369736494902991,0.33638117042211124
5,6000,34144663.20868665,3045521,3045521,3045521,3357935,3357935,3357935,3392860,3392860,18117643,18151790,18181628,18253926,18276509,18288345,18338973,18314597,0.1900241567268585,0.19042988462797306,0.19078583491081386,0.21131398473850474,0.21161471938316412,0.21177267987472684,0.21466066683600554,0.21433012062439696
6,7000,40352782.03687021,2941625,2941625,2941625,2949837,2949837,2949837,2985516,2985516,15046024,15080271,15048724,15143318,15181322,15084555,15268913,15111446,0.11623871361611211,0.11639622971015608,0.11625111654872894,0.11701307872653315,0.11718974567542723,0.11674095676343799,0.11902135175445452,0.11827884211988755
7,8000,46560899.987570405,2217036,2217036,2217036,2404931,2404931,2404931,2569249,2569249,12313287,12382909,12219899,12402127,12383919,12383558,12492721,12443013,0.06473548976404972,0.06486735866968527,0.06455944603369156,0.07040449025716174,0.07036698182541733,0.07036623857041381,0.0754149202086022,0.07530504456316452
8,9000,52769016.925554544,3557603,3557603,3557603,3779306,3779306,3779306,3844155,3844155,15221831,15238355,14961952,15137480,15191429,15188216,15323024,15279426,0.0947501899890373,0.09479190660310832,0.09409889413540129,0.10042922263516633,0.10057340581538211,0.10056480721330535,0.10265864781960703,0.10253926236841533
9,10000,58977132.716059536,3499529,3499529,3499529,3854915,3854915,3854915,4158334,4158334,13785131,13648073,13527483,13712218,13736521,13713614,13835104,13776587,0.07743691067254495,0.07720277062707655,0.07699793115816796,0.08516342125421734,0.08520917056105101,0.08516604783163428,0.09211668412502358,0.0919974291045465
