,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227136,247321,2749158,2793190,2813523,2840311,2868916,2897616,2909617,0,0,0,0,0,0,0,0,0.07967660092437666,0.8856650460092652,0.8998503359438125,0.9064007878932844,0.9150307739662915,0.9242461223169848,0.933492075739984,0.9373583017688835
1,2000,9312181.82018473,192824,8094741,8241141,8352882,8430432,8594883,8711020,8747596,39718,39718,37664,0,0,0,4108,21229,0.02079533592573872,0.8729870676204734,0.888578916961513,0.8969844190428726,0.9053122203570507,0.9229719915229811,0.9358563509788665,0.9415176429478493
2,3000,15520302.808599584,710040,13005620,13296415,13455558,13636982,13772378,13977385,14059372,463153,463153,449705,420194,417454,420194,337349,366519,0.0471563349654976,0.8637504551208028,0.8822752201915176,0.8910901352139261,0.9029410393246526,0.9120714409790587,0.920597215548614,0.9277796342865523
3,4000,21728423.459534165,578232,15096242,15760401,16192261,16537944,16676986,16764685,16827202,3986786,3987471,3832449,3843405,3838611,3816362,3807048,3833262,0.03259180565034398,0.8509262416678834,0.8806673833624954,0.905353328912457,0.9244336147965765,0.9310478326392319,0.935457495316365,0.9403213286480196
4,5000,27936543.63784893,460467,16440855,17308120,17792576,18349709,18668425,18922437,19025990,7145675,7145675,6917913,7037675,7032877,6995553,6799351,6811435,0.022147559489733806,0.7907728766113261,0.8234656338093076,0.8513655120917276,0.8778225044392622,0.8914776441501543,0.8952199719331168,0.9006339482634409
5,6000,34144663.208685756,602185,13801802,14859160,15576066,16357936,17050075,17517890,17643181,12966545,12967230,12107474,12440132,11937625,11665579,11349622,11261640,0.02843430157798565,0.6517221357279173,0.6742765540236592,0.7176412081992697,0.73661043162442,0.7584861928410755,0.7684956495417536,0.771016173828952
6,7000,40352782.03687233,323516,11084983,12284562,13296032,14613054,15970823,17137066,17442615,14854836,14856888,13478007,13739234,12676205,12697028,12098101,11909597,0.01268792394227232,0.4347752223934107,0.45710380768380454,0.4995963702990191,0.5279935441630534,0.5774864420151673,0.6065213044746868,0.6132440856179877
7,8000,46560899.98757094,570280,13064220,14416026,15597112,18240439,20585509,21917627,22120383,13060092,13062027,11983859,12035757,11683514,12126701,12103656,12097330,0.017022873006871306,0.38998983651919295,0.4169248029402511,0.45176096752488365,0.5229875600912363,0.597821630973044,0.6360818354452811,0.6418482765417968
8,9000,52769016.92554262,582201,14156825,15599217,16589618,18876393,22174875,24355491,24772081,11451084,11451203,10651219,10771629,10679754,10815870,10857818,10907489,0.014090758147295532,0.3426324787054687,0.370371143989457,0.39501547166247136,0.4484847604338664,0.5285628522540968,0.5811213142164883,0.5917624661015977
9,10000,58977132.71607086,555363,13622126,15058172,16160790,18147667,21322982,23875681,24622558,12387678,12387678,11767197,11818461,11594248,11566667,11553604,11650292,0.01192035844558682,0.29238646562869297,0.31896192552691843,0.3426896774637671,0.38300046754740646,0.4497526374808862,0.5034564412729798,0.5202662511896526
10,11000,65185247.223799646,644470,9991506,11480043,12521835,15060537,17677769,21530500,22560984,15560641,15544909,14781330,15027084,14872382,14928814,14655712,14812906,0.01298690405911808,0.20127795977042026,0.2277609287593102,0.24964700051174302,0.299337692914294,0.3517513652685651,0.4260973291093925,0.4478843637575557
11,12000,71393360.31407624,678891,11753530,13176009,14592243,16760064,18839065,21715307,22484533,19362530,19354445,18591350,19007453,18750709,18976005,18429709,18466892,0.01304786019946207,0.22586039561091187,0.24953612412911233,0.278552835069042,0.31837423803003795,0.3594051032738946,0.4100039642513975,0.42482587099090546
12,13000,77601471.85152441,438838,10991882,12483078,13887502,16205458,18708757,21948575,22717156,25258450,25103052,24579296,24615830,24232688,24665441,24372984,24224282,0.008383887373656083,0.20937548274952175,0.2354312662489709,0.26209934455291406,0.3036505018567537,0.3534219830813258,0.41234639355570973,0.4255967026962401
13,14000,83809581.70151043,223619,7097059,8030334,9178151,10918933,13475545,17734396,18487104,29360671,29329332,28948382,28428916,27775969,28147786,27478490,27302164,0.004106950848399557,0.1302684741513444,0.14637547198551165,0.1657284339893675,0.1948639838406434,0.24209684272967733,0.3148242908902204,0.3271624284382375
