,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292268313,1671994,2486277,2618738,2729669,2906850,2980503,2986530,2991016,50796,54482,60416,55966,54482,52999,58550,63000,0.5476086101398272,0.8152854221143179,0.8603954531528968,0.8955328925245336,0.9531972621204334,0.9768740727650553,0.9806335828675782,0.9835436923730275
1,2000,9312181.820187222,4844185,7037027,7346873,7713017,8230734,8606942,8807788,8861900,95338,111611,116804,109456,107231,107973,138032,137291,0.5255795904222667,0.7648467836973624,0.7989745656639494,0.8381230899089293,0.8941638212720612,0.9351093796484429,0.9600658559792579,0.9658861531628737
2,3000,15520302.808602603,6992408,10020804,10532571,11158020,11665259,12589043,13121110,13149296,69356,73134,67199,63641,57703,52509,73065,74548,0.4525553085269083,0.6487146042205071,0.6815828800772447,0.7218906733011303,0.7544177010589154,0.813887433190275,0.8494146437425093,0.8513210369412586
3,4000,21728423.45952608,6737669,12710364,13885854,14876884,15831222,17223792,17964673,18304931,125844,145871,176278,204242,204979,207206,194827,223762,0.31189187442284316,0.5889184805103955,0.6442910301471834,0.6911707201490745,0.7355338514599714,0.8003168051432015,0.8342625456813902,0.8512075874550132
4,5000,27936543.63785225,4532285,11210343,13036293,14962842,16811136,19570791,21129578,21703447,1626120,1685655,1709738,1693289,1622857,1619931,1657105,1655956,0.17226195451598494,0.4270462289735723,0.4970598852185477,0.5701595402888092,0.6388742190087942,0.743666795925344,0.8040346025339171,0.8258356814190966
5,6000,34144663.20868768,2386795,9399721,12230172,14946048,17636776,20572319,23267731,24144854,3232452,3398515,3388865,3381799,3225113,3205415,3243535,3246807,0.07721204361237047,0.30572027872239294,0.3976541892040802,0.48584708818430233,0.5704085564299209,0.6649262729733469,0.7529735109625677,0.7814410759414141
6,7000,40352782.036862954,1822860,8963703,11050974,13728957,18602113,23826426,27477924,28339688,2151758,2293200,2405856,2646122,2425567,2519062,2417566,2421252,0.04771756899084667,0.23551764155786378,0.2912218499402218,0.3640989943574487,0.49046873022234494,0.6297669374511661,0.7243381446226312,0.7471274681632583
7,8000,46560899.987582386,1503338,9037820,11143044,13004782,16887226,23699724,29349926,30655468,1144040,1386173,1909961,2058701,1961656,1891786,2017269,2069506,0.03310087928604122,0.20006363297965946,0.24955900710394752,0.29222785156366704,0.3786437726321516,0.5305617659349212,0.6589028633113003,0.6890201733970391
8,9000,52769016.92554197,1394640,8468382,9886090,11755989,14437580,21790882,28504133,30210730,1801699,2447326,3280120,3141611,3003554,2921829,2709733,2820435,0.027363417514679234,0.16828492533230183,0.19976379782467205,0.23688501908880735,0.29011244247041773,0.43715368723607045,0.5694075257328284,0.604836590657067
9,10000,58977132.716074765,1116707,8610714,10388539,12360320,15133221,23196436,31133093,33110030,1676006,1996409,2178750,1993215,1816612,1985775,1891850,1944592,0.019488395150295164,0.15111626245580384,0.1829020212059646,0.21690891913725405,0.2647495301025873,0.4070167290199037,0.5453786250800711,0.5805462913677955
10,11000,65185247.22380072,1202176,9052384,11359844,13664119,16124649,21538356,30362514,32200368,757909,990406,1061010,1008369,1142666,1127569,1025939,1156214,0.018659408150993467,0.14101419720692074,0.1771536706214981,0.21291342580344624,0.2517801233471747,0.3362337911272812,0.4732363056984557,0.502902611186554
11,12000,71393360.31408888,1101680,9158681,11533176,14264078,17302183,24659257,31701466,33289150,1578367,2126782,2603717,2457351,2443653,2347713,2311654,2329346,0.01577999148468983,0.13222366721321235,0.1676586102844042,0.2069176638149949,0.2509391797877081,0.3571442655584784,0.45889813224741727,0.48200427285630715
12,13000,77601471.8514874,400420,8165696,9718888,11623134,13802352,20730583,30803784,32286876,2043579,2270459,2568701,2941823,2716163,2736770,2847040,2982686,0.0052995125312327645,0.10839753364392431,0.12952857651007751,0.1556816055098341,0.18431321459023203,0.27690730727979423,0.4120663248594684,0.43269098567564557
13,14000,83809581.70151329,825708,7017267,8743895,10743489,12412991,17662516,28205963,30078627,1747901,2123288,2459639,2536397,2195054,2368872,2379826,2482659,0.010062041051820344,0.08590507271197201,0.10748495585402967,0.13218983653042402,0.15209290979907047,0.21687576231511896,0.34638398159256445,0.36984833559232055
14,15000,90017689.72859275,1130317,8837096,10494832,12783595,14572641,20039538,29037451,30949253,1153671,1215575,1517837,1439575,1597762,1306848,1449335,1598550,0.012719625065035585,0.09951447695822278,0.11858586965319665,0.14432001673516645,0.16481172711123557,0.22589728165707365,0.3278535667618737,0.35002888622305506
15,16000,96225795.7982217,780071,6946531,8647138,10867024,12841921,16436085,23508670,25370731,1355531,1801260,2241581,2289378,2444606,2098539,2474741,2702532,0.008222502610898394,0.07356701244308181,0.09200628018827278,0.11568488829691909,0.13693493362187553,0.17461557426701207,0.2507563253618552,0.2712772199090256
16,17000,102433899.774907,949571,8254257,9758861,11781608,13480686,17857848,25089518,26575351,1402801,1942270,2974467,2818753,2979187,2310752,2614473,3108023,0.00939879909764818,0.08213875144117833,0.09811900920535012,0.1182712507227644,0.13554597488517664,0.17835883506326955,0.2513490490841719,0.2675571750574651
17,18000,108642001.52421272,1089226,7392721,8992677,11172702,12940454,17021083,23254424,24572197,1714159,1950237,2568599,2471432,2463494,2238423,2471207,2805890,0.01018655173701233,0.06929045585634015,0.08477786877768248,0.10523351292235472,0.12187451398343574,0.15996720445005297,0.21902844472635763,0.23217214470675712
18,19000,114850100.91036832,471561,6913619,8682236,10945415,12679936,16117141,20973476,22158023,2937800,1687278,2984088,2359079,2445217,2220051,2305760,2927846,0.004213665487743639,0.06109443739730668,0.07761281352680878,0.0973003428551053,0.11280591695740715,0.143098054318773,0.1863574465881277,0.1979769172605127
19,20000,121058197.79921985,530560,5597611,7273411,10024345,12181329,16037273,21533722,22920280,2799567,1377636,3777408,2007405,2090637,2021279,2536894,3507152,0.00448643787277385,0.04677126273346495,0.062017070420925684,0.08420225320889833,0.10239202113724333,0.1347252025823194,0.18168650959560018,0.1949815064950457
20,21000,127266292.05492687,360022,6445102,8420744,11228818,12679232,15451652,21456490,22799313,3952387,1556856,5016100,2159245,3196289,2359778,2393512,4123622,0.0029195572051638283,0.05126983464617492,0.06888123330077527,0.08975368106218758,0.10219417818815393,0.1237057339796164,0.17182679836680254,0.18514551446570499
21,22000,133474383.54326725,599989,6584722,8185449,11281608,13466845,16574898,23298255,25308781,4527755,1998910,4232743,2332142,4514413,3746228,3681684,5549822,0.004653002616494757,0.05008327273932985,0.06333445602820008,0.08602573714799516,0.10442655145832055,0.12776638911259244,0.17950358596427354,0.1978414519829325
22,23000,139682472.12841535,960437,7908742,9421512,12013609,13738346,17274974,23122397,24713637,5639202,3195225,6620079,4380993,7276560,6509973,5560128,7297956,0.007165126597403121,0.05794491548766445,0.07080521985582751,0.08879140920993052,0.10375930937793558,0.1297187791252766,0.17239779956322174,0.18668072160363022
23,24000,145890557.6761999,796823,8355740,9888491,12406732,13975208,17052751,22961531,25163466,5508836,4582880,7427750,4967057,8250283,7807210,6837089,8199139,0.005676116452239609,0.05913153579062276,0.07141622480402521,0.0880387723869205,0.10153429316293369,0.12349607166237046,0.16512735150439325,0.18275260900009543
24,25000,152098640.05073,711481,8549927,10166426,13105218,14790236,17294437,23662710,25447168,6019004,4873713,8436262,4351175,8649476,8379729,7499852,8700295,0.004870500907826191,0.05807390889080836,0.07076609852866306,0.08870012081425724,0.1031043721856024,0.12033515195432701,0.16364390268401383,0.17745789179782767
25,26000,158306719.11795497,266320,6347143,7772275,11229207,12837417,15706521,22563028,25106218,8442784,6029005,11423866,5828310,10315225,9665077,9184188,10084385,0.0017770786533156543,0.04168136510824871,0.052914787771438765,0.07364457082781639,0.08674428943712184,0.10566703096253503,0.1513052912316301,0.16938215249005953
26,27000,164514794.74182105,773323,5160777,6415169,9977769,11707655,14002044,19597712,21684510,11591780,8738730,13719160,10107408,13765714,12996523,12524038,13929227,0.005056943203124764,0.033129460604575736,0.04254213996965817,0.06461976470519162,0.0776631933169198,0.09241158732234438,0.128940156757622,0.14400125008777795
27,28000,170722866.78808403,885888,6226757,7851536,11612311,13695076,15990852,21046851,22728026,8978510,8134394,10830084,8419412,12109027,11385467,10796839,12243691,0.005477087532399553,0.038297653537319856,0.04910500563622146,0.07154691201836666,0.08634225120769601,0.1003584344997945,0.13160366258761155,0.143413327883479
28,29000,176930935.12177658,1482643,5292752,6373294,9384774,11165520,13956196,18377842,19842516,8989897,8824259,10587298,9067583,11715979,11185342,10459760,11712338,0.008828354383071713,0.0314844842697736,0.038314023369191146,0.05590722383043924,0.06758177505292029,0.08420251626084625,0.11039654154274027,0.12009856242378579
29,30000,183138999.6071329,1153810,6372715,7667416,11808523,13897489,16561872,22000792,23445601,10023210,9254011,12470813,11113778,12239814,11484624,11152172,12325648,0.006664961079624475,0.03664902330584841,0.04492586551968173,0.06864413770073799,0.08131980822862361,0.09648383236035488,0.12792137808516416,0.1372585970558343
