,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226988,100865,2025141,2499920,2711869,2849064,2876103,2913945,2923498,49253,61620,72916,120682,74991,107221,96833,87280,0.03301844575578844,0.6656304088716236,0.8247445456396904,0.9089925674980993,0.9405739546261519,0.9597120152678535,0.9689805226846208,0.9690787496037155
1,2000,9312181.820186034,641028,4795270,5968468,6699169,7080700,7316164,7408239,7444243,469727,1033914,654216,1629988,1550664,1639882,1533607,1535499,0.07249434834958123,0.5792600703624298,0.6893614648009497,0.8720385292020361,0.9122829018809474,0.9535816080532944,0.9523902734437956,0.9572517192905032
2,3000,15520302.808605215,1386114,6572953,7688695,9189407,11196854,12524637,13441829,13571748,568302,922161,767256,1351986,1279283,1502983,1318638,1360296,0.09270424859810468,0.4502595663322999,0.5211598051404072,0.6485884755498096,0.7862396198082836,0.8935115393679711,0.9464967087418648,0.9584563188029174
3,4000,21728423.459528323,1224812,7405627,9026464,10692672,13879672,15773179,17385013,17679012,960765,2470089,1638299,3011966,3029860,3141180,3004638,3062192,0.05897689440467705,0.3845414054659314,0.4492985605033889,0.5712978550092283,0.742285471824696,0.8486023779881272,0.9284988357497422,0.9471120101736235
4,5000,27936543.637847938,1046827,7606751,9619882,12674418,17287712,20739354,22997765,23417896,1068095,2500442,1955741,3103399,3328996,3547097,3396028,3464017,0.03896119996021649,0.29905333404869905,0.37026885327961684,0.510383126456045,0.7025369717626971,0.8503413098276832,0.9371345467790982,0.9569055270240507
5,6000,34144663.20868416,754607,8077405,10043021,14244445,20197325,23994337,28198802,28943516,1075307,1943643,1730639,2372444,2850807,3050053,2958762,3083564,0.02281892018816613,0.250843139368039,0.30983567283538144,0.44833018765357846,0.6454086343758162,0.7716558219886872,0.9042163576195655,0.9318252327627826
6,7000,40352782.03687593,331112,5623542,7117561,10454644,18132105,23928166,31148996,32463524,1091374,1580382,1707035,2025904,2444881,2709975,2546596,2648593,0.008433523313504344,0.14503982200357785,0.18417449643833753,0.2727757786569816,0.4783199413325867,0.6356637000147015,0.8239126784600131,0.8610057616741102
7,8000,46560899.987567365,513420,5340230,6872658,10291334,17937378,23880722,34611592,36547393,817347,1041310,1374444,1409909,2213503,2254798,1851178,2084065,0.011223876731646586,0.11731718149171734,0.15209553061410588,0.22793151988256005,0.4044742018348603,0.5389939743898282,0.7741401749182113,0.8217174852980459
8,9000,52769016.92554954,471222,4067865,5309738,7977668,14490154,22647276,34517846,37306564,764652,960758,1314771,1674482,2184602,2033525,1669389,1708127,0.009061200933318013,0.07851769359487025,0.10319338869882178,0.15613544602420507,0.2864549095077348,0.4463793518200858,0.6755009263529542,0.7306289423156483
9,10000,58977132.71606019,220028,3911196,5129458,8357825,16883583,25137422,38461735,41330483,765016,1016129,1363597,1465832,1996085,1796732,1588831,1769495,0.0037797629155666194,0.06747978380706099,0.08903216815714586,0.14532491694568914,0.2963017297283099,0.4396160517451512,0.670201658698613,0.7224644234592662
10,11000,65185247.22381258,423278,5688265,7983592,11848023,20330971,26991320,40110714,42368865,991009,1187280,1514927,1421600,1976120,1848372,1771151,1861826,0.006593707032152098,0.08888196370530174,0.1253895374161186,0.1858115637333767,0.32164612759185157,0.4261549043052909,0.632520470818254,0.6690867957094415
11,12000,71393360.31406832,1014589,8247055,10209374,14222604,20879222,27513391,39900940,42296473,986874,1255516,1446636,1294183,2166014,2252048,2208839,2315134,0.01441044785950736,0.1175835254227481,0.14595928687323245,0.20289259510533003,0.3016036741503255,0.3979298349881305,0.5767321828948804,0.6122981908611338
12,13000,77601471.8515169,1331219,7915811,9978313,14172447,21435660,27728432,40504100,42994199,1262948,1583692,1838721,1819044,2759890,2920538,2706303,3087148,0.017438364443479445,0.10413104691378386,0.13170473468625668,0.18701495058681095,0.28641377519956224,0.37129198270512503,0.5408105839283336,0.5769924059926199
13,14000,83809581.70150793,729778,7175836,9787919,13744131,21123774,26604286,39249072,41753323,899967,1102302,1405672,1250996,2048411,2319736,2152972,2602356,0.008802091321101352,0.08676184280147675,0.11877978891359434,0.16647730679026113,0.25835948554501814,0.32647363326039164,0.4806600732442018,0.5141577321391573
14,15000,90017689.72856152,840150,6387217,8597338,12190011,19175575,24956437,36212653,38892731,824283,1144307,1362775,1575051,2727219,2732829,2812950,3521446,0.009419418215034578,0.07186872834027189,0.09697531181799487,0.13782957151936917,0.21967546789418027,0.28591942281502325,0.41526014655530863,0.4496464739214729
15,16000,96225795.79826736,1326380,8149300,10513262,14479643,20281417,25793100,37690542,40457609,1016533,1214356,1515451,1466613,2403757,2614865,2802711,3049688,0.013931207542383552,0.08577177671765597,0.11100436834427331,0.15280464196093463,0.21616900740782605,0.27553513013971015,0.40343927928934126,0.4342058276097289
16,17000,102433899.77489078,884337,6451174,8271994,11490990,17347660,22566518,35928239,38388356,1040218,1463287,1372613,1415481,1982971,2119717,2367899,2559503,0.008721815644917216,0.06389159996862244,0.08185126336680705,0.11375143403903892,0.17269785567514143,0.22495839945823223,0.3590454172424102,0.3843663365148969
17,18000,108642001.52419055,960172,6363680,8196484,11304938,16596829,20647238,32445759,34858064,1112838,1444270,1186236,1424686,2046469,1659943,2200283,2222229,0.008929410110997401,0.059363942776755066,0.07627774982585554,0.1054394800385518,0.1556991048966668,0.19299720237979243,0.30482182597067137,0.3275525137217929
18,19000,114850100.91039014,971681,6803616,8965511,12929771,19720080,25015357,38859735,41680532,819177,1543245,1091081,1019001,1838830,1700628,2248412,2356123,0.008521206061292497,0.06004593407287471,0.07881142969640809,0.11358733254952773,0.1744965775638132,0.2210823997369494,0.34510792312293886,0.3705134512462672
19,20000,121058197.79921246,1370538,7191914,8861238,12518665,18521641,23688078,35304886,38089368,2178860,3016241,2847377,2819547,3916223,3944507,4032506,4586117,0.0115288159016737,0.06092676023859325,0.07496131014140657,0.10587625040866402,0.15811276044942107,0.20226566030279436,0.301684915997545,0.3270257364566423
20,21000,127266292.05494237,1618529,8104922,10193214,13197150,18127894,22291828,33775655,36355948,1166445,1971301,1622015,1582632,2904052,3158829,3229779,3655335,0.012835297090366798,0.06468671996988258,0.08112756298118266,0.10500290964021013,0.14576686614836806,0.1796171434922605,0.2723041318086632,0.29411590093781553
21,22000,133474383.54324913,1382741,7187583,9199842,12445843,17434063,21639164,32494250,34627301,1176688,1853273,2012404,1806722,3016593,3623684,3565028,3852392,0.010451739120036082,0.05460813216310195,0.0699810092010168,0.09452467564263599,0.13363757677791033,0.16664649536826473,0.2501301762611091,0.2671406339906944
22,23000,139682472.12842155,1034484,6399372,8788738,11960976,15849362,19236992,29474262,31841441,1636473,2373342,2400317,2155282,2894394,3641800,3816130,4115544,0.007493762995895588,0.04660558255678147,0.06401952236092531,0.0869717180204944,0.1158680070431288,0.14140618168837332,0.21693571445487786,0.23487617105137057
23,24000,145890557.6762085,1350621,6006273,8533946,12180195,16651355,20560320,31732049,34431791,1348546,2393399,2262016,2050240,2734330,3424911,3671045,3782680,0.0093441414322194,0.04185638973906615,0.05941678374231948,0.08467858801186888,0.11631596662118061,0.1443177389053577,0.2231202203051028,0.24229333069383052
24,25000,152098640.05072904,1254098,5915440,8260352,11575832,15517520,18408419,29523390,31912999,1700297,2624814,2650031,2196891,3064010,3507265,3591540,4282843,0.008338509418132323,0.03957508920653703,0.05527219057084763,0.07722279475259866,0.10412023027613167,0.12388618783368398,0.19880120202949897,0.21589708026299617
25,26000,158306719.11797667,1251994,6271149,8798701,12545301,16937408,19529666,29280426,31312857,3188095,4062802,3613184,3340338,4101947,4320674,3856539,4626887,0.008071203616709405,0.04065735049508229,0.05687827221279604,0.08095498461985248,0.1098371196128858,0.12682750560310393,0.18957845162520476,0.20375384699771015
26,27000,164514794.74180293,1685657,7868504,10548105,14530127,18762986,21101964,30323652,32638302,3467084,4574088,4128013,4035996,5326444,5039429,5182792,5776046,0.010466817517837939,0.04919638133588069,0.06576667282333006,0.090542346490129,0.11786657699867,0.1323211513066221,0.1903173968706048,0.20561017557904493
27,28000,170722866.78808308,1311667,6238458,8256026,11579614,14945128,17125962,26502915,28746545,1591225,2088617,2208209,2159419,2630371,3069607,3341892,3887861,0.007755302237552213,0.03699401520058741,0.04899292505689582,0.06869587773594794,0.08891014396526996,0.10215108266697315,0.15833887354016601,0.1723052357280126
28,29000,176930935.12177992,1548335,6324477,8442775,11965060,15050745,17700536,27147709,29275879,2524967,3088571,3104365,3113415,3801554,3902434,4180388,4327607,0.008877763855643211,0.03638052802577847,0.04857010636570196,0.06883690430985925,0.08693351124159131,0.10229838370698312,0.15714977146128697,0.16961364139713728
29,30000,183138999.60708714,1219433,4629585,6417726,9827986,12783086,15170690,24899283,27321437,4295226,4414512,4607300,4443132,4903354,4803673,5105900,5391316,0.0068184257992623615,0.025903473340361773,0.03594726322621777,0.05499839549513018,0.07172014305252815,0.08506833889072604,0.13985760543939219,0.1537091029573937
