,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227537,1377911,1669372,1839080,2278447,2679788,2728058,2822185,2853850,76441,91367,94346,24229,25792,33607,88633,105922,0.4551136433051725,0.5541127659993862,0.6110479651926375,0.7397959610446189,0.8705504043915971,0.8884869564652319,0.935915348339154,0.9518739301041884
1,2000,9312181.820189055,3141876,4077912,4396138,5260324,5750444,5917747,6047259,6110293,2579462,2512959,2570791,2469899,2440197,2486077,2566305,2653099,0.46665776742686077,0.5997614886059304,0.6521114288218518,0.7687966338483879,0.8367952128045882,0.8669288204449376,0.8964378035931175,0.9175877767242615
2,3000,15520302.808595221,4406022,4875625,5156498,6605840,7738345,8114798,8510259,8622317,6519527,6553433,6563542,6496496,6410645,6418688,6504977,6520369,0.48951580327025845,0.5437376814957717,0.5757101378716784,0.7320458139360767,0.849466046100947,0.8915778321377313,0.9439768656931189,0.9580422682403968
3,4000,21728423.45952936,4765191,5195478,5416151,6701116,7995169,8314003,8670567,8787257,12406551,12397782,12411143,12392200,12394448,12392104,12407235,12422183,0.5111838872166444,0.5568189521090077,0.5813017031660314,0.7177544570401494,0.8565663188922864,0.8905011269204264,0.9301997312516295,0.9442327477152245
4,5000,27936543.63785395,5837006,6503625,6936474,8356069,9706657,10076568,10457187,10588408,16719076,16725221,16773253,16694621,16695402,16696184,16779483,16787035,0.5203497071213032,0.5800943572920769,0.6213646338722826,0.7432953658534648,0.8634938792438435,0.8964631314878333,0.9372707865833944,0.9496748550919145
5,6000,34144663.20869297,6316482,7384796,7913189,10174315,11701715,12083800,12526695,12693032,20301241,21060367,21123103,21027659,21037785,21034768,21167191,21064740,0.45628038390923087,0.5644014689222395,0.6076989909947421,0.7756584383236856,0.8927919229644622,0.9217312425188128,0.9652646369459367,0.9704209877596347
6,7000,40352782.03686239,6939454,9882913,10774439,13140553,14139566,14453145,14815920,15001977,23520732,24484610,24459829,24472773,24378351,24385277,24446983,24472384,0.4122762221358963,0.6228135778362879,0.6779381386838293,0.8274902721715544,0.8851373778115617,0.9051598835656319,0.9314791395052493,0.9446852002812932
7,8000,46560899.98756644,6575430,10416504,11179186,13059806,14089382,14452760,14775442,15013869,28950683,29431481,29389467,29377731,29121956,29114138,29457345,29468732,0.3733872220110934,0.6081060897372481,0.6510339590233774,0.7600347764402443,0.8079263291427164,0.8283921114015232,0.8638813399168255,0.8784063561112737
8,9000,52769016.925554246,6564166,10512298,11311191,13950224,15309701,15684156,16078092,16359293,34044857,34154327,34169990,34074129,34067841,34069024,34174780,34186716,0.3505719896699556,0.564731297810592,0.6081603648016081,0.7462052757712062,0.8186491085344018,0.8387252370864274,0.8646814636369249,0.8803696089918993
9,10000,58977132.71607393,6792808,13014804,13815695,16529898,17771941,18079086,18347461,18530213,37525348,37718888,37717810,37681734,37546447,37544638,37614263,37622169,0.3166546788487074,0.6122238300398883,0.6498652466267946,0.7762192302848552,0.8292754247555544,0.8435362396912692,0.8588481437114666,0.8677239280932267
