,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226107,28786,2557306,2679462,2736396,2782048,2813160,2853657,2880240,0,0,0,0,0,0,0,0,0.009273659067405786,0.8238582635667068,0.8632118763311764,0.8815536572435533,0.8962608442005883,0.9062838443015099,0.9193303033876188,0.9278942469361788
1,2000,9312181.820186066,108862,6709471,7125958,7405989,7564729,7691737,7917430,8062822,334,334,334,0,0,0,334,334,0.011690697926142092,0.7205305681065065,0.7652571366718933,0.7953011595999983,0.8123476480669544,0.8259865570200295,0.8502533710695669,0.8658670282950234
2,3000,15520302.808604395,165946,8837113,9661055,10300162,10671011,11093900,11699592,11963075,492,492,492,0,0,0,492,492,0.010692527250911929,0.5694085520102207,0.6224982455742166,0.6636572834319722,0.6875517270245548,0.7147991979801828,0.7538488802655755,0.7708260846432167
3,4000,21728423.45952775,256587,10545119,12298538,14092673,15064446,15742623,16766496,17127262,0,0,0,0,0,0,0,0,0.011808818089261259,0.4853145015164938,0.5660115204818131,0.6485823983617398,0.6933059836605105,0.72451749798244,0.771638864238354,0.7882422777658922
4,5000,27936543.63784547,240991,9197098,11320190,14382571,16092583,17418855,19783693,20467782,482358,100644,248402,140133,321213,423738,578133,467733,0.008777932923561025,0.3304041945709453,0.40884614605290176,0.5174254758064981,0.5827409134093762,0.6331180916002019,0.7231302015999714,0.7451280752505635
5,6000,34144663.20869622,216594,7481447,8657922,11000355,12791784,14694337,18681778,20014160,453427,215851,396916,368340,417351,410687,527868,458056,0.006428793489747159,0.22050424146833078,0.2565481466498896,0.3256824294352973,0.3792707797421752,0.4355945741199632,0.555727513108307,0.594128101889505
6,7000,40352782.036864415,227780,5145163,5912480,7428274,8518586,10073812,14149552,15519455,2071178,404638,1909677,783665,1372057,1779346,2019149,1444157,0.005950116400050855,0.1287960460754324,0.1537981907114506,0.18772908157337645,0.21853328771960753,0.26115931156282046,0.36911586194798596,0.39886927346561124
7,8000,46560899.98757458,92291,3484157,4060877,5179328,5783607,7197976,11712722,13485490,1989807,242149,1630742,156617,455245,1358504,1927874,795805,0.002070647000416361,0.07522130726138657,0.09038198799841822,0.11161314573887157,0.12544246473797357,0.15923881561452205,0.26242276298408973,0.2946675846223278
8,9000,52769016.92555395,60270,2614378,2952644,3785770,4185505,5026026,8733443,10057520,641013,250853,386065,225748,300426,348163,594488,316284,0.0011561923622871492,0.04978045317246731,0.05636650649616432,0.07205052288170112,0.07977162958194708,0.09587836945841756,0.167389014905366,0.1917444418820773
9,10000,58977132.716065794,23761,2406953,2621910,3279434,3626215,4282823,7586596,8616846,14144,12388,826,0,1652,4065,13499,3420,0.00040298160791034973,0.04082020555825778,0.044457005634870705,0.05560517863403452,0.06148682394736573,0.07262337141117127,0.12866567953617966,0.14611333767447499
10,11000,65185247.22378963,18230,2624423,2836232,3294558,3494601,4118728,6514667,7221266,190319,38966,94962,26430,101458,151015,194688,178286,0.00028048342383317536,0.04028507768516544,0.04357381428347767,0.050561967518298494,0.05369387741060784,0.06333169254350576,0.10024020531300987,0.11108450332173565
11,12000,71393360.31407797,34890,2148586,2428904,3054436,3282699,3622106,5186381,5619967,513174,291990,219382,73419,205092,270520,496262,289734,0.0004922391124283807,0.030218629971672753,0.03412629246719473,0.04282723658659376,0.04611292109982149,0.050927465551218215,0.07315364272066611,0.07903910519521969
12,13000,77601471.8515284,27701,2101021,2335068,2676191,2825735,3137768,4422032,4716220,193717,171243,37338,6729,52151,63273,191434,94836,0.00035785820236140136,0.027134376730678197,0.03010499678201444,0.034489333963264576,0.03643790775950178,0.04046738312825988,0.05712478798268266,0.06084924146410359
13,14000,83809581.70149428,6724,864412,976168,1130760,1243911,1465990,2373469,2591838,181881,117985,74879,7682,111824,113208,176697,87861,8.0403980303142e-05,0.010328539949872486,0.011657866673032088,0.013493250201102987,0.014861939365644346,0.01751557367620847,0.028379614172959325,0.03095777270561689
14,15000,90017689.72858572,6141,866059,982979,1220242,1304193,1476483,2500427,2794987,957025,542539,695964,79142,552084,650527,872178,489950,6.895299983123671e-05,0.009679324292250782,0.0110049262033617,0.013567508380082093,0.014577590900759855,0.01652153828005239,0.028048826592782957,0.031219228905737424
15,16000,96225795.79824102,467,842312,993522,1233534,1328090,1514308,2208156,2442889,610446,312087,326190,71821,208598,234019,471925,273225,4.884153025486198e-06,0.008781977160030824,0.010360021730331483,0.012828736436411628,0.013831792954327708,0.015775392960824416,0.023060749206188367,0.02545933870950316
16,17000,102433899.77491426,1655,741786,817840,950357,1032752,1131073,1720357,1897654,432297,300850,260377,20868,172040,291856,438358,324495,1.6225235241176248e-05,0.007262937919065217,0.008004422063450638,0.009279649118177817,0.010099092684928299,0.011073530137036358,0.016866982321604967,0.01858451730458237
17,18000,108642001.52415812,14007,962008,1088747,1319795,1404903,1538503,2125518,2369908,996947,684801,502162,57942,325120,399175,667601,400591,0.0001301220948971371,0.00891101283961811,0.01006795464826612,0.012154592541333085,0.01297030509216296,0.014213440736940013,0.019685388292796663,0.021894651857581496
18,19000,114850100.91039693,4200,355963,459513,598397,667588,791147,1376448,1559706,1090361,616968,765954,295152,465963,541240,820788,719746,3.691991563366915e-05,0.0031161099317762123,0.004027842714736755,0.005223667817861423,0.005836368680095806,0.006921134492103415,0.012071001436986634,0.013666004992488772
