,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292266273,2778508,2826175,2940022,2951138,2957043,2967151,2977550,2993559,4043,674,0,0,0,0,2021,0,0.8962878061739167,0.9106744784501088,0.9471535357002684,0.950734651318738,0.952636998181554,0.9558933778749231,0.9598684594311053,0.9644009436587072
1,2000,9312181.820188155,7690527,7981678,8261111,8391604,8504338,8566837,8632811,8718115,209323,234080,230042,232677,230656,229308,231858,233293,0.8448474431948882,0.8792232294916659,0.9095996277922149,0.9242358659627982,0.9364437395635575,0.9431857327973465,0.9507162047246369,0.9602623374585307
2,3000,15520302.80860084,12557473,12933382,13440769,13652300,13804319,13903211,14014811,14161702,927763,924019,954272,922413,917025,915675,895948,951034,0.8605406025754768,0.8860736177505005,0.9227475333955492,0.9352242124718798,0.9452890769406387,0.9519729761146144,0.9583199521224447,0.9720255824808287
3,4000,21728423.459526885,17163813,17514047,18108352,18340804,18473455,18567772,18699659,18887952,1532464,1550187,1565400,1497264,1499961,1501276,1478426,1506242,0.8498637083519914,0.867967180141304,0.8980970555506611,0.9065621788356418,0.9132406892991346,0.9179629523714513,0.9234400664678846,0.9340214871379113
4,5000,27936543.637846746,18448069,18918957,19696670,19965839,20124544,20219892,20409455,20656223,5380925,5387348,5400499,5374902,5375100,5366371,5364349,5403066,0.8178923972870084,0.8390080650258883,0.8740074097528927,0.884946198529617,0.8919883108118642,0.8958678484405705,0.9041856730129163,0.9166904164542383
5,6000,34144663.208692625,20610067,21385304,22545848,23011303,23262189,23444613,23776532,24176090,7801112,7788551,7810116,7778362,7731234,7613404,7616331,7589721,0.7823572014542695,0.811398275689038,0.8561319783222993,0.8727543092928588,0.8806955286345192,0.8836600183800803,0.8962693852351964,0.9104177222455442
6,7000,40352782.03686303,23159235,24286960,25830207,26383020,26664316,26855489,27262859,27672031,10057765,10095937,10183775,10103127,10107644,10214358,10076471,10244623,0.7644569062898959,0.8026930755804282,0.8561835319418528,0.8721758964804377,0.8816066888999252,0.8910714431236486,0.9004683221415585,0.9190874462340807
7,8000,46560899.987576574,25042307,26356645,28237875,29068594,29450002,29810631,30219391,30708123,12672641,12728605,12737618,12690267,12694318,12702041,12673403,12718030,0.7389670566782585,0.7790380466261104,0.8348650202062556,0.8582241144020569,0.8695888475194595,0.8804381450343043,0.8917563610873553,0.907373488456289
8,9000,52769016.92555359,27253515,28626110,30383174,30956903,31501158,31808301,32279798,32875454,15156261,15175758,15200369,15143625,15145403,15147426,15110816,15169024,0.7245817098311675,0.7614692319356683,0.8087374893077761,0.8227662601163596,0.8372709241151531,0.8454799549264927,0.8571784420560573,0.874347345359666
9,10000,58977132.71605942,25850797,27409114,29705751,30613736,31558071,32214837,33041258,33874589,17766739,17573528,17564792,17668001,17561911,17585404,17512560,17582125,0.6272882801875809,0.6619982532431214,0.7173163961842978,0.7410888277784484,0.7619920814709258,0.7782916538951197,0.7968551424913869,0.8183254664996275
10,11000,65185247.22380352,23429659,25344743,28706510,29863047,30782801,31401669,32424067,33386205,20570078,20598298,20649803,20664773,20678341,20673375,20606759,20705761,0.5251500645995438,0.5684341144935134,0.6445767073915658,0.6707710894964656,0.6916409971344292,0.7054672704422303,0.7273478373070211,0.750597811135083
11,12000,71393360.31408572,24909946,26839518,30218562,31213345,32196529,32835904,33939316,35230806,23443386,23491222,23520908,23532045,23542520,23539473,23485702,23577732,0.5194986307361271,0.560298954172319,0.6312307086701857,0.6521622900491794,0.672851903721373,0.6861700447548552,0.708431954187609,0.7368052505465366
12,13000,77601471.85150337,25324902,27493732,31071234,32126053,33124408,33788841,35044566,36400279,26068168,26100465,26115996,26102208,26115547,26102437,26053246,26126788,0.4914278749325947,0.5338484367747351,0.6034951311242999,0.6238157712823729,0.6433682233646965,0.6561062959224299,0.6798403906461108,0.7071491513189136
13,14000,83809581.70149684,24035746,26739368,30728478,32093381,33168082,33857819,35339093,37048872,28908923,28934547,28953543,28944407,28941423,28942487,28878146,28967254,0.43780432819004916,0.48727746862400845,0.5601658218015206,0.5849499463841937,0.6045051043255649,0.6170878772459647,0.643330955193604,0.6755525075750716
14,15000,90017689.72858262,21580556,24217414,29204965,30455271,31382856,32154307,33481475,35268610,31155771,31203392,31218213,31209973,31224829,31218678,31178175,31252862,0.36663018240213685,0.41176065914718557,0.49668749833964715,0.5178788209132709,0.5337868511770337,0.5468511468938442,0.5690304407581326,0.6001652921181917
15,16000,96225795.79823542,21289360,24119870,29191079,31093906,32414783,33242970,34758465,36562747,33596242,33635383,33643601,33659142,33659828,33663872,33628745,33681163,0.33992514250676054,0.3853604557258967,0.4664438358883361,0.49697249433014984,0.5180896922194531,0.5313610576811839,0.5552732046759594,0.584586484310314
16,17000,102433899.77492917,17194716,20074071,25616770,27779799,29737798,30958219,32737611,34581481,35717255,35732526,35756223,35770312,35769648,35781112,35749234,35804676,0.25772752898481255,0.3009543861530657,0.3841881007112701,0.4167162303623782,0.44608312863692373,0.4644699799285012,0.4909316200293241,0.5190137156154611
17,18000,108642001.5241741,18147883,21373858,27119693,29487431,31777066,33359832,35312653,37241727,37908395,37945748,37956931,37950470,37943050,37943724,37928224,37962688,0.25656662924147283,0.3023336730664427,0.38366932081825034,0.41712819575731364,0.44947011681120147,0.4718620193906869,0.4993744392728571,0.5269112720974914
18,19000,114850100.91040325,17746335,20632043,26123575,27821736,29311156,30481536,32245859,34429302,39969964,40015998,40003032,39994715,39998115,39990007,39969125,40043617,0.23699656186839135,0.27570375266878205,0.34902602573885155,0.3716731356284864,0.39158822098701607,0.4071800395612916,0.430628188374346,0.4602448905530227
19,20000,121058197.79920483,14963023,17443461,22296894,24746052,26407909,27327608,28860296,30782148,42026311,42058560,42079557,42094451,42096473,42083904,42084061,42112426,0.18932893552214358,0.2208043161455555,0.2823154940927331,0.3133849773228997,0.3344393637189893,0.3460316855695031,0.36543984106313887,0.3899150935947915
20,21000,127266292.05493784,14384260,17542417,23186033,27012413,29262051,30418359,32004323,33992906,44208620,44283336,44260140,44344972,44356158,44321943,44313270,44356067,0.173184001478944,0.21139783196426817,0.27932909098899394,0.32575956318716914,0.35293696402191804,0.36673214446294017,0.385812622701127,0.4099965471988006
21,22000,133474383.54325151,14151369,17611897,23191160,26311552,29084439,30390652,32074737,34139789,46302081,46371824,46393530,46393875,46401261,46396035,46361838,46434684,0.16233790535679196,0.2021972384319506,0.26631755496610243,0.3021520250646155,0.3340231537642743,0.349003541160465,0.3681988260126648,0.3922323856717285
22,23000,139682472.1284201,11725608,14460272,19378760,22374897,24991891,26381889,28493873,30808991,48490259,48531285,48574566,48526472,48536662,48508103,48496062,48549936,0.1285812417282557,0.1586405230205874,0.21270118943009061,0.24545720488479483,0.2741968167794835,0.2893564194871567,0.3124793810818011,0.3380679646244594
23,24000,145890557.6761999,8716948,11654391,15737864,18447810,20700366,22023196,23598066,25613591,50353134,50417347,50436163,50441786,50488794,50474876,50467085,50518100,0.09124118763704477,0.12206975043005724,0.16487312138310584,0.19327446205994445,0.21698095718920304,0.23081317046748484,0.24729833591442665,0.26856381416698927
24,25000,152098640.050771,6782537,9125100,12664677,15278675,17648414,19334886,21514935,23731855,52462201,52573456,52598443,52588046,52621067,52578709,52591538,52675297,0.06807285632261378,0.09168634137209927,0.1272829338572839,0.15353817496260463,0.17741098278496065,0.19428154537342004,0.21621506964420031,0.23869500131253096
25,26000,158306719.11789775,7723488,10270180,13561371,16319463,18556192,19717820,21503628,23555116,54744105,54910652,54959857,54982939,54968979,54946402,54916319,55023153,0.07457795523785665,0.09932853624199642,0.13122189413481403,0.1579448891763218,0.17956839368491406,0.1907677970599578,0.2079847643057679,0.22806257457369294
26,27000,164514794.741817,8837626,10968745,14316441,17330007,19841204,21753309,23763573,25699489,56798207,56900261,56941189,56909982,56916025,56920615,56906166,56962628,0.08204517229215122,0.10192624191743119,0.13308507139158562,0.1610523410470587,0.18439991505115647,0.2021792354586395,0.22083334094903687,0.23894905866185462
27,28000,170722866.78811216,9259510,11973963,15512764,19056141,22132953,23857460,25536999,27776849,59352608,59468660,59472111,59475552,59459822,59449751,59441299,59517242,0.08314167624964139,0.10762705829906158,0.13943962798370163,0.17129528956537413,0.19892456693190175,0.21440452917153602,0.22948094197076932,0.2497791730672362
28,29000,176930935.12180328,7838716,9965097,13021194,15671965,18412194,20401844,22593151,24764548,62046184,62173281,62228583,62216402,62231529,62171047,62156824,62261161,0.06823112661565697,0.08683601173498273,0.1135215953215388,0.13661708393442695,0.16052562626564476,0.17777852814169695,0.1968488431683271,0.2159640427449946
29,30000,183138999.60704994,7452891,9825650,12623291,15208015,17675322,19377191,21399976,23477573,64528063,64704733,64745020,64736427,64789250,64779683,64780351,64854276,0.06283477066445337,0.08296289816696611,0.10662105490411548,0.12844328180665293,0.1493481993725072,0.16371496182536946,0.18080618739613868,0.1984835597028922
