,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292275554,1911343,2017547,2317161,2370500,2523587,2622093,2883798,3067793,27928,27297,26563,26916,25301,26286,26553,28188,0.6213460960166582,0.6557367556072289,0.7529367295017549,0.7703570308279784,0.8196765268853271,0.8519444455418361,0.937056328508217,0.9973732237314442
1,2000,9312181.820186853,4885300,5403258,6012937,6228324,6541763,6698708,7084022,7499631,1256345,1247559,1235051,1235327,1225591,1229651,1229412,1249257,0.6064298606146153,0.6699951281633292,0.7444397192344718,0.7711323452828772,0.8089642650979145,0.8287884264257143,0.8764349545507947,0.9301377809233004
2,3000,15520302.808600467,7865256,8767580,9605525,9913890,10318010,10617644,11392007,12115010,793739,781658,778829,779665,776936,777727,772065,783382,0.5340863016127774,0.5948701603069937,0.6515986884836404,0.6725550229730027,0.6998408256369937,0.7202027744572234,0.7724317405132107,0.8220855738689782
3,4000,21728423.459530946,11542739,12573364,13330043,13690319,13948226,14173665,14897423,15885859,1069987,1045640,1077982,1173972,1167121,1165190,1170070,1179650,0.5587421401717292,0.6079145016724526,0.6455088636300165,0.6660512943852803,0.6783726871122635,0.6892721919387919,0.7246408633515097,0.7730806430508294
4,5000,27936543.6378448,15521258,16885503,17856533,18382077,18686919,19015732,20079954,21277390,1586234,1591908,1592653,1566004,1539000,1553916,1535790,1556492,0.5890351276065494,0.6409465377362633,0.6778244430740185,0.6970686702830903,0.7079037071165033,0.7207671753181518,0.7605826059153062,0.8065712035785204
5,6000,34144663.20869978,20345857,22373551,23829489,24455594,24812230,25205678,26069938,27187148,1457857,1481639,1541159,1513777,1525469,1513299,1447651,1557258,0.622448607248292,0.6849810004439459,0.7308873563854968,0.7494615329656554,0.7606634866958913,0.7724371509199719,0.7973186612158865,0.8342839150857557
6,7000,40352782.03685054,23077862,26118445,27884681,28929767,29475309,30172130,31673906,33380852,1223595,1222190,1232746,1213953,1206632,1220167,1213112,1231615,0.5897863908663896,0.6674686898527734,0.7127979374490608,0.7391577037923551,0.7529555006623431,0.7710225849099888,0.8092532709187016,0.8532683078844913
7,8000,46560899.98758015,23319775,27390250,30289563,32129215,33143606,34214255,36242014,38454066,1024102,1023052,1020526,982103,961556,985255,983422,1037526,0.5121083613819379,0.6014831883902447,0.6651144983627193,0.7049158188346865,0.7268439214613985,0.7507135666280477,0.7951737480927737,0.8447103681394788
8,9000,52769016.92554879,23474766,28811146,33032453,35314792,36544138,37794619,40525848,43353158,836869,817558,818193,786253,863947,870654,875392,908994,0.4520276348602797,0.554578188868363,0.635840791424966,0.6793557966748144,0.7040571961933181,0.728242990134748,0.780940781418565,0.8359648830514131
9,10000,58977132.71606824,26057682,31885056,36413743,38626662,39693032,41123019,43877989,46514610,2802695,2828367,2961858,2921079,2793715,2903859,2847247,3007134,0.4638708113414087,0.5678674427365973,0.650068096328635,0.6890720883715692,0.7064901640657568,0.7333800271450154,0.7817224004687239,0.8310632672329556
10,11000,65185247.22380811,28389444,35155322,39875256,42186982,43308493,44502704,46659122,48851097,8098357,8286446,8346938,8308746,7855398,8169206,8066912,8147452,0.49730233839502735,0.6178569889674581,0.7015559847670008,0.7417295560075841,0.7554265986454874,0.7805295324751005,0.8168851878678619,0.8564688871355444
11,12000,71393360.31406707,28145557,36646728,43114449,46862440,48406169,49803600,52571273,55354406,6962537,6976730,7123013,7175573,6792326,6964690,6958570,7194162,0.4368337319361094,0.5689016612841548,0.6708295629602642,0.7297423651614148,0.7493095043132988,0.7730036916364252,0.8158833565494341,0.8622289289221695
12,13000,77601471.85151589,27401721,37282597,45604707,49002914,50446560,51975600,54741350,57817912,6932729,6984924,7135134,7132102,6919966,7107232,7061145,7344054,0.3877488107801003,0.5279583629377271,0.6471842923935764,0.6953789157367622,0.7137165428531697,0.7373027939513604,0.7760291515976102,0.8229438793522712
13,14000,83809581.70150608,30134392,40113959,49218159,53133289,55221428,57626327,60855655,64070326,5054702,5014913,5105164,5121110,5080980,5118721,5119532,5183037,0.38263523624458945,0.5090948367580771,0.6253544646841109,0.6752360015524744,0.7014150741476158,0.7323128313285443,0.7733589600062899,0.814868900105345
14,15000,90017689.72859085,26995740,39631888,50414724,55439732,57908367,60547269,65064604,68772867,4575262,4627290,4650292,4615974,4576630,4585972,4596619,4762030,0.31595239879831566,0.46412580484419785,0.590561799251324,0.6491641476640715,0.677758061334325,0.70872119406932,0.7616926765848014,0.806666293111057
15,16000,96225795.79823613,22773779,35755400,47014066,52414817,54898940,57960018,62705255,66404775,4277511,4378821,4433764,4263918,4220442,4238385,4272121,4450298,0.2476803025741365,0.38929317028182253,0.512180252239535,0.5699624480809083,0.5966928850726564,0.6300864161415378,0.6819222302707018,0.7235566855326417
16,17000,102433899.77490997,21910439,34200537,46184724,51343278,53689464,56489423,60693506,64513490,4955799,4935773,5006126,4966792,4869361,4903714,4942194,5036630,0.2247729369552875,0.350781477873492,0.47404063759787657,0.5267754340117683,0.5502969078126464,0.5791993786454176,0.6225504571653501,0.6623747272289454
17,18000,108642001.52417576,18572257,30990220,45166561,51623522,54972476,58410725,63676995,67495954,6979041,6962859,7086260,6999183,6878957,6925719,7008448,7161363,0.1826845972637543,0.30478443494575697,0.4447465039605655,0.507891484608146,0.5402007797333563,0.574251472335484,0.6265351627683965,0.6651116408172818
18,19000,114850100.91039217,17413466,28473272,41198076,47648645,51320170,54118803,58901716,62894329,6275299,6270488,6424679,6407332,6314619,6328963,6286630,6473417,0.16038220373058107,0.26223405330702576,0.3799669420152039,0.4393897857714493,0.472842328579426,0.4986936558358507,0.542555571464892,0.580330812225277
19,20000,121058197.79920006,16353540,26611117,37817291,43299651,46216802,49077328,53751891,57724269,4907489,4914113,5030838,5144843,5093882,5104591,4959247,5149941,0.14079586916918263,0.22912158674294608,0.3259342543469711,0.3735518748034616,0.39854330775363234,0.42324968886037767,0.4629834346476313,0.49801688502659275
20,21000,127266292.05494332,14952771,23086497,32470529,37059964,39659064,43017561,48618249,54099142,3193578,3121844,3244344,3333938,3299036,3361869,3384705,3494492,0.12051619176621252,0.1859647963458058,0.2618127638634989,0.29903380987639505,0.31991563951712193,0.34718341718055207,0.3924574277405494,0.43708778555361516
21,22000,133474383.54326415,14467070,22773880,32356934,37664700,39823282,42101223,48001811,53267239,3203066,3238468,3313664,3316548,3220709,3206118,3316176,3608839,0.11105337900029583,0.17486635621979835,0.24859215678540308,0.2893771231120415,0.30573634210044937,0.32318863557769195,0.3687958823806356,0.4101722222575692
22,23000,139682472.12841558,13952068,22034932,31919353,38261715,40653183,42845240,47346902,50934740,4950100,5147220,5198849,5196398,4927676,4861375,5110365,5745912,0.10355394015257195,0.1637855629018882,0.23734750936566365,0.2845031743841772,0.30168264260708944,0.3177932898676117,0.3518329541709499,0.3802900414283063
23,24000,145890557.67621255,8503339,14674408,21777534,25911395,27513236,29820235,35225245,39318092,5040123,5234814,5545398,5533869,5101080,5299305,5541684,6402073,0.06037140758242958,0.10432853729585527,0.15517125100888768,0.18461104521904717,0.19542110997296902,0.21210590582528793,0.25098345342810013,0.28187338970142994
24,25000,152098640.05072498,5042613,9018440,13458065,16219637,17615193,19277528,22787102,25194693,5960279,6119229,6351181,6362422,6049153,6126277,6266058,6827347,0.03450574485538192,0.06177884905198219,0.09233824786829486,0.11129448270953889,0.12061112541861925,0.13206286174391185,0.15625521868682238,0.17343201448067694
25,26000,158306719.11793303,4330459,7525487,10652742,12765421,13648275,15046476,17806405,19244888,7615456,8007504,8195459,8189609,7710345,7666991,7790589,8398393,0.028737293127677373,0.050070035256638494,0.07096564236174425,0.0850364158354194,0.09062817800189495,0.09988384995105935,0.11830230411882268,0.12837771255520541
26,27000,164514794.74182224,4352362,7150439,9743235,11254931,11785029,12723803,14587522,15660625,8187337,8299917,8591010,8487012,8008746,8101340,8433307,9047695,0.02784131503749014,0.04577309858935201,0.06248716330310219,0.0721341468950016,0.07530078929691075,0.08134724100942625,0.09346093640604922,0.1007327275417561
27,28000,170722866.7881179,4420022,7188733,9712624,11185578,11910525,12901515,14602444,15498704,5421486,5585115,5822434,5700169,5235731,5275714,5544775,6360804,0.026739171681000973,0.043531735912352716,0.05889993031419052,0.06778205755890505,0.07197251280757973,0.07797967376641711,0.08840424200281523,0.09429611515632814
28,29000,176930935.12178183,5187293,7801758,10628618,12769518,13558114,14800506,17319297,18526589,4112399,4135371,4415745,4336351,4087374,4228165,4515392,5342566,0.03001583693744875,0.04515022153289493,0.061609751538383675,0.073985623969463,0.07844153355789313,0.08569929706143904,0.10045090301265301,0.1079711235372316
29,30000,183138999.6070857,4398009,7611642,10554828,12599086,13379867,14517532,17117221,18947745,4000382,4055378,4279001,4292473,4030415,4092990,4320184,4962135,0.024550870486487665,0.042503283838541905,0.059011674394488456,0.07044635553744569,0.0747025444333207,0.08108268948220934,0.09572382493356436,0.10634234159290784
