,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292265425,72107,2608411,2697241,2766736,2829586,2856012,2898898,2941393,796,0,796,0,0,0,796,1591,0.023235852759992286,0.8403221816739944,0.869162421598657,0.8913279508620308,0.9115756223824355,0.9200889870220254,0.9341446335894729,0.9480811584071173
1,2000,9312181.8201875,157519,6193177,6470343,6642962,6790332,6839549,6955329,7095021,1122770,1107668,1107893,1101706,1103522,1104888,1123428,1123192,0.019234470491727395,0.7548499686552379,0.7886537324330968,0.8090836810780958,0.8272156659849131,0.8333500846742864,0.8493757600641537,0.8664097960543744
2,3000,15520302.808601981,218380,11152381,11682501,12049382,12231072,12280842,12365003,12485699,1797295,1779465,1779558,1775143,1774123,1781506,1804333,1808805,0.015913420953029923,0.8116230724314666,0.850208715955959,0.8766272759127376,0.8897797184601158,0.8938804591906372,0.901504098692699,0.9106006633474448
3,4000,21728423.459533196,367873,16894158,17726990,18383063,18620781,18717840,18876161,19081145,917239,896875,909284,901589,904771,905566,921475,919626,0.017676696908593522,0.8109890646304155,0.8514756354102194,0.8826623669438831,0.8942130126396386,0.8989083288101043,0.9072046790864924,0.916974901462088
4,5000,27936543.637846038,506564,19844363,21117488,22066812,22508002,22696771,23051268,23519189,969455,938969,940560,949157,953543,954579,971161,971832,0.01878452682834587,0.7350424349667898,0.7822455474597009,0.8176713179428192,0.834154892633792,0.8411830385458499,0.8548466865679644,0.8722210463764014
5,6000,34144663.208684474,794174,21766370,23281094,24404765,24975861,25345183,26005421,26684812,1135084,1105003,1105799,1113118,1115992,1103815,1139737,1143018,0.02405889499467055,0.6587952134652617,0.7046578191353327,0.7388320723664975,0.7561872786887325,0.7670863302273898,0.7879254398441067,0.8085903545492883
6,7000,40352782.03687781,771520,22655593,24439513,26282787,27335786,28016725,29005878,29798930,837313,728246,740279,723996,778154,796457,766485,819032,0.019524505688645097,0.5717566756848551,0.6169646229436119,0.6632246310937138,0.6907401877416767,0.7082742133876289,0.7327252148130626,0.7537592556284949
7,8000,46560899.98755252,879627,22949460,24909345,26294283,27143070,27780578,28603701,29542328,974376,877227,914526,890436,928167,931348,964029,981549,0.01929576820202794,0.5023558417961065,0.5457026007540625,0.5757393445174216,0.5948157873297651,0.6088286382381835,0.6273171904231875,0.6481515721465154
8,9000,52769016.92557672,839469,21655923,23907334,25803126,26751040,27815644,28865779,30177195,1804207,1718497,1733617,1672956,1709871,1704307,1754937,1785649,0.0164715418585072,0.42420572859141853,0.46844609888162525,0.5049924697244901,0.5239225904599352,0.5447136396258664,0.565839451424227,0.5919027366738766
9,10000,58977132.71604735,764708,25568033,29079426,31903321,33019023,33989490,35263714,36881835,1097317,1024421,1036362,1005326,1037185,1047189,1068914,1063004,0.01321199783619875,0.44118786236054774,0.501881932888168,0.5503247665932887,0.5698835484253446,0.5867343867379673,0.6089587071036573,0.6368365685139016
10,11000,65185247.22380751,583206,20249629,24692927,28243168,29993896,30984950,32902848,34577711,1115426,999886,993066,956032,1017549,1028228,1078762,1129691,0.009102663139370339,0.31548671868327893,0.38467187949117265,0.4397246315650335,0.46742982575727887,0.482954949822576,0.5132530333729904,0.5398081452791836
11,12000,71393360.31408983,499941,20225438,24653126,29161794,31297295,32517587,34777245,36590243,2037197,1870135,1933513,1768063,1836058,1835277,1944771,1933769,0.007208313956698294,0.29091627882087107,0.35492629127906455,0.41883905886170814,0.44994981057021644,0.4674882551488185,0.5007624394314996,0.5267845996176729
12,13000,77601471.85149932,571354,22855220,26870027,31412661,33802214,35361534,37761860,39512227,2034645,1850837,1895361,1798590,1835131,1836076,1955849,1918301,0.007560910306883738,0.3017165472580542,0.35492547031912225,0.41439929766177724,0.44613760701802585,0.4667240710958449,0.49919425046087185,0.5220741487896744
13,14000,83809581.70150244,369988,22867888,26715391,29871482,31680865,33210392,35347581,36990821,2848471,2550763,2543897,2466361,2639568,2646976,2767712,2725896,0.004569947185681753,0.2814203844631719,0.32874135126195625,0.3672276772715524,0.39030257055893036,0.40918341289017074,0.4361644311785256,0.4562054706809483
14,15000,90017689.7286042,505875,20075571,23773751,26093821,27714801,28503062,30034641,31493986,10356434,10041901,10001117,9954142,10148726,10117740,10111776,10095390,0.0063503267099310114,0.25102060660040426,0.29711033838745504,0.32591387391989746,0.34700338787636287,0.3567344171907019,0.3758750710493208,0.3940575547368578
15,16000,96225795.79822278,784189,19389568,22753436,25662744,27578481,28403471,30056471,31445743,17729499,17504657,17407291,17381563,17516951,17489161,17492057,17369910,0.00999014007012054,0.24630700591996188,0.2886813960534944,0.3254866347127226,0.3503860470916569,0.3607402205185573,0.3817483007764703,0.39877483692800914
16,17000,102433899.7749052,425992,15733318,19056975,21458610,22617008,23504686,25285202,26645111,24812978,24648087,24415576,24450676,24601480,24523400,24385689,24330390,0.005488107977322719,0.20226462177015125,0.24426281004168054,0.27516956803349446,0.2905859546113225,0.3016882970576298,0.32396901541950446,0.34115126294312986
17,18000,108642001.52417767,423509,15260267,17853106,20513807,21728335,22789245,24525381,26061725,28670975,28302907,28157742,27701496,28269673,27777302,27738452,27604104,0.00529578046459064,0.1899482075368362,0.22182108781949944,0.25344303037336896,0.27034596855637527,0.2818194482153027,0.30314344851668956,0.32159922451374656
18,19000,114850100.91039562,457566,16217825,19323032,22650961,23942811,25446243,27578460,28795926,30480700,30274731,30303179,30206168,30261605,29861624,29275948,28831643,0.005423364336626702,0.19175588610705654,0.22854802473446525,0.26760288919913955,0.28305044016106584,0.2994081541998721,0.32227558277880125,0.33476449938217173
19,20000,121058197.79921508,263230,13774864,18372315,22846901,25442321,27145690,29025498,30285796,33252273,32710998,32781985,32833847,32963223,33026097,33006225,32937618,0.0029978614837429863,0.15591738087122012,0.20812305396231678,0.2589636624472987,0.2888055880370907,0.30836126541969383,0.3296405188579573,0.3436858457922875
20,21000,127266292.05492353,211990,13098496,17298794,21256605,24435385,26778597,28919859,30142929,32214764,31553852,31896185,31689157,31785016,31862928,31976973,31958343,0.002230263987734169,0.13685259713871648,0.18138591361796044,0.22240261740200584,0.25591808163460317,0.28068818395736667,0.30349528453793406,0.316268782393265
21,22000,133474383.54325724,195492,13049018,16147712,19112976,21532736,23365532,25610269,27184587,34095193,33600790,33701672,33653292,33645498,33736940,33745087,33775060,0.0019671321423664376,0.13065533678177116,0.1618449749458702,0.19147232017311128,0.21569644780487476,0.23427041209318855,0.25679785065857386,0.2726657116003925
22,23000,139682472.12843204,548686,14183187,16843674,18787423,20240588,21502139,23625121,25506433,36372688,36085408,35984679,36087260,35645614,36137175,36110943,36206174,0.0053110748863620496,0.13690722917028542,0.16243039983636617,0.18135416313167366,0.1945520882129416,0.20765925248473524,0.22810439508626051,0.2464954145184252
23,24000,145890557.6761582,606074,18336362,21202106,23290636,24578139,26207846,28494962,30055492,39435559,39176064,39025255,39095928,38603445,39179688,39233642,39177651,0.0056932413464557885,0.17182635055782167,0.19840028025045983,0.21808808243098027,0.22908752399916027,0.2455967801549599,0.26716469175350144,0.28164814300494545
24,25000,152098640.05080128,229879,17636435,20742338,22966103,24888542,26623073,28835902,30865292,39807739,39594140,39313759,39421707,38915236,39427761,39581085,39374266,0.0020471738836257175,0.15676204055870022,0.18391062531384064,0.20382257821701227,0.21989568354764288,0.23629063005708986,0.25627913783747513,0.27381205049841306
25,26000,158306719.11787295,260503,16857441,21211367,24388348,27549942,29291974,31888149,34174495,40809551,40468585,40254155,40225250,39650032,40265129,40344674,40123741,0.0022171002431195944,0.14305590568107246,0.1796773086505847,0.20653831784269824,0.23218195846502968,0.24814960532766353,0.2703255014622367,0.289165965727443
26,27000,164514794.74184895,499348,16794745,20786420,23349726,27423840,31602978,35377127,37073129,46915405,46587646,45752476,46445266,44922931,46591555,46496263,46168091,0.004246178497151689,0.14241627292087686,0.1750253802738812,0.19776250696360956,0.22931192091125124,0.2679961818313633,0.299759084254523,0.31325865299018424
27,28000,170722866.78813124,158204,11264081,14926852,17437639,19627922,22735878,26276077,28941455,49911726,49296401,48729861,49260143,48178771,49466078,49408705,49168024,0.0013095149914811692,0.0927646285913808,0.12235826065244997,0.1435637079110515,0.16017027890054433,0.18750189764406341,0.21659529780117326,0.23809380470710362
28,29000,176930935.12175798,200036,11979583,15777143,17559404,19311648,21823343,24013216,25833390,52999199,52651122,52530144,52500280,52313668,52673560,52803388,52705288,0.0016140821250456188,0.09639202617937236,0.12682510181593645,0.14111799044068166,0.15496767379059476,0.1756301626250806,0.19345597779713788,0.20795536669396275
29,30000,183138999.60711527,209647,11322458,13973855,15837423,16692482,18692923,22247606,23803632,58504074,58322744,58218715,58192370,57878831,58263799,58347728,58204496,0.0016820887000877022,0.09071300805273118,0.11186217709917122,0.12675350307406863,0.13326249026820966,0.149692836601016,0.17827854234904278,0.19052888763904557
