,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267363,1579213,1984397,2053634,2202944,2351548,2581009,2743929,2798986,38649,42368,48213,36524,36524,37586,37055,47681,0.5151715955349081,0.6481372365916369,0.6720341617686153,0.7181475777700225,0.7665916610726105,0.8416860767084987,0.8946605685532467,0.9157847975541387
1,2000,9312181.820188936,4773827,6264417,6592963,7214616,7781679,8448040,8910438,8990331,64821,113870,120778,97955,101548,101150,104213,120534,0.5162366963747895,0.6810398606242648,0.7172966316112175,0.7829865859382075,0.8448581446092465,0.9171654343309732,0.9676876816158864,0.97809785316766
2,3000,15520302.808601737,7574839,10222949,10741311,11609696,12495875,13788297,14609790,14740437,237395,308304,321506,270085,219890,286089,293123,319818,0.495641215327925,0.67203193535746,0.7067211395260559,0.7612806679686676,0.8167018208145956,0.9050875334449274,0.9594547502320175,0.9697346621246316
3,4000,21728423.459524486,8679788,11149037,12244191,13901788,15606167,17762950,19443189,19678995,183319,208436,219674,181807,158797,180671,183859,222666,0.4028659047026764,0.5180782294120516,0.5692655922670594,0.6451958722203384,0.723525139820342,0.8243527965789519,0.902463776259097,0.915057050979832
4,5000,27936543.63785491,9847657,13259933,14463057,16302400,18100668,21025726,23831397,24327988,26156,122595,124719,108216,98128,103478,108256,135139,0.3528312514958984,0.47673680471075475,0.5200326547548487,0.5858203271196155,0.650204675275649,0.7554225708936476,0.856373101720498,0.8750632680938198
5,6000,34144663.20868729,10177232,13952195,15399580,17384019,19481294,22565377,26681103,27728526,165673,210292,220446,167817,160462,182103,194495,221707,0.29951543402246317,0.41115230673342196,0.4539406143189204,0.5116431022828484,0.573245605520369,0.6644191975323461,0.7858901563018691,0.8173970991625734
6,7000,40352782.03686164,8609107,11696953,13794571,15819778,19056112,23756057,29311904,30411821,1132228,1211319,1253339,1114097,1118878,1169043,1179899,1255686,0.21950498179879574,0.29883790978851105,0.3528073529588373,0.4031678937543032,0.4857052202119908,0.6062733568547853,0.7482702759563938,0.7778537048206096
7,8000,46560899.987573236,9015345,14598588,16976685,19219884,23335176,27976459,34293481,35424470,1678299,1741376,1759354,1670097,1686592,1689603,1716327,1835617,0.2008650301370926,0.32571938970274733,0.3789307852168513,0.4281474761171122,0.5200119410523738,0.6234822899758807,0.7647186429783371,0.7920457431167639
8,9000,52769016.9255518,5200516,9978259,13377455,15801945,19457997,24750505,32275407,34018913,740177,788558,797065,742306,737596,766766,761968,829244,0.09995448692381824,0.19196173343315812,0.25739758666680035,0.3037275414663819,0.37396628140986415,0.47595064751011773,0.6205967780675714,0.6549684583481183
9,10000,58977132.71607283,3629624,7216828,11505004,14474130,18744634,23764378,31944715,33572079,466230,539205,559748,507098,508688,526242,528893,592499,0.06203329348058323,0.12349561803532394,0.19694486591479574,0.24754782634020236,0.3205940245379427,0.4065699890774337,0.5465470843121978,0.5750156653078029
10,11000,65185247.2238006,3885850,7385101,9551546,11636298,15496906,20388517,27484964,29177566,351653,427439,576955,442780,535990,535246,524631,588312,0.05993574853472327,0.11404186155401312,0.14783777238552936,0.17973207538995778,0.2397074098833547,0.31536761970692834,0.4250649870837946,0.451686537432655
11,12000,71393360.314066,2308687,5418388,7823717,9763371,12842406,17443444,25389719,27148185,663029,720208,761013,641719,633249,659938,661531,743413,0.03264069257287469,0.07666826542448688,0.1107667704318522,0.1379949753626276,0.18149216785427996,0.24660822888716938,0.358957477082399,0.3842633438821398
