,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226583,124887,2542848,2782179,2919467,2993784,3000725,3007666,3013856,2229,21552,21552,43847,36415,40131,47562,49049,0.04026234010359214,0.8249281043012079,0.902569736097726,0.9540075804243267,0.9759223723487236,0.9793713835253659,0.9840233433250583,0.9865284868859887
1,2000,9312181.820188127,221330,2728557,3716296,5117377,7091605,8202529,8548362,8606629,246576,327737,307186,310643,353202,315753,313403,336854,0.024414253651655792,0.30369789726671903,0.4126926957221354,0.5685002422611393,0.7915638992756527,0.9117538930106796,0.9499468951078508,0.9589208519650039
2,3000,15520302.808602924,220125,1125165,1819810,3150856,5023990,7822935,9404411,9640452,569888,942205,2907841,1535734,4088751,3431542,1609605,3674930,0.014723671738748906,0.07718188029552184,0.14428666089269843,0.22530948527077072,0.439484514798695,0.6471246411321858,0.6760560202942474,0.8138580486887201
3,4000,21728423.459526096,281114,745572,1350131,2542710,4372344,8208756,11691706,12775965,1174195,1499668,2784392,1977478,3442950,2660179,1442771,2604203,0.013676699203453413,0.036857037571676035,0.07126946568287502,0.12873864723137207,0.23911571169748197,0.43049353690759284,0.5763534608180474,0.6680515436976192
4,5000,27936543.63785062,166876,525693,1034168,2302328,4191128,7458505,12766154,13791168,1267580,1648926,1956011,1875731,3989418,2755103,1446860,2835580,0.00625731101763388,0.019997742178168063,0.03980549646212169,0.08834444389719866,0.17501591060997898,0.2961905598359215,0.48192927384601447,0.54942783069905
5,6000,34144663.20868398,282709,586224,1216880,2616828,4224475,7465479,13853378,15210683,2407506,2868564,1267269,2021084,4679196,2944019,1438703,3823642,0.008907823663634391,0.018743513891822917,0.03701266567161769,0.08146128371936187,0.14337037217434564,0.23927323263159275,0.4235734988854324,0.5016547066575594
6,7000,40352782.03687793,383971,784532,1490666,2996138,4147661,6104939,14508409,15856414,2829210,3219680,1696496,2502774,4604757,2768760,1661979,4294648,0.0102327944584443,0.021127564274615655,0.03856205944300782,0.07915818662656056,0.11602489915796024,0.16243442476725228,0.3749834033212334,0.4397458277730923
7,8000,46560899.98756418,483119,965978,1799946,3426275,4841329,5993253,13870583,15231493,2240711,2556056,1499290,2522086,4098254,2672743,1629825,3749561,0.010900652976357086,0.02195162878598062,0.03994411208336182,0.07780125506939226,0.11401383233201849,0.13655740890869952,0.3087080156403789,0.35578174755114383
8,9000,52769016.92555651,364909,719375,1595969,3536405,4777789,5898894,11379043,13092747,1911089,2159793,1879735,2739995,3419460,2750073,1873389,3393807,0.007175066206671592,0.01421430609286091,0.03136159402552912,0.07068707050204164,0.09681523599507214,0.11793319764566318,0.22357604108242424,0.26516843208849267
9,10000,58977132.716071546,346646,716290,1678416,3735491,5306040,6554553,11547113,12889065,1088254,1403812,1527628,2231194,2686426,2098161,1083257,2235106,0.005988127731756558,0.012441352888648791,0.02921549991240328,0.06582834092657343,0.0942613853964117,0.11523684065033767,0.19945310030080574,0.22715200259756171
10,11000,65185247.22379416,415776,924570,2072255,4769545,6172911,7364669,11676207,12755368,1097331,1370233,1720663,1893229,2562701,2170395,1278122,2504546,0.0064875880586929315,0.014488283223719214,0.03265214804988937,0.07535776443619434,0.09857329943020635,0.116871955421632,0.1827058713580292,0.20349753195099782
11,12000,71393360.31407112,450487,734722,1976567,4948396,6517575,7545364,10980396,12165763,1247003,1497695,1763297,1978745,2757527,2538828,1648250,2742345,0.006422101121844482,0.010511696207462649,0.02838668968437614,0.0712875232054611,0.09495878006137391,0.10958412970670964,0.1574360690025993,0.17721169809860676
12,13000,77601471.85153645,501593,830716,1902840,4555124,5816743,6924065,10531493,11673828,1143299,1581320,1400963,1585651,2523566,2042932,1478510,3072151,0.00656035818399655,0.010927576172464726,0.02497148678767166,0.05992336791174611,0.07747609545080247,0.09163841722729112,0.13834843973280625,0.1566340316350721
13,14000,83809581.7014811,482016,846520,2064135,4631397,5881338,6740999,10525925,11528022,1272797,1541494,2012413,1993161,2695873,2208056,1523001,3303719,0.005840014264468317,0.0102897736370352,0.025234797643584266,0.05660718178931725,0.0725073245219844,0.0826087373005778,0.1279178805373613,0.1431948135596827
14,15000,90017689.7285856,568904,1055597,2190932,4588984,5771320,6702739,10469385,11815995,1214528,1433557,1791377,1898070,2742246,2288494,1586480,2711400,0.006406348478208188,0.011916321439125686,0.024833090403993854,0.052076756732886295,0.06612765004034808,0.07640260399441899,0.11839015922243736,0.13533956186585303
15,16000,96225795.79821026,542329,1013315,2290656,4764840,5823730,6672552,10397861,11606993,907778,1123726,1224492,1912977,2420500,1934979,1192353,2258033,0.0056896797953574635,0.010655025722889889,0.02411183750557278,0.05052165825087629,0.06208316865742576,0.07076566124440076,0.10941265194483536,0.12352101033761198
16,17000,102433899.77492535,540163,985338,2359678,4857145,6053246,6832936,9889587,11188452,1066406,1339456,1339661,1865088,2302835,1824027,1073141,2023831,0.005328759544942175,0.009746707763620886,0.023341369682337198,0.04829673249864352,0.060453227113947995,0.06791516390529567,0.09756820212800625,0.11142759024575041
17,18000,108642001.52418184,563830,1034386,2636179,5326985,6635985,7530949,10779089,11961577,991140,1320786,1450655,1856222,2445214,2174605,1406814,2313241,0.0052375800064855555,0.009638224790390396,0.024593207245561476,0.04988477888850073,0.062487624670274834,0.07073479061065895,0.10051820907730762,0.11249615758738798
18,19000,114850100.91041076,682028,1520436,3477360,6140426,7540653,8452245,12234431,13536450,1292051,1580674,1487138,2136416,2537738,2237541,1768957,2797934,0.006005985489695109,0.013423180830627603,0.030674568754418596,0.05447808759762091,0.06714000849590372,0.07505597072586048,0.10819160982040299,0.12080489269629938
19,20000,121058197.79918885,680394,1382842,3052430,5816056,7166852,7973579,12395287,13906913,1165975,1477863,1320805,2087588,2266370,1777905,1236878,2359300,0.005675047005672859,0.01156412550878207,0.02549270473192296,0.0488864939821436,0.060331187193408416,0.06684741303765665,0.10344809271650096,0.11716126482932712
20,21000,127266292.05496573,938359,1678707,3484411,6523840,8246129,9164888,14501448,16086635,961957,1140657,930959,1829891,2019520,1555888,901985,2014938,0.007429349116098354,0.013309800178753646,0.027580653137503578,0.05200914523321886,0.0658390540906005,0.07290476925038548,0.11475905133315996,0.12843481909936466
21,22000,133474383.54323101,756290,1925575,4103277,7333433,9373318,10360958,15153414,16864495,1007683,1228157,1077498,1951886,2163444,1719906,1088946,2200973,0.005709283894733846,0.014560528873544332,0.030992247160226243,0.05575801202824273,0.07138261315169447,0.0786383749015314,0.11446435711670772,0.12846847606237957
22,23000,139682472.1284151,738657,1386911,3116908,6030680,8060558,9042844,13499452,15477115,806169,1155778,1137818,1953843,2087672,1631592,1045166,2143492,0.0053188123773498215,0.010011868172601628,0.022497497428597867,0.043786684280267746,0.058581850422234016,0.06550370408061386,0.09737243442609818,0.11252893532836716
23,24000,145890557.67619824,667428,1501589,3737162,7185072,9437871,10404197,15409196,17461034,910042,1144098,1083982,1936982,2096374,1745812,1025380,1887796,0.004603570327275178,0.01037392557551387,0.02580795783995792,0.0499124246566944,0.06563458102903934,0.072178815476019,0.10636922031354243,0.12125485509272756
24,25000,152098640.0507865,795696,1655736,3894401,7051919,9361248,10803613,15254233,17208488,976570,1190541,1179266,2262157,2356334,1895945,1296099,2190202,0.00526525344532798,0.010971816691182227,0.02580451333365244,0.0470640985187151,0.06251571948427885,0.07192689183337946,0.10115368675958025,0.11479332467042348
25,26000,158306719.1178887,592538,1371066,3508024,6330856,8283561,9602647,13899420,15663849,1638569,1197793,1124804,2044048,2160030,1673364,1076473,2091001,0.003782121634513018,0.008726849797007734,0.02231824187514786,0.04051419289526822,0.05304986642237429,0.061306526906562485,0.08840169333309089,0.10027063338261023
26,27000,164514794.74184632,902089,1906382,4412358,7352245,9242884,10029582,14418955,16419293,1294552,1364767,1286389,2221452,2349419,2000032,1485549,2647158,0.00552682060047398,0.011684840182905052,0.027031802338242275,0.04530219709439918,0.056996655159692634,0.06171489796242036,0.08844397785433013,0.10143653994396802
27,28000,170722866.7880721,1295069,2585833,5502163,8615433,10579736,11487484,16762356,18816842,1701676,1468985,1652240,2387159,2676086,2225415,1833042,2756913,0.007662169423618766,0.015277835714502546,0.03254357722880445,0.05118006816976992,0.06295708820118585,0.0681760102487983,0.09925024210922058,0.11202771499599137
28,29000,176930935.12175322,1078513,2695470,5695246,9462559,12054950,13144184,18153707,20191284,3138701,3308199,3584587,4023985,4285907,3799054,3235561,4543006,0.00620576060518578,0.015524867653910243,0.03285472155432909,0.05472630795544595,0.06982506320134846,0.07592006691567388,0.10451462563001251,0.11712701755202018
29,30000,183138999.60714483,921327,2024561,4876517,8492161,10829208,11852198,16258539,18094247,5369121,5509062,5850986,6277257,6569066,6049043,5955377,7340835,0.005182694656815558,0.011397633908297707,0.027506185560891596,0.048015816619331075,0.061330985285944516,0.06692755606853999,0.09176095826897482,0.10292625659906696
