,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292273374,2969532,3004459,3040234,3049153,3061647,3084687,3098065,3103139,0,0,0,0,0,0,0,0,0.9566604376342919,0.967912473007291,0.9794376989204541,0.9823110319720124,0.9863360822182474,0.9937586176491147,0.9980684561471244,0.9997030891669255
1,2000,9312181.820187893,8802102,8894749,9095889,9146401,9187241,9205080,9234065,9283687,0,0,0,0,0,0,0,0,0.9452244565197289,0.9551734675881285,0.9767731317574802,0.982197424471621,0.9865830776717618,0.9884987404395706,0.9916113300087694,0.9969400489876477
2,3000,15520302.808600591,13068686,13628032,14338853,14540595,14783500,14910562,14962860,15135024,7433,7433,8176,8176,9465,8176,11150,11150,0.8424415444236182,0.8784984447200346,0.9243640911992753,0.937369528976392,0.9531077677701401,0.9612197079083277,0.9647761025155646,0.9758769022900388
3,4000,21728423.45952492,15088784,16048809,17398362,17802844,18259679,18735474,19160323,19550222,0,1487,2230,2973,2428,3716,2229,2230,0.6944260833330569,0.7386595450259316,0.800801209489941,0.8194464843510225,0.8404530431766593,0.8624039718328024,0.8818996366664654,0.8998457109581266
4,5000,27936543.6378517,18593268,20241349,21749482,22249156,22875951,23656264,24180512,24653349,5943,7428,1486,743,743,743,0,1486,0.6656952437607913,0.7247400620364562,0.7785730132351575,0.7964388165719308,0.8188757965649339,0.8468081622814444,0.86555131205413,0.8825236489433614
5,6000,34144663.20869778,24179214,26354098,28132249,28829587,29528891,30458470,31087491,31584677,7433,1486,4378,8917,16351,18581,15609,17097,0.7082945468094658,0.7718701115280637,0.8240191559042062,0.8445571051455213,0.8652315068916419,0.8925275926410619,0.9108805304096989,0.9254887033799176
6,7000,40352782.03686592,23866556,27470514,29987081,31393601,32883286,33968776,34951483,35496194,1486,0,6770,0,2228,4457,4461,5948,0.5914693787826527,0.6807588625464088,0.7432477086607591,0.7779786030940594,0.8149401361368293,0.8418881321334409,0.8662438015218805,0.8797764396474388
7,8000,46560899.98757097,21539933,25247642,27713046,29283764,31438722,33163697,33892009,34412762,6684,3713,16347,11148,8918,14859,6691,23039,0.46268490496651743,0.5422931159208605,0.5954090053759965,0.6290852850906471,0.6753465837049409,0.712492325799644,0.7280117037118702,0.7394573207649302
8,9000,52769016.92555058,20992469,24831424,27095539,28898036,31012103,32765761,34025312,34977711,2975,17107,32738,66950,61000,28274,28999,13791,0.397840509424963,0.4707208522884744,0.5137931524947296,0.5483283234568908,0.5883754466384916,0.6212608921010557,0.6451516957774108,0.6630188836526143
9,10000,58977132.71605691,20502628,25027742,27805743,30077617,32011380,33733760,34821522,35946127,53421,11887,78328,131337,84135,122905,97934,101978,0.34795207910184933,0.42444904105919223,0.4720935023053131,0.5111260139149226,0.543551546727808,0.5731747965965848,0.5914061800997955,0.6105483233693563
