,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226739,225971,1828612,2200332,2456584,2502289,2616572,2716637,2725910,49120,50814,47426,32181,63516,63516,98239,105014,0.07396903161983785,0.5989073999119133,0.7198544369552717,0.7997006056576433,0.8229739422165211,0.8605603005621522,0.9037918197091644,0.9089255143401477
1,2000,9312181.820186935,497547,4203093,5086953,6029736,6229678,6877253,7673774,7727170,54594,5081,72459,73539,85144,128807,281387,269863,0.053744777761120195,0.45160067363658146,0.5505525543348585,0.6526646951676387,0.6751547052696257,0.7488807910663073,0.8497340658040944,0.8545562431120133
2,3000,15520302.808602756,463954,5271933,6665322,7922039,8074043,9370671,10838207,10981618,207391,56790,180849,129567,403673,316196,662642,757634,0.03029822190573525,0.3409272566494132,0.43452146883234644,0.5147277621107578,0.5341166055019172,0.6163249915278092,0.7294692710796409,0.7438775564483708
3,4000,21728423.459529333,448384,4834133,6306826,8069697,8364130,9785109,11298550,11472916,244678,204620,331117,159764,991250,886252,1393465,1587431,0.020870848653678994,0.224594738057774,0.29474859426482825,0.37413994203681006,0.4033399255845275,0.4694860619010075,0.555621985778156,0.5696301224010342
4,5000,27936543.63784513,459641,5545465,6771135,9177794,9502924,11344459,13212882,13466576,758867,696517,1274326,658799,2047157,2044791,2556782,2969195,0.016912446421558577,0.20357781120138743,0.2539599328147728,0.33645721528116124,0.3670586767053267,0.43814952037731797,0.5206070170610886,0.5393674833212994
5,6000,34144663.20869146,298184,4237105,5322782,7543944,7721296,9020042,10737502,10961791,1391564,610989,1383888,523840,2053895,1875544,2733520,3938022,0.009103993429753755,0.12635373546098927,0.1624742383564801,0.2243830840539854,0.24060801379970592,0.2795255098741745,0.3418373514348543,0.36289340891187616
6,7000,40352782.0368768,230623,2213920,2969948,4654286,4826302,6133129,7456041,7617756,3429519,2104068,3525885,1434161,4475506,3873324,5185069,6699507,0.006246008099816834,0.05788220743488237,0.08064616459611104,0.11959020838867584,0.13452253161692765,0.16812555147612304,0.21201381483582993,0.2263600196905819
7,8000,46560899.98755935,111277,1161062,1583196,2412222,2533442,3510674,4513426,4644348,4210477,2063789,4125508,2296682,5672751,2979234,6996455,8833630,0.002627529836778447,0.026092974897282965,0.0373083863691925,0.05449598139693704,0.061960300545051,0.08055391918707612,0.11407782925854773,0.1231032089396207
8,9000,52769016.9255546,165328,1146320,1652280,2545752,2698075,3494499,4279531,4393766,4384498,2310997,3572485,3550260,6361708,3947530,7556183,9079897,0.0034169607070885007,0.02271829139730953,0.03358529423375352,0.051723207960139156,0.058139010049649324,0.07157707026270181,0.09465301394392754,0.10056888322508878
9,10000,58977132.71608147,56470,976658,1508627,2453720,2536707,3515462,4338898,4474354,3337023,2184162,3759486,3022705,4827126,3294355,5843956,6362634,0.0010149153243613873,0.017196811289948072,0.02732146496132061,0.04385211501850091,0.04684592216766335,0.06313373980595649,0.08166080532291559,0.08504032365953962
