,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629225353,1912011,2324449,2390463,2433071,2448946,2462973,2500817,2579968,487426,487426,489109,476765,476205,415056,480132,484621,0.7307137873376098,0.88833533502847,0.9141518998988694,0.9260743149477171,0.9319180143552664,0.9159422684629338,0.9530811822188554,0.9849312697322878
1,2000,9312181.820187874,6710444,7857279,8032045,8115536,8173468,8209518,8357591,8554000,478297,476614,478859,468759,467636,474369,464831,468197,0.7596254803622497,0.8892783304823219,0.9092891954139143,0.9176917314723158,0.9241252367469086,0.9289083359230369,0.9446433367296411,0.967211067625768
2,3000,15520302.808602856,11398412,13443053,13837995,14057359,14155315,14224490,14539635,14841530,502959,505765,507447,502396,501835,497344,501273,506325,0.7590165175195822,0.8953357853145206,0.9217430165465506,0.9360398342562216,0.9425272391562856,0.946850096657017,0.9680808404595974,0.9885141825303587
3,4000,21728423.459526595,14352747,17345008,17915385,18329530,18598078,18797289,19537801,20098869,610461,611102,616634,597072,593581,579126,594824,598753,0.6796463923784126,0.8213640178392605,0.8485962326569039,0.8674092632033974,0.8799723979781482,0.8887902322038057,0.9244899827602608,0.9512154502598101
4,5000,27936543.63785389,17718793,21649450,22598885,23308001,23695175,24058399,25122357,26032990,622523,629176,630938,618569,612805,612881,619639,621884,0.6487068760372803,0.7928061864882648,0.8276280445752523,0.8532111662371425,0.867201055977496,0.8804968542785977,0.9196633854769608,0.9530775907572469
5,6000,34144663.2086799,21244541,25881472,27061332,28124245,28809635,29450161,31295309,32619566,568452,568452,571258,563345,559697,556683,562837,568451,0.6327259757797807,0.7708276505393584,0.8060347716234545,0.8374967541545351,0.8578134282164103,0.8768065485637451,0.9319120647438494,0.971508215318207
6,7000,40352782.03687121,24286310,29288174,30633353,31766673,32404963,33134316,35566962,37268107,1029793,1034283,1038211,1028690,1030241,1010157,1030803,1037652,0.6176109851981988,0.7448955254506231,0.7791857367913407,0.8078170748409094,0.8240811032434332,0.8421989119675443,0.9045058990202343,0.947932945027743
7,8000,46560899.987570256,25780479,31248107,33235865,34464637,35209545,36081452,38861191,40806434,1401333,1405822,1408628,1368696,1354931,1335699,1367410,1401644,0.5708752479202432,0.6920175624234688,0.736084000582503,0.7626235049186628,0.778869379167188,0.7978173941099049,0.859884709295258,0.9036117426565146
8,9000,52769016.92555377,26866623,31719479,34328541,35620214,36464108,37756284,41629830,44140286,1552056,1557669,1572484,1334573,1344972,1346623,1352831,1353835,0.5245649588434559,0.6193837945080217,0.6705247218579828,0.6925361932862871,0.7090867327295788,0.7342381619700799,0.8096639073982739,0.8585068523906538
9,10000,58977132.71607691,32182099,38252418,40936339,42488812,43491524,44768568,48991258,51766612,1357338,1371185,1380562,1317139,1306786,1271584,1338483,1368217,0.5585250547763692,0.6640359115092617,0.7107426447625892,0.7368854774632616,0.7541401513349278,0.7758104549056539,0.8499723404577791,0.8985868134566105
10,11000,65185247.223789036,34690326,41913863,45361131,47467577,48734982,50022081,54979891,57993958,1252714,1281256,1288468,1212047,1175299,1146644,1217959,1275118,0.5426083443083696,0.6558880313628526,0.7099126364590199,0.7419915970117239,0.7613657462995391,0.781123860949825,0.8595001058611911,0.9074298347438347
11,12000,71393360.31407171,34468559,41906319,45217269,47646445,48979619,50324199,56438972,59767294,1559469,1559655,1573223,1497859,1478310,1352895,1492310,1536134,0.4935792399850772,0.6000872903926486,0.6476250368371419,0.6816811397618172,0.7005590181223389,0.7185017799973046,0.8074123599919403,0.8555635136627341
