,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292262194,1278223,1556618,1645967,1762145,1826829,1943149,2276362,2487862,448334,263694,141731,318492,333227,416287,397919,417815,0.481308198642579,0.5480341812155631,0.5556326290501094,0.6325979484086494,0.6593066363606099,0.7229585776386277,0.8411836156006703,0.9261483659320595
1,2000,9312181.820187619,3350859,4271747,4474723,4740700,5089108,5744585,6884617,7164969,1211678,425745,393944,1002938,1041389,1180804,1107767,1134553,0.41366056659947226,0.48070414345328244,0.5017496830899563,0.5705332642282432,0.615310782247905,0.7064712926926143,0.83913565450882,0.8761670598587543
2,3000,15520302.808601795,4288896,5263127,5401685,5585024,6076488,7164910,9481053,10439314,1695986,1161208,722028,1347994,1415852,1512332,1433201,1532196,0.3102428900740581,0.3665361271134676,0.36502126564511167,0.3940800384345425,0.43082060283369344,0.5114880733189624,0.6730307716105756,0.7462992771531088
3,4000,21728423.4595211,3899417,5264959,5497179,5761405,6757467,8640119,12024939,13403491,2057322,1413387,976573,1425901,1631073,1741317,1600433,1772581,0.19823074005409216,0.2591656190472874,0.2649006656405359,0.2837777922170515,0.3362367100882523,0.43228463397132577,0.597423723157215,0.6716574871338034
4,5000,27936543.637853965,3931585,5688065,6003570,6354571,7272950,8376524,12742950,14056505,2796370,1222282,933366,1410028,1923353,2247313,2136305,2298664,0.15638654913982572,0.21292241114910856,0.22232827856466764,0.23955543527668885,0.2795870026576641,0.32607142339470857,0.4939082222791387,0.5482709646255524
5,6000,34144663.20869967,2930256,4372400,4605100,4854056,5853871,7315410,11747728,13161015,3466121,1645534,1047110,1446068,2295881,2842270,2628317,3019087,0.09551483835398972,0.1345389893963545,0.13913717340258108,0.14844845685323346,0.18380203555792418,0.2337013004477522,0.3727503157316248,0.4228360275727671
6,7000,40352782.03686148,2449343,3535152,3811074,4034152,4624906,6200461,11085565,13064803,3439543,1567637,968972,1581862,2417021,2723190,2782040,3195870,0.0663540524729919,0.09114706150099953,0.09676752951106066,0.10405097418798746,0.12191414838115582,0.1647761951265936,0.29505845237562006,0.35161164595806765
7,8000,46560899.987574786,1926131,3156296,3453603,3728544,4377744,6486038,11864682,13799562,3823952,1819841,1112794,1736526,2439922,2874143,2867204,3187520,0.04506945607252997,0.07054584919137805,0.07599003137653729,0.08318117283765177,0.09922137268201187,0.14846691416908636,0.2715421923422081,0.31815740447143326
8,9000,52769016.92554486,1232907,2082816,2359535,2586337,3022089,5271804,11046854,12836645,5218167,2242747,1539708,2716937,3625922,4132635,3879295,4438930,0.025928180083647008,0.041222437418578936,0.046058302356357717,0.05167291756600953,0.06149569953985745,0.1083921910159838,0.22595452714628805,0.265603598432909
9,10000,58977132.716083735,1134656,1976544,2200307,2449564,3040387,4642434,10169626,11968226,3950974,2426782,1196433,2011868,2912614,3065807,2466809,3173411,0.0206203018068995,0.03495193177356975,0.03808031074063865,0.0430010114445827,0.05423014536871029,0.08303208590642547,0.1799604980338409,0.21447003231955622
10,11000,65185247.22378343,998901,1647125,1844658,2085828,2632766,3956335,8963679,10723253,4060852,2724251,1433707,2192948,3051112,2946968,2539798,3167685,0.016342100340509032,0.026370456758306075,0.028935112681588573,0.0331124284349423,0.042372296492383485,0.0635675511813981,0.14308587632566497,0.17290671570266405
11,12000,71393360.31409788,1154630,1706827,1982037,2221872,2721688,4070524,9130813,10431717,4889430,3343426,1894958,2831078,3517904,3584491,2815880,3753616,0.017361831015801407,0.025081978655876486,0.028519173592540848,0.03240662248991579,0.040098264494977685,0.06002937434548423,0.1331459388443428,0.15422466636713408
12,13000,77601471.85150969,1288287,1827668,2070704,2277182,2904568,4435075,10129744,11510312,4988240,3474975,2616352,3432753,3855090,3808419,2822882,3791211,0.01774176644050881,0.02465606871536351,0.027614865510657848,0.030702727986431283,0.039385905139704684,0.060101524853897755,0.13546315890838495,0.1559446053599006
13,14000,83809581.70149869,1126526,1660976,1889737,2147442,2712110,4355481,8533249,9921186,4693315,3326564,2244142,3105046,3440541,3291494,2430661,3495276,0.014238867011386172,0.020637595948009176,0.023168354230857877,0.02660869034601387,0.033745705763406304,0.054093199731057834,0.1048582228228403,0.12352949967436334
14,15000,90017689.7285912,1516360,2130848,2417714,2782173,3485566,5018127,8806006,10156038,4541228,3402470,2113336,2996045,3539863,3413002,2438733,3460657,0.017740088549931046,0.024601311486330144,0.02750391644382945,0.031971045924002274,0.04030589264158284,0.057942902764411705,0.10054933660936353,0.11733348151900423
15,16000,96225795.79823947,1297085,2065111,2318448,2609244,3194929,4382648,8270478,9595662,5335840,3955955,2082477,3046781,3648039,3631844,3070896,4474332,0.014270938835962383,0.02238121342937662,0.024626792741062324,0.028002485384180077,0.03451076274145322,0.047331903595061044,0.08878199663048002,0.10458320339281739
16,17000,102433899.77490878,1029249,1515251,1768655,2041087,2657871,3730796,7269519,8581144,8342401,5743036,2823347,4486960,5790976,5416572,4960219,6213625,0.010938809705457344,0.01567108763789125,0.017755699077352294,0.020838701083368286,0.027501972169120755,0.038454944962572776,0.07457930122478032,0.08918228533512453
17,18000,108642001.52416039,1285844,1769212,2055017,2368350,3147506,4442834,8197683,9944998,8222427,5650306,2889156,4878116,5894441,5497708,5436863,7228485,0.012804714679314173,0.017178200543217274,0.019432261986090094,0.022824415142478,0.03063338909403971,0.0430739680131632,0.0794309577723295,0.09806383153699971
18,19000,114850100.91039777,1047757,1729055,2075159,2482743,3258030,4362780,8188682,9946480,6743233,5431057,3079456,4549864,5084272,4968442,3787953,5347026,0.00969186343339826,0.015802139538121963,0.018566225520695305,0.022508954373478388,0.029681641657892836,0.03970435142008184,0.07373062878818469,0.09083288307783895
19,20000,121058197.79921627,955957,1585890,1947664,2357659,3074879,4085777,7111105,8660195,7271971,5973837,3114181,4828630,5469628,5460978,4192013,5478417,0.00840134194525013,0.013780239026281319,0.016513461664745863,0.0202845028562164,0.026601929631461265,0.03534494174770543,0.060848268575014595,0.07492828711143155
20,21000,127266292.0549376,1167033,2049008,2410761,2855592,3614754,4601245,7331544,8604272,7926929,5663613,3060903,5490173,6249967,6298767,4375560,6060142,0.00977911202243269,0.01685002350214916,0.01940947183003219,0.023449523783162604,0.029869970009079483,0.03803702686246029,0.05965904732931752,0.07098874105068141
21,22000,133474383.54327321,1135567,1871508,2282434,2650031,3306840,4299605,7185027,8388278,7748012,6223401,3611184,5511945,6094884,5872075,4017367,5858358,0.009032051001401517,0.014707218463822638,0.01757567970007888,0.020709444350764196,0.025960535344045722,0.03369535433241706,0.055501255875136615,0.06573060055968931
22,23000,139682472.12839675,928596,1590598,1847469,2156788,2715340,3568935,5835489,6810446,8258205,7286517,4468646,5734058,6213893,6093774,4621871,6451699,0.007065635748174234,0.012013947091189064,0.013663314269693654,0.01610163146786197,0.020344413776877353,0.02671584535220017,0.04320644918833459,0.051117664786322736
23,24000,145890557.67620134,1118795,1922115,2254422,2714580,3409362,4502420,6849204,7895586,8518968,7376790,4721480,6299066,6961183,6733208,4973130,6829517,0.00814429681302453,0.013876707220131786,0.01596965877450127,0.01944660070183062,0.02454025297347016,0.03235488467175085,0.0486043785566256,0.0567778434679242
24,25000,152098640.0507443,1293009,2403750,2793273,3259252,3977264,4852365,6951089,8044176,8475881,7432676,4850484,6243030,6771447,6571634,5026861,6905202,0.009002814098169208,0.016615864109935628,0.018969833476470764,0.022345743155618637,0.02736765168657216,0.03334339880742144,0.04726324142445887,0.05540316496389186
25,26000,158306719.1179402,1212875,2171145,2530253,2995237,3665113,4464878,6077841,7069281,9138513,8197815,4994528,6626788,7502930,7075102,4982950,6846805,0.00813092167268565,0.014463798884935812,0.01650392562750293,0.019747088345333074,0.0243038521872524,0.029523442816312674,0.039640566071166596,0.046674270490442954
26,27000,164514794.74179435,1083827,1753799,2071074,2433529,3044472,3794381,5760948,6900059,8960417,7876704,4631986,6328955,7144308,6711337,5057638,7111069,0.006967512041345767,0.011196503939076993,0.012953700377785574,0.015383987618438113,0.01934588920090981,0.02404498009294923,0.03612850070648496,0.04383669425537539
27,28000,170722866.78806496,1014098,1915019,2288038,2703982,3446112,4335742,6638656,8095968,9802166,8579489,5390296,6156027,7632189,6862140,5618703,8123696,0.006301849265095997,0.011810651943510705,0.01383900334395072,0.016430904327276896,0.02113003665652917,0.026459921696843105,0.0402088950859027,0.049790955026163375
28,29000,176930935.12187815,864688,1823931,2307794,2801387,3561426,4397745,6797689,8358500,8849281,7739677,4817085,5940228,6792696,6746888,4747364,6972592,0.005144451989822778,0.01078029101649045,0.0134085316107088,0.01638327045459399,0.02093254296260102,0.025841111869025733,0.03947931243212707,0.049179698074639795
29,30000,183138999.60703278,1320250,2378773,2850720,3374340,4125742,4959886,7105727,8830723,8866519,7324055,4688291,6239111,6997141,6806245,5004841,7438638,0.0075757801541657815,0.013529981796011933,0.0159748314940995,0.019074856556274004,0.023422836755710674,0.028127990236716815,0.039889749700816025,0.05026012991225701
