,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227135,11122,401477,405329,487309,494602,513429,570407,637406,1889572,313187,1173844,1206360,1518349,1889572,1950479,1949891,0.009157763796502332,0.14385352163407678,0.2099914558099601,0.2567891860785562,0.31191169370503113,0.4227532375718752,0.49446609199398883,0.5522637087815466
1,2000,9312181.820187306,168749,2195947,2230576,2502268,2522721,2559292,2803009,3096783,2808738,573172,1907687,2016108,2511528,2808738,2907750,2908339,0.025947637077479952,0.25128098551020206,0.30124620979120015,0.3429608939915799,0.370952715239153,0.3935287319705469,0.4376670840908448,0.48358198146865544
2,3000,15520302.808601575,920513,2873171,2916355,3118269,3187999,3235837,3464875,3851021,2750654,518980,1552217,2129811,2584799,2748342,2913840,2907676,0.07208600751650639,0.191527843021454,0.20878701920660472,0.23287187988098654,0.2464534081679998,0.2533547548799829,0.27484910340082586,0.30533060705274145
3,4000,21728423.459526647,775710,2991323,3038212,3229810,3306685,3336674,3643658,3969263,2246821,266791,1322554,1581471,1967843,2246822,2477116,2490982,0.039817566425120854,0.1393800311155816,0.14888912261376766,0.1603125835775107,0.16733744268154002,0.17127308588731763,0.18926807998159678,0.20633008855937887
4,5000,27936543.637852713,377663,3359064,3500286,3737547,3772766,3849116,4396194,4712299,2772964,316641,1400885,1464192,2171291,2767569,2982262,2976241,0.015008317792429438,0.12161751777489783,0.1319087665307427,0.14118681449726952,0.1464284497042845,0.15293098170996394,0.17616992802275222,0.1887917413650955
5,6000,34144663.20869288,234084,2666285,2951641,3306939,3350295,3378685,3985859,4496846,1800351,136336,1295168,1262813,1694872,1781096,1999999,2009870,0.007237253910042565,0.07840094526373735,0.08985346597408032,0.10057034440007741,0.10324550251967413,0.10439779330297319,0.12399753110259912,0.13993698265914295
6,7000,40352782.03686291,95467,3179097,3514493,4322885,4355748,4401420,4972321,5815167,1609552,249254,1311207,1178432,1456898,1598761,1816053,1834552,0.002464095015030143,0.07927225248306817,0.09001924222272356,0.11034988445072304,0.11198480527841749,0.11357324691064599,0.12902810187246688,0.15097181242322763
7,8000,46560899.98757595,7421,3265388,3693302,5165295,5286781,5423222,6131932,7195180,1597587,271694,1308713,1354306,1548251,1586955,1777144,1802433,0.00016504566738777759,0.07054318453585988,0.08161598910156544,0.1142597693031147,0.11745100808128883,0.12058586369281514,0.13692312904038553,0.1607557292343645
8,9000,52769016.925542176,3854,1648382,1916056,2595580,2639010,2751869,3493987,4238002,1872672,276235,1464369,1449104,1718965,1839983,2136204,2227285,7.572252989164812e-05,0.03140206976147939,0.03734663578202017,0.05057646928913956,0.05169456054323048,0.05403340271530007,0.06900637744811976,0.08385153888757518
9,10000,58977132.716061085,7704,610732,714633,891893,905879,936267,1354075,1707178,2201228,363519,1475486,1433141,1863338,2189093,2431039,2434827,0.00013569136482330065,0.010419627135745931,0.012428044078960128,0.015499324489007668,0.0158609492593434,0.01648704559413063,0.023946393305244264,0.030192932148415532
