,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226922,2251121,2331557,2444764,2563633,2607223,2656532,2719107,2784374,0,0,0,0,0,0,0,0,0.7252181155239388,0.7511312691661834,0.7876018841194083,0.8258965613820766,0.8399394571907375,0.8558247783522255,0.8759838562422679,0.8970101852338686
1,2000,9312181.82018857,6603059,6897803,7131330,7241687,7481662,7554094,7617114,7678539,6433,6433,715,715,715,715,1429,2144,0.7095677228762979,0.7412410471509184,0.7658653719882536,0.7777171029916579,0.8034890897939628,0.8112678857021389,0.8180986164173275,0.8247591629917218
2,3000,15520302.808598923,12396099,12810749,13248800,13463684,13750680,13836895,13943903,14036366,0,0,0,0,0,0,0,0,0.7987021357039518,0.8254187536149287,0.8536431384998229,0.867488486921823,0.8859801364430548,0.8915351182667491,0.898429829105813,0.9043873803946172
3,4000,21728423.45953129,19257670,19693478,20100504,20431109,20562276,20623731,20698678,20741367,0,0,0,0,0,0,0,0,0.8862893359873526,0.9063463825011819,0.925078804609858,0.9402941284742766,0.9463307836528861,0.9491591066609709,0.952608367493888,0.95457302913073
4,5000,27936543.637857318,22531446,23089131,23535041,23952778,24446099,24593694,24821319,24956529,35027,35027,34312,35741,36456,35741,32883,36457,0.8075348122628179,0.8275224354174432,0.8434823889881273,0.8584978113676047,0.8762015129597428,0.8814690501638095,0.8895362985573492,0.8944964696323474
5,6000,34144663.20867771,26711851,28014505,28954686,29850383,30416600,30618230,30936074,31136348,206477,190032,217203,217205,216490,217205,209335,223637,0.7870736177754251,0.8250569658032509,0.8534292228745785,0.879829629923915,0.8964997853825043,0.902461652496228,0.9116185295089982,0.9179070175664281
6,7000,40352782.03686847,32230575,33352202,34478265,35882149,36348535,36494353,36727379,36829451,74817,82684,83377,77678,81253,80629,54169,80538,0.8002036590105215,0.8282125851659231,0.8561900770183613,0.8909262895299517,0.9025864145044759,0.9061932439169578,0.9113807208798672,0.9145120139390133
7,8000,46560899.98756614,32964445,34456076,36627705,38661037,39700946,39988600,40260580,40402300,106363,114224,116392,104933,104934,103416,100553,101359,0.7096065774764507,0.7418415907571934,0.7886337176788644,0.8322082071899948,0.8545930572324314,0.8607569021753853,0.8665578845283841,0.8696233139886761
8,9000,52769016.92554653,32943701,34305312,36526726,38143589,38823879,39092940,39521996,39835525,44808,46239,47669,19777,20491,20492,14775,20497,0.6248306360844752,0.6506734536720523,0.692826102465804,0.7231116325815912,0.736018273852792,0.7411191129074963,0.7491719065128156,0.7551970189159248
9,10000,58977132.71610016,32044434,33732309,35605946,36830186,37292681,37582204,37945008,38155672,137197,142545,142545,133620,133621,133620,130259,132827,0.5446034841814383,0.5733414698641478,0.6051873121268833,0.6259005334656526,0.6337602891534491,0.6386804979050332,0.6448092414061152,0.6484174048052431
