,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292254115,939964,1709710,2148645,2412570,2708337,2820813,2899707,2928264,0,0,0,0,0,0,1355,1355,0.3028175387909736,0.5507978754998228,0.6922045851070163,0.7772303083532339,0.8725142075191488,0.9087493244949622,0.9345736742431185,0.9437775767116648
1,2000,9312181.820187524,2423488,4595477,5404840,5812674,6612861,7169327,7607307,7761839,5418,5418,5418,0,0,0,0,0,0.26040072003795284,0.49377819065654605,0.5807432212125371,0.6242010854426109,0.7101301421826012,0.7698869221451292,0.8169199385162786,0.8335145457720129
2,3000,15520302.808603248,4508734,6704239,7392394,7789300,8556017,10544413,12235754,12633884,67731,62312,72471,48089,50797,50120,54861,24381,0.29177887382408113,0.4337070116686,0.47853925985153517,0.5034379757387271,0.5530892263695739,0.6815958887141309,0.7911674397296165,0.8153038041909672
3,4000,21728423.45952823,4823379,8196430,9013298,9659090,11022806,13802823,16362201,16839365,222964,208441,234475,145809,145141,124213,88069,141853,0.22428625666320973,0.38087531044296613,0.4193411934978573,0.4475403115833232,0.5107103620901664,0.6388950443644869,0.756096718776052,0.7800852401066408
4,5000,27936543.637851737,4880941,8502994,9360044,10021055,11041729,14128282,18229790,19013595,571775,537458,610321,318002,355085,349330,233651,284687,0.17836587857163688,0.3103386044479216,0.34252974236675704,0.362837948918561,0.40033158307468025,0.5121315325812728,0.6580464444024087,0.6876064507716599
5,6000,34144663.20868713,4977905,10179922,11333760,12153356,13666961,16560134,20295317,21102480,806187,745949,901044,644495,625587,457960,474532,580242,0.14931411288386628,0.3047998176334634,0.34093038814011845,0.36278492466937645,0.40773680381018196,0.49159259953136264,0.602769168739196,0.628715742446298
6,7000,40352782.03687209,4520868,8990809,10073851,11210810,13115804,15769534,19527307,20576990,235515,213001,251570,254462,347785,402868,330654,292948,0.11269132555427655,0.2239874948929371,0.2512106364949104,0.27958303464312695,0.3278541425190291,0.39473261407885346,0.4879127612107392,0.5136563966056479
7,8000,46560899.9875662,3632555,7887313,9096801,10272167,11926242,14025170,16920707,17452831,384071,323318,400205,376126,400925,419464,278473,334729,0.07866618560962944,0.17058229822919774,0.19706811178753494,0.22241457764339082,0.2583676010052538,0.3039604143178245,0.3655967956163093,0.377553031694847
8,9000,52769016.92555982,3792053,7449637,9039351,10249232,11993054,15002262,19059569,19772140,404501,405850,429682,459896,437723,405720,363154,444356,0.07241646242640139,0.14226864869709854,0.17270664621276358,0.19593584863690408,0.22917556781721987,0.2865033884578995,0.3636915401445305,0.3778742117054332
9,10000,58977132.71606198,2434713,5560576,7299020,8755475,11119571,13304361,17840023,18939458,287832,293699,384889,312858,471835,372816,420679,531612,0.04148478462503937,0.09475546415543233,0.12457314376576961,0.14924713622348415,0.19006092497752122,0.22702015389855415,0.3046636513629325,0.324053199765488
10,11000,65185247.223799825,2805524,7368156,8825967,10573719,12969508,15428810,20095067,21463045,264582,307154,354870,418242,422274,438782,355809,562676,0.04321465268922566,0.11356924400634315,0.13613937444065816,0.16325780331301304,0.20026115779430922,0.238295788761123,0.30996824206048434,0.33212923276713235
11,12000,71393360.31408936,2695707,7808491,9856578,11944561,14819933,18334955,23713086,24914286,304495,288252,279357,258120,334262,366910,268449,458504,0.037920242334571745,0.10981617474665685,0.13860249093932223,0.16791341320082964,0.20855785327438575,0.2581426344540681,0.33340057037515913,0.35122769389541186
12,13000,77601471.85150969,2759820,6662937,8045508,10024174,12845730,15877134,23253738,25057446,350556,297414,398796,487880,575382,660572,909874,1281620,0.03572540169368187,0.08619129687601358,0.10421281272004862,0.12999231081470825,0.16677115539376205,0.20635492996107022,0.3032110250854846,0.3283214706542219
13,14000,83809581.70149362,1855839,5515521,7307777,8870780,10635907,13160740,19079976,20535686,321066,234590,474227,589306,497929,587186,511435,607773,0.02222867402069287,0.06599487343893364,0.08769119692567916,0.10659397514878444,0.12766409805971018,0.15813940333087287,0.22905642869072232,0.24681778341714522
14,15000,90017689.72860885,2047918,5093379,6460665,7820638,9585588,13236793,18234384,19387467,954338,897078,1417689,1489657,1546776,1796783,1574982,1787082,0.02299394712025159,0.057151526467417196,0.07291946892630057,0.0883408086563373,0.10834733807999891,0.1500414526538468,0.20617170672740118,0.21973629672408568
15,16000,96225795.79823148,945939,4112809,5361252,6731927,8841879,12695889,18661127,20120205,658241,568377,836909,754207,765774,978544,796923,896673,0.009898118686798347,0.042995191085754426,0.056204157318034645,0.07051235959031932,0.09262389462563277,0.13329401909563265,0.1955501144758972,0.21106042318867602
16,17000,102433899.77489233,810594,3520574,4416368,5514085,7628791,10482599,14202261,15196717,810159,1069080,1195110,923682,889227,1047665,776135,1593600,0.007976423558305672,0.03473171468975504,0.043623279276845714,0.054320492270324545,0.07512743693518775,0.10339272410376513,0.1397066031448658,0.15070083125421
17,18000,108642001.52418399,501131,1509589,1938341,2783781,3847911,5649749,8994381,10029257,886903,912629,1380171,1447208,1555548,1228563,1025196,1470019,0.004650647689654599,0.014012789312971398,0.018071116169912544,0.025969367620190968,0.03593275221436858,0.0525981578992834,0.08357784786669545,0.09358095990933861
18,19000,114850100.91039383,647322,1701665,2261762,3127887,4325687,5440734,9040805,9965446,582960,494740,789075,1814189,2176821,2125613,1928807,1652803,0.005664988157073238,0.014880500454485773,0.01982940256715591,0.02767162176282125,0.038391418120073434,0.048265768164987455,0.08006288882213951,0.08803607669052821
19,20000,121058197.79920626,587167,1588695,2210807,2965799,3897357,4502042,7100725,7854836,681555,561145,788187,789437,1181350,1599327,1642009,1873732,0.004877748592635379,0.013184513339486965,0.018382030443906724,0.024659761855795003,0.03251134035930002,0.0376869626330832,0.05946199649646831,0.0659048639210523
20,21000,127266292.05492806,519376,1496262,2116752,2920293,3912309,4679306,7149786,7809388,1810186,1560190,2015939,1780781,1828743,2195654,1988923,2031497,0.004139902124593308,0.011902858934773103,0.01690016793063814,0.023271953673772876,0.031189297219820774,0.037413305574926066,0.05707164872583782,0.062357973249964574
21,22000,133474383.54326868,269180,1803691,2347708,3027319,3865332,4713341,7405421,8203602,1502001,1250892,1705104,1411749,1373654,1562236,1389461,1480025,0.002039669170265576,0.013641229549665628,0.017816808349696487,0.02292335762094869,0.029260489426244516,0.03573090945588594,0.05606560429010446,0.0621511562352932
22,23000,139682472.12844348,436072,2671088,3564805,4456290,5697691,7097582,10593813,11595072,1213210,870712,1296331,908596,886444,1053484,774613,762902,0.0031492332182394495,0.019242519492069142,0.025759841057287063,0.03211187958658327,0.041050821675727565,0.05119839721706617,0.07626503688466074,0.08346608033180153
23,24000,145890557.67614603,949244,3912963,4970367,5730681,7059109,8913294,12007725,12894142,2246173,1957293,2697652,2267933,2208467,2494993,1974104,1886689,0.00660829173475957,0.02718595321800196,0.03471098638951633,0.03990096276907684,0.049130054878662385,0.062158784479355196,0.08343538694346153,0.08954024720681612
24,25000,152098640.05078244,2791375,7100555,9565289,11265455,13749461,15444434,18748081,19910191,1358189,1062128,1481863,1233454,1121919,1262185,1031883,840225,0.018517756717204084,0.0470121754242617,0.0635074603725914,0.07467233027643605,0.09107007295101634,0.10239191841786714,0.12410461021346784,0.13163030297068426
25,26000,158306719.11792684,4185272,8481613,10154451,11720484,14249906,15634291,19451119,20480465,1487295,1319629,1598205,1221548,1148538,1369711,1126087,1016251,0.026688479590721566,0.05402745533807088,0.06479833630710413,0.07461228782187981,0.09067237797380268,0.09962144166946243,0.12375010036482448,0.13020792197429912
26,27000,164514794.7417965,4280465,7083056,8039337,8936298,10230729,11443427,14905783,16140605,2320684,2077264,2735053,2187278,2223339,2464100,2023420,1872459,0.026391001377443653,0.04360479975073563,0.04969310071486536,0.05505103619748197,0.0630392336629043,0.07061634026459057,0.09173276442325459,0.0992398745774537
27,28000,170722866.78813744,2666056,4856996,6107709,7153289,8323585,9547849,13625536,14597089,4429560,3615935,5473085,4470156,4918925,5212746,4095988,3724841,0.016032250795256803,0.02906519764337381,0.03696046635529322,0.04302660068572191,0.05020136982410099,0.05768740276748273,0.08177273738245186,0.08740875187661584
28,29000,176930935.12178564,1360197,3453244,4471584,5491660,6816684,7700397,11969141,13191544,4123135,3874702,5335043,4232906,4726407,5138925,4209851,3838191,0.007871155115923045,0.01995446183998373,0.02605880563170132,0.03179920481968739,0.0395848127476598,0.04482395307291117,0.06929750968654504,0.07621084330790096
29,30000,183138999.6070733,1250772,3807282,4815570,5765965,7131468,8071926,12810545,14151556,3233700,2865916,3740319,2763756,3026048,3112402,2656461,2648972,0.006952391078705186,0.021119525576532686,0.02684283955547738,0.03196649875390046,0.0395944208140995,0.044837407956894317,0.07097941495542517,0.07840630414666416
