,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292269374,2292773,2292773,2292773,2292773,2292773,2292773,2292773,2292773,0,0,0,0,0,0,0,875,0.7386366678575516,0.7386366678575516,0.7386366678575516,0.7386366678575516,0.7386366678575516,0.7386366678575516,0.7386366678575516,0.7388449399887087
1,2000,9312181.820186565,6575156,6575156,6575156,6575156,6575156,6575156,6576031,6576031,0,0,0,0,0,0,875,11373,0.70608114478034,0.70608114478034,0.70608114478034,0.70608114478034,0.70608114478034,0.70608114478034,0.7062414682484107,0.7070386164402519
2,3000,15520302.808601415,10025254,10025254,10025254,10025254,10025254,10025254,10027878,10027878,0,0,0,0,0,0,0,11372,0.645944484694201,0.645944484694201,0.645944484694201,0.645944484694201,0.645944484694201,0.645944484694201,0.6461135535604698,0.6465873195100228
3,4000,21728423.459529348,13920981,13920981,13920981,13920981,13920981,13920981,13921856,13921856,0,0,0,0,0,0,2624,8773,0.6406806745978955,0.6406806745978955,0.6406806745978955,0.6406806745978955,0.6406806745978955,0.6406806745978955,0.6407983294669329,0.6409797443997024
4,5000,27936543.637847416,18211943,18211943,18211943,18211943,18211943,18211943,18214568,18214568,0,0,0,875,0,5248,5249,20970,0.6519039447430827,0.6519039447430827,0.6519039447430827,0.6519243636547989,0.6519039447430827,0.6520264307153186,0.6521204346653852,0.6524876843406516
5,6000,34144663.208691195,21310784,21310784,21310784,21310784,21370033,21370033,21371783,21371783,0,0,0,0,0,0,1749,22527,0.6241322068327078,0.6241322068327078,0.6241322068327078,0.6241322068327078,0.6258674414032722,0.6258674414032722,0.6259507571430367,0.6263319174769728
6,7000,40352782.03686614,21846562,21846562,21846562,21846562,21925668,21925668,21926542,21926542,2908264,2994232,2988110,2896604,2947002,2706456,2223122,2677755,0.5834381945707215,0.5847807791908783,0.5846849660140178,0.5832565719464912,0.5861572189749992,0.5824118926911678,0.5750521242203588,0.5819914071606166
7,8000,46560899.98756868,25034833,25034833,25034833,25034833,25113152,25113152,25113152,25113152,7507087,7604955,7601456,7574015,7592712,7543757,7541928,7643874,0.641034282823265,0.6426447364577839,0.6425870196707173,0.6421347334618446,0.6444526496333727,0.6436440517441615,0.6436138811653206,0.6452998748676718
8,9000,52769016.9255546,25921762,25921762,25921762,25921762,25984035,25984035,26331193,26331193,10700054,10993507,11040763,11055635,11053885,11050387,11059757,11100369,0.6161730691072953,0.6205013905561768,0.6212040898295381,0.621425566650584,0.622892312707328,0.6228400847862832,0.631303289653128,0.6319185841365295
9,10000,58977132.71606684,24041279,24041279,24041279,24041279,24108239,24108239,25970205,25970205,13875953,14056205,14170700,14175948,14175948,14171945,14182949,14245805,0.5330521097530302,0.5351910617687705,0.5365586488963938,0.5366215012474478,0.5381161045804705,0.5380680280322752,0.5797673457923729,0.5805820288824532
10,11000,65185247.2238034,24709794,24709794,24709794,24709794,24759511,24759511,26151658,26151658,21548983,21680265,21669862,21582372,21581497,21428059,21563961,21263472,0.5662674025729478,0.5679761888623468,0.5678404057074385,0.5667010231130489,0.5678298511691712,0.5658387114218439,0.5995159763475632,0.5954144127085991
11,12000,71393360.31407899,25471729,25471729,25471729,25471729,25512495,25512495,26377475,26377475,28052238,28073421,28071685,28048921,28027825,28060265,28155472,28187824,0.5877034935877914,0.5879908744867905,0.5879673123288013,0.5876585186724601,0.5883126961358448,0.5887531184902675,0.6100546541124916,0.6105114587225855
12,13000,77601471.85151064,23473189,23473189,23473189,23473189,23495177,23495177,23865661,23865661,31421194,31416870,31445499,31389472,31377596,31446264,31539409,31600641,0.5082946680285543,0.5082470793072825,0.508562327903175,0.5079457516537812,0.5082909333582453,0.5090471496865118,0.5181196742520033,0.5188093466624041
13,14000,83809581.70150179,23419590,23419590,23419590,23423088,23426588,23426588,23683161,23683161,34210343,34206696,34225286,34197345,34204939,34234145,34300553,34351676,0.4721764005480772,0.4721416842748514,0.47231869826257666,0.4721232009943017,0.4722660364871604,0.47254425898562663,0.47836044497640495,0.4788549103339987
14,15000,90017689.72858214,23314749,23314749,23314749,23326992,23328741,23328741,23946428,23946428,36818157,36911818,36916101,36910776,36891032,36914677,36989539,37027957,0.4382510109430688,0.4390239391824493,0.4390593494136032,0.4392458601382707,0.43911554005869896,0.43931106355936655,0.4515795416394351,0.4519069405889555
15,16000,96225795.79824317,21814182,21814182,21814182,21853350,21863845,21863845,22233410,22233410,39390827,39414360,39424959,39396503,39407143,39428131,39481590,39511211,0.3838162043765264,0.38397519255576673,0.384046842082346,0.3845437612180805,0.38480048229295627,0.3849426746269378,0.39181815459805697,0.39202279412065305
16,17000,102433899.77492034,18114980,18114980,18114980,18154464,18154560,18154560,18627988,18627988,41286718,41395724,41401850,41390996,41402722,41405346,41327242,41413525,0.2962520834840814,0.29678114999372524,0.2968109389543052,0.29740498694065753,0.2974637007162639,0.2974764905449981,0.3048438366342035,0.30527488676874187
17,18000,108642001.52416539,17654722,17654722,17654722,17691171,17702442,17702442,18368695,18368695,42826991,42947300,42960286,43032692,43032899,43038814,43030358,43056312,0.26824765140040036,0.26873890268769723,0.26879203533446894,0.26964421860717713,0.2698168595353026,0.2698411871142569,0.27996090348254477,0.28007169145079974
18,19000,114850100.91039181,14887049,14887049,14887049,14947602,14954597,14954597,16299689,16299689,45286676,45563107,45751490,45764783,45762116,45792114,45712801,45816431,0.21400684367074746,0.21486065652167383,0.21544642944133516,0.2163643803360364,0.21645727573899204,0.2165513023048988,0.23575825236342568,0.23611216122737766
19,20000,121058197.79921484,15207492,15207492,15207492,15231030,15235407,15235407,16104546,16104546,50424774,50740913,50810711,50783537,50805732,50747664,50780810,50827787,0.21530164024370918,0.21626961341615691,0.21648449920303733,0.21673573129747745,0.21686650890722578,0.2166874033911848,0.2291568668717639,0.22931014950264317
20,21000,127266292.05493665,15325643,15325643,15325643,15336300,15336299,15336299,15668695,15668695,54862199,55141502,55182576,55224349,55270348,55251315,55202735,55316508,0.2116681855039833,0.2124878698201635,0.21260894746769127,0.21288015494397589,0.21301615252517012,0.21295985400787812,0.2174288314418783,0.2177726480462582
21,22000,133474383.54325199,12054275,12054275,12054275,12099846,12099847,12099847,12664221,12664221,60807783,60905680,60931926,60925235,60938216,60896325,60915325,61024937,0.1658846692962492,0.16610845187299617,0.1661685502288488,0.16678136467427146,0.16681122548672125,0.1667149444730496,0.17453673261831174,0.17480079702802861
22,23000,139682472.12841606,11433274,11433274,11433274,11574135,11587320,11587320,12623631,12623631,66364285,66375572,66374696,66369451,66374700,66298558,66366034,66438812,0.15594048963560347,0.15596449965789924,0.15596263594153903,0.15787284198432625,0.15806400417819333,0.15789999944297198,0.17218009115349153,0.17235117657784088
23,24000,145890557.67621684,12423814,12423814,12423814,12511821,12519454,12519454,14109884,14109884,70307288,70330415,70330905,70345786,70336161,70255676,70301981,70393591,0.16437253975940788,0.16442284993078096,0.16442391620350208,0.16562126964424986,0.16570119742536304,0.16552487056956294,0.18666688301910478,0.186893389512097
24,25000,152098640.0507238,11802622,11802622,11802622,11870110,11878181,11878181,14528352,14528352,74152857,74209335,74230315,74231587,74223311,74160142,74123414,74245974,0.15142091769505167,0.15153071390627748,0.15157154070428144,0.15244072473460155,0.15252816450076498,0.15240454072221746,0.1863201010863263,0.18661341655961095
25,26000,158306719.11793566,10738388,10738388,10738388,10882653,10886155,10886155,12955995,12955995,77877849,77920927,77921788,77921925,77950277,77895072,77851221,77956974,0.13351409741618808,0.13358564638195627,0.13358707721283383,0.13538198510571087,0.13547333248058524,0.13538032598727684,0.16103305930700298,0.16124500433677125
26,27000,164514794.74181294,5906085,5906085,5906085,5955819,5955818,5955818,6935641,6935641,80880570,81068070,81082473,81083686,81092507,81090758,81091988,81165436,0.07061803966298084,0.07077671434407559,0.07078893259469377,0.07138607037371347,0.07139360668737478,0.07139210990751405,0.0831384278578071,0.08321168998413271
27,28000,170722866.78812742,3169951,3169951,3169951,3172436,3172436,3172436,3456866,3456866,84401391,84555053,84552429,84561530,84548418,84565628,84529466,84558945,0.03672262285900344,0.03678810985960943,0.036786989614630415,0.03681971657195951,0.03681411421383038,0.03682146787226386,0.04010592421683588,0.04011964553447617
28,29000,176930935.12177467,2549615,2549615,2549615,2549753,2549753,2549753,2644398,2644398,88492408,88658574,88665577,88632585,88652155,88655047,88635943,88667841,0.028829234079049387,0.0288835029175522,0.02888579454334102,0.028876564471290413,0.028882965945868148,0.028883912178631056,0.029949580791092882,0.02996040447382891
29,30000,183138999.6071067,2037845,2037845,2037845,2038718,2038719,2038719,2119739,2119739,93277395,93488359,93454103,93461169,93497872,93466035,93494271,93494419,0.022677594161709832,0.02273095859884417,0.022722276292823643,0.022733801500305673,0.022743120868979026,0.02273504627545713,0.023645997181723357,0.023646036220419945
