,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292256806,0,1647798,1815836,2119739,2270989,2596200,2862752,2946461,8336,0,7514,2505,1657,4162,5805,3327,0.0,0.5308523887985556,0.586406800033903,0.6834438112364936,0.7320095227476282,0.8375112577950657,0.92398831555273,0.9502464101490053
1,2000,9312181.820187394,0,4857515,5190599,5507349,5679600,5904943,6433012,6761638,204785,148830,150501,163858,157192,102830,130500,107094,0.0,0.5301024227072253,0.5665553190373894,0.602006346544824,0.6203829945802981,0.6411898595356134,0.7006354746312375,0.7345544259959433
2,3000,15520302.808602927,22410,5822272,6489373,6872439,7112507,7534215,8525164,8982118,424990,322000,318750,303621,277720,160422,219045,219644,0.0014845667846795716,0.3830869849957411,0.426888823905378,0.45163847719511274,0.46662085352002775,0.4905125953698909,0.5571544579300429,0.5870412583116831
3,4000,21728423.459527563,73337,6335016,7264795,8197574,8629368,9480690,10719115,11311641,1195965,1021896,1058334,1007539,924086,759587,772469,785749,0.003571759326558863,0.30594294540126327,0.35146412956869927,0.39561892331438175,0.41478696530410736,0.4521323831343193,0.5115068855824214,0.5401239952356675
4,5000,27936543.6378546,74579,4898806,6041288,7090986,7580901,8266247,9467891,10045675,6479274,6342995,6372285,6190093,6036967,5937851,5867070,5881329,0.0034756985049220254,0.22686433259108427,0.2801528260932155,0.32607555679254346,0.3461665549687387,0.37576082979475445,0.4290039334585773,0.45547845101258033
5,6000,34144663.20868462,82745,4614619,5147485,6040369,6414941,7271636,8833623,9547137,10545433,10415253,10159433,9984889,9793110,9127346,8746003,8113605,0.003506258435902264,0.19446833947483094,0.2146106147497466,0.2500176097601397,0.2634304656062844,0.29066410036467427,0.34779877865287945,0.3667594656914421
6,7000,40352782.03686203,2399,4318777,5174289,5943043,6269546,6865257,8443066,9233796,13651400,13325512,13182823,13074592,13020665,12589587,12180353,10938703,8.98455367099767e-05,0.15979331224018165,0.1904415458624703,0.21786793742432858,0.22938384141793502,0.2472790682370956,0.2996925110345553,0.3139243621541953
7,8000,46560899.98757443,3338,4130483,4641920,5180459,5525335,5894773,7013319,7619407,17623859,17206672,17186566,16980394,16507125,15908219,16044432,15349004,0.00011535388160224599,0.14071168901966774,0.15802639140562535,0.1751308446913011,0.18384828535797648,0.19230856192936416,0.22982079717926907,0.24411868484482052
8,9000,52769016.925560296,18147,5159277,5729981,6633044,6883131,7252153,8540467,9066195,22177189,21597143,21368009,20849977,20684932,20032142,19624062,19142311,0.0005931976357920637,0.16551064630636464,0.18247761389008849,0.2078083806865493,0.21453412232170113,0.2215285672957642,0.2576701950321216,0.2696129385991571
9,10000,58977132.71607283,79773,5882581,6626936,7665114,8178012,8919615,11585962,12441937,21815712,20760700,20965174,20744317,20884623,20219464,19696065,19186119,0.0021466617385135943,0.1539280508912058,0.17433818787133146,0.20048520770542244,0.21468819095816502,0.23013806803867515,0.29495028199702716,0.31268208165740485
10,11000,65185247.22379547,21057,2529677,3326775,4531885,5067359,5737970,8234012,9589483,25675157,23851695,24230924,24485031,24768243,23819205,23835926,23324359,0.0005329524655784801,0.06120153879597313,0.08123135088378317,0.11134793424882158,0.12537690750015057,0.1387120858446371,0.199132942362825,0.2290797784493483
11,12000,71393360.31407386,76998,2249399,2714438,3747058,4324194,5069854,7515484,8753122,28159223,26878948,27037378,26884890,27181170,26450737,26767381,26338933,0.001780953773649951,0.05053192624737451,0.061196660706998404,0.08418752595986559,0.09780546879224618,0.11280725569956586,0.16841051144461527,0.19427884276459878
12,13000,77601471.85153198,24317,2126498,2381170,3014540,3458837,4384807,6601999,7475176,33904060,32603982,32804047,32711870,32649011,31734306,31504583,30543290,0.0005564860473343451,0.04725814722146332,0.05315417142596242,0.06715452745538487,0.07694433039881336,0.09559794939572325,0.14322005594051254,0.15884965601909767
13,14000,83809581.70148218,5006,1700597,1977777,2264343,2419318,2788454,3681567,4029577,39153509,37165152,37888961,37922530,37785044,36184713,36238583,34102979,0.00011210121484404172,0.03645873710716548,0.04306947444933303,0.04934601191487882,0.05256582946453123,0.05855037664205084,0.07739099662596095,0.08106723817356852
14,15000,90017689.72856092,835,1817892,2065019,2305482,2550698,3075609,4496935,5087063,36604566,34536056,35244825,34901522,35030393,33884248,34524714,33286033,1.563286214532911e-05,0.0327656537457761,0.037701497086808575,0.04182950475356273,0.046387041221379835,0.054791028401080875,0.08103611206572103,0.08966886026860862
15,16000,96225795.79826486,0,1181319,1455402,1692892,1942213,2347252,3368229,3807760,35325444,32597113,34070915,33348203,33676770,33323879,33468261,33158467,0.0,0.018565825160099247,0.023415731496996606,0.026923613399632503,0.031051051158879565,0.03731606474772401,0.053670511609916295,0.06037611030237198
16,17000,102433899.77491212,0,780552,940150,1076617,1169950,1571506,2728102,3185460,34103777,29897493,31328080,32502260,32507004,31569166,32283328,30945488,0.0,0.01076083079800372,0.013221843204622023,0.01539527749478334,0.016731044429112874,0.022176136369771452,0.03888923398591098,0.04455910994399646
17,18000,108642001.52415931,0,1104475,1381331,1669383,1846345,2159384,3083141,3458046,32644019,29657444,30602451,30910999,30803464,29875639,30487012,29504936,0.0,0.013983429604732166,0.017700396667102415,0.0214764115448163,0.023720191292480753,0.02741505295915717,0.03944906165008106,0.043696919731555026
