,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292275838,0,0,0,0,0,0,0,0,5298,5298,5298,1766,2649,1766,4415,5298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000,9312181.820186922,0,37089,194255,194255,329829,329829,476685,479334,884,884,884,0,0,0,883,884,0.0,0.003983225616475389,0.020862290493904572,0.020860310048810962,0.03541908935723287,0.03541908935723287,0.05119425433609171,0.05147875293611621
2,3000,15520302.808601376,50968,50969,785957,787723,1348426,1348495,1751076,1759907,459473,459473,459473,122684,286821,263878,448877,462853,0.0033841428824122103,0.003384209279816119,0.052185504383771265,0.05115875446662989,0.08851725540766589,0.08838866359041968,0.1161851587393044,0.11687948639182417
3,4000,21728423.459527638,314228,363887,1950753,2027459,3143768,3162724,4212425,4317738,91589,91589,91589,13316,16970,25783,88939,85559,0.01452282682976445,0.01681794075194603,0.09015889101748888,0.0933662890583781,0.14479767583779243,0.14572991732955415,0.19466383350668567,0.19949937810100005
4,5000,27936543.63784831,393102,829907,3273309,3641625,6124083,6157159,7582330,7792547,0,0,0,0,0,0,0,0,0.014071246790437851,0.02970686033169993,0.11716943378655242,0.13035345557445202,0.21921405451543113,0.22039802345692855,0.27141260201306694,0.2789374054649585
5,6000,34144663.20869456,456827,812012,2824959,3378498,6578632,6624553,8327452,8556524,15895,15895,15895,13245,13246,12363,883,1766,0.013385393730196798,0.023792596176768366,0.08277354115816932,0.09898498736098135,0.1927441793516905,0.1940845755924917,0.2438936740191249,0.25060919545577004
6,7000,40352782.03686352,523029,746876,2778594,3481888,6831202,6927093,9262056,9552212,10598,10598,10598,8832,9715,7949,1766,883,0.012964816171629956,0.018513524188911695,0.06887564633240979,0.0863050840787402,0.16932778050211159,0.17169715372649177,0.22953711974782626,0.23672273741747735
7,8000,46560899.98756796,830539,1492617,4271468,5949546,9179768,9378704,12968067,13946296,21526,21526,21526,19760,16228,18877,24061,24060,0.01784594266828474,0.03207213316618144,0.09178181041156752,0.12783412700224445,0.19722489402120844,0.2015104500830397,0.2786623948279844,0.29968291795759383
8,9000,52769016.925560206,1490612,2189903,5976748,7297148,10096549,10369658,13234073,14087833,30566,30566,30566,20854,19971,20854,34212,29798,0.028264235559439996,0.04152384003639064,0.11332809165055151,0.13833937705656127,0.19140723444075775,0.19658804069885757,0.25095519019518614,0.26712251882009375
9,10000,58977132.71606362,1297924,2718840,5224719,6189328,9814596,10118942,13361298,14281969,2650,2650,2650,0,0,0,0,0,0.02200823034343408,0.04610197283272542,0.08859287541621587,0.10494453892490116,0.16641358350279373,0.17157399035853604,0.22655048464844713,0.24216112825895342
10,11000,65185247.2238,291223,1012938,1486934,3163321,6623827,6823489,12328297,13141920,15897,15897,15897,2650,7949,6182,12364,13248,0.004468711119566214,0.015543165560519469,0.022816461954794327,0.04853014661473143,0.10162782411224983,0.10468835317859725,0.1891629829796746,0.2016497906542774
11,12000,71393360.31408095,210682,395115,686479,1933784,4947348,5009722,9882511,10706977,522987,522987,522987,520337,456182,446825,442289,402350,0.0029727795995416386,0.005575178759803374,0.00968640304683715,0.027285191312218206,0.06974266692840751,0.07061263778170301,0.13928628302528134,0.1508215892777101
12,13000,77601471.8515132,306070,627239,928116,2089326,4617003,4722232,9250322,9839970,735978,735978,735978,735978,674131,712353,703644,662339,0.003981890763510324,0.008160215573605554,0.012074546763374872,0.02718158558944676,0.06001771215401606,0.06141612845270712,0.12029367094558277,0.12789291528656047
13,14000,83809581.7014969,132132,342633,578802,947224,3897724,3951609,7975476,8530661,26361,26361,26361,24596,1793,9587,2953,3837,0.0015770699537889605,0.004089518129420375,0.006908328364006887,0.01130541459271356,0.046507896943597346,0.04715524164501425,0.09516521692343827,0.10179088593967986
14,15000,90017689.72859085,404327,1485804,2214941,3160825,5771031,5955528,11657846,12500411,254186,254186,254186,243979,98477,195959,165859,200826,0.004504358488752001,0.016552428752029117,0.02467529572705964,0.03520880416267956,0.0641801771265401,0.06630386602096854,0.12974522506073408,0.13917665882627364
15,16000,96225795.7982248,216728,659786,995409,1546920,2765057,2819420,8797524,9500551,1046239,1046239,1046239,843061,670753,944955,948270,1016444,0.002277043593084289,0.006932013787358859,0.010458222684417515,0.01621802942925044,0.028936798299998966,0.02959062888593369,0.09233577306185584,0.09978590149562534
16,17000,102433899.77492416,38862,218949,282438,713973,1139943,1156639,5148626,5530274,3214325,3226690,3226690,2798976,2444167,3028507,2986817,3139022,0.0003916767441118043,0.00220698677542428,0.0028469503440403145,0.007165890964225244,0.011400600525315932,0.01163557597542909,0.051772519176381905,0.05569546107439401
17,18000,108642001.52416706,99807,508304,585414,1329458,1533506,1658608,6241594,6641292,3408112,3408112,3408112,2970734,3111435,3346236,3334335,3385826,0.0009484302105651928,0.004830231043425108,0.005562979783860969,0.012581073655579578,0.014531391714350543,0.015751896495964247,0.059270081714018576,0.06309645934717763
18,19000,114850100.91039479,81584,857180,1004784,2021176,2730218,2947562,6479551,7114204,780982,872845,872845,692376,639465,708812,835626,863365,0.0007152154832026627,0.007520623243236239,0.008815653543983622,0.017705118086283438,0.023905111623246916,0.025823801607093706,0.05683095067615186,0.06241256005078074
19,20000,121058197.79922843,10269,558758,704605,1666781,2016306,2082844,5161517,5550203,1766,16782,16782,0,10600,15016,16630,13980,8.482820654280553e-05,0.004616254662179536,0.005821189345378522,0.013768427337439045,0.016657133529772966,0.01720744588038644,0.04264251606986292,0.0458526900409726
20,21000,127266292.05492854,883,334032,594088,1162952,1607099,1644960,4164226,4397199,1766,1766,1766,1766,0,0,1918,4569,6.938304234275693e-06,0.0026247062740470876,0.004668135091656147,0.009138068840157856,0.012627844923040352,0.012925339250789439,0.03272106613436593,0.03455240817462519
21,22000,133474383.54325247,12337,725941,978851,2713557,3080489,3140133,5903753,6316112,30287,34370,34370,5492,4415,17702,27194,32493,9.245069897866391e-05,0.0054402047835876285,0.007335513344224302,0.020331007237897332,0.023080015928839695,0.023529230336678968,0.04424036969385927,0.04733230302933067
22,23000,139682472.12842393,13271,715377,715378,2040608,2092523,2127492,3959245,4175976,25124,28106,28106,5988,2650,11217,24024,33515,9.502543316085639e-05,0.005122482166738351,0.005122489327273519,0.014609531538063247,0.014980853842125457,0.015232139197459268,0.02834948442473919,0.029903381205773634
23,24000,145890557.67619252,15007,965869,965868,1857107,1927458,1973750,3248365,3344002,16113,18762,18762,3530,0,4637,9713,15232,0.00010287614141950678,0.006621355386232746,0.006621348530897927,0.012729761032091159,0.013211670657110227,0.013529407024691048,0.022267248364309253,0.022923698607006816
24,25000,152098640.05073953,0,888385,888386,2818060,3169757,3426354,4746750,4925825,48676,50442,50442,11475,8345,23628,43728,44486,0.0,0.0058427854548038765,0.005842792031665772,0.01852924274747205,0.02084128378436325,0.02253068373163636,0.03121734073553669,0.032395201767103865
25,26000,158306719.1179104,0,161816,161816,615928,617694,635750,2290381,2371629,51194,52078,52078,29238,15605,21511,35848,126872,0.0,0.001022503977494323,0.001022503977494323,0.0038914442891668103,0.00390226579326419,0.004016483963090315,0.014471273101755323,0.014993243723596096
26,27000,164514794.74185443,0,114650,114649,408224,418624,459928,1640850,1685128,64826,71011,71011,35196,5187,27266,48062,53818,0.0,0.0006971987471413256,0.0006971926660358119,0.002481912669550555,0.0025446781239482218,0.002796126876717856,0.009976789668312218,0.010246369888980138
27,28000,170722866.78809786,44212,437042,437042,1236228,1338802,1473572,2887542,2913434,67519,71052,71052,18538,8829,40627,41032,47642,0.00025907186954901573,0.0025610158353292917,0.0025610158353292917,0.007241925314820689,0.00784236620108426,0.008633423148357092,0.016917687834706572,0.01707004636213123
28,29000,176930935.12178564,35338,403340,403341,783418,789598,841103,1946259,1984662,21198,25613,25613,7947,2650,5301,27389,22087,0.00019975158278412412,0.0022799766290939037,0.0022799822818350877,0.004428017005120505,0.004462813842662259,0.00475399172186113,0.011001808853849304,0.011218557020018246
29,30000,183138999.60709333,16700,518210,518209,754451,754452,766966,1777151,1805558,13250,23822,23822,9715,884,883,20289,21173,9.119416595334515e-05,0.002829967492437536,0.0028299620313937653,0.004119772550953203,0.004119579354079465,0.004187910273454749,0.009704912152931901,0.009860088629569061
