,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227148,308,10742,11567,15177,24297,32371,71171,85163,1144770,997086,882698,953176,990968,954839,998526,942980,0.00015719975148428703,0.005098305338370513,0.005207164218849026,0.007056166469260312,0.011498312787587782,0.015061731912515924,0.0338018662871025,0.0394075995352641
1,2000,9312181.820187664,135571,719054,729786,745990,763954,778413,1074476,1210908,1097980,930077,935015,882016,981507,968428,979956,987750,0.016504464215477813,0.08578441995478427,0.08711608777341401,0.08849054881145785,0.09170373547035059,0.09329290110605065,0.1289542582243408,0.14546434233065791
2,3000,15520302.808600798,592672,2264144,2337429,2590186,2874162,3020321,3871169,4252794,1175095,998462,1072887,1031986,1055525,1001896,1053559,1023724,0.04131498183279424,0.15591301611425348,0.1617887261615664,0.1787775650006749,0.19870073623191192,0.20803391445201427,0.2675909002894283,0.2933653557953152
3,4000,21728423.45952925,800729,2035589,2065491,2309409,2470610,2574876,3602605,4037075,2579826,1335233,1943573,1976111,2185284,2019711,2035522,1811087,0.04181658743896772,0.09981709355579611,0.1043976048353284,0.1169184116913792,0.12641827609715636,0.1306465861373423,0.18293926912718725,0.20269150989154988
4,5000,27936543.637845673,1084759,2131131,2154865,2443933,2568856,2664803,3502709,3775703,5423964,1907632,4246062,3860499,4628304,4253147,4437209,3808967,0.04818457135744775,0.08187553247141403,0.09095910471307563,0.1015089079938956,0.11021235579837352,0.11251777102536421,0.14905566706381926,0.15648911022740528
5,6000,34144663.20869313,105581,366172,398593,572367,615872,648233,1149943,1306924,7582518,1864378,6118540,5521655,6715473,6245731,6628531,5626128,0.0039748672093489635,0.011343518114312983,0.014222195379358234,0.019996745129890494,0.022453160130291114,0.023235046959898153,0.041791593065420005,0.04582717837491241
6,7000,40352782.03687063,18132,159442,168525,213150,247765,278731,571110,664640,7938499,1873430,5442429,4332499,6444465,6318613,6421598,6123294,0.0005593830343054386,0.004143572891955765,0.00482736453057384,0.005917499309536743,0.007306909385405051,0.008189740131396749,0.016831419716430023,0.01941717618692037
7,8000,46560899.9875724,24264,95952,97603,119753,138797,154076,356451,400191,11353270,3336338,7596771,5416973,8178039,7467655,8041644,7836827,0.0006891687968933073,0.0022198489837233605,0.002504944997772963,0.0029105875099421506,0.003616119185199344,0.003941243558803579,0.009253839173711014,0.010334424277333432
8,9000,52769016.9255389,15372,100533,104660,123638,132729,136159,265127,295121,17027187,6880518,10868737,7387268,10801139,9686837,10779911,10487005,0.0004300843026790892,0.002190810385040708,0.0024978353411001446,0.002724399189702049,0.003162633103238938,0.0031604482464752354,0.0063141854096670025,0.006979823962013099
9,10000,58977132.716070086,0,63326,63325,68367,73317,81439,135313,145222,17323913,8848398,11815992,6897053,10121049,9180012,10226352,10593188,0.0,0.0012632674724123683,0.0013427368176109893,0.0013127284054233954,0.0015006728829532454,0.0016354158398904925,0.002775606831572151,0.0030014501887392912
