,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292266725,564016,2365756,2599526,2699383,2805578,2905378,2931915,2940556,0,0,59518,51599,75275,83859,95356,101859,0.18170263643997045,0.7621487730377839,0.8538313686414998,0.8843298713910047,0.9263045799369884,0.9619814690133541,0.9744775115241506,0.9794665259566355
1,2000,9312181.820187729,3283233,6111596,6591675,6982746,7777564,8093330,8520776,8595908,40326,47527,66736,84017,149538,148874,132914,157368,0.3541074261369957,0.659667965900122,0.7129645371569714,0.7566776424196929,0.8488340431681922,0.8832323609351576,0.9282631433043576,0.9389495153953586
2,3000,15520302.808601579,4423588,9263934,9913968,10351657,11562288,12487400,13151444,13416155,29863,51469,95872,95152,180335,176017,168953,186970,0.28556890925354206,0.598877337142811,0.6427444956005367,0.6710895166242116,0.7537361319309079,0.8138143512029679,0.8566962621509061,0.8749666603775733
3,4000,21728423.459530327,1595510,9004215,10675111,11798939,14033426,15224140,16595836,17249115,14776,15508,43868,41395,116645,129370,139317,160673,0.07347959401909307,0.4146939648331671,0.4922909773236004,0.5440551259485703,0.6493415628093098,0.7048521838480162,0.7687134264268686,0.799764214277525
4,5000,27936543.63784968,270730,6093123,8667680,11052944,14906189,16893072,18704914,19539228,3890,5319,63094,222571,286913,302844,299176,324491,0.009692240612368879,0.2181473629961499,0.3109654568277784,0.39882207233273775,0.5391098780030307,0.611321401816993,0.6767979586588201,0.7076340269327271
5,6000,34144663.208686754,106931,5337905,7018009,9090734,14221734,17544762,20903236,22155290,3322,5477,60706,307277,412431,416067,466111,490896,0.0031320093533054585,0.15635712484094785,0.20590358557929905,0.2686594627591602,0.42160666723791873,0.5201746877174026,0.6206690795517155,0.6583301614531062
6,7000,40352782.03687018,202834,4486729,5720292,6885689,12446506,17403454,21410644,22831052,15126,27063,137709,241395,262577,348918,332565,381920,0.005028403232319742,0.1112622194262114,0.1422424869092117,0.17166419584719694,0.3104625179280872,0.43504432431726686,0.5349956993055438,0.5711923845660379
7,8000,46560899.98756945,212438,5453456,6724811,7725116,10830062,14897220,20090840,21789288,0,83862,89705,70910,140758,183507,430230,465497,0.004562583628252792,0.11733656524020653,0.1447092333605541,0.16616729756374546,0.23330523208869358,0.3212172793755981,0.4355202299340928,0.4726998049214564
8,9000,52769016.92554146,64273,4788361,6091667,7354362,11430293,14999123,20590759,22509713,24502,48591,54876,38831,119156,142765,291012,322261,0.0012185722077591027,0.09082553708429322,0.11556039599705245,0.13947157346239686,0.21710015561418025,0.28501218405638296,0.3923693179497819,0.4291917126763186
9,10000,58977132.71607846,101524,4534222,6036050,7524168,10279051,14422968,20509891,22571921,28621,33312,55597,76471,118162,164718,246115,408825,0.001722248739526852,0.07692446714373188,0.10244217036510282,0.12774335263445918,0.17463864683573338,0.24523679344961447,0.349217360733477,0.38539479592652537
