,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227155,304177,350924,591497,991350,1374364,1613852,1724992,1861876,0,0,0,0,0,0,0,0,0.09799325346159028,0.11305320414678002,0.19055587846145589,0.3193719834804983,0.44276325889362134,0.5199163910666961,0.5557211040782687,0.5998194695261373
1,2000,9312181.820186637,2427368,2659810,3317528,4421545,5636068,6341327,6716315,7019459,0,0,0,0,0,0,0,1514,0.2606658726033498,0.2856269402122446,0.3562567896610839,0.47481300144023414,0.6052360347799824,0.6809711324851371,0.7212396761240847,0.753915737900237
2,3000,15520302.808602706,6002393,6366344,7541115,8821242,9740984,10336697,10740523,11041416,0,0,0,0,0,0,0,0,0.38674458056790945,0.41019457406921317,0.4858871049745277,0.5683679054966955,0.6276284760759112,0.6660112967815616,0.6920305056191729,0.7114175629279529
3,4000,21728423.459532373,11115074,11889902,12731553,13481498,14105416,14646120,14979526,15185468,117545,129232,131502,133017,132260,132260,136045,134531,0.5143277271589687,0.5504790316932271,0.5895077696076259,0.6242761869410968,0.6531445284914243,0.6781815681032605,0.6937413600856462,0.7032297687162257
4,5000,27936543.637838684,9921597,10677489,11404688,11955350,12447567,12761962,13081974,13297027,4631001,4611715,4688969,4698053,4692753,4701079,4705623,4707137,0.4257183432361441,0.45777352390398496,0.4905753902360753,0.5144632750172418,0.5355222473797602,0.5492449666453966,0.5631276609284261,0.572422154698532
5,6000,34144663.208697185,8796668,9586483,10444152,11440985,12049825,12399600,12668439,12860680,9187084,9270788,9206759,9227618,9210976,9246248,9208706,9208213,0.3524647934177265,0.3854036783399184,0.41880632440466126,0.4591629908030417,0.483274892282954,0.4980075999242207,0.5080390094502364,0.5157382022046798
6,7000,40352782.036869854,11168939,12074472,13213167,13976684,14518382,15079244,15622014,16151660,13108837,13090558,13110295,13174941,13152225,13134747,13162012,13154313,0.4099604145025553,0.4429012095150527,0.4850205850191784,0.5142676337329013,0.5337531132292843,0.5540166282971378,0.5745337104766444,0.5938444541898679
7,8000,46560899.98757118,16153486,17158190,18227840,19027649,19901165,20761289,21250720,21686709,16837909,16782361,16862179,16941609,16903786,16894320,16961328,16880260,0.5434677151688625,0.5761931439000886,0.6137584176647976,0.6424073083985827,0.6710418622776396,0.6998207750505095,0.7179401110571176,0.7306685101494222
8,9000,52769016.925551444,18707346,19943826,21297992,22226571,23589631,24281081,24763996,25196422,19784533,19790636,19803243,19816114,19818379,19809307,19827393,19797955,0.5671559404180444,0.6047545525361934,0.6460637644394005,0.6744950831863034,0.71590817310725,0.7366897662280855,0.7517539528702956,0.764198073355764
9,10000,58977132.71607688,17848268,19356504,21459552,22873609,24996462,25688292,26600171,27255299,23133290,23178087,23173639,23196536,23195774,23201076,23189574,23214487,0.497945160104014,0.5406988821299012,0.5993703343638779,0.6392741066199845,0.698588955169242,0.7180302794090863,0.7432798423338773,0.7621164053795815
10,11000,65185247.22378665,16150749,18692086,21349364,23722943,25483706,26072151,26769084,27277849,28535662,28583998,28589373,28611881,28608851,28614154,28591135,28596176,0.4406802669493158,0.510695301291855,0.583381718645303,0.6486398559772447,0.6967254467630475,0.7129169161134645,0.7315134149531232,0.7455190330785603
11,12000,71393360.31409252,18540775,20578804,22888669,24785446,26991827,28277560,29211989,29977678,32599529,32586657,32621130,32637701,32643817,32643347,32600913,32633254,0.4779310104713671,0.5302899304133077,0.590336661434735,0.639531011435726,0.6965714868227506,0.7297432331388666,0.7530328974472273,0.7734157836688035
12,13000,77601471.85149592,18110300,20736265,22806667,24192035,25853769,27130382,28203444,28960716,36195392,36140544,36234962,36262289,36267509,36266297,36230827,36282635,0.43738262750188145,0.5001399166529225,0.5513316710033068,0.5852083503175626,0.62548488498156,0.6563509673654653,0.6817259943914118,0.7009083073680835
