,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292256354,556273,1511395,1527084,1743940,2292164,2558475,2884526,2989415,0,0,0,0,0,0,0,0,0.17920816196775527,0.48690898166413876,0.4919633288158289,0.5618253662896584,0.7384404732364465,0.8242348670355251,0.9292750189353092,0.9630659181891573
1,2000,9312181.820187353,1581356,4169899,4199118,4538841,5542903,6053058,6958192,7239810,0,0,0,0,0,0,0,0,0.16981584235950675,0.44778968887402,0.45092740681855775,0.48740897543049505,0.5952313976498884,0.6500150144059599,0.7472139327129255,0.7774558250468462
2,3000,15520302.808607833,2725748,7734195,7822330,8320209,9672703,10475366,12153449,12603512,0,0,0,0,0,0,0,0,0.17562466619454437,0.49832758389936044,0.5040062746495898,0.5360854812307828,0.623229012943958,0.674945980705362,0.783067775794908,0.8120661146514403
3,4000,21728423.45952161,3422356,11075718,11224986,12010255,13719902,14726684,16825709,17518614,52401,55968,55968,50928,49492,49951,49088,46303,0.1578867159042209,0.5110504446847981,0.5179378968370839,0.5540425563657365,0.6328680002341203,0.6793229563336577,0.7761173782939972,0.8079751255282218
4,5000,27936543.637850143,4026492,11624453,11831996,12776766,14719434,15970969,18981713,19746238,2419629,2429321,2428053,2404368,2406540,2246258,2345075,2192510,0.15779697730490355,0.4557318201610271,0.46384539830213967,0.5004182244876578,0.5765543244254512,0.6216734693081641,0.7417203470662007,0.7670219157485916
5,6000,34144663.2087006,4502678,12674375,12816848,13774134,15436100,16459558,19788880,20691715,3559540,3581728,3582262,3579960,3585117,3574804,3593216,3565729,0.14721791275044188,0.414697571206835,0.4193665253092503,0.4506549239476676,0.5051154848498762,0.5384243966460724,0.6477231623372794,0.6766656698621172
6,7000,40352782.03686038,4371396,11843748,12034985,12956918,13859980,14568853,17458148,18213417,5364378,5409269,5407797,5380652,5385438,5380618,5414828,5298690,0.12493842232399976,0.33893981945966767,0.3443980584712043,0.3704926747768437,0.39636925199093415,0.4165842578298714,0.4996900500121225,0.5195803383196482
7,8000,46560899.987568855,2224090,6531146,6625671,7552806,8337476,9005821,11385368,12064774,12610449,12654920,12644611,12608512,12631712,12607808,12651664,12518321,0.06550988087947235,0.19262519480028453,0.19535365447642192,0.22245286554705207,0.24573166923578382,0.26524303009862177,0.33576008625419584,0.3544024676980445
8,9000,52769016.92553905,1500615,5134362,5174930,5948521,6535098,6954876,9053563,9658874,16564383,16586134,16588599,16620932,16634188,16630201,16657760,16583567,0.0414481473030847,0.14190030160299918,0.14303123890526204,0.16455978268982377,0.18085316007629368,0.19244891737266462,0.25071303994398014,0.2669270112676681
9,10000,58977132.716083884,1188673,4025831,4040223,4555892,4839081,5113060,6648053,7048168,19246058,19258588,19255386,19273312,19297725,19297918,19319554,19264242,0.02991796744724861,0.101358975480533,0.10171312527815042,0.11474694167542479,0.12195446652391685,0.1288599090628533,0.16763638162568295,0.17747809018459246
10,11000,65185247.223799825,1199438,3441280,3451593,3779298,3880128,4063001,5119974,5453430,22939443,22971835,22960798,22955528,22955419,22954053,22964767,22926061,0.0283918846389076,0.08152100999927729,0.08174394369730484,0.0894937989043049,0.09188121674180155,0.09620852724335828,0.1212675453443529,0.12904720812935813
11,12000,71393360.31407225,1406389,3044268,3116964,3557708,3799657,3924903,4959966,5244138,27084417,27057292,27127627,27128298,27152143,27155826,27180233,27110470,0.03174052222440022,0.06866346331015893,0.07041482805412161,0.08037282258312722,0.08588500115233956,0.08872336717807218,0.1121831071746271,0.11842357088271435
12,13000,77601471.85152072,835627,2064782,2076137,2427303,2549487,2710029,3308771,3501901,31651829,31696206,31703346,31869597,31940521,31965025,32092580,31938976,0.018185712622407132,0.044979197085547415,0.045233589857595735,0.053076831157279465,0.05583517102590277,0.05938299729637465,0.0727060331593074,0.07669096782153607
13,14000,83809581.70149642,761382,2326626,2355373,2716261,2937980,3174153,3992682,4224334,34609028,34663963,34700370,34649962,34749177,34755781,34829119,34698947,0.015475069744526936,0.0473414733901632,0.047961938674903,0.055253905878310056,0.059884952394418114,0.06470758543900494,0.0815158081362514,0.08601668509633989
14,15000,90017689.72859204,1002696,2996634,3032033,3381193,3720858,4030274,5212922,5474683,39541127,39638100,39753317,39701744,39780994,39668407,39741637,39635233,0.019864585577892984,0.059481111619678666,0.060321711689744796,0.06719923378243563,0.07406653534902549,0.08004630416932063,0.10368598402386921,0.1086624860215107
15,16000,96225795.79822671,1167003,3094869,3111710,3486562,3694612,3851810,4819563,5085742,45368110,45391322,45403574,45391604,45421697,45436339,45512948,45471961,0.022946443230428912,0.06088130295759961,0.06122735075129229,0.06858694663306567,0.07272271504457743,0.07583877132811713,0.09503633121089537,0.10020409335015786
16,17000,102433899.77491593,524255,1680632,1697721,1962643,2083904,2185713,2820041,2993421,49674962,49752978,49794759,49744529,49793603,49784502,49831532,49719187,0.009936799755836922,0.03190209934405959,0.032252065193454166,0.0372493155855709,0.03958761875736647,0.04151449194811782,0.05361053350424979,0.056785304185976826
17,18000,108642001.52418292,359765,1888855,1905068,2136373,2196706,2236989,2485120,2644907,53755680,53900258,53923693,53868303,53921557,53900210,54004803,53910762,0.006554729666871327,0.034504838143592786,0.03481591539252442,0.03900362870432747,0.040144154878515234,0.04086437322775197,0.045484030424804145,0.04832536268124079
18,19000,114850100.91041946,425692,1728655,1733815,1930277,2040698,2098009,2505804,2628442,59867294,60084469,60171677,60113709,60118019,60101544,60204254,60131192,0.007742274793165018,0.03156459516120572,0.0317093082792682,0.035264966005780114,0.037285225205575596,0.03832080913900249,0.04585534201908786,0.04803535107585995
19,20000,121058197.7991736,281033,1211318,1223850,1398350,1479150,1534068,1804706,1883736,65870041,66219241,66245709,66280470,66285570,66338466,66433157,66130318,0.00509227008654524,0.022088640461122962,0.02232794070862281,0.025527710917959915,0.027005277260447914,0.02803500582989276,0.03303807143384876,0.03429471530463736
20,21000,127266292.0549748,415571,1237151,1246737,1409839,1479643,1530806,1740601,1826770,69996729,70391825,70387249,70343932,70336747,70259419,70303198,70140559,0.007256402490814899,0.021752309323693025,0.02191909239392446,0.02476775380779008,0.0259907750636539,0.026853007680736347,0.030556644242676755,0.0319780579137954
