,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270413,1097867,1384232,1570486,1716731,1839378,1897435,2015095,2048819,791311,761122,797780,774060,688620,749488,713776,750207,0.47470205426729445,0.5908101828756274,0.6809604954824402,0.7367942216262454,0.7615082638518896,0.8058511240839871,0.8430355847000663,0.8704105363904006
1,2000,9312181.820187751,1835699,2589183,2978987,3135954,3419724,3516732,3771793,3925887,4157854,4139255,4170231,4131708,4046232,4100147,4053792,4087216,0.3561471183129235,0.500525735236677,0.5793495706540472,0.6053411538881874,0.6494030738557387,0.6747330210417355,0.7172904879587888,0.7513708481750278
2,3000,15520302.808601744,1873079,2811202,3349424,3543164,3946005,4131220,4609979,4817287,8063564,8044700,8090171,8045819,7983621,8028148,7950992,7992287,0.2511927865623111,0.37605020919053006,0.4507893111832048,0.4740346077039428,0.5235732514932974,0.5514061182047314,0.6090355009284639,0.6399145701176157
3,4000,21728423.459528413,1778557,2947228,3892879,4342395,4694176,4854518,5306174,5548892,11820018,11813638,11869520,11872589,11835462,11848117,11757658,11789724,0.17949982035602424,0.29725585208378097,0.3948592270915908,0.440591308410407,0.4744965417285439,0.4913327354657485,0.5321731838481101,0.5583116807783312
4,5000,27936543.637846746,2265580,3906492,4999537,5595926,6051670,6255845,6640233,6868185,14042829,14019805,14048595,14026983,14003085,14002213,13910747,13952783,0.16306510239014962,0.2807045602894522,0.3599910347000788,0.40230789064422035,0.434326476813313,0.448951956329257,0.47343000696888865,0.4911543595369765
5,6000,34144663.20869364,3073051,4482643,5471468,5999749,6385311,6563452,7043543,7326330,16997911,16928295,16958275,16928171,16907531,16883368,16821182,16836964,0.17922058723411896,0.26037099960120674,0.31836054984678447,0.3484884683402794,0.3704392890123297,0.3802409912261,0.40658935205617097,0.42329889788701625
6,7000,40352782.03686002,4094102,5515433,6541194,7018465,7710312,7972013,8703757,9113271,21038256,20979912,21097619,21070301,21042343,21056473,20937286,21053510,0.21197009919822926,0.2846988076369684,0.3397111718804063,0.3639814288723343,0.3992820663104788,0.41313667731853665,0.44828919042171533,0.47220801813635266
7,8000,46560899.98757249,3252133,4786355,6354395,7090669,7710550,8031338,9121092,9532656,25565642,25528523,25784825,25784505,25779561,25832157,25653556,25791655,0.15489845382824075,0.22757080680077854,0.30585156261714364,0.34128485737017034,0.3710323961613353,0.3874493501518655,0.436262588180577,0.4589794191220707
8,9000,52769016.92555371,4877830,7738216,9824184,10575075,11173407,11431958,12446940,12823098,29504393,29470284,29694497,29696710,29679174,29705683,29616557,29706425,0.20966726200298574,0.33213033621724714,0.4257589770749804,0.4583449342158147,0.48391004806855153,0.4956767324664029,0.5376076684733673,0.5560128732014639
9,10000,58977132.71607736,6458875,9127629,10832523,11591632,12540803,13024759,14083685,14776803,33366380,33324205,33425929,33374390,33393603,33447915,33290115,33369933,0.2521938762051843,0.3558123696843958,0.4239535295624428,0.4527496186071105,0.4901904912721653,0.5101902903901943,0.5482802696548577,0.577056576425358
10,11000,65185247.22379255,8641302,10554429,12131601,13492051,14610589,15035560,15943230,16429195,41650231,41628032,41850069,41800784,41871626,41916243,41736754,41825049,0.3671678794622686,0.4480338146819719,0.5198846515614188,0.5769664614868086,0.626697537021373,0.6461625884543071,0.6799255648470766,0.7032986125634298
11,12000,71393360.31406641,6753672,9253412,10836007,12018603,13170235,13625287,14691179,15048483,47075482,47033419,47304899,47157585,47326311,47348215,47110375,47308567,0.27772455774208776,0.37986183466939255,0.4498422235741697,0.495903384325585,0.5472309807543555,0.5666543837449469,0.6049988833741063,0.6248126277758477
12,13000,77601471.8515231,7613689,10148367,12187439,14327829,15377417,16230144,17867721,18525920,50406318,50350499,50665738,50494167,50489510,50803530,50660077,50796785,0.2799649173366815,0.37240384243503405,0.4524635960237947,0.5285597029464532,0.5671820093364481,0.6056488998268923,0.6632069756770544,0.6911448024973781
13,14000,83809581.70150715,9143959,11768653,13661495,15273513,16633728,18357519,20143664,20668759,53273173,53316688,53446455,53477371,53503165,53610416,53494415,53575072,0.2994444791914477,0.38594739860383664,0.4499370283667748,0.5035410425670387,0.5488516891926982,0.6078816607534238,0.6644747890830017,0.6836148230632524
14,15000,90017689.72858,11359783,13401756,15136359,16646759,17526084,18387002,20167397,20720867,57358890,57436627,57582587,57638683,57678799,57701335,57514716,57616825,0.3478322257525881,0.4113357538900665,0.4666659799619715,0.5141219784641013,0.5419506855413272,0.5689689370731801,0.6204785189321531,0.6395158639615762
15,16000,96225795.79822052,9040191,11791508,13785621,15267264,16803705,17668155,19102825,19647888,62661243,62787558,62856392,62843301,62844680,62874133,62701136,62809122,0.2693374481807272,0.35263544900764804,0.41312158537082233,0.4573434098404723,0.5033895541890716,0.5297533471387426,0.569814134281356,0.5879665977122558
16,17000,102433899.77492988,8170275,11121566,13060248,14513612,15823961,16517605,17640645,18156835,68468256,68496226,68624043,68606850,68659281,68687040,68498666,68632527,0.24054527139657805,0.3277056074543217,0.3862852211099639,0.42905343790153466,0.4685163467113879,0.48945605932409514,0.519832723622852,0.5371626507863826
17,18000,108642001.52417219,9101881,12047706,13719601,14770549,15800950,16405596,17201959,17595609,72238063,72366586,72484145,72481281,72517841,72618039,72324728,72488929,0.25002462285657245,0.3321176567080807,0.379436236515519,0.40846943274060044,0.43740670428664835,0.45540786883152556,0.47365777578403995,0.4866974719295423
18,19000,114850100.91040444,8002540,9798165,11205448,12016295,12542574,12884387,13718346,14098874,75800052,75648143,76027699,76036404,76083900,76217283,75922018,76054807,0.20493034511584987,0.24994070506359853,0.28863355816727376,0.3095890357400843,0.32354405914028334,0.33350885844985245,0.35240230122746297,0.3634171204517888
19,20000,121058197.79918861,6902409,8524856,10002057,10721042,11312047,11608144,12194203,12525886,71052026,70993721,71316039,71341682,71435657,71517710,71304134,71502068,0.13803114199019723,0.1702775409836733,0.20107806419055443,0.21564347033697343,0.22796186607568802,0.23431630401084022,0.24508958804283365,0.2527615867251419
20,21000,127266292.05496788,8963218,11194226,12484671,13406635,14590705,15025792,15596321,15956813,70215910,70336781,70585789,70640985,70718470,70867337,70579125,70738210,0.15711056923972858,0.19663309578035013,0.2202639413396271,0.236760482146009,0.25802417263421673,0.26641968783562525,0.2751296600318147,0.2822811675174757
21,22000,133474383.54325485,8765399,11799170,13281199,14044700,14664288,15137040,16244233,16728984,71849591,71910971,72446576,72446942,72704179,72905885,72489684,72716637,0.14223819080360406,0.19165880370438898,0.2176253667737719,0.23013745365755564,0.24130720161657992,0.24991605147996063,0.26636571339469156,0.27533911232356595
22,23000,139682472.12840128,9965549,12636770,14153148,14918481,15512901,16330540,17947999,18596720,73536177,73747043,74206778,74186710,74324975,74503130,74293177,74464218,0.15065921652384556,0.1916537158708927,0.21615880806463744,0.22777780600144842,0.23735457570419763,0.2505477880987099,0.27447916306111764,0.28514593419484824
23,24000,145890557.67619395,11807841,15274750,17242408,18079919,19158488,20117030,21234650,21853333,76650269,76746930,77233813,77245161,77346621,77377804,77151398,77376905,0.17053425434460598,0.2209133439097682,0.25113931750362517,0.2633813755244868,0.27950667745428676,0.293624601560717,0.30891634550129765,0.3189631868451418
24,25000,152098640.05075336,12979414,16880887,18912377,20112839,21429845,22023993,23377817,23908112,78458736,78311570,78852588,78800674,78865094,78908200,78645882,78896534,0.17625517261747733,0.2287783887934394,0.2582033634644952,0.27439832349608945,0.29262334211084606,0.30091352073751204,0.3182701047637547,0.3266041551239488
25,26000,158306719.11792493,12589610,16590272,18813446,20321261,21771970,22840508,24089228,24680319,79409088,79391303,79953729,79847528,80063816,80003237,79512907,79976966,0.1595689226864473,0.21022853095279653,0.24011139806770462,0.25900421238675464,0.2782612752390598,0.2916921110302889,0.3057248704244366,0.31508230292573425
26,27000,164514794.74181843,13747349,17601489,19634100,21558209,22641499,23263225,24395422,24891761,80642819,80667018,80794346,81074543,81622193,81652000,81251537,81615676,0.16390872968484985,0.20992195242335382,0.23451976542252756,0.2583670177159293,0.2731425787613758,0.28074391012857947,0.29299144258377435,0.30026568892153205
27,28000,170722866.7880931,15344373,19268084,21741162,23911334,25311724,25990370,27387037,27960669,84441169,84547318,84852082,84888178,84962656,84923816,84656932,84900952,0.177840415677559,0.2235910797316823,0.25318461981745677,0.27857424938106096,0.2951453100149594,0.3029214165106691,0.31820995225847354,0.325798708512144
28,29000,176930935.12181664,13673337,17103434,19353407,20615774,21752955,22614382,23993866,24478610,90789171,90834293,91154286,91097718,91147722,91135916,90991156,91136897,0.15873063593942618,0.19865390308486885,0.22562558922667927,0.24018409994747816,0.2535805574117359,0.26358618753719043,0.27919394540204173,0.28531831040804356
29,30000,183138999.60707426,14066035,18103123,20744845,22024797,23280298,23939691,25386608,26049846,92760395,92802590,93363599,93326115,93555273,93656364,93347539,93585860,0.15563456706543355,0.2003967511963453,0.231074936560799,0.24522981414478676,0.2598719531071796,0.2675344868597879,0.28272853374210405,0.29088702098326197
