,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292269104,494579,1419284,1744315,1911786,2021648,2068055,2118130,2212342,340662,331303,340662,316447,291452,323466,333643,344562,0.1789749024151335,0.5118673139836313,0.6312209109287973,0.6858145547703453,0.7187804158005736,0.743745592493999,0.7645525994544973,0.8017188255026604
1,2000,9312181.820187205,1920109,3187954,3591078,4150633,4728245,5011089,5344950,5860075,469887,443370,469887,436302,404595,465158,478890,484350,0.21715052925133616,0.3594567191902272,0.40612511491942893,0.4676305993418078,0.5308109924097971,0.5664152263912368,0.6050915229342806,0.6638181514286856
2,3000,15520302.808600701,1025893,2288593,2963064,3724216,4490516,5637640,7190401,7743501,1328302,1279939,1328302,1255224,1096312,1301090,1306029,1329438,0.07228670670440518,0.16071169464208257,0.20878409182476304,0.2610722345084133,0.31132271640955334,0.39648045752504596,0.505857780483254,0.5456680127984076
3,4000,21728423.459528875,210468,867878,1184535,1798094,2494730,3804949,7403637,8359206,1128388,902587,1128388,935455,923099,1020588,1049959,1152413,0.01021687561720408,0.041673140077065275,0.057501600049531684,0.08647606057306265,0.11990824775902062,0.18374440957078025,0.3580361111672544,0.4062598051474454
4,5000,27936543.63784544,80651,498402,741841,1070735,1203612,1851163,5507004,6426879,1147931,909848,1147931,958384,905168,1057894,1017347,1074257,0.0030106448993950817,0.018441100113699746,0.02769240087304741,0.039688956340000074,0.04452647975173249,0.06887113098842368,0.20457534725452228,0.23925286356468886
5,6000,34144663.208693594,16859,120800,228763,278292,298013,722973,2759765,3957443,1094829,790932,1094829,923098,936097,1031057,967762,1067634,0.000510108459048346,0.0036217836992256413,0.006921759381770969,0.008376847937531103,0.00897397972942246,0.02183310979310347,0.08318332633419175,0.1196432416899118
6,7000,40352782.03686486,84882,420561,621704,705950,729759,956108,2257866,3328133,2164074,1708260,2164074,1452531,1455672,1780205,1922033,2134269,0.0022226989171265105,0.010882810236307406,0.016279786145157044,0.018147697795857093,0.018761265279306574,0.02478724714416207,0.05875154808547011,0.08708169773088098
7,8000,46560899.98756635,500563,1221758,1447622,1578623,1687195,2202990,3842984,4875266,2167200,2072641,2167200,1756269,1779725,1872703,1895429,2051457,0.011275541352493623,0.02746248173796729,0.03260872602205821,0.03523347844195125,0.03767643436038593,0.049296909441500635,0.08603925840320327,0.10953329614486297
8,9000,52769016.92555362,236442,671207,844692,931244,966638,1130778,1640664,2138217,2029928,1751730,2029928,1577208,1679305,1722112,1568004,1776921,0.004659957539776029,0.01315646206313266,0.016647756549972057,0.01819126964929632,0.018920404198178992,0.02215174458959103,0.0320435848092601,0.04193232227837251
9,10000,58977132.716074854,141044,449945,526984,584742,631560,647169,890491,1136117,1540630,1266824,1540630,1135037,1022475,1155001,1208754,1429696,0.002455650907180422,0.00779661398475019,0.009175071166937747,0.010109281013438363,0.010897484773252737,0.01119240990937184,0.015414851858257335,0.019742269418624617
10,11000,65185247.223793626,10866,47263,90755,100120,108706,125099,216086,371440,1102416,913191,1102416,770554,685868,815000,782647,954661,0.00016956179670110316,0.0007353584555538641,0.0014162139572619747,0.0015543037619096737,0.0016853805619248298,0.0019434289193433264,0.0033552371992608887,0.005782914680333456
11,12000,71393360.31409967,0,10150,14052,21154,23497,27399,130431,267666,996765,687268,995985,633926,495067,653449,710657,800547,0.0,0.00014355198636788424,0.0001996097146705066,0.00029895660140664537,0.0003314184150512846,0.00038732024808941075,0.001845302936708447,0.003791689088930791
12,13000,77601471.8515079,38754,122451,146286,172178,190408,225046,374865,621149,1338139,902754,1338138,935428,799062,940790,873523,1043363,0.0005081603249028966,0.001596519517276293,0.001918169487382141,0.0022458182442997355,0.0024791930405327197,0.0029356117707890358,0.004885638227153428,0.008113431866567922
13,14000,83809581.70149726,131907,426554,559576,606720,617331,702075,1060784,1345118,2156640,1465360,2155860,1766620,1553038,1758840,1328600,1682289,0.0016154592504728001,0.005180132754746093,0.006853037293825387,0.0073951498997253725,0.007504946989266255,0.00855659541207034,0.012860952647714956,0.01637845295703358
14,15000,90017689.72857833,0,5856,20630,25052,28168,28242,318842,390815,2192380,1406910,2188477,1605491,1429803,1635841,1427521,1719686,0.0,6.608676752351555e-05,0.00023488767984011888,0.0002833545637396551,0.0003179667225419098,0.0003195452505947404,0.003599067532841764,0.004426091004291977
15,16000,96225795.79822803,10923,32769,52951,67395,67396,69660,152596,200655,1677102,1302411,1674636,1268119,1138477,1246784,858891,1157198,0.00011552777263438738,0.00034521524985286567,0.000560024859694977,0.0007097372458174717,0.0007087801070825434,0.0007334251923781293,0.0016000938724272755,0.002110633843846806
16,17000,102433899.77491188,2343,21056,21057,31972,31971,31971,37424,37424,2337583,1695528,2321303,1773390,1577692,1761960,1174780,1672756,2.340745469454925e-05,0.000209016679831268,0.0002103331716321723,0.0003176220751463802,0.00031699585682769276,0.00031757608000285484,0.00036958646374953214,0.00037141301297254683
17,18000,108642001.52418196,5461,56982,94578,101608,103951,103951,182162,206122,2240517,1833007,2162820,1678887,1345105,1568531,1196341,1739991,5.1324471875755394e-05,0.0005334943958029589,0.0008882299680198129,0.0009499349420778946,0.0009688164650370118,0.0009708380562533763,0.0016953872228185726,0.0019281396017652428
18,19000,114850100.9103955,22643,79640,124400,127519,131423,140792,179562,228986,1638155,1342871,1577584,1277622,993471,1201205,676555,947435,0.00020000539534866207,0.0007016293152680154,0.0010982363894889607,0.00112279842109115,0.0011542849995070917,0.0012388329765297941,0.0015727110739025482,0.0020103655886345786
19,20000,121058197.79922199,0,781,3540,4320,4321,4320,8265,13720,1427267,1172335,1412427,889806,726648,905091,726655,951911,0.0,6.514529584759917e-06,2.9587339162539118e-05,3.594955325039116e-05,3.590911948869404e-05,3.5954126489786054e-05,6.868523254779908e-05,0.00011423215524875317
20,21000,127266292.05492783,0,4674,13262,14837,14836,15618,23420,45566,1790295,1550270,1767645,1317913,1080719,1275496,961938,1274246,0.0,3.717903194517113e-05,0.00010567444598980842,0.0001178022306545873,0.00011757287018494562,0.00012396143598609433,0.0001854251199433315,0.000361657750840358
21,22000,133474383.54324722,0,4688,5469,7797,7798,7797,11367,37513,2238299,1946652,2221218,1768226,1530323,1761570,809233,1261308,0.0,3.5642673563928634e-05,4.166756647250533e-05,5.919996563136971e-05,5.910080353669314e-05,5.9196974009213575e-05,8.568188370083292e-05,0.00028373139226860666
22,23000,139682472.1284256,103555,266925,408780,472058,513048,579474,709171,912127,2290190,2040333,2255281,1763497,1421277,1750737,943251,1423924,0.0007537177372394422,0.0019392680300539963,0.0029745205198729225,0.0034227197494792515,0.003710715790670326,0.004201165159420802,0.005111539435150407,0.006597255738232861
23,24000,145890557.6762159,24602,387309,474222,517976,537938,571536,669913,834662,2998592,2423671,2921657,2265217,1884619,2381655,1420469,2107472,0.00017217203139150992,0.002699640376765829,0.0033169591271739484,0.0036064387911023833,0.0037355264994279446,0.003982582190663786,0.004637035985361638,0.005805008260008896
24,25000,152098640.05071688,8836,57265,97013,113192,115530,117090,133880,255160,3052239,2361192,2930291,2030418,1834618,2264513,1683752,2259297,5.928355154978431e-05,0.0003824360622240873,0.0006503591453372982,0.0007542702808976159,0.0007688467167543705,0.0007814641584314539,0.000890071466561597,0.0017028905413288865
25,26000,158306719.11793852,82069,357208,557910,593229,620492,665729,864127,1246860,3125723,2485669,3086714,2272414,1967329,2410254,1746134,2201961,0.0005288598607630219,0.0022924245455260045,0.0035943176240465363,0.003801913941627182,0.00396887821765146,0.004270327742815489,0.005519441558991653,0.007987328605691738
26,27000,164514794.74186754,41722,253151,707990,790839,820700,924637,1958577,2643893,2342113,1830871,2278728,1775454,1449564,1738481,1205262,1629076,0.0002572689774373311,0.0015560910640542308,0.004363949485575714,0.004859544080705144,0.005032955193858396,0.005680414912616214,0.011993035355111765,0.01623158261154803
27,28000,170722866.78807354,146305,637107,1549940,1678303,1737051,2260320,3151564,3781421,2004215,1729537,1999524,1541534,1242625,1452682,954566,1378026,0.0008671536812881412,0.003770012702862092,0.009186280774123921,0.009920142916135676,0.01024928323014841,0.013353326238935245,0.01856391320034583,0.02232970890877187
28,29000,176930935.12179184,76694,888000,1412124,1743002,2074805,2563512,3267977,3756334,1798886,1590559,1796541,1498254,1114665,1333820,769998,1069342,0.000437920988103467,0.005064435355055889,0.0080630878193919,0.00993544639946501,0.0118009840531979,0.014598827538948929,0.018551087734851392,0.021359604068857573
